energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,7.94865368,0.02989268,1.17846802,1.28779562,0.36542015,2.92652902,3.42427871,0.05398534,3.22878237
-5.99399700,7.85599984,0.02905171,1.16153288,1.28071131,0.36528621,2.89179833,3.38078705,0.05295534,3.20095361
-5.98799400,7.77106187,0.02823462,1.14541160,1.27653006,0.36573532,2.85989930,3.33956573,0.05205505,3.17658115
-5.98199100,7.69604333,0.02745124,1.13038289,1.27569035,0.36678516,2.83212559,3.30164342,0.05128642,3.15666932
-5.97598799,7.63296973,0.02671041,1.11669428,1.27855087,0.36843634,2.80972963,3.26799971,0.05064937,3.14215023
-5.96998499,7.58364078,0.02601992,1.10455907,1.28538031,0.37067223,2.79389056,3.23954215,0.05014190,3.13385627
-5.96398199,7.54958810,0.02538649,1.09415435,1.29634997,0.37345928,2.78568350,3.21708479,0.04976020,3.13249517
-5.95797899,7.53203921,0.02481581,1.08561981,1.31152940,0.37674802,2.78605067,3.20132845,0.04949871,3.13862813
-5.95197599,7.53188844,0.02431255,1.07905727,1.33088506,0.38047445,2.79577548,3.19284331,0.04935034,3.15265169
-5.94597299,7.54967517,0.02388040,1.07453081,1.35428193,0.38456192,2.81545977,3.19205398,0.04930658,3.17478392
-5.93996998,7.58556946,0.02352215,1.07206738,1.38148767,0.38892342,2.84550516,3.19922741,0.04935771,3.20505498
-5.93396698,7.63936512,0.02323965,1.07165771,1.41217926,0.39346403,2.88609857,3.21446379,0.04949298,3.24330248
-5.92796398,7.71047984,0.02303394,1.07325742,1.44595151,0.39808356,2.93720243,3.23769054,0.04970078,3.28917126
-5.92196098,7.79796227,0.02290519,1.07678836,1.48232704,0.40267923,2.99854954,3.26865968,0.04996893,3.34211772
-5.91595798,7.90050538,0.02285275,1.08214001,1.52076742,0.40714824,3.06964297,3.30694838,0.05028480,3.40141830
-5.90995498,8.01646589,0.02287516,1.08917099,1.56068483,0.41139016,3.14976061,3.35196298,0.05063560,3.46618171
-5.90395198,8.14388911,0.02297010,1.09771072,1.60145396,0.41530907,3.23796455,3.40294631,0.05100851,3.53536464
-5.89794897,8.28053881,0.02313441,1.10756120,1.64242389,0.41881531,3.33311499,3.45898833,0.05139095,3.60779029
-5.89194597,8.42393165,0.02336404,1.11849914,1.68292945,0.42182696,3.43388836,3.51904000,0.05177069,3.68216948
-5.88594297,8.57137581,0.02365406,1.13027820,1.72230209,0.42427077,3.53879945,3.58193027,0.05213607,3.75712369
-5.87993997,8.72001322,0.02399864,1.14263184,1.75988002,0.42608285,3.64622704,3.64638597,0.05247608,3.83120968
-5.87393697,8.86686535,0.02439108,1.15527649,1.79501760,0.42720892,3.75444270,3.71105438,0.05278052,3.90294524
-5.86793397,9.00888172,0.02482380,1.16791526,1.82709403,0.42760424,3.86164216,3.77452820,0.05304002,3.97083567
-5.86193097,9.14299118,0.02528841,1.18024226,1.85552130,0.42723339,3.96597886,3.83537256,0.05324613,4.03340063
-5.85592796,9.26615508,0.02577579,1.19194752,1.87975155,0.42606974,4.06559891,3.89215359,0.05339134,4.08920100
-5.84992496,9.37542210,0.02627616,1.20272240,1.89928397,0.42409501,4.15867706,3.94346820,0.05346904,4.13686540
-5.84392196,9.46798393,0.02677926,1.21226566,1.91367122,0.42129865,4.24345290,3.98797434,0.05347352,4.17511608
-5.83791896,9.54123111,0.02727443,1.22028985,1.92252554,0.41767746,4.31826667,4.02442131,0.05339991,4.20279374
-5.83191596,9.59280814,0.02775085,1.22652822,1.92552449,0.41323521,4.38159395,4.05167938,0.05324418,4.21888101
-5.82591296,9.62066681,0.02819771,1.23074167,1.92241637,0.40798255,4.43207858,4.06876798,0.05300304,4.22252417
-5.81990995,9.62311661,0.02860443,1.23272579,1.91302525,0.40193701,4.46856295,4.07488187,0.05267396,4.21305264
-5.81390695,9.59887089,0.02896090,1.23231774,1.89725540,0.39512335,4.49011513,4.06941446,0.05225514,4.18999589
-5.80790395,9.54708750,0.02925769,1.22940267,1.87509516,0.38757396,4.49605194,4.05197753,0.05174553,4.15309719
-5.80190095,9.46740236,0.02948630,1.22391945,1.84661977,0.37932958,4.48595749,4.02241671,0.05114492,4.10232393
-5.79589795,9.35995463,0.02963940,1.21586555,1.81199321,0.37043993,4.45969638,3.98082215,0.05045395,4.03787383
