energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.69435432,0.00790233,0.34661746,0.68500260,0.46199425,1.46958217,0.58079709,0.00326577,1.18387618
-5.99399700,2.66632907,0.00761697,0.35012377,0.67810133,0.44860731,1.44400399,0.57996689,0.00329053,1.16734844
-5.98799400,2.63711870,0.00734885,0.35393226,0.67054996,0.43547171,1.41599896,0.57922666,0.00332911,1.15001412
-5.98199100,2.60720410,0.00709693,0.35805964,0.66250395,0.42266781,1.38600703,0.57864982,0.00338221,1.13211893
-5.97598799,2.57705692,0.00686003,0.36251239,0.65412713,0.41026856,1.35450223,0.57829696,0.00345019,1.11391047
-5.96998499,2.54713536,0.00663697,0.36728653,0.64559014,0.39834137,1.32198291,0.57821522,0.00353307,1.09563635
-5.96398199,2.51788151,0.00642667,0.37236793,0.63706893,0.38695004,1.28896163,0.57843847,0.00363050,1.07754284
-5.95797899,2.48972032,0.00622818,0.37773318,0.62874347,0.37615677,1.25595528,0.57898840,0.00374175,1.05987403
-5.95197599,2.46306057,0.00604079,0.38335103,0.62079668,0.36602397,1.22347557,0.57987652,0.00386572,1.04287173
-5.94597299,2.43829781,0.00586403,0.38918446,0.61341357,0.35661612,1.19202057,0.58110704,0.00400096,1.02677591
-5.93996998,2.41581913,0.00569764,0.39519334,0.60678059,0.34800140,1.16206742,0.58268047,0.00414572,1.01182568
-5.93396698,2.39600954,0.00554161,0.40133753,0.60108507,0.34025323,1.13406648,0.58459779,0.00429798,0.99826063
-5.92796398,2.37925928,0.00539610,0.40758036,0.59651473,0.33345149,1.10843688,0.58686499,0.00445552,0.98632232
-5.92196098,2.36597150,0.00526145,0.41389232,0.59325698,0.32768352,1.08556361,0.58949753,0.00461601,0.97625553
-5.91595798,2.35656922,0.00513807,0.42025468,0.59149798,0.32304478,1.06579571,0.59252462,0.00477710,0.96830896
-5.90995498,2.35150073,0.00502648,0.42666285,0.59142112,0.31963897,1.04944547,0.59599276,0.00493647,0.96273511
