energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.79207369,0.01275497,0.05753499,0.01812350,0.00000000,0.49545015,0.14339658,0.01267725,1.07566379
-5.99399700,1.72269491,0.01224934,0.05483570,0.01740777,0.00000000,0.47770198,0.13843109,0.01206655,1.03486174
-5.98799400,1.64994382,0.01171408,0.05199163,0.01665410,0.00000000,0.45903103,0.13324177,0.01142167,0.99210734
-5.98199100,1.57540080,0.01116389,0.04905260,0.01587903,0.00000000,0.43983822,0.12795697,0.01075519,0.94835324
-5.97598799,1.50063892,0.01061404,0.04606851,0.01509908,0.00000000,0.42051826,0.12270522,0.01007989,0.90454769
-5.96998499,1.42718969,0.01008005,0.04308833,0.01433045,0.00000000,0.40145079,0.11761249,0.00940850,0.86161384
-5.96398199,1.35651247,0.00957740,0.04015921,0.01358864,0.00000000,0.38299264,0.11279959,0.00875348,0.82043129
-5.95797899,1.28996830,0.00912122,0.03732572,0.01288815,0.00000000,0.36547137,0.10838003,0.00812682,0.78182027
-5.95197599,1.22879866,0.00872604,0.03462929,0.01224226,0.00000000,0.34918028,0.10445821,0.00753985,0.74652861
-5.94597299,1.17410930,0.00840552,0.03210778,0.01166282,0.00000000,0.33437485,0.10112795,0.00700313,0.71522188
-5.93996998,1.12685898,0.00817223,0.02979529,0.01116007,0.00000000,0.32127051,0.09847145,0.00652632,0.68847634
-5.93396698,1.08785293,0.00803746,0.02772207,0.01074256,0.00000000,0.31004179,0.09655862,0.00611807,0.66677470
-5.92796398,1.05774028,0.00801103,0.02591458,0.01041712,0.00000000,0.30082253,0.09544665,0.00578607,0.65050427
-5.92196098,1.03701503,0.00810111,0.02439564,0.01018879,0.00000000,0.29370709,0.09517993,0.00553690,0.63995720
-5.91595798,1.02601965,0.00831412,0.02318465,0.01006088,0.00000000,0.28875217,0.09579014,0.00537612,0.63533233
-5.90995498,1.02495065,0.00865462,0.02229792,0.01003500,0.00000000,0.28597933,0.09729646,0.00530820,0.63673820
-5.90395198,1.03386548,0.00912518,0.02174882,0.01011112,0.00000000,0.28537767,0.09970596,0.00533659,0.64419698
-5.89794897,1.05269008,0.00972633,0.02154812,0.01028770,0.00000000,0.28690674,0.10301397,0.00546366,0.65764880
-5.89194597,1.08122674,0.01045656,0.02170407,0.01056177,0.00000000,0.29049952,0.10720450,0.00569077,0.67695638
-5.88594297,1.11916190,0.01131225,0.02222254,0.01092903,0.00000000,0.29606523,0.11225071,0.00601827,0.70190981
-5.87993997,1.16607386,0.01228779,0.02310697,0.01138401,0.00000000,0.30349213,0.11811532,0.00644546,0.73223134
-5.87393697,1.22144029,0.01337557,0.02435827,0.01192021,0.00000000,0.31265011,0.12475107,0.00697068,0.76758031
-5.86793397,1.28464586,0.01456619,0.02597461,0.01253023,0.00000000,0.32339316,0.13210121,0.00759122,0.80755825
-5.86193097,1.35499007,0.01584861,0.02795107,0.01320592,0.00000000,0.33556177,0.14010009,0.00830343,0.85171433
-5.85592796,1.43169564,0.01721038,0.03027931,0.01393858,0.00000000,0.34898532,0.14867374,0.00910265,0.89955129
-5.84992496,1.51391775,0.01863794,0.03294713,0.01471911,0.00000000,0.36348431,0.15774071,0.00998332,0.95053207
-5.84392196,1.60075423,0.02011694,0.03593805,0.01553816,0.00000000,0.37887283,0.16721292,0.01093896,1.00408708
-5.83791896,1.69125701,0.02163263,0.03923092,0.01638640,0.00000000,0.39496088,0.17699680,0.01196227,1.05962229
-5.83191596,1.78444470,0.02317022,0.04279955,0.01725459,0.00000000,0.41155685,0.18699447,0.01304521,1.11652803
-5.82591296,1.87931612,0.02471529,0.04661254,0.01813385,0.00000000,0.42846997,0.19710515,0.01417906,1.17418830
-5.81990995,1.97486476,0.02625413,0.05063317,0.01901574,0.00000000,0.44551270,0.20722667,0.01535457,1.23199045
-5.81390695,2.07009335,0.02777415,0.05481947,0.01989245,0.00000000,0.46250300,0.21725699,0.01656207,1.28933479
-5.80790395,2.16402841,0.02926410,0.05912453,0.02075691,0.00000000,0.47926644,0.22709585,0.01779159,1.34564389
-5.80190095,2.25573397,0.03071429,0.06349695,0.02160282,0.00000000,0.49563799,0.23664631,0.01903299,1.40037101
-5.79589795,2.34432386,0.03211675,0.06788153,0.02242473,0.00000000,0.51146334,0.24581614,0.02027610,1.45300739
-5.78989495,2.42897210,0.03346519,0.07222019,0.02321801,0.00000000,0.52659993,0.25451914,0.02151082,1.50308789
-5.78389195,2.50892084,0.03475498,0.07645299,0.02397879,0.00000000,0.54091735,0.26267614,0.02272724,1.55019489
-5.77788894,2.58348552,0.03598288,0.08051936,0.02470387,0.00000000,0.55429725,0.27021578,0.02391569,1.59396000
-5.77188594,2.65205713,0.03714684,0.08435943,0.02539059,0.00000000,0.56663279,0.27707496,0.02506680,1.63406384
-5.76588294,2.71410153,0.03824556,0.08791537,0.02603665,0.00000000,0.57782764,0.28319901,0.02617156,1.67023370
-5.75987994,2.76915623,0.03927813,0.09113276,0.02663992,0.00000000,0.58779462,0.28854157,0.02722130,1.70223952
-5.75387694,2.81682500,0.04024356,0.09396200,0.02719827,0.00000000,0.59645425,0.29306418,0.02820768,1.72988852
-5.74787394,2.85677095,0.04114034,0.09635944,0.02770932,0.00000000,0.60373310,0.29673572,0.02912270,1.75301896
-5.74187094,2.88870898,0.04196604,0.09828853,0.02817037,0.00000000,0.60956243,0.29953175,0.02995865,1.77149365
-5.73586793,2.91239832,0.04271701,0.09972071,0.02857817,0.00000000,0.61387704,0.30143372,0.03070811,1.78519383
-5.72986493,2.92763616,0.04338808,0.10063606,0.02892891,0.00000000,0.61661466,0.30242828,0.03136395,1.79401396
-5.72386193,2.93425304,0.04397251,0.10102375,0.02921819,0.00000000,0.61771580,0.30250674,0.03191936,1.79785816
-5.71785893,2.93211067,0.04446199,0.10088223,0.02944103,0.00000000,0.61712445,0.30166468,0.03236786,1.79663847
-5.71185593,2.92110275,0.04484678,0.10021915,0.02959206,0.00000000,0.61478933,0.29990179,0.03270346,1.79027553
-5.70585293,2.90115885,0.04511606,0.09905104,0.02966563,0.00000000,0.61066596,0.29722201,0.03292073,1.77870148
-5.69984992,2.87225129,0.04525832,0.09740283,0.02965610,0.00000000,0.60471924,0.29363397,0.03301499,1.76186527
-5.69384692,2.83440476,0.04526192,0.09530713,0.02955815,0.00000000,0.59692655,0.28915162,0.03298248,1.73973994
