energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.56280809,0.59254112,0.26123070,0.00724737,0.16348108,0.02090379,0.93485289,0.37424870,0.17167228
-5.99399700,1.61581558,0.60854086,0.26897719,0.00747942,0.17317915,0.02219358,0.96006210,0.37044193,0.17886562
-5.98799400,1.66896574,0.62646816,0.27743858,0.00773620,0.18397819,0.02340519,0.98411089,0.36669668,0.18590965
-5.98199100,1.72122115,0.64615866,0.28639313,0.00801849,0.19570912,0.02451842,1.00645838,0.36294138,0.19269195
-5.97598799,1.77154998,0.66740197,0.29562183,0.00832622,0.20820064,0.02551434,1.02656987,0.35908975,0.19910087
-5.96998499,1.81895061,0.68994379,0.30491132,0.00865842,0.22127916,0.02637583,1.04393463,0.35504598,0.20502863
-5.96398199,1.86247511,0.71348894,0.31405673,0.00901321,0.23476873,0.02708811,1.05808302,0.35071030,0.21037424
-5.95797899,1.90125079,0.73770518,0.32286410,0.00938776,0.24849081,0.02763921,1.06860216,0.34598467,0.21504617
-5.95197599,1.93449886,0.76222775,0.33115252,0.00977834,0.26226430,0.02802029,1.07514952,0.34077823,0.21896464
-5.94597299,1.96154952,0.78666473,0.33875582,0.01018034,0.27590570,0.02822593,1.07746368,0.33501211,0.22206347
-5.93996998,1.98185332,0.81060304,0.34552398,0.01058835,0.28922963,0.02825424,1.07537193,0.32862365,0.22429135
-5.93396698,1.99498840,0.83361529,0.35132412,0.01099628,0.30204983,0.02810687,1.06879441,0.32156950,0.22561264
-5.92796398,2.00066386,0.85526745,0.35604129,0.01139749,0.31418067,0.02778889,1.05774488,0.31382786,0.22600760
-5.92196098,1.99871969,0.87512726,0.35957901,0.01178493,0.32543922,0.02730857,1.04232821,0.30539961,0.22547222
-5.91595798,1.98912358,0.89277350,0.36185963,0.01215137,0.33564793,0.02667707,1.02273501,0.29630845,0.22401752
-5.90995498,1.97196551,0.90780602,0.36282471,0.01248959,0.34463796,0.02590799,0.99923386,0.28660024,0.22166867
-5.90395198,1.94745066,0.91985635,0.36243535,0.01279262,0.35225286,0.02501697,0.97216178,0.27634151,0.21846379
-5.89794897,1.91589141,0.92859869,0.36067252,0.01305399,0.35835281,0.02402110,0.94191357,0.26561754,0.21445268
-5.89194597,1.87769910,0.93376102,0.35753754,0.01326798,0.36281897,0.02293847,0.90893063,0.25453002,0.20969544
-5.88594297,1.83337597,0.93513602,0.35305259,0.01342986,0.36555792,0.02178767,0.87368995,0.24319464,0.20426122
-5.87993997,1.78350772,0.93259123,0.34726115,0.01353612,0.36650595,0.02058724,0.83669365,0.23173858,0.19822699
-5.87393697,1.72875674,0.92607812,0.34022851,0.01358469,0.36563286,0.01935532,0.79845960,0.22029827,0.19167647
-5.86793397,1.66985608,0.91563957,0.33204212,0.01357508,0.36294525,0.01810925,0.75951322,0.20901731,0.18469913
-5.86193097,1.60760387,0.90141529,0.32281164,0.01350853,0.35848878,0.01686526,0.72038077,0.19804473,0.17738941
-5.85592796,1.54285796,0.88364473,0.31266874,0.01338803,0.35234959,0.01563825,0.68158386,0.18753352,0.16984591
-5.84992496,1.47653022,0.86266728,0.30176638,0.01321841,0.34465437,0.01444166,0.64363532,0.17763946,0.16217065
-5.84392196,1.40958007,0.83891931,0.29027765,0.01300620,0.33556924,0.01328735,0.60703586,0.16852005,0.15446839
-5.83791896,1.34300681,0.81292821,0.27839390,0.01275952,0.32529727,0.01218560,0.57227151,0.16033357,0.14684571
-5.83191596,1.27784015,0.78530318,0.26632227,0.01248792,0.31407478,0.01114514,0.53981124,0.15323811,0.13941015
-5.82591296,1.21512879,0.75672305,0.25428261,0.01220210,0.30216633,0.01017317,0.51010458,0.14739033,0.13226897
-5.81990995,1.15592669,0.72792142,0.24250363,0.01191360,0.28985873,0.00927554,0.48357877,0.14294403,0.12552789
-5.81390695,1.10127696,0.69966940,0.23121861,0.01163446,0.27745410,0.00845679,0.46063520,0.14004817,0.11928950
-5.80790395,1.05219364,0.67275647,0.22066053,0.01137679,0.26526232,0.00772030,0.44164504,0.13884456,0.11365149
-5.80190095,1.00964137,0.64797003,0.21105682,0.01115240,0.25359299,0.00706841,0.42694379,0.13946490,0.10870471
-5.79589795,0.97451368,0.62607422,0.20262389,0.01097235,0.24274728,0.00650250,0.41682488,0.14202737,0.10453111
-5.78989495,0.94761021,0.60778860,0.19556160,0.01084657,0.23300985,0.00602312,0.41153241,0.14663276,0.10120154
-5.78389195,0.92961383,0.59376732,0.19004774,0.01078346,0.22464108,0.00563001,0.41125323,0.15336026,0.09877368
-5.77788894,0.92106831,0.58457956,0.18623282,0.01078953,0.21786995,0.00532220,0.41610875,0.16226298,0.09728996
-5.77188594,0.92235749,0.58069153,0.18423533,0.01086913,0.21288764,0.00509801,0.42614687,0.17336360,0.09677577
-5.76588294,0.93368699,0.58245094,0.18413755,0.01102423,0.20984214,0.00495507,0.44133449,0.18665023,0.09723791
-5.75987994,0.95506923,0.59007416,0.18598216,0.01125428,0.20883400,0.00489031,0.46155128,0.20207274,0.09866352
-5.75387694,0.98631292,0.60363678,0.18976980,0.01155610,0.20991334,0.00489998,0.48658506,0.21954001,0.10101937
-5.74787394,1.02701761,0.62306775,0.19545771,0.01192399,0.21307823,0.00497962,0.51612951,0.23891815,0.10425191
-5.74187094,1.07657422,0.64814758,0.20295949,0.01234979,0.21827445,0.00512405,0.54978457,0.26003016,0.10828775
-5.73586793,1.13417194,0.67851077,0.21214619,0.01282311,0.22539680,0.00532741,0.58706000,0.28265710,0.11303496
-5.72986493,1.19881206,0.71365258,0.22284873,0.01333164,0.23429180,0.00558314,0.62738233,0.30654097,0.11838496
-5.72386193,1.26932851,0.75294016,0.23486152,0.01386150,0.24476183,0.00588406,0.67010539,0.33138945,0.12421510
-5.71785893,1.34441518,0.79562801,0.24794754,0.01439770,0.25657062,0.00622242,0.71452426,0.35688238,0.13039187
