energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.26420950,0.04060115,0.03060786,1.30841165,0.94131871,0.92855693,0.19011238,0.03062183,2.09838143
-5.99399700,3.30230276,0.03919121,0.03112473,1.32894617,0.94625761,0.93710003,0.19393194,0.03177616,2.12625970
-5.98799400,3.33230632,0.03771641,0.03156555,1.34703003,0.94817001,0.94327863,0.19733068,0.03294503,2.14918345
-5.98199100,3.35470896,0.03618687,0.03193031,1.36283370,0.94722889,0.94721629,0.20033694,0.03413058,2.16746819
-5.97598799,3.37017856,0.03461580,0.03222013,1.37658259,0.94367779,0.94908993,0.20298752,0.03533464,2.18153864
-5.96998499,3.37951894,0.03301886,0.03243701,1.38854009,0.93781788,0.94911904,0.20532485,0.03655840,2.19190076
-5.96398199,3.38362161,0.03141356,0.03258344,1.39898905,0.92999294,0.94755319,0.20739409,0.03780204,2.19911066
-5.95797899,3.38341525,0.02981854,0.03266215,1.40821280,0.92057302,0.94465858,0.20924010,0.03906446,2.20374217
-5.95197599,3.37981563,0.02825283,0.03267582,1.41647676,0.90993767,0.94070441,0.21090457,0.04034296,2.20635492
-5.94597299,3.37367889,0.02673514,0.03262684,1.42401171,0.89845961,0.93594972,0.21242343,0.04163314,2.20746468
-5.93996998,3.36576042,0.02528327,0.03251719,1.43099961,0.88648958,0.93063157,0.21382474,0.04292877,2.20751741
-5.93396698,3.35668153,0.02391343,0.03234831,1.43756278,0.87434308,0.92495485,0.21512706,0.04422186,2.20686861
-5.92796398,3.34690540,0.02263986,0.03212111,1.44375680,0.86228966,0.91908451,0.21633855,0.04550278,2.20576863
-5.92196098,3.33672321,0.02147436,0.03183604,1.44956767,0.85054504,0.91314025,0.21745663,0.04676051,2.20435470
-5.91595798,3.32625076,0.02042606,0.03149316,1.45491298,0.83926636,0.90719389,0.21846840,0.04798299,2.20264984
-5.90995498,3.31543522,0.01950125,0.03109235,1.45964705,0.82855065,0.90126943,0.21935166,0.04915754,2.20056826
-5.90395198,3.30407115,0.01870333,0.03063353,1.46356955,0.81843626,0.89534565,0.22007645,0.05027132,2.19792683
-5.89794897,3.29182431,0.01803282,0.03011681,1.46643699,0.80890714,0.88936077,0.22060711,0.05131186,2.19446160
-5.89194597,3.27826157,0.01748747,0.02954280,1.46797629,0.79989942,0.88321900,0.22090460,0.05226753,2.18984809
-5.88594297,3.26288482,0.01706251,0.02891276,1.46789972,0.79130987,0.87679834,0.22092899,0.05312808,2.18372421
-5.87993997,3.24516680,0.01675081,0.02822879,1.46592014,0.78300560,0.86995917,0.22064203,0.05388503,2.17571428
-5.87393697,3.22458664,0.01654322,0.02749393,1.46176593,0.77483444,0.86255318,0.22000956,0.05453208,2.16545265
-5.86793397,3.20066319,0.01642883,0.02671227,1.45519466,0.76663539,0.85443203,0.21900364,0.05506530,2.15260591
-5.86193097,3.17298443,0.01639537,0.02588893,1.44600505,0.75824861,0.84545545,0.21760435,0.05548338,2.13689220
-5.85592796,3.14123141,0.01642946,0.02503000,1.43404642,0.74952444,0.83549834,0.21580112,0.05578759,2.11809696
-5.84992496,3.10519593,0.01651700,0.02414245,1.41922564,0.74033107,0.82445667,0.21359354,0.05598171,2.09608437
-5.84392196,3.06479117,0.01664351,0.02323394,1.40151106,0.73056055,0.81225192,0.21099159,0.05607186,2.07080403
-5.83791896,3.02005517,0.01679441,0.02231265,1.38093363,0.72013296,0.79883408,0.20801535,0.05606615,2.04229292
-5.83191596,2.97114747,0.01695537,0.02138699,1.35758521,0.70899876,0.78418320,0.20469420,0.05597426,2.01067262
-5.82591296,2.91833934,0.01711259,0.02046540,1.33161435,0.69713923,0.76830948,0.20106550,0.05580699,1.97614244
-5.81990995,2.86199874,0.01725306,0.01955605,1.30322003,0.68456515,0.75125216,0.19717292,0.05557569,1.93896883
-5.81390695,2.80257094,0.01736489,0.01866661,1.27264358,0.67131413,0.73307739,0.19306453,0.05529175,1.89947194
-5.80790395,2.74055624,0.01743744,0.01780400,1.24015951,0.65744658,0.71387517,0.18879064,0.05496598,1.85801036
-5.80190095,2.67648619,0.01746165,0.01697424,1.20606560,0.64304094,0.69375576,0.18440159,0.05460815,1.81496463
-5.79589795,2.61089967,0.01743010,0.01618224,1.17067283,0.62818831,0.67284572,0.17994568,0.05422650,1.77072087
-5.78989495,2.54432022,0.01733725,0.01543170,1.13429570,0.61298704,0.65128379,0.17546716,0.05382735,1.72565510
-5.78389195,2.47723577,0.01717946,0.01472510,1.09724318,0.59753742,0.62921678,0.17100455,0.05341484,1.68011926
-5.77788894,2.41008188,0.01695509,0.01406362,1.05981084,0.58193703,0.60679578,0.16658929,0.05299077,1.63442956
-5.77188594,2.34322913,0.01666449,0.01344724,1.02227433,0.56627680,0.58417261,0.16224484,0.05255456,1.58885759
-5.76588294,2.27697536,0.01630991,0.01287479,0.98488440,0.55063811,0.56149678,0.15798612,0.05210337,1.54362471
-5.75987994,2.21154279,0.01589548,0.01234411,0.94786356,0.53509106,0.53891297,0.15381956,0.05163230,1.49889977
-5.75387694,2.14708011,0.01542695,0.01185222,0.91140441,0.51969389,0.51655894,0.14974352,0.05113476,1.45480008
-5.74787394,2.08366907,0.01491158,0.01139547,0.87566948,0.50449358,0.49456408,0.14574912,0.05060292,1.41139551
-5.74187094,2.02133507,0.01435780,0.01096980,0.84079249,0.48952755,0.47304832,0.14182148,0.05002819,1.36871529
-5.73586793,1.96006084,0.01377502,0.01057095,0.80688071,0.47482624,0.45212152,0.13794122,0.04940186,1.32675688
-5.72986493,1.89980232,0.01317322,0.01019463,0.77401829,0.46041627,0.43188313,0.13408621,0.04871567,1.28549642
-5.72386193,1.84050558,0.01256272,0.00983681,0.74227005,0.44632412,0.41242219,0.13023333,0.04796239,1.24489994
-5.71785893,1.78212367,0.01195375,0.00949382,0.71168571,0.43257978,0.39381743,0.12636035,0.04713638,1.20493458
-5.71185593,1.72463232,0.01135620,0.00916257,0.68230390,0.41922021,0.37613740,0.12244760,0.04623407,1.16557915
-5.70585293,1.66804347,0.01077929,0.00884064,0.65415602,0.40629226,0.35944078,0.11847957,0.04525431,1.12683331
