energy_ev,total_up,As_p_up,As_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.66436483,0.72917624,0.00000000,1.16241430,1.43543646,0.02350942,0.77006467
-5.99399700,2.59975286,0.71284047,0.00000000,1.12666525,1.40801015,0.02315404,0.74641831
-5.98799400,2.53296659,0.69621839,0.00000000,1.09030783,1.37951101,0.02272366,0.72208907
-5.98199100,2.46482479,0.67952768,0.00000000,1.05381017,1.35028833,0.02222533,0.69735713
-5.97598799,2.39612668,0.66297799,0.00000000,1.01762090,1.32068211,0.02166749,0.67249159
-5.96998499,2.32764171,0.64676706,0.00000000,0.98216084,1.29102004,0.02105967,0.64774726
-5.96398199,2.26010167,0.63107733,0.00000000,0.94781641,1.26161548,0.02041232,0.62336261
-5.95797899,2.19419520,0.61607322,0.00000000,0.91493462,1.23276635,0.01973646,0.59955873
-5.95197599,2.13056459,0.60189892,0.00000000,0.88381998,1.20475493,0.01904347,0.57653926
-5.94597299,2.06980455,0.58867694,0.00000000,0.85473296,1.17784816,0.01834483,0.55449112
-5.93996998,2.01246256,0.57650712,0.00000000,0.82789007,1.15229841,0.01765181,0.53358590
-5.93396698,1.95904030,0.56546631,0.00000000,0.80346522,1.12834438,0.01697532,0.51398161
-5.92796398,1.90999566,0.55560848,0.00000000,0.78159231,1.10621186,0.01632566,0.49582457
-5.92196098,1.86574469,0.54696533,0.00000000,0.76236847,1.08611418,0.01571238,0.47925118
-5.91595798,1.82666327,0.53954728,0.00000000,0.74585808,1.06825211,0.01514409,0.46438942
-5.90995498,1.79308778,0.53334474,0.00000000,0.73209693,1.05281305,0.01462839,0.45135972
-5.90395198,1.76531474,0.52832975,0.00000000,0.72109657,1.03996951,0.01417175,0.44027528
-5.89794897,1.74359924,0.52445785,0.00000000,0.71284850,1.02987682,0.01377946,0.43124156
-5.89194597,1.72815203,0.52167016,0.00000000,0.70732806,1.02267017,0.01345556,0.42435509
-5.88594297,1.71913562,0.51989564,0.00000000,0.70449795,1.01846112,0.01320284,0.41970151
-5.87993997,1.71665951,0.51905355,0.00000000,0.70431123,1.01733374,0.01302285,0.41735315
-5.87393697,1.72077500,0.51905597,0.00000000,0.70671388,1.01934065,0.01291587,0.41736611
-5.86793397,1.73146996,0.51981038,0.00000000,0.71164669,1.02449928,0.01288101,0.41977723
-5.86193097,1.74866415,0.52122226,0.00000000,0.71904678,1.03278839,0.01291623,0.42460116
-5.85592796,1.77220546,0.52319757,0.00000000,0.72884853,1.04414545,0.01301847,0.43182767
-5.84992496,1.80186764,0.52564504,0.00000000,0.74098417,1.05846477,0.01318371,0.44141963
-5.84392196,1.83734974,0.52847819,0.00000000,0.75538388,1.07559681,0.01340713,0.45331173
