energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.04757841,-2.04757845,0.01544413,-0.01544413,0.23530454,-0.23530454,0.30510836,-0.30510835,0.66039227,-0.66039228,0.02472607,-0.02472607,0.95029967,-0.95029969,0.00000000,-0.00000000
-5.99399700,2.08897705,-2.08897709,0.01632219,-0.01632219,0.23376900,-0.23376900,0.30268303,-0.30268302,0.68708125,-0.68708127,0.02485202,-0.02485202,0.97588875,-0.97588877,0.00000000,-0.00000000
-5.98799400,2.13524434,-2.13524438,0.01713247,-0.01713247,0.23372779,-0.23372780,0.30229734,-0.30229733,0.71624104,-0.71624106,0.02534673,-0.02534673,1.00225929,-1.00225931,0.00000000,-0.00000000
-5.98199100,2.18555213,-2.18555218,0.01785897,-0.01785897,0.23528481,-0.23528482,0.30380658,-0.30380657,0.74765076,-0.74765078,0.02615350,-0.02615350,1.02873488,-1.02873490,0.00000000,-0.00000000
-5.97598799,2.23892117,-2.23892121,0.01848688,-0.01848688,0.23850084,-0.23850084,0.30702866,-0.30702864,0.78101397,-0.78101400,0.02721501,-0.02721501,1.05461076,-1.05461078,0.00000000,-0.00000000
-5.96998499,2.29423857,-2.29423862,0.01900301,-0.01900301,0.24338953,-0.24338954,0.31174723,-0.31174722,0.81595995,-0.81595997,0.02847396,-0.02847396,1.07917144,-1.07917146,0.00000000,-0.00000000
-5.96398199,2.35028118,-2.35028123,0.01939631,-0.01939631,0.24991493,-0.24991494,0.31771597,-0.31771596,0.85204787,-0.85204789,0.02987352,-0.02987352,1.10170960,-1.10170962,0.00000000,-0.00000000
-5.95797899,2.40574439,-2.40574442,0.01965819,-0.01965819,0.25799061,-0.25799062,0.32466388,-0.32466387,0.88877404,-0.88877406,0.03135801,-0.03135801,1.12154566,-1.12154567,0.00000000,-0.00000000
-5.95197599,2.45927582,-2.45927586,0.01978287,-0.01978287,0.26748075,-0.26748076,0.33230176,-0.33230175,0.92558213,-0.92558215,0.03287344,-0.03287344,1.13804747,-1.13804748,0.00000000,-0.00000000
-5.94597299,2.50951311,-2.50951315,0.01976754,-0.01976754,0.27820311,-0.27820312,0.34032961,-0.34032960,0.96187642,-0.96187644,0.03436824,-0.03436824,1.15064936,-1.15064937,0.00000000,-0.00000000
