energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.60781642,0.00454308,0.32299284,0.83445256,0.42511814,1.07601906,0.55159454,0.00602251,1.25657696
-5.99399700,2.74049697,0.00463720,0.34048714,0.87175794,0.44652024,1.11896764,0.58354163,0.00649223,1.32060160
-5.98799400,2.88070995,0.00472201,0.35921654,0.91129242,0.46875458,1.16611311,0.61713568,0.00697492,1.38810033
-5.98199100,3.02767579,0.00479713,0.37904376,0.95295264,0.49178506,1.21697233,0.65212818,0.00746530,1.45878834
-5.97598799,3.18038809,0.00486228,0.39979359,0.99656656,0.51555433,1.27094374,0.68822097,0.00795742,1.53227964
-5.96998499,3.33761572,0.00491730,0.42125317,1.04189024,0.53998292,1.32731158,0.72506775,0.00844478,1.60808722
-5.96398199,3.49791576,0.00496210,0.44317397,1.08860800,0.56496975,1.38525499,0.76227805,0.00892040,1.68562806
-5.95797899,3.65965727,0.00499666,0.46527544,1.13633576,0.59039400,1.44386203,0.79942365,0.00937703,1.76423290
-5.95197599,3.82105557,0.00502107,0.48725038,1.18462786,0.61611831,1.50214823,0.83604734,0.00980732,1.84316061
-5.94597299,3.98021573,0.00503551,0.50877187,1.23298701,0.64199299,1.55907933,0.87167376,0.01020399,1.92161654
-5.93996998,4.13518372,0.00504025,0.52950156,1.28087698,0.66786125,1.61359740,0.90582200,0.01056007,1.99877422
-5.93396698,4.28400299,0.00503573,0.54909904,1.32773758,0.69356486,1.66464935,0.93801930,0.01086907,2.07379923
-5.92796398,4.42477393,0.00502254,0.56723194,1.37300121,0.71894997,1.71121693,0.96781543,0.01112525,2.14587429
-5.92196098,4.55571338,0.00500143,0.58358631,1.41611028,0.74387276,1.75234679,0.99479703,0.01132375,2.21422419
-5.91595798,4.67521138,0.00497337,0.59787691,1.45653455,0.76820434,1.78717954,1.01860116,0.01146075,2.27813937
-5.90995498,4.78188227,0.00493955,0.60985689,1.49378777,0.79183468,1.81497655,1.03892759,0.01153367,2.33699691
-5.90395198,4.87460775,0.00490134,0.61932641,1.52744259,0.81467520,1.83514321,1.05554906,0.01154118,2.39027790
-5.89794897,4.95256957,0.00486032,0.62613995,1.55714331,0.83665980,1.84724787,1.06831904,0.01148332,2.43758022
-5.89194597,5.01527048,0.00481822,0.63021176,1.58261559,0.85774423,1.85103536,1.07717675,0.01136148,2.47862625
-5.88594297,5.06254233,0.00477689,0.63151930,1.60367295,0.87790382,1.84643475,1.08214892,0.01117838,2.51326512
-5.87993997,5.09454112,0.00473826,0.63010448,1.62021968,0.89712974,1.83356078,1.08334847,0.01093800,2.54146951
-5.87393697,5.11172952,0.00470423,0.62607266,1.63225013,0.91542403,1.81270906,1.08096997,0.01064546,2.56332734
-5.86793397,5.11484785,0.00467663,0.61958928,1.63984462,0.93279370,1.78434518,1.07528220,0.01030689,2.57902907
-5.86193097,5.10487536,0.00465711,0.61087445,1.64316213,0.94924450,1.74908822,1.06661813,0.00992925,2.58885137
-5.85592796,5.08298410,0.00464706,0.60019559,1.64243052,0.96477479,1.70768943,1.05536279,0.00952014,2.59313837
-5.84992496,5.05048765,0.00464755,0.58785845,1.63793461,0.97936997,1.66100687,1.04193957,0.00908760,2.59228166
-5.84392196,5.00878792,0.00465920,0.57419691,1.63000307,0.99299804,1.60997731,1.02679567,0.00863992,2.58670038
-5.83791896,4.95932229,0.00468220,0.55956197,1.61899476,1.00560670,1.55558638,1.01038711,0.00818544,2.57682246
-5.83191596,4.90351408,0.00471617,0.54431034,1.60528523,1.01712225,1.49883826,0.99316420,0.00773233,2.56306829
-5.82591296,4.84272839,0.00476023,0.52879320,1.58925411,1.02745063,1.44072617,0.97555783,0.00728846,2.54583756
-5.81990995,4.77823519,0.00481293,0.51334538,1.57127399,1.03648042,1.38220463,0.95796721,0.00686124,2.52549989
-5.81390695,4.71118092,0.00487231,0.49827555,1.55170109,1.04408793,1.32416465,0.94074939,0.00645749,2.50238966
-5.80790395,4.64256932,0.00493594,0.48385766,1.53086818,1.05014393,1.26741254,0.92421101,0.00608333,2.47680488
-5.80190095,4.57325141,0.00500100,0.47032396,1.50907972,1.05452169,1.21265299,0.90860219,0.00574414,2.44900986
-5.79589795,4.50392419,0.00506434,0.45785973,1.48660926,1.05710576,1.16047676,0.89411295,0.00544449,2.41924103
-5.78989495,4.43513685,0.00512264,0.44659994,1.46369876,1.05780103,1.11135326,0.88087185,0.00518811,2.38771503
-5.78389195,4.36730315,0.00517252,0.43662779,1.44055965,1.05654114,1.06562769,0.86894686,0.00497792,2.35463812
-5.77788894,4.30071806,0.00521063,0.42797512,1.41737501,1.05329591,1.02352271,0.85834808,0.00481599,2.32021572
-5.77188594,4.23557688,0.00523383,0.42062455,1.39430258,1.04807701,0.98514400,0.84903219,0.00470359,2.28466108
-5.76588294,4.17199485,0.00523927,0.41451317,1.37147787,1.04094148,0.95048918,0.84090811,0.00464119,2.24820203
-5.75987994,4.11002549,0.00522453,0.40953749,1.34901710,1.03199273,0.91945935,0.83384366,0.00462853,2.21108498
-5.75387694,4.04967636,0.00518770,0.40555952,1.32701947,1.02137881,0.89187248,0.82767273,0.00466461,2.17357568
-5.74787394,3.99092102,0.00512746,0.40241347,1.30556849,1.00928793,0.86747803,0.82220274,0.00474772,2.13595632
-5.74187094,3.93370656,0.00504311,0.39991297,1.28473220,0.99594153,0.84597181,0.81722208,0.00487547,2.09851904
-5.73586793,3.87795664,0.00493463,0.39785835,1.26456231,0.98158502,0.82701069,0.81250717,0.00504481,2.06155617
-5.72986493,3.82357020,0.00480260,0.39604385,1.24509222,0.96647693,0.81022651,0.80782913,0.00525207,2.02534786
-5.72386193,3.77041669,0.00464828,0.39426445,1.22633438,0.95087688,0.79523874,0.80295978,0.00549292,1.99014779
-5.71785893,3.71832871,0.00447342,0.39232209,1.20827709,0.93503321,0.78166560,0.79767702,0.00576248,1.95616817
-5.71185593,3.66709347,0.00428031,0.39003117,1.19088128,0.91917093,0.76913359,0.79176941,0.00605529,1.92356501
-5.70585293,3.61644445,0.00407162,0.38722328,1.17407772,0.90348073,0.75728520,0.78504013,0.00636538,1.89242492
-5.69984992,3.56605451,0.00385030,0.38375090,1.15776492,0.88810970,0.74578501,0.77731023,0.00668635,1.86275445
-5.69384692,3.51553206,0.00361949,0.37949031,1.14180840,0.87315434,0.73432430,0.76842134,0.00701143,1.83447289
-5.68784392,3.46442094,0.00338242,0.37434345,1.12604135,0.85865624,0.72262429,0.75823787,0.00733359,1.80740936
-5.68184092,3.41220517,0.00314228,0.36823903,1.11026706,0.84460079,0.71043837,0.74664868,0.00764568,1.78130457
-5.67583792,3.35831855,0.00290215,0.36113274,1.09426325,0.83091890,0.69755344,0.73356845,0.00794052,1.75581741
-5.66983492,3.30215949,0.00266489,0.35300677,1.07778804,0.81749170,0.68379066,0.71893871,0.00821112,1.73053635
-5.66383192,3.24311031,0.00243312,0.34386875,1.06058769,0.80415798,0.66900575,0.70272848,0.00845082,1.70499506
-5.65782891,3.18056044,0.00220911,0.33375005,1.04240559,0.79072393,0.65308903,0.68493472,0.00865342,1.67869169
-5.65182591,3.11393229,0.00199478,0.32270381,1.02299219,0.77697463,0.63596520,0.66558233,0.00881341,1.65111072
-5.64582291,3.04270860,0.00179167,0.31080244,1.00211542,0.76268676,0.61759302,0.64472393,0.00892611,1.62174646
-5.63981991,2.96645952,0.00160094,0.29813509,0.97957102,0.74764171,0.59796478,0.62243922,0.00898780,1.59012682
-5.63381691,2.88486824,0.00142341,0.28480477,0.95519232,0.73163848,0.57710547,0.59883393,0.00899582,1.55583632
-5.62781391,2.79775335,0.00125951,0.27092546,0.92885897,0.71450574,0.55507174,0.57403837,0.00894869,1.51853697
-5.62181091,2.70508688,0.00110940,0.25661924,0.90050399,0.69611240,0.53195045,0.54820550,0.00884615,1.47798612
-5.61580790,2.60700675,0.00097295,0.24201333,0.87011904,0.67637609,0.50785667,0.52150860,0.00868914,1.43405035
-5.60980490,2.50382306,0.00084979,0.22723731,0.83775745,0.65526944,0.48293130,0.49413848,0.00847979,1.38671472
-5.60380190,2.39601753,0.00073938,0.21242045,0.80353482,0.63282357,0.45733799,0.46630033,0.00822136,1.33608708
-5.59779890,2.28423631,0.00064104,0.19768914,0.76762736,0.60912893,0.43125966,0.43821024,0.00791809,1.28239723
-5.59179590,2.16927625,0.00055398,0.18316462,0.73026780,0.58433351,0.40489441,0.41009146,0.00757510,1.22599102
-5.58579290,2.05206537,0.00047736,0.16896092,0.69173937,0.55863837,0.37845114,0.38217059,0.00719819,1.16732003
-5.57978989,1.93363856,0.00041030,0.15518301,0.65236784,0.53229120,0.35214486,0.35467371,0.00679366,1.10692714
-5.57378689,1.81510941,0.00035194,0.14192539,0.61251226,0.50557782,0.32619186,0.32782259,0.00636813,1.04542895
-5.56778389,1.69763975,0.00030141,0.12927083,0.57255472,0.47881255,0.30080498,0.30183115,0.00592831,0.98349593
-5.56178089,1.58240816,0.00025792,0.11728959,0.53288961,0.45232754,0.27618910,0.27690216,0.00548085,0.92183124
-5.55577789,1.47057872,0.00022072,0.10603894,0.49391289,0.42646191,0.25253705,0.25322447,0.00503211,0.86114920
-5.54977489,1.36327146,0.00018912,0.09556295,0.45601172,0.40155098,0.23002598,0.23097053,0.00458806,0.80215433
-5.54377189,1.26153549,0.00016250,0.08589275,0.41955495,0.37791614,0.20881455,0.21029457,0.00415408,0.74552186
-5.53776888,1.16632571,0.00014030,0.07704701,0.38488472,0.35585571,0.18904071,0.19133122,0.00373493,0.69188024
-5.53176588,1.07848384,0.00012205,0.06903276,0.35230946,0.33563715,0.17082040,0.17419466,0.00333464,0.64179643
-5.52576288,0.99872403,0.00010733,0.06184645,0.32209839,0.31749070,0.15424693,0.15897822,0.00295646,0.59576410
-5.51975988,0.92762339,0.00009577,0.05547523,0.29447764,0.30160479,0.13939124,0.14575439,0.00260287,0.55419505
-5.51375688,0.86561703,0.00008708,0.04989847,0.26962802,0.28812304,0.12630276,0.13457523,0.00227562,0.51741389
-5.50775388,0.81299765,0.00008099,0.04508931,0.24768417,0.27714291,0.11501087,0.12547291,0.00197572,0.48565567
-5.50175088,0.76991883,0.00007728,0.04101640,0.22873518,0.26871582,0.10552685,0.11846055,0.00170351,0.45906639
-5.49574787,0.73640175,0.00007575,0.03764562,0.21282634,0.26284866,0.09784620,0.11353309,0.00145878,0.43770591
-5.48974487,0.71234442,0.00007625,0.03494180,0.19996175,0.25950629,0.09195108,0.11066824,0.00124081,0.42155286
-5.48374187,0.69753294,0.00007863,0.03287047,0.19010777,0.25861504,0.08781300,0.10982741,0.00104845,0.41051111
-5.47773887,0.69165405,0.00008274,0.03139945,0.18319683,0.26006667,0.08539538,0.11095672,0.00088025,0.40441729
-5.47173587,0.69430852,0.00008845,0.03050043,0.17913162,0.26372293,0.08465610,0.11398795,0.00073454,0.40304905
-5.46573287,0.70502480,0.00009563,0.03015040,0.17778926,0.26942013,0.08554992,0.11883963,0.00060946,0.40613367
-5.45972986,0.72327284,0.00010414,0.03033300,0.17902552,0.27697392,0.08803079,0.12541816,0.00050311,0.41335657
-5.45372686,0.74847760,0.00011384,0.03103977,0.18267889,0.28618387,0.09205390,0.13361927,0.00041354,0.42436983
-5.44772386,0.78003247,0.00012455,0.03227121,0.18857435,0.29683797,0.09757773,0.14332968,0.00033885,0.43880020
-5.44172086,0.81731231,0.00013611,0.03403784,0.19652709,0.30871689,0.10456590,0.15442911,0.00027724,0.45625689
-5.43571786,0.85968640,0.00014832,0.03636114,0.20634584,0.32159809,0.11298902,0.16679282,0.00022698,0.47633884
-5.42971486,0.90653132,0.00016099,0.03927429,0.21783608,0.33525963,0.12282652,0.18029450,0.00018650,0.49864169
-5.42371186,0.95724364,0.00017390,0.04282300,0.23080312,0.34948390,0.13406840,0.19480964,0.00015437,0.52276437
-5.41770885,1.01125278,0.00018683,0.04706600,0.24505499,0.36406119,0.14671710,0.21021937,0.00012933,0.54831550
-5.41170585,1.06803356,0.00019955,0.05207560,0.26040527,0.37879303,0.16078921,0.22641447,0.00011025,0.57491950
-5.40570285,1.12711847,0.00021182,0.05793786,0.27667583,0.39349554,0.17631718,0.24329963,0.00009616,0.60222239
-5.39969985,1.18810931,0.00022342,0.06475269,0.29369940,0.40800248,0.19335082,0.26079753,0.00008623,0.62989746
-5.39369685,1.25068761,0.00023413,0.07263352,0.31132205,0.42216810,0.21195846,0.27885273,0.00007979,0.65765041
-5.38769385,1.31462335,0.00024376,0.08170663,0.32940539,0.43586970,0.23222761,0.29743482,0.00007624,0.68522399
