energy_ev,total_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.28733448,0.01395497,0.00000000,4.23272306,2.03090429,0.01252345,1.92521808,0.06070348,2.00032607
-5.99399700,6.29757123,0.01385855,0.00000000,4.23714408,2.02342277,0.01242853,1.90836740,0.06208977,2.02565841
-5.98799400,6.31438187,0.01380957,0.00000000,4.24639904,2.01804203,0.01236129,1.89380288,0.06357434,2.05269550
-5.98199100,6.33680578,0.01380504,0.00000000,4.26017522,2.01466406,0.01231981,1.88154912,0.06512619,2.08081957
-5.97598799,6.36361167,0.01384074,0.00000000,4.27801020,2.01310112,0.01230158,1.87154604,0.06671166,2.10932857
-5.96998499,6.39334879,0.01391139,0.00000000,4.29931795,2.01308893,0.01230364,1.86365893,0.06829531,2.13745786
-5.96398199,6.42440731,0.01401086,0.00000000,4.32341885,2.01430274,0.01232268,1.85769109,0.06984089,2.16440521
-5.95797899,6.45508477,0.01413233,0.00000000,4.34957192,2.01637525,0.01235518,1.85339779,0.07131235,2.18935842
-5.95197599,6.48365564,0.01426857,0.00000000,4.37700755,2.01891543,0.01239756,1.85050110,0.07267490,2.21152414
-5.94597299,6.50844047,0.01441215,0.00000000,4.40495903,2.02152718,0.01244635,1.84870433,0.07389596,2.23015697
-5.93996998,6.52787175,0.01455577,0.00000000,4.43269153,2.02382697,0.01249833,1.84770565,0.07494617,2.24458737
-5.93396698,6.54055334,0.01469241,0.00000000,4.45952704,2.02545946,0.01255065,1.84720999,0.07580016,2.25424727
-5.92796398,6.54531125,0.01481567,0.00000000,4.48486448,2.02611061,0.01260102,1.84693889,0.07643736,2.25869236
-5.92196098,6.54123355,0.01491989,0.00000000,4.50819417,2.02551757,0.01264777,1.84663790,0.07684251,2.25761989
-5.91595798,6.52769821,0.01500041,0.00000000,4.52910644,2.02347525,0.01268998,1.84608134,0.07700614,2.25088150
-5.90995498,6.50438787,0.01505366,0.00000000,4.54729418,2.01983925,0.01272750,1.84507455,0.07692477,2.23849033
-5.90395198,6.47129174,0.01507725,0.00000000,4.56254991,2.01452549,0.01276104,1.84345369,0.07660094,2.22062219
-5.89794897,6.42869469,0.01507009,0.00000000,4.57475763,2.00750664,0.01279208,1.84108348,0.07604314,2.19761088
-5.89194597,6.37715494,0.01503231,0.00000000,4.58388047,1.99880578,0.01282293,1.83785321,0.07526540,2.16993774
-5.88594297,6.31747162,0.01496528,0.00000000,4.58994506,1.98848808,0.01285656,1.83367160,0.07428686,2.13821604
-5.87993997,6.25064430,0.01487148,0.00000000,4.59302374,1.97665076,0.01289652,1.82846099,0.07313112,2.10317086
-5.87393697,6.17782646,0.01475438,0.00000000,4.59321572,1.96341245,0.01294683,1.82215131,0.07182544,2.06561537
-5.86793397,6.10027562,0.01461830,0.00000000,4.59062848,1.94890224,0.01301174,1.81467453,0.07039992,2.02642455
-5.86193097,6.01930219,0.01446820,0.00000000,4.58536047,1.93324940,0.01309562,1.80595984,0.06888654,1.98650737
-5.85592796,5.93621974,0.01430948,0.00000000,4.57748619,1.91657420,0.01320267,1.79593005,0.06731820,1.94677876
-5.84992496,5.85229863,0.01414774,0.00000000,4.56704443,1.89898035,0.01333680,1.78449946,0.06572778,1.90813231
-5.84392196,5.76872510,0.01398863,0.00000000,4.55403044,1.88054954,0.01350135,1.77157339,0.06414722,1.87141488
-5.83791896,5.68656739,0.01383759,0.00000000,4.53839243,1.86133826,0.01369897,1.75704940,0.06260666,1.83740408
-5.83191596,5.60674991,0.01369969,0.00000000,4.52003262,1.84137701,0.01393144,1.74082022,0.06113367,1.80678927
-5.82591296,5.53003633,0.01357948,0.00000000,4.49881272,1.82067194,0.01419952,1.72277811,0.05975267,1.78015682
-5.81990995,5.45702178,0.01348088,0.00000000,4.47456349,1.79920860,0.01450293,1.70282050,0.05848437,1.75797999
-5.81390695,5.38813375,0.01340704,0.00000000,4.44709788,1.77695775,0.01484026,1.68085656,0.05734548,1.74061349
-5.80790395,5.32364117,0.01336039,0.00000000,4.41622683,1.75388245,0.01520903,1.65681413,0.05634850,1.72829266
-5.80190095,5.26367043,0.01334252,0.00000000,4.38177676,1.72994628,0.01560572,1.63064682,0.05550170,1.72113711
-5.79589795,5.20822690,0.01335430,0.00000000,4.34360764,1.70512192,0.01602596,1.60234062,0.05480921,1.71915817
-5.78989495,5.15722028,0.01339590,0.00000000,4.30163050,1.67939946,0.01646464,1.57191960,0.05427132,1.72226946
-5.78389195,5.11049191,0.01346689,0.00000000,4.25582309,1.65279409,0.01691617,1.53945035,0.05388482,1.73030004
-5.77788894,5.06784224,0.01356632,0.00000000,4.20624266,1.62535234,0.01737467,1.50504477,0.05364347,1.74300895
-5.77188594,5.02905658,0.01369288,0.00000000,4.15303497,1.59715668,0.01783431,1.46886097,0.05353853,1.76010053
-5.76588294,4.99392758,0.01384501,0.00000000,4.09643865,1.56832786,0.01828952,1.43110208,0.05355935,1.78123952
-5.75987994,4.96227315,0.01402101,0.00000000,4.03678455,1.53902504,0.01873528,1.39201299,0.05369393,1.80606518
-5.75387694,4.93394881,0.01421914,0.00000000,3.97448984,1.50944339,0.01916740,1.35187507,0.05392954,1.83420374
-5.74787394,4.90885401,0.01443772,0.00000000,3.91004704,1.47980938,0.01958269,1.31099903,0.05425325,1.86527881
-5.74187094,4.88693215,0.01467520,0.00000000,3.84400838,1.45037391,0.01997919,1.26971634,0.05465241,1.89891925
-5.73586793,4.86816486,0.01493022,0.00000000,3.77696630,1.42140366,0.02035628,1.22836944,0.05511510,1.93476442
-5.72986493,4.85256112,0.01520157,0.00000000,3.70953101,1.39317106,0.02071474,1.18730136,0.05563041,1.97246701
-5.72386193,4.84014233,0.01548825,0.00000000,3.64230643,1.36594363,0.02105683,1.14684510,0.05618876,2.01169354
-5.71785893,4.83092480,0.01578936,0.00000000,3.57586571,1.33997300,0.02138618,1.10731342,0.05678200,2.05212296
-5.71185593,4.82490116,0.01610414,0.00000000,3.51072781,1.31548449,0.02170772,1.06898947,0.05740347,2.09344405
-5.70585293,4.82202225,0.01643185,0.00000000,3.44733643,1.29266772,0.02202753,1.03211876,0.05804805,2.13535198
-5.69984992,4.82218117,0.01677169,0.00000000,3.38604264,1.27166886,0.02235264,0.99690272,0.05871198,2.17754486
-5.69384692,4.82520092,0.01712278,0.00000000,3.32709211,1.25258485,0.02269080,0.96349440,0.05939279,2.21972083
-5.68784392,4.83082664,0.01748409,0.00000000,3.27061790,1.23546006,0.02305021,0.93199623,0.06008906,2.26157622
