energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,7.38993610,3.59656430,3.95677540,0.08355106,1.71844647,1.36522504,0.00000000
-5.99399700,7.56473376,3.74363357,4.06071189,0.08334406,1.74868560,1.38530383,0.00000000
-5.98799400,7.74576999,3.89698766,4.16494086,0.08323130,1.78199643,1.40504860,0.00000000
-5.98199100,7.92945736,4.05498309,4.26760431,0.08317219,1.81749119,1.42382564,0.00000000
-5.97598799,8.11213749,4.21583760,4.36685617,0.08312347,1.85425595,1.44101295,0.00000000
-5.96998499,8.29018582,4.37766675,4.46091797,0.08304120,1.89137389,1.45602396,0.00000000
-5.96398199,8.46011132,4.53852247,4.54813066,0.08288281,1.92794750,1.46832921,0.00000000
-5.95797899,8.61864810,4.69643311,4.62700068,0.08260892,1.96311887,1.47747500,0.00000000
-5.95197599,8.76283606,4.84944385,4.69623904,0.08218509,1.99608783,1.48309848,0.00000000
-5.94597299,8.89008879,4.99565691,4.75479219,0.08158318,2.02612740,1.48493859,0.00000000
-5.93996998,8.99824734,5.13327078,4.80186421,0.08078252,2.05259661,1.48284267,0.00000000
-5.93396698,9.08561914,5.26061773,4.83693005,0.07977067,2.07495035,1.47676882,0.00000000
-5.92796398,9.15100217,5.37619876,4.85974000,0.07854383,2.09274658,1.46678403,0.00000000
-5.92196098,9.19369460,5.47871546,4.87031578,0.07710693,2.10565072,1.45305867,0.00000000
-5.91595798,9.21349085,5.56709766,4.86893899,0.07547333,2.11343764,1.43585773,0.00000000
-5.90995498,9.21066516,5.64052645,4.85613281,0.07366424,2.11599126,1.41552939,0.00000000
-5.90395198,9.18594387,5.69845159,4.83263793,0.07170789,2.11330215,1.39249165,0.00000000
-5.89794897,9.14046811,5.74060269,4.79938369,0.06963841,2.10546316,1.36721768,0.00000000
-5.89194597,9.07574814,5.76699378,4.75745572,0.06749463,2.09266337,1.34022039,0.00000000
-5.88594297,8.99361113,5.77792065,4.70806101,0.06531870,2.07518061,1.31203700,0.00000000
-5.87993997,8.89614380,5.77395109,4.65249158,0.06315470,2.05337249,1.28321391,0.00000000
-5.87393697,8.78563165,5.75590791,4.59208775,0.06104719,2.02766640,1.25429255,0.00000000
-5.86793397,8.66449626,5.72484535,4.52820217,0.05903988,1.99854834,1.22579633,0.00000000
-5.86193097,8.53523233,5.68201953,4.46216537,0.05717432,1.96655093,1.19821915,0.00000000
-5.85592796,8.40034604,5.62885393,4.39525405,0.05548870,1.93224081,1.17201568,0.00000000
-5.84992496,8.26229648,5.56690121,4.32866272,0.05401691,1.89620546,1.14759348,0.00000000
