energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.77740809,0.58938464,0.28144709,0.00855030,0.40621766,1.94810424,1.01177409,0.00990296,0.94296187
-5.99399700,2.75304878,0.56831405,0.27103465,0.00789627,0.41869413,1.97765859,1.01456718,0.00986218,0.90649851
-5.98799400,2.73500799,0.54850158,0.26149632,0.00725938,0.43165923,2.01302368,1.01904537,0.00987106,0.87270212
-5.98199100,2.72309405,0.53011566,0.25288409,0.00664515,0.44496011,2.05379726,1.02501869,0.00992257,0.84173900
-5.97598799,2.71694916,0.51328316,0.24523014,0.00605836,0.45842275,2.09940981,1.03225301,0.01000957,0.81371121
-5.96998499,2.71606167,0.49808818,0.23854724,0.00550301,0.47185520,2.14914301,1.04047537,0.01012500,0.78865773
-5.96398199,2.71978532,0.48457253,0.23282995,0.00498227,0.48505193,2.20215447,1.04938182,0.01026203,0.76655778
-5.95797899,2.72736489,0.47273777,0.22805632,0.00449852,0.49779933,2.25750776,1.05864737,0.01041425,0.74733620
-5.95197599,2.73796727,0.46254883,0.22419016,0.00405340,0.50988198,2.31420665,1.06793777,0.01057581,0.73087065
-5.94597299,2.75071655,0.45393884,0.22118374,0.00364783,0.52108961,2.37123237,1.07692252,0.01074151,0.71700030
-5.93996998,2.76473177,0.44681507,0.21898082,0.00328209,0.53122438,2.42758214,1.08528859,0.01090692,0.70553568
-5.93396698,2.77916517,0.44106546,0.21751980,0.00295589,0.54010811,2.48230739,1.09275396,0.01106841,0.69626903
-5.92796398,2.79323930,0.43656561,0.21673689,0.00266846,0.54758920,2.53454979,1.09908043,0.01122325,0.68898476
-5.92196098,2.80628073,0.43318558,0.21656908,0.00241862,0.55354882,2.58357350,1.10408489,0.01136956,0.68346949
-5.91595798,2.81774887,0.43079631,0.21695681,0.00220490,0.55790606,2.62879176,1.10764829,0.01150631,0.67952093
-5.90995498,2.82725800,0.42927529,0.21784611,0.00202560,0.56062175,2.66978684,1.10972198,0.01163328,0.67695551
-5.90395198,2.83459147,0.42851106,0.21919021,0.00187888,0.56170083,2.70632192,1.11033068,0.01175100,0.67561396
-5.89794897,2.83970715,0.42840661,0.22095043,0.00176281,0.56119289,2.73834458,1.10957210,0.01186064,0.67536495
-5.89194597,2.84273384,0.42888117,0.22309635,0.00167543,0.55919107,2.76598157,1.10761296,0.01196392,0.67610644
-5.88594297,2.84395884,0.42987077,0.22560541,0.00161481,0.55582919,2.78952522,1.10468163,0.01206298,0.67776483
