energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.97905942,0.02688868,0.09460424,1.25571356,0.00000000,0.61668765,0.40148699,0.37386707,0.34274781
-5.99399700,2.03415843,0.02872202,0.09646976,1.29297217,0.00000000,0.63944419,0.40995445,0.39093811,0.35319519
-5.98799400,2.08519579,0.03047452,0.09816228,1.32771214,0.00000000,0.66123044,0.41765927,0.40820499,0.36265571
-5.98199100,2.13152219,0.03211799,0.09965722,1.35950851,0.00000000,0.68177349,0.42450600,0.42549601,0.37101296
-5.97598799,2.17251941,0.03362523,0.10093038,1.38795663,0.00000000,0.70080417,0.43041089,0.44262686,0.37816109
-5.96998499,2.20763044,0.03497089,0.10195928,1.41269170,0.00000000,0.71806837,0.43530858,0.45940893,0.38400915
-5.96398199,2.23639085,0.03613231,0.10272464,1.43340903,0.00000000,0.73333909,0.43915865,0.47565862,0.38848573
-5.95797899,2.25845968,0.03709035,0.10321180,1.44988413,0.00000000,0.74642836,0.44195178,0.49120729,0.39154326
-5.95197599,2.27364828,0.03783008,0.10341204,1.46199157,0.00000000,0.75719877,0.44371501,0.50591143,0.39316210
-5.94597299,2.28194538,0.03834140,0.10332384,1.46972148,0.00000000,0.76557374,0.44451588,0.51966238,0.39335393
-5.93996998,2.28353683,0.03861949,0.10295373,1.47319268,0.00000000,0.77154605,0.44446504,0.53239530,0.39216436
-5.93396698,2.27881865,0.03866516,0.10231698,1.47266155,0.00000000,0.77518413,0.44371721,0.54409663,0.38967443
-5.92796398,2.26840219,0.03848494,0.10143783,1.46852579,0.00000000,0.77663557,0.44247018,0.55480978,0.38600089
-5.92196098,2.25311078,0.03809105,0.10034934,1.46132273,0.00000000,0.77612765,0.44096187,0.56463855,0.38129516
-5.91595798,2.23396725,0.03750115,0.09909284,1.45172158,0.00000000,0.77396453,0.43946538,0.57374793,0.37574085
-5.90995498,2.21217258,0.03673792,0.09771696,1.44050993,0.00000000,0.77052121,0.43828225,0.58236215,0.36954994
-5.90395198,2.18907597,0.03582850,0.09627627,1.42857452,0.00000000,0.76623425,0.43773391,0.59075987,0.36295755
-5.89794897,2.16613734,0.03480379,0.09482963,1.41687687,0.00000000,0.76158951,0.43815178,0.59926657,0.35621571
-5.89194597,2.14488331,0.03369755,0.09343820,1.40642459,0.00000000,0.75710737,0.43986621,0.60824434,0.34958598
-5.88594297,2.12685848,0.03254554,0.09216337,1.39823929,0.00000000,0.75332589,0.44319475,0.61807930,0.34333155
-5.87993997,2.11357361,0.03138454,0.09106450,1.39332232,0.00000000,0.75078253,0.44843002,0.62916733,0.33770884
-5.87393697,2.10645276,0.03025130,0.09019670,1.39261961,0.00000000,0.74999518,0.45582790,0.64189833,0.33295909
-5.86793397,2.10678151,0.02918159,0.08960874,1.39698697,0.00000000,0.75144318,0.46559613,0.65663992,0.32930021
-5.86193097,2.11565826,0.02820921,0.08934105,1.40715728,0.00000000,0.75554915,0.47788416,0.67372107,0.32691924
-5.85592796,2.13395054,0.02736512,0.08942413,1.42371080,0.00000000,0.76266227,0.49277434,0.69341651,0.32596567
-5.84992496,2.16225825,0.02667662,0.08987720,1.44704996,0.00000000,0.77304391,0.51027506,0.71593239,0.32654602
-5.84392196,2.20088522,0.02616663,0.09070725,1.47737961,0.00000000,0.78685590,0.53031608,0.74139415,0.32871974
-5.83791896,2.24982038,0.02585316,0.09190860,1.51469358,0.00000000,0.80415225,0.55274626,0.76983683,0.33249678
-5.83191596,2.30872948,0.02574880,0.09346288,1.55876834,0.00000000,0.82487451,0.57733401,0.80119860,0.33783675
-5.82591296,2.37695761,0.02586054,0.09533944,1.60916394,0.00000000,0.84885105,0.60377035,0.83531765,0.34464989
-5.81990995,2.45354280,0.02618951,0.09749624,1.66523240,0.00000000,0.87580037,0.63167480,0.87193273,0.35279961
-5.81390695,2.53724016,0.02673109,0.09988118,1.72613337,0.00000000,0.90533825,0.66060373,0.91068748,0.36210677
-5.80790395,2.62655580,0.02747504,0.10243368,1.79085647,0.00000000,0.93698861,0.69006123,0.95113822,0.37235528
-5.80190095,2.71978928,0.02840582,0.10508666,1.85824963,0.00000000,0.97019755,0.71951189,0.99276517,0.38329894
-5.79589795,2.81508323,0.02950306,0.10776868,1.92705234,0.00000000,1.00435020,0.74839535,1.03498655,0.39466924
-5.78989495,2.91047801,0.03074213,0.11040618,1.99593253,0.00000000,1.03878955,0.77614196,1.07717507,0.40618384
-5.78389195,3.00396971,0.03209483,0.11292582,2.06352585,0.00000000,1.07283660,0.80218903,1.11867609,0.41755527
-5.77788894,3.09356900,0.03353021,0.11525673,2.12847570,0.00000000,1.10581107,0.82599714,1.15882683,0.42849970
-5.77188594,3.17735885,0.03501540,0.11733261,2.18947251,0.00000000,1.13705183,0.84706581,1.19697574,0.43874537
-5.76588294,3.25354880,0.03651652,0.11909361,2.24529084,0.00000000,1.16593614,0.86494807,1.23250133,0.44804025
-5.75987994,3.32052391,0.03799963,0.12048801,2.29482288,0.00000000,1.19189722,0.87926315,1.26482965,0.45615887
-5.75387694,3.37688655,0.03943163,0.12147342,2.33710704,0.00000000,1.21443924,0.88970704,1.29344987,0.46290789
-5.74787394,3.42148960,0.04078116,0.12201771,2.37135079,0.00000000,1.23314934,0.89606041,1.31792716,0.46813039
-5.74187094,3.45346019,0.04201944,0.12209950,2.39694696,0.00000000,1.24770632,0.89819356,1.33791273,0.47170860
-5.73586793,3.47221316,0.04312098,0.12170825,2.41348301,0.00000000,1.25788571,0.89606831,1.35315046,0.47356519
-5.72986493,3.47745441,0.04406424,0.12084395,2.42074344,0.00000000,1.26356124,0.88973687,1.36348020,0.47366303
-5.72386193,3.46917427,0.04483211,0.11951655,2.41870523,0.00000000,1.26470288,0.87933766,1.36883763,0.47200361
-5.71785893,3.44763180,0.04541225,0.11774493,2.40752729,0.00000000,1.26137159,0.86508844,1.36925102,0.46862417
-5.71185593,3.41333120,0.04579731,0.11555579,2.38753432,0.00000000,1.25371143,0.84727711,1.36483511,0.46359386
-5.70585293,3.36699170,0.04598494,0.11298228,2.35919641,0.00000000,1.24193930,0.82625061,1.35578256,0.45700912
-5.69984992,3.30951276,0.04597767,0.11006257,2.32310539,0.00000000,1.22633320,0.80240240,1.34235360,0.44898850
-5.69384692,3.24193625,0.04578263,0.10683837,2.27994924,0.00000000,1.20721935,0.77615921,1.32486434,0.43966736
-5.68784392,3.16540741,0.04541111,0.10335356,2.23048568,0.00000000,1.18495904,0.74796749,1.30367431,0.42919250
-5.68184092,3.08113637,0.04487803,0.09965284,2.17551629,0.00000000,1.15993564,0.71828020,1.27917396,0.41771710
-5.67583792,2.99036164,0.04420130,0.09578067,2.11586197,0.00000000,1.13254230,0.68754433,1.25177238,0.40539618
-5.66983492,2.89431687,0.04340108,0.09178030,2.05234074,0.00000000,1.10317092,0.65618971,1.22188584,0.39238265
-5.66383192,2.79420180,0.04249901,0.08769305,1.98574841,0.00000000,1.07220237,0.62461921,1.18992742,0.37882406
-5.65782891,2.69115809,0.04151747,0.08355791,1.91684259,0.00000000,1.03999851,0.59320086,1.15629800,0.36486024
-5.65182591,2.58625022,0.04047873,0.07941120,1.84633010,0.00000000,1.00689587,0.56226173,1.12137865,0.35062162
-5.64582291,2.48045160,0.03940428,0.07528661,1.77485796,0.00000000,0.97320096,0.53208373,1.08552461,0.33622830
-5.63981991,2.37463550,0.03831411,0.07121528,1.70300748,0.00000000,0.93918730,0.50290132,1.04906075,0.32178978
-5.63381691,2.26957044,0.03722616,0.06722610,1.63129137,0.00000000,0.90509375,0.47490093,1.01227838,0.30740522
-5.62781391,2.16591946,0.03615580,0.06334598,1.56015328,0.00000000,0.87112416,0.44822184,0.97543344,0.29316402
-5.62181091,2.06424245,0.03511551,0.05960034,1.48996942,0.00000000,0.83744805,0.42295852,0.93874574,0.27914674
-5.61580790,1.96500108,0.03411459,0.05601339,1.42105173,0.00000000,0.80420202,0.39916394,0.90239924,0.26542607
-5.60980490,1.86856552,0.03315915,0.05260854,1.35365217,0.00000000,0.77149189,0.37685376,0.86654324,0.25206784
-5.60380190,1.77522240,0.03225208,0.04940860,1.28796787,0.00000000,0.73939524,0.35601116,0.83129421,0.23913195
