energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.51441458,0.00320903,0.17785424,0.42243845,0.85971868,0.56554025,0.00000000
-5.99399700,1.52480094,0.00340038,0.16667974,0.41503864,0.86916194,0.57289527,0.00000000
-5.98799400,1.53744156,0.00359145,0.15618935,0.40868163,0.87979687,0.58090391,0.00000000
-5.98199100,1.55160631,0.00377916,0.14640393,0.40324718,0.89117766,0.58926477,0.00000000
-5.97598799,1.56644943,0.00396026,0.13732713,0.39858364,0.90279248,0.59763351,0.00000000
-5.96998499,1.58104764,0.00413145,0.12894811,0.39451757,0.91408573,0.60563742,0.00000000
-5.96398199,1.59444224,0.00428953,0.12124442,0.39086424,0.92448260,0.61289160,0.00000000
-5.95797899,1.60568330,0.00443151,0.11418508,0.38743868,0.93341488,0.61901622,0.00000000
-5.95197599,1.61387420,0.00455476,0.10773359,0.38406673,0.94034678,0.62365384,0.00000000
-5.94597299,1.61821433,0.00465716,0.10185090,0.38059572,0.94479968,0.62648626,0.00000000
-5.93996998,1.61803810,0.00473716,0.09649814,0.37690439,0.94637460,0.62725003,0.00000000
-5.93396698,1.61284857,0.00479396,0.09163907,0.37291168,0.94477137,0.62574993,0.00000000
-5.92796398,1.60234402,0.00482755,0.08724222,0.36858388,0.93980362,0.62186988,0.00000000
-5.92196098,1.58643643,0.00483877,0.08328257,0.36394005,0.93140884,0.61558061,0.00000000
-5.91595798,1.56526095,0.00482934,0.07974281,0.35905540,0.91965323,0.60694405,0.00000000
-5.90995498,1.53917604,0.00480187,0.07661417,0.35406236,0.90473094,0.59611396,0.00000000
-5.90395198,1.50875432,0.00475980,0.07389673,0.34914944,0.88695797,0.58333297,0.00000000
-5.89794897,1.47476474,0.00470731,0.07159932,0.34455780,0.86676103,0.56892616,0.00000000
-5.89194597,1.43814677,0.00464928,0.06973904,0.34057563,0.84466192,0.55329141,0.00000000
-5.88594297,1.39997811,0.00459111,0.06834033,0.33753043,0.82125836,0.53688711,0.00000000
-5.87993997,1.36143725,0.00453857,0.06743379,0.33577960,0.79720203,0.52021756,0.00000000
-5.87393697,1.32376274,0.00449765,0.06705476,0.33569945,0.77317511,0.50381692,0.00000000
-5.86793397,1.28821075,0.00447433,0.06724173,0.33767304,0.74986626,0.48823210,0.00000000
-5.86193097,1.25601300,0.00447443,0.06803458,0.34207725,0.72794717,0.47400555,0.00000000
-5.85592796,1.22833645,0.00450340,0.06947292,0.34926947,0.70805071,0.46165827,0.00000000
-5.84992496,1.20624651,0.00456609,0.07159435,0.35957423,0.69075151,0.45167384,0.00000000
-5.84392196,1.19067488,0.00466661,0.07443293,0.37327038,0.67654968,0.44448397,0.00000000
-5.83791896,1.18239310,0.00480815,0.07801765,0.39057898,0.66585828,0.44045585,0.00000000
-5.83191596,1.18199253,0.00499285,0.08237125,0.41165256,0.65899460,0.43988178,0.00000000
-5.82591296,1.18987101,0.00522166,0.08750913,0.43656590,0.65617563,0.44297124,0.00000000
-5.81990995,1.20622643,0.00549428,0.09343848,0.46530881,0.65751742,0.44984554,0.00000000
-5.81390695,1.23105676,0.00580913,0.10015769,0.49778112,0.66303799,0.46053514,0.00000000
-5.80790395,1.26416630,0.00616332,0.10765591,0.53379019,0.67266350,0.47497950,0.00000000
-5.80190095,1.30517733,0.00655271,0.11591279,0.57305100,0.68623692,0.49302945,0.00000000
-5.79589795,1.35354627,0.00697198,0.12489838,0.61518909,0.70352873,0.51445183,0.00000000
-5.78989495,1.40858357,0.00741475,0.13457319,0.65974614,0.72424871,0.53893625,0.00000000
-5.78389195,1.46947611,0.00787376,0.14488827,0.70618832,0.74805843,0.56610350,0.00000000
-5.77788894,1.53531126,0.00834102,0.15578544,0.75391706,0.77458348,0.59551562,0.00000000
-5.77188594,1.60510156,0.00880803,0.16719748,0.80228205,0.80342510,0.62668697,0.00000000
-5.76588294,1.67780910,0.00926607,0.17904844,0.85059601,0.83417062,0.65909612,0.00000000
-5.75987994,1.75236874,0.00970638,0.19125387,0.89815083,0.86640230,0.69219823,0.00000000
-5.75387694,1.82770972,0.01012043,0.20372121,0.94423457,0.89970451,0.72543741,0.00000000
-5.74787394,1.90277487,0.01050015,0.21635011,0.98814854,0.93366898,0.75825885,0.00000000
-5.74187094,1.97653733,0.01083818,0.22903291,1.02922416,0.96789822,0.79012038,0.00000000
-5.73586793,2.04801439,0.01112804,0.24165521,1.06683876,1.00200736,0.82050314,0.00000000
-5.72986493,2.11627866,0.01136427,0.25409656,1.10042982,1.03562458,0.84892107,0.00000000
-5.72386193,2.18046656,0.01154263,0.26623148,1.12950730,1.06839048,0.87492923,0.00000000
