energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.95833317,-1.00352431,0.01126760,-0.00093312,0.35754338,-0.03140148,0.01739253,-0.00752070,0.00000000,-0.00000000,1.26303691,-0.33105364,1.22394415,-0.26758357,0.01864201,-0.01356472,1.31840305,-0.59604986
-5.99399700,3.03794987,-0.99229952,0.01238671,-0.00086339,0.35940841,-0.03263601,0.01810219,-0.00749267,0.00000000,-0.00000000,1.31217969,-0.32984678,1.23908925,-0.26637311,0.01945336,-0.01303029,1.36754157,-0.58790321
-5.98799400,3.10468171,-0.98015157,0.01356397,-0.00081591,0.35885524,-0.03410629,0.01875217,-0.00745025,0.00000000,-0.00000000,1.35565110,-0.32810343,1.24756698,-0.26532623,0.02025669,-0.01246854,1.41212623,-0.57885066
-5.98199100,3.15735810,-0.96773882,0.01479711,-0.00079164,0.35590157,-0.03585563,0.01933070,-0.00739695,0.00000000,-0.00000000,1.39269852,-0.32611508,1.24915659,-0.26460884,0.02104320,-0.01189266,1.45139405,-0.56926301
-5.97598799,3.19508829,-0.95582268,0.01608324,-0.00079197,0.35061571,-0.03792864,0.01982738,-0.00733735,0.00000000,-0.00000000,1.42268980,-0.32422235,1.24377751,-0.26440699,0.02180483,-0.01131643,1.48468428,-0.55957777
-5.96998499,3.21729218,-0.94525427,0.01741888,-0.00081879,0.34311405,-0.04037002,0.02023353,-0.00727701,0.00000000,-0.00000000,1.44513461,-0.32281115,1.23149281,-0.26492226,0.02253454,-0.01075390,1.51146121,-0.55029249
-5.96398199,3.22372036,-0.93695725,0.01879988,-0.00087459,0.33355688,-0.04322302,0.02054249,-0.00722240,0.00000000,-0.00000000,1.45970090,-0.32230726,1.21250793,-0.26636592,0.02322651,-0.01021906,1.53133266,-0.54195594
-5.95797899,3.21446240,-0.93190723,0.02022135,-0.00096245,0.32214284,-0.04652791,0.02074994,-0.00718075,0.00000000,-0.00000000,1.46622586,-0.32316956,1.18716446,-0.26895213,0.02387630,-0.00972557,1.54406295,-0.53515717
-5.95197599,3.18994285,-0.93110846,0.02167768,-0.00108609,0.30910227,-0.05032015,0.02085398,-0.00715993,0.00000000,-0.00000000,1.46472086,-0.32588193,1.15592952,-0.27289053,0.02448090,-0.00928651,1.54958001,-0.53051293
-5.94597299,3.15090517,-0.93556819,0.02316240,-0.00124985,0.29468980,-0.05462874,0.02085521,-0.00716822,0.00000000,-0.00000000,1.45536994,-0.33094375,1.11938093,-0.27837834,0.02503877,-0.00891409,1.54797592,-0.52865345
-5.93996998,3.09838425,-0.94626960,0.02466823,-0.00145869,0.27917640,-0.05947438,0.02075669,-0.00721412,0.00000000,-0.00000000,1.43852214,-0.33885939,1.07818914,-0.28559234,0.02554978,-0.00861949,1.53950119,-0.53020727
-5.93396698,3.03366892,-0.96414382,0.02618700,-0.00171812,0.26284138,-0.06486790,0.02056381,-0.00730609,0.00000000,-0.00000000,1.41467789,-0.35012643,1.03309643,-0.29468106,0.02601499,-0.00841265,1.52455288,-0.53578506
-5.92796398,2.95825620,-0.99004183,0.02770967,-0.00203411,0.24596460,-0.07080876,0.02028404,-0.00745234,0.00000000,-0.00000000,1.38447030,-0.36522312,0.98489455,-0.30575751,0.02643655,-0.00830212,1.50365725,-0.54596309
-5.92196098,2.87379946,-1.02470700,0.02922633,-0.00241300,0.22881919,-0.07728384,0.01992660,-0.00766055,0.00000000,-0.00000000,1.34864213,-0.38459493,0.93440158,-0.31889265,0.02681736,-0.00829493,1.47744797,-0.56126655
-5.91595798,2.78205291,-1.06874878,0.03072626,-0.00286133,0.21166510,-0.08426653,0.01950214,-0.00793762,0.00000000,-0.00000000,1.30801973,-0.40864062,0.88243910,-0.33411006,0.02716080,-0.00839653,1.44664075,-0.58215300
-5.90995498,2.68481493,-1.12261844,0.03219794,-0.00338566,0.19474365,-0.09171622,0.01902225,-0.00828943,0.00000000,-0.00000000,1.26348503,-0.43769795,0.82981042,-0.35138188,0.02747043,-0.00861069,1.41200596,-0.60899652
-5.90395198,2.58387278,-1.18658723,0.03362921,-0.00399239,0.17827325,-0.09957820,0.01849905,-0.00872059,0.00000000,-0.00000000,1.21594701,-0.47202941,0.77728089,-0.37062630,0.02774964,-0.00893945,1.37434031,-0.64207263
