energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,5.86035193,0.36681314,0.26993291,0.00283099,2.06312161,0.11070853,1.12970449,2.19442241,2.32866235
-5.99399700,5.85935782,0.35550566,0.27438411,0.00259343,2.08558586,0.10831101,1.10985357,2.22424235,2.35745537
-5.98799400,5.84545823,0.34589905,0.27959295,0.00236399,2.09941998,0.10577474,1.09182355,2.24488227,2.37581558
-5.98199100,5.81845802,0.33795233,0.28554796,0.00214466,2.10423494,0.10316483,1.07582895,2.25578106,2.38325287
-5.97598799,5.77827966,0.33160110,0.29220836,0.00193713,2.09977540,0.10054225,1.06201836,2.25653406,2.37944726
-5.96998499,5.72496329,0.32675464,0.29950149,0.00174278,2.08593468,0.09796169,1.05045959,2.24691195,2.36426582
-5.96398199,5.65866819,0.32329448,0.30732165,0.00156267,2.06276555,0.09546970,1.04112965,2.22687470,2.33777440
-5.95797899,5.57967534,0.32107465,0.31553073,0.00139760,2.03048631,0.09310348,1.03391005,2.19657959,2.30024347
-5.95197599,5.48839064,0.31992359,0.32396057,0.00124806,1.98948157,0.09089021,1.02858789,2.15638300,2.25214737
-5.94597299,5.38534828,0.31964756,0.33241711,0.00111433,1.94029759,0.08884697,1.02486254,2.10683552,2.19415701
-5.93996998,5.27121375,0.32003570,0.34068616,0.00099648,1.88363212,0.08698122,1.02235763,2.04867046,2.12712596
-5.93396698,5.14678574,0.32086623,0.34854052,0.00089440,1.82031919,0.08529183,1.02063779,1.98278632,2.05207046
-5.92796398,5.01299640,0.32191359,0.35574828,0.00080784,1.75130920,0.08377056,1.01922910,1.91022367,1.97014407
-5.92196098,4.87090927,0.32295632,0.36208168,0.00073646,1.67764528,0.08240379,1.01764220,1.83213745,1.88260792
-5.91595798,4.72171419,0.32378496,0.36732635,0.00067986,1.60043673,0.08117458,1.01539673,1.74976588,1.79079781
-5.90995498,4.56671886,0.32420994,0.37129029,0.00063757,1.52083052,0.08006471,1.01204578,1.66439703,1.69608934
-5.90395198,4.40733630,0.32406870,0.37381210,0.00060915,1.43998210,0.07905671,1.00719892,1.57733453,1.59986249
-5.89794897,4.24506822,0.32323186,0.37476827,0.00059412,1.35902638,0.07813569,1.00054250,1.48986354,1.50346702
-5.89194597,4.08148390,0.32160806,0.37407875,0.00059204,1.27905013,0.07729087,0.99185618,1.40321829,1.40818977
-5.88594297,3.91819483,0.31914711,0.37171090,0.00060247,1.20106649,0.07651676,0.98102464,1.31855216,1.31522509
-5.87993997,3.75682535,0.31584141,0.36768129,0.00062498,1.12599253,0.07581380,0.96804387,1.23691136,1.22564920
-5.87393697,3.59897985,0.31172543,0.36205545,0.00065914,1.05463038,0.07518856,0.95302175,1.15921271,1.14039923
-5.86793397,3.44620738,0.30687336,0.35494552,0.00070452,0.98765241,0.07465342,0.93617286,1.08622631,1.06025738
-5.86193097,3.29996478,0.30139498,0.34650584,0.00076062,0.92559075,0.07422578,0.91780781,1.01856310,0.98584040
-5.85592796,3.16157957,0.29542999,0.33692690,0.00082693,0.86883126,0.07392677,0.89831780,0.95666776,0.91759442
-5.84992496,3.03221422,0.28914115,0.32642782,0.00090282,0.81761181,0.07377970,0.87815523,0.90081660,0.85579508
-5.84392196,2.91283326,0.28270650,0.31524777,0.00098758,0.77202493,0.07380820,0.85781147,0.85112041,0.80055240
-5.83791896,2.80417494,0.27631114,0.30363684,0.00108037,0.73202423,0.07403420,0.83779296,0.80753186,0.75182020
-5.83191596,2.70672900,0.27013899,0.29184679,0.00118022,0.69743460,0.07447597,0.81859716,0.76985703,0.70940928
-5.82591296,2.62072202,0.26436484,0.28012207,0.00128601,0.66796534,0.07514618,0.80068929,0.73777051,0.67300394
-5.81990995,2.54611128,0.25914730,0.26869166,0.00139645,0.64322607,0.07605024,0.78448146,0.71083346,0.64218100
-5.81390695,2.48258828,0.25462277,0.25776192,0.00151014,0.62274462,0.07718497,0.77031494,0.68851408,0.61643071
-5.80790395,2.42959192,0.25090080,0.24751094,0.00162551,0.60598653,0.07853764,0.75844662,0.67020968,0.59517887
