energy_ev,total_up,Ag_p_up,Ag_d_up,B_p_up,B_d_up,Se_s_up,Se_p_up
-6.00000000,9.78301600,2.73395575,7.94132793,0.54634734,0.00000000,0.00931829,0.70838583
-5.99399700,9.92663949,2.77720285,8.06477626,0.54912097,0.00000000,0.00941104,0.71213596
-5.98799400,10.05171896,2.81070970,8.17553836,0.54969356,0.00000000,0.00949656,0.71438426
-5.98199100,10.15563165,2.83383060,8.27142179,0.54798902,0.00000000,0.00957127,0.71495121
-5.97598799,10.23616664,2.84612349,8.35052197,0.54397528,0.00000000,0.00963172,0.71368986
-5.96998499,10.29161003,2.84737009,8.41129353,0.53766677,0.00000000,0.00967466,0.71049296
-5.96398199,10.32081326,2.83758911,8.45260927,0.52912543,0.00000000,0.00969716,0.70529881
-5.95797899,10.32324127,2.81704160,8.47380383,0.51846013,0.00000000,0.00969664,0.69809552
-5.95197599,10.29899790,2.78622787,8.47470004,0.50582452,0.00000000,0.00967099,0.68892339
-5.94597299,10.24882721,2.74587581,8.45561652,0.49141314,0.00000000,0.00961858,0.67787540
-5.93996998,10.17409034,2.69692076,8.41735620,0.47545621,0.00000000,0.00953834,0.66509552
-5.93396698,10.07671873,2.64047759,8.36117609,0.45821296,0.00000000,0.00942975,0.65077507
-5.92796398,9.95914559,2.57780597,8.28873967,0.43996400,0.00000000,0.00929288,0.63514712
-5.92196098,9.82421851,2.51027018,8.20205380,0.42100295,0.00000000,0.00912836,0.61847920
-5.91595798,9.67509683,2.43929508,8.10339295,0.40162760,0.00000000,0.00893736,0.60106464
-5.90995498,9.51513811,2.36631991,7.99521395,0.38213112,0.00000000,0.00872155,0.58321272
-5.90395198,9.34777849,2.29275205,7.88006482,0.36279353,0.00000000,0.00848306,0.56523826
-5.89794897,9.17641178,2.21992243,7.76049146,0.34387385,0.00000000,0.00822438,0.54745098
-5.89194597,9.00427246,2.14904444,7.63894624,0.32560320,0.00000000,0.00794835,0.53014495
-5.88594297,8.83432710,2.08117814,7.51770201,0.30817919,0.00000000,0.00765802,0.51358879
-5.87993997,8.66917866,2.01720089,7.39877518,0.29176156,0.00000000,0.00735661,0.49801684
-5.87393697,8.51098739,1.95778569,7.28386093,0.27646955,0.00000000,0.00704737,0.48362170
-5.86793397,8.36141130,1.90338778,7.17428302,0.26238067,0.00000000,0.00673358,0.47054848
-5.86193097,8.22156823,1.85423990,7.07096013,0.24953116,0.00000000,0.00641838,0.45889087
-5.85592796,8.09202091,1.81035617,6.97438998,0.23791787,0.00000000,0.00610476,0.44868928
-5.84992496,7.97278496,1.77154399,6.88465153,0.22750145,0.00000000,0.00579546,0.43993096
-5.84392196,7.86335924,1.73742339,6.80142507,0.21821071,0.00000000,0.00549294,0.43255221
-5.83791896,7.76277671,1.70745257,6.72402886,0.20994790,0.00000000,0.00519932,0.42644239
-5.83191596,7.66967333,1.68095845,6.65147076,0.20259454,0.00000000,0.00491633,0.42144967
-5.82591296,7.58237161,1.65717076,6.58251202,0.19601767,0.00000000,0.00464537,0.41738810
-5.81990995,7.49897496,1.63525805,6.51574064,0.19007622,0.00000000,0.00438743,0.41404589
