energy_ev,total_up,Cd_p_up,Cd_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.19609138,0.91238375,0.19630440,0.15084363,0.00207480,0.15258370,0.51885016
-5.99399700,1.18891329,0.89340067,0.19599421,0.14280647,0.00206613,0.15579931,0.51994181
-5.98799400,1.18603572,0.87791334,0.19632615,0.13581260,0.00206262,0.15933280,0.52246284
-5.98199100,1.18680277,0.86563065,0.19716590,0.12993420,0.00206342,0.16305825,0.52608147
-5.97598799,1.19055507,0.85626114,0.19837702,0.12524766,0.00206769,0.16684729,0.53046253
-5.96998499,1.19665866,0.84952894,0.19982618,0.12183429,0.00207459,0.17057407,0.53528062
-5.96398199,1.20453187,0.84518842,0.20138816,0.11978069,0.00208335,0.17412003,0.54023267
-5.95797899,1.21366908,0.84303689,0.20295035,0.11917854,0.00209328,0.17737833,0.54504922
-5.95197599,1.22366007,0.84292470,0.20441650,0.12012401,0.00210384,0.18025756,0.54950400
-5.94597299,1.23420406,0.84476211,0.20570965,0.12271627,0.00211461,0.18268478,0.55342122
-5.93996998,1.24511749,0.84852229,0.20677401,0.12705549,0.00212534,0.18460748,0.55668026
-5.93396698,1.25633515,0.85424025,0.20757575,0.13323992,0.00213591,0.18599464,0.55921746
-5.92796398,1.26790419,0.86200727,0.20810260,0.14136219,0.00214638,0.18683662,0.56102501
-5.92196098,1.27997150,0.87196113,0.20836236,0.15150492,0.00215693,0.18714402,0.56214673
-5.91595798,1.29276468,0.88427230,0.20838041,0.16373557,0.00216786,0.18694562,0.56267123
-5.90995498,1.30656772,0.89912664,0.20819624,0.17810082,0.00217950,0.18628541,0.56272263
-5.90395198,1.32169256,0.91670553,0.20785934,0.19462064,0.00219227,0.18521896,0.56244945
-5.89794897,1.33844809,0.93716434,0.20742467,0.21328227,0.00220652,0.18380941,0.56201221
-5.89194597,1.35710833,0.96061047,0.20694785,0.23403450,0.00222260,0.18212317,0.56157051
-5.88594297,1.37788173,0.98708225,0.20648055,0.25678250,0.00224071,0.18022572,0.56127041
-5.87993997,1.40088330,1.01653003,0.20606618,0.28138368,0.00226094,0.17817767,0.56123264
-5.87393697,1.42611143,1.04880065,0.20573629,0.30764477,0.00228323,0.17603136,0.56154260
-5.86793397,1.45343088,1.08362650,0.20550778,0.33532056,0.00230730,0.17382813,0.56224255
-5.86193097,1.48256321,1.12062004,0.20538112,0.36411457,0.00233271,0.17159646,0.56332659
