energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.90096431,0.89304528,0.00000000,1.16813306,1.50188067,0.01377247,0.32533644
-5.99399700,3.00032594,0.91874760,0.00000000,1.19353897,1.55921593,0.01430227,0.34276697
-5.98799400,3.10230357,0.94555704,0.00000000,1.22021390,1.61773807,0.01482881,0.36036813
-5.98199100,3.20530374,0.97298741,0.00000000,1.24765904,1.67667441,0.01534461,0.37782196
-5.97598799,3.30759641,1.00051186,0.00000000,1.27532024,1.73518001,0.01584134,0.39479454
-5.96998499,3.40735651,1.02757587,0.00000000,1.30260250,1.79235675,0.01631005,0.41094479
-5.96398199,3.50271215,1.05361203,0.00000000,1.32888711,1.84727582,0.01674142,0.42593398
-5.95797899,3.59179773,1.07805636,0.00000000,1.35355072,1.89900323,0.01712610,0.43943586
-5.95197599,3.67281036,1.10036539,0.00000000,1.37598576,1.94662715,0.01745494,0.45114684
-5.94597299,3.74406715,1.12003349,0.00000000,1.39562145,1.98928634,0.01771940,0.46079583
-5.93996998,3.80406123,1.13660960,0.00000000,1.41194432,2.02619828,0.01791185,0.46815339
-5.93396698,3.85151385,1.14971274,0.00000000,1.42451748,2.05668599,0.01802584,0.47303971
-5.92796398,3.88542025,1.15904546,0.00000000,1.43299761,2.08020214,0.01805637,0.47533095
-5.92196098,3.90508723,1.16440462,0.00000000,1.43714892,2.09634951,0.01800013,0.47496392
-5.91595798,3.91016037,1.16568898,0.00000000,1.43685322,2.10489681,0.01785561,0.47193850
-5.90995498,3.90063982,1.16290313,0.00000000,1.43211579,2.10578901,0.01762322,0.46631799
-5.90395198,3.87688360,1.15615756,0.00000000,1.42306638,2.09915179,0.01730527,0.45822720
-5.89794897,3.83959836,1.14566483,0.00000000,1.40995557,2.08528976,0.01690594,0.44784845
-5.89194597,3.78981784,1.13173201,0.00000000,1.39314637,2.06467873,0.01643114,0.43541560
-5.88594297,3.72887014,1.11474962,0.00000000,1.37310149,2.03795203,0.01588834,0.42120653
-5.87993997,3.65833520,1.09517775,0.00000000,1.35036690,2.00588186,0.01528633,0.40553422
-5.87393697,3.57999436,1.07352982,0.00000000,1.32555227,1.96935625,0.01463493,0.38873713
-5.86793397,3.49577437,1.05035475,0.00000000,1.29930940,1.92935263,0.01394473,0.37116898
-5.86193097,3.40768813,1.02621848,0.00000000,1.27230928,1.88690934,0.01322675,0.35318864
-5.85592796,3.31777465,1.00168535,0.00000000,1.24521911,1.84309590,0.01249211,0.33515038
-5.84992496,3.22804070,0.97730040,0.00000000,1.21867993,1.79898350,0.01175180,0.31739494
-5.84392196,3.14040614,0.95357308,0.00000000,1.19328605,1.75561661,0.01101631,0.30024160
-5.83791896,3.05665502,0.93096305,0.00000000,1.16956681,1.71398670,0.01029550,0.28398159
-5.83191596,2.97839371,0.90986843,0.00000000,1.14797149,1.67500896,0.00959830,0.26887292
-5.82591296,2.90701738,0.89061704,0.00000000,1.12885771,1.63950251,0.00893259,0.25513665
-5.81990995,2.84368514,0.87346041,0.00000000,1.11248375,1.60817466,0.00830511,0.24295468
