energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.26100416,-0.55532602,0.44347277,-0.27876414,0.00000000,-0.00000000,0.72450739,-0.29853026,0.34142150,-0.14335761,0.01789478,-0.00118118,0.28332895,-0.07084864
-5.99399700,1.32881936,-0.52612502,0.45449117,-0.25982349,0.00000000,-0.00000000,0.75539304,-0.28590116,0.35075532,-0.13162497,0.01938484,-0.00106232,0.31148904,-0.07092842
-5.98799400,1.40376239,-0.50085302,0.46726677,-0.24250234,0.00000000,-0.00000000,0.78905110,-0.27521705,0.36164232,-0.12070904,0.02104174,-0.00095006,0.34181971,-0.07179483
-5.98199100,1.48595832,-0.47967703,0.48199238,-0.22693032,0.00000000,-0.00000000,0.82546562,-0.26659992,0.37428137,-0.11067802,0.02287136,-0.00084481,0.37419459,-0.07343372
-5.97598799,1.57542889,-0.46267363,0.49883257,-0.21319268,0.00000000,-0.00000000,0.86458398,-0.26011896,0.38884583,-0.10157861,0.02487654,-0.00074694,0.40845902,-0.07581837
-5.96998499,1.67208513,-0.44982544,0.51791740,-0.20132866,0.00000000,-0.00000000,0.90631710,-0.25578828,0.40547691,-0.09343542,0.02705669,-0.00065668,0.44443256,-0.07890890
-5.96398199,1.77572299,-0.44102125,0.53933721,-0.19133151,0.00000000,-0.00000000,0.95054047,-0.25356669,0.42427824,-0.08625128,0.02940746,-0.00057420,0.48191192,-0.08265237
-5.95797899,1.88602240,-0.43605971,0.56313901,-0.18315030,0.00000000,-0.00000000,0.99709600,-0.25335974,0.44531188,-0.08000829,0.03192059,-0.00049954,0.52067418,-0.08698332
-5.95197599,2.00254979,-0.43465636,0.58932448,-0.17669315,0.00000000,-0.00000000,1.04579471,-0.25502375,0.46859599,-0.07466946,0.03458390,-0.00043268,0.56048029,-0.09182497
-5.94597299,2.12476429,-0.43645384,0.61784988,-0.17183187,0.00000000,-0.00000000,1.09642001,-0.25837183,0.49410429,-0.07018094,0.03738144,-0.00037352,0.60107854,-0.09709105
-5.93996998,2.25202715,-0.44103481,0.64862760,-0.16840765,0.00000000,-0.00000000,1.14873148,-0.26318146,0.52176728,-0.06647472,0.04029385,-0.00032189,0.64220806,-0.10268810
-5.93396698,2.38361404,-0.44793698,0.68152957,-0.16623767,0.00000000,-0.00000000,1.20246899,-0.26920358,0.55147510,-0.06347153,0.04329884,-0.00027759,0.68360208,-0.10851842
-5.92796398,2.51872974,-0.45666987,0.71639197,-0.16512223,0.00000000,-0.00000000,1.25735689,-0.27617259,0.58308187,-0.06108403,0.04637181,-0.00024040,0.72499083,-0.11448324
-5.92196098,2.65652423,-0.46673247,0.75302127,-0.16485224,0.00000000,-0.00000000,1.31310810,-0.28381707,0.61641118,-0.05921996,0.04948666,-0.00021008,0.76610408,-0.12048634
-5.91595798,2.79610959,-0.47763116,0.79120092,-0.16521666,0.00000000,-0.00000000,1.36942792,-0.29187061,0.65126234,-0.05778531,0.05261660,-0.00018643,0.80667324,-0.12643767
-5.90995498,2.93657672,-0.48889721,0.83069848,-0.16600975,0.00000000,-0.00000000,1.42601737,-0.30008252,0.68741695,-0.05668723,0.05573508,-0.00016927,0.84643284,-0.13225700
-5.90395198,3.07701103,-0.50010314,0.87127264,-0.16703780,0.00000000,-0.00000000,1.48257590,-0.30822774,0.72464549,-0.05583678,0.05881664,-0.00015846,0.88512167,-0.13787729
-5.89794897,3.21650639,-0.51087719,0.91267967,-0.16812510,0.00000000,-0.00000000,1.53880349,-0.31611573,0.76271327,-0.05515127,0.06183781,-0.00015394,0.92248345,-0.14324765
-5.89194597,3.35417661,-0.52091541,0.95467894,-0.16911904,0.00000000,-0.00000000,1.59440194,-0.32359781,0.80138554,-0.05455625,0.06477780,-0.00015572,0.95826717,-0.14833573
-5.88594297,3.48916411,-0.52999077,0.99703710,-0.16989404,0.00000000,-0.00000000,1.64907558,-0.33057267,0.84043140,-0.05398705,0.06761914,-0.00016387,0.99222730,-0.15312934
-5.87993997,3.62064541,-0.53795885,1.03953072,-0.17035435,0.00000000,-0.00000000,1.70253120,-0.33698970,0.87962618,-0.05338990,0.07034807,-0.00017856,1.02412394,-0.15763712
-5.87393697,3.74783350,-0.54475989,1.08194718,-0.17043554,0.00000000,-0.00000000,1.75447762,-0.34285013,0.91875235,-0.05272250,0.07295475,-0.00020002,1.05372318,-0.16188834
-5.86793397,3.86997725,-0.55041720,1.12408382,-0.17010471,0.00000000,-0.00000000,1.80462471,-0.34820563,0.95759879,-0.05195424,0.07543324,-0.00022859,1.08079767,-0.16593159
-5.86193097,3.98635836,-0.55503169,1.16574543,-0.16935941,0.00000000,-0.00000000,1.85268237,-0.35315463,0.99595873,-0.05106591,0.07778128,-0.00026465,1.10512778,-0.16983245
-5.85592796,4.09628644,-0.55877312,1.20674037,-0.16822548,0.00000000,-0.00000000,1.89835934,-0.35783638,1.03362644,-0.05004908,0.07999977,-0.00030864,1.12650322,-0.17367023
-5.84992496,4.19909302,-0.56186816,1.24687554,-0.16675367,0.00000000,-0.00000000,1.94136236,-0.36242297,1.07039319,-0.04890513,0.08209214,-0.00036106,1.14472536,-0.17753390
-5.84392196,4.29412544,-0.56458609,1.28595083,-0.16501559,0.00000000,-0.00000000,1.98139560,-0.36710971,1.10604288,-0.04764398,0.08406354,-0.00042244,1.15961021,-0.18151727
-5.83791896,4.38074152,-0.56722256,1.32375339,-0.16309885,0.00000000,-0.00000000,2.01816087,-0.37210427,1.14034770,-0.04628265,0.08591990,-0.00049333,1.17099203,-0.18571385
-5.83191596,4.45830603,-0.57008250,1.36005252,-0.16110180,0.00000000,-0.00000000,2.05135854,-0.37761519,1.17306464,-0.04484371,0.08766702,-0.00057427,1.17872744,-0.19021140
-5.82591296,4.52618973,-0.57346280,1.39459550,-0.15912817,0.00000000,-0.00000000,2.08068946,-0.38384004,1.20393301,-0.04335371,0.08930957,-0.00066579,1.18269996,-0.19508665
-5.81990995,4.58377179,-0.57763574,1.42710511,-0.15728167,0.00000000,-0.00000000,2.10585814,-0.39095419,1.23267372,-0.04184155,0.09085027,-0.00076839,1.18282474,-0.20040042
