energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,7.79444365,0.02616825,1.15358369,0.02787981,0.00000000,4.02782686,3.50836777,0.06986588,3.01017397
-5.99399700,7.71098700,0.02629725,1.13237874,0.02755167,0.00000000,3.97680566,3.47697635,0.06879684,2.98841295
-5.98799400,7.62376470,0.02645512,1.11056683,0.02721914,0.00000000,3.92173907,3.44368823,0.06774388,2.96521202
-5.98199100,7.53357931,0.02663863,1.08829203,0.02688514,0.00000000,3.86346682,3.40877536,0.06671653,2.94089537
-5.97598799,7.44133682,0.02684377,1.06570071,0.02655346,0.00000000,3.80291567,3.37255519,0.06572470,2.91584582
-5.96998499,7.34803889,0.02706589,1.04294209,0.02622876,0.00000000,3.74108214,3.33538969,0.06477855,2.89049947
-5.96398199,7.25477026,0.02729982,1.02016850,0.02591645,0.00000000,3.67901276,3.29768196,0.06388836,2.86533805
-5.95797899,7.16268132,0.02754011,0.99753494,0.02562265,0.00000000,3.61778215,3.25987064,0.06306432,2.84087879
-5.95197599,7.07296591,0.02778114,0.97519830,0.02535399,0.00000000,3.55846939,3.22242200,0.06231627,2.81766215
-5.94597299,6.98683492,0.02801736,0.95331572,0.02511741,0.00000000,3.50213307,3.18582012,0.06165348,2.79623768
-5.93996998,6.90548636,0.02824340,0.93204252,0.02491995,0.00000000,3.44978560,3.15055542,0.06108429,2.77714837
-5.93396698,6.83007272,0.02845426,0.91152956,0.02476846,0.00000000,3.40236729,3.11711190,0.06061584,2.76091387
-5.92796398,6.76166689,0.02864542,0.89192017,0.02466935,0.00000000,3.36072102,3.08595374,0.06025372,2.74801334
-5.92196098,6.70122773,0.02881294,0.87334685,0.02462821,0.00000000,3.32556797,3.05751170,0.06000169,2.73886827
-5.91595798,6.64956677,0.02895354,0.85592782,0.02464964,0.00000000,3.29748547,3.03216990,0.05986136,2.73382618
-5.90995498,6.60731754,0.02906464,0.83976376,0.02473684,0.00000000,3.27688755,3.01025366,0.05983198,2.73314567
-5.90395198,6.57490893,0.02914436,0.82493474,0.02489149,0.00000000,3.26400906,2.99201890,0.05991030,2.73698364
-5.89794897,6.55254409,0.02919152,0.81149769,0.02511342,0.00000000,3.25889421,2.97764365,0.06009042,2.74538523
-5.89194597,6.54018608,0.02920556,0.79948454,0.02540058,0.00000000,3.26139009,2.96722212,0.06036381,2.75827723
-5.88594297,6.53755150,0.02918650,0.78890114,0.02574887,0.00000000,3.27114598,2.96076180,0.06071945,2.77546526
-5.87993997,6.54411277,0.02913483,0.77972715,0.02615216,0.00000000,3.28761866,2.95818370,0.06114396,2.79663523
-5.87393697,6.55910971,0.02905142,0.77191690,0.02660238,0.00000000,3.31008422,2.95932604,0.06162195,2.82135929
-5.86793397,6.58157043,0.02893742,0.76540132,0.02708963,0.00000000,3.33765621,2.96395120,0.06213642,2.84910621
-5.86193097,6.61034121,0.02879417,0.76009088,0.02760242,0.00000000,3.36930997,2.97175595,0.06266925,2.87925609
-5.85592796,6.64412457,0.02862306,0.75587941,0.02812798,0.00000000,3.40391271,2.98238445,0.06320176,2.91111902
-5.84992496,6.68152436,0.02842550,0.75264879,0.02865261,0.00000000,3.44025830,2.99544367,0.06371532,2.94395708
-5.84392196,6.72109619,0.02820282,0.75027419,0.02916210,0.00000000,3.47710601,3.01052053,0.06419200,2.97700887
-5.83791896,6.76140124,0.02795622,0.74862977,0.02964218,0.00000000,3.51322162,3.02720009,0.06461521,3.00951567
-5.83191596,6.80106116,0.02768678,0.74759448,0.03007896,0.00000000,3.54741957,3.04508391,0.06497030,3.04074820
-5.82591296,6.83881181,0.02739542,0.74705770,0.03045944,0.00000000,3.57860436,3.06380782,0.06524515,3.07003273
-5.81990995,6.87355319,0.02708295,0.74692458,0.03077193,0.00000000,3.60580970,3.08305808,0.06543060,3.09677553
-5.81390695,6.90439333,0.02675008,0.74712061,0.03100646,0.00000000,3.62823344,3.10258530,0.06552085,3.12048447
-5.80790395,6.93068405,0.02639748,0.74759530,0.03115512,0.00000000,3.64526701,3.12221527,0.06551367,3.14078677
-5.80190095,6.95204659,0.02602586,0.74832472,0.03121236,0.00000000,3.65651772,3.14185605,0.06541056,3.15744208
-5.79589795,6.96838593,0.02563605,0.74931273,0.03117517,0.00000000,3.66182299,3.16150104,0.06521665,3.17035024
-5.78989495,6.97989271,0.02522903,0.75059086,0.03104320,0.00000000,3.66125558,3.18122762,0.06494059,3.17955329
-5.78389195,6.98703262,0.02480606,0.75221662,0.03081873,0.00000000,3.65511949,3.20119131,0.06459417,3.18523164
-5.77788894,6.99052339,0.02436871,0.75427052,0.03050662,0.00000000,3.64393656,3.22161570,0.06419190,3.18769448
-5.77188594,6.99130026,0.02391895,0.75685167,0.03011413,0.00000000,3.62842407,3.24277839,0.06375050,3.18736481
-5.76588294,6.99047130,0.02345912,0.76007223,0.02965063,0.00000000,3.60946438,3.26499358,0.06328821,3.18475988
-5.75987994,6.98926447,0.02299204,0.76405094,0.02912728,0.00000000,3.58806762,3.28859197,0.06282412,3.18046762
-5.75387694,6.98896865,0.02252091,0.76890593,0.02855665,0.00000000,3.56532916,3.31389885,0.06237746,3.17512038
-5.74787394,6.99087113,0.02204938,0.77474723,0.02795226,0.00000000,3.54238350,3.34121138,0.06196685,3.16936695
-5.74187094,6.99619436,0.02158144,0.78166919,0.02732818,0.00000000,3.52035664,3.37077597,0.06160961,3.16384411
-5.73586793,7.00603467,0.02112136,0.78974325,0.02669850,0.00000000,3.50031892,3.40276704,0.06132111,3.15914900
-5.72986493,7.02130559,0.02067365,0.79901137,0.02607698,0.00000000,3.48324035,3.43726784,0.06111416,3.15581340
-5.72386193,7.04268840,0.02024291,0.80948047,0.02547656,0.00000000,3.46995034,3.47425461,0.06099854,3.15428107
-5.71785893,7.07059195,0.01983376,0.82111804,0.02490905,0.00000000,3.46110349,3.51358468,0.06098061,3.15488902
-5.71185593,7.10512353,0.01945071,0.83384936,0.02438478,0.00000000,3.45715288,3.55498929,0.06106306,3.15785350
-5.70585293,7.14607227,0.01909806,0.84755629,0.02391242,0.00000000,3.45833183,3.59807156,0.06124474,3.16326126
-5.69984992,7.19290556,0.01877977,0.86207783,0.02349873,0.00000000,3.46464498,3.64230994,0.06152071,3.17106628
-5.69384692,7.24477890,0.01849940,0.87721245,0.02314854,0.00000000,3.47586873,3.68706708,0.06188232,3.18109214
-5.68784392,7.30055870,0.01826002,0.89272218,0.02286467,0.00000000,3.49156098,3.73160405,0.06231746,3.19303967
-5.68184092,7.35885709,0.01806411,0.90833821,0.02264801,0.00000000,3.51107969,3.77509920,0.06281098,3.20649968
-5.67583792,7.41807729,0.01791360,0.92376794,0.02249762,0.00000000,3.53360909,3.81667135,0.06334507,3.22096989
-5.66983492,7.47646770,0.01780976,0.93870306,0.02241086,0.00000000,3.55819256,3.85540603,0.06389989,3.23587540
-5.66383192,7.53218228,0.01775327,0.95282857,0.02238365,0.00000000,3.58377052,3.89038402,0.06445414,3.25059179
-5.65782891,7.58334489,0.01774424,0.96583215,0.02241065,0.00000000,3.60922170,3.92071087,0.06498574,3.26446963
-5.65182591,7.62811488,0.01778223,0.97741371,0.02248558,0.00000000,3.63340614,3.94554621,0.06547252,3.27685960
-5.64582291,7.66475123,0.01786636,0.98729472,0.02260145,0.00000000,3.65520802,3.96413162,0.06589291,3.28713695
-5.63981991,7.69167286,0.01799536,0.99522689,0.02275086,0.00000000,3.67357682,3.97581588,0.06622663,3.29472440
-5.63381691,7.70751264,0.01816769,1.00100007,0.02292628,0.00000000,3.68756523,3.98007665,0.06645528,3.29911275
-5.62781391,7.71116334,0.01838163,1.00444893,0.02312033,0.00000000,3.69636243,3.97653755,0.06656295,3.29987817
-5.62181091,7.70181394,0.01863536,1.00545830,0.02332597,0.00000000,3.69932187,3.96498013,0.06653668,3.29669599
-5.61580790,7.67897527,0.01892710,1.00396707,0.02353679,0.00000000,3.69598265,3.94535035,0.06636689,3.28935036
-5.60980490,7.64249443,0.01925516,0.99997045,0.02374718,0.00000000,3.68608420,3.91775930,0.06604765,3.27773989
