energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.42554869,0.00321980,0.11097831,0.42520133,0.78762201,0.30644972,0.00000000,0.54879206,0.04569904
-5.99399700,1.43448562,0.00349836,0.10407752,0.41081993,0.82615182,0.29440675,0.00000000,0.52582130,0.04384570
-5.98799400,1.44407164,0.00382088,0.09698173,0.39602093,0.86579228,0.28230024,0.00000000,0.50240940,0.04196530
-5.98199100,1.45477491,0.00419062,0.08980736,0.38112403,0.90647548,0.27038269,0.00000000,0.47898774,0.04008904
-5.97598799,1.46699429,0.00461003,0.08266804,0.36643214,0.94808793,0.25889252,0.00000000,0.45596539,0.03824672
-5.96998499,1.48103838,0.00508056,0.07567213,0.35222212,0.99046196,0.24804764,0.00000000,0.43371889,0.03646601
-5.96398199,1.49710941,0.00560251,0.06892080,0.33873712,1.03336901,0.23804031,0.00000000,0.41258445,0.03477178
-5.95797899,1.51529274,0.00617482,0.06250656,0.32618081,1.07651545,0.22903365,0.00000000,0.39285282,0.03318579
-5.95197599,1.53555261,0.00679499,0.05651229,0.31471351,1.11954132,0.22115980,0.00000000,0.37476682,0.03172651
-5.94597299,1.55773436,0.00745899,0.05101084,0.30445050,1.16202264,0.21451965,0.00000000,0.35852152,0.03040917
-5.93996998,1.58157315,0.00816121,0.04606497,0.29546224,1.20347735,0.20918419,0.00000000,0.34426668,0.02924597
-5.93396698,1.60670874,0.00889450,0.04172777,0.28777661,1.24337512,0.20519711,0.00000000,0.33211127,0.02824649
-5.92796398,1.63270569,0.00965028,0.03804330,0.28138272,1.28115083,0.20257854,0.00000000,0.32212941,0.02741812
-5.92196098,1.65907793,0.01041867,0.03504748,0.27623619,1.31622127,0.20132960,0.00000000,0.31436742,0.02676663
-5.91595798,1.68531643,0.01118870,0.03276904,0.27226544,1.34800468,0.20143745,0.00000000,0.30885123,0.02629673
-5.90995498,1.71091864,0.01194859,0.03123042,0.26937869,1.37594209,0.20288041,0.00000000,0.30559376,0.02601259
-5.90395198,1.73541792,0.01268606,0.03044859,0.26747124,1.39951970,0.20563303,0.00000000,0.30460152,0.02591832
-5.89794897,1.75841144,0.01338870,0.03043572,0.26643258,1.41829104,0.20967049,0.00000000,0.30588022,0.02601827
-5.89194597,1.77958502,0.01404433,0.03119952,0.26615314,1.43189787,0.21497236,0.00000000,0.30943877,0.02631731
-5.88594297,1.79873331,0.01464139,0.03274330,0.26653010,1.44008868,0.22152521,0.00000000,0.31529146,0.02682080
-5.87993997,1.81577423,0.01516934,0.03506581,0.26747222,1.44273367,0.22932420,0.00000000,0.32345816,0.02753455
-5.87393697,1.83075671,0.01561901,0.03816064,0.26890325,1.43983543,0.23837323,0.00000000,0.33396249,0.02846444
-5.86793397,1.84386115,0.01598289,0.04201550,0.27076410,1.43153452,0.24868394,0.00000000,0.34682797,0.02961607
-5.86193097,1.85539257,0.01625540,0.04661121,0.27301339,1.41810968,0.26027341,0.00000000,0.36207248,0.03099406
-5.85592796,1.86576673,0.01643309,0.05192057,0.27562666,1.39997243,0.27316083,0.00000000,0.37970120,0.03260145
-5.84992496,1.87548989,0.01651473,0.05790728,0.27859435,1.37765642,0.28736329,0.00000000,0.39969865,0.03443889
-5.84392196,1.88513342,0.01650130,0.06452480,0.28191858,1.35180180,0.30289100,0.00000000,0.42202021,0.03650388
-5.83791896,1.89530466,0.01639601,0.07171553,0.28560924,1.32313566,0.31974226,0.00000000,0.44658368,0.03879001
-5.83191596,1.90661567,0.01620406,0.07941019,0.28967946,1.29244929,0.33789850,0.00000000,0.47326167,0.04128627
-5.82591296,1.91965170,0.01593246,0.08752758,0.29414103,1.26057348,0.35731978,0.00000000,0.50187511,0.04397655
-5.81990995,1.93494122,0.01558974,0.09597482,0.29899982,1.22835309,0.37794100,0.00000000,0.53218864,0.04683925
-5.81390695,1.95292906,0.01518564,0.10464807,0.30425179,1.19662202,0.39966930,0.00000000,0.56390837,0.04984710
-5.80790395,1.97395430,0.01473066,0.11343386,0.30987965,1.16617978,0.42238264,0.00000000,0.59668211,0.05296729
-5.80190095,1.99823392,0.01423575,0.12221081,0.31585055,1.13777050,0.44592985,0.00000000,0.63010256,0.05616181
-5.79589795,2.02585307,0.01371192,0.13085199,0.32211476,1.11206531,0.47013228,0.00000000,0.66371339,0.05938800
-5.78989495,2.05676221,0.01316983,0.13922762,0.32860563,1.08964839,0.49478683,0.00000000,0.69701808,0.06259946
-5.78389195,2.09078100,0.01261952,0.14720813,0.33524060,1.07100718,0.51967034,0.00000000,0.72949133,0.06574708
-5.77788894,2.12760838,0.01207007,0.15466746,0.34192325,1.05652652,0.54454515,0.00000000,0.76059252,0.06878028
-5.77188594,2.16683785,0.01152946,0.16148640,0.34854634,1.04648658,0.56916540,0.00000000,0.78978069,0.07164843
-5.76588294,2.20797682,0.01100431,0.16755585,0.35499538,1.04106408,0.59328383,0.00000000,0.81653042,0.07430224
-5.75987994,2.25046837,0.01049988,0.17277994,0.36115264,1.04033628,0.61665858,0.00000000,0.84034775,0.07669527
-5.75387694,2.29371400,0.01001997,0.17707867,0.36690136,1.04428683,0.63905972,0.00000000,0.86078549,0.07878528
-5.74787394,2.33709588,0.00956700,0.18039014,0.37212966,1.05281307,0.66027495,0.00000000,0.87745714,0.08053550
-5.74187094,2.37999709,0.00914205,0.18267222,0.37673421,1.06573369,0.68011434,0.00000000,0.89004877,0.08191574
-5.73586793,2.42181879,0.00874505,0.18390343,0.38062318,1.08279655,0.69841376,0.00000000,0.89832823,0.08290319
-5.72986493,2.46199341,0.00837488,0.18408328,0.38371848,1.10368588,0.71503676,0.00000000,0.90215141,0.08348301
-5.72386193,2.49999352,0.00802957,0.18323178,0.38595717,1.12802863,0.72987506,0.00000000,0.90146516,0.08364864
-5.71785893,2.53533611,0.00770654,0.18138834,0.38729198,1.15539996,0.74284752,0.00000000,0.89630693,0.08340172
-5.71185593,2.56758275,0.00740277,0.17861008,0.38769105,1.18532771,0.75389783,0.00000000,0.88680108,0.08275182
-5.70585293,2.59633607,0.00711497,0.17496962,0.38713697,1.21729617,0.76299111,0.00000000,0.87315234,0.08171584
-5.69984992,2.62123368,0.00683982,0.17055244,0.38562521,1.25074948,0.77010987,0.00000000,0.85563672,0.08031719
-5.69384692,2.64194033,0.00657410,0.16545410,0.38316231,1.28509504,0.77524950,0.00000000,0.83459034,0.07858480
-5.68784392,2.65813972,0.00631480,0.15977720,0.37976378,1.31970732,0.77841385,0.00000000,0.81039701,0.07655200
-5.68184092,2.66952703,0.00605929,0.15362847,0.37545215,1.35393278,0.77961116,0.00000000,0.78347498,0.07425527
-5.67583792,2.67580314,0.00580535,0.14711592,0.37025511,1.38709593,0.77885071,0.00000000,0.75426367,0.07173309
-5.66983492,2.67667156,0.00555123,0.14034630,0.36420413,1.41850722,0.77614038,0.00000000,0.72321086,0.06902469
-5.66383192,2.67183856,0.00529570,0.13342283,0.35733338,1.44747260,0.77148547,0.00000000,0.69076086,0.06616899
-5.65782891,2.66101684,0.00503803,0.12644336,0.34967933,1.47330503,0.76488863,0.00000000,0.65734425,0.06320364
-5.65182591,2.64393276,0.00477797,0.11949890,0.34128064,1.49533763,0.75635109,0.00000000,0.62336914,0.06016421
-5.64582291,2.62033666,0.00451571,0.11267264,0.33217862,1.51293818,0.74587493,0.00000000,0.58921449,0.05708353
-5.63981991,2.59001591,0.00425186,0.10603926,0.32241798,1.52552455,0.73346630,0.00000000,0.55522522,0.05399125
-5.63381691,2.55280951,0.00398735,0.09966474,0.31204779,1.53258043,0.71913923,0.00000000,0.52170924,0.05091361
-5.62781391,2.50862350,0.00372335,0.09360631,0.30112257,1.53367060,0.70291981,0.00000000,0.48893615,0.04787325
-5.62181091,2.45744590,0.00346127,0.08791278,0.28970320,1.52845514,0.68485027,0.00000000,0.45713731,0.04488933
-5.61580790,2.39936008,0.00320260,0.08262497,0.27785770,1.51670173,0.66499283,0.00000000,0.42650713,0.04197767
-5.60980490,2.33455562,0.00294891,0.07777618,0.26566171,1.49829538,0.64343277,0.00000000,0.39720518,0.03915098
-5.60380190,2.26333560,0.00270176,0.07339283,0.25319846,1.47324498,0.62028064,0.00000000,0.36935879,0.03641923
-5.59779890,2.18611977,0.00246262,0.06949494,0.24055834,1.44168631,0.59567336,0.00000000,0.34306596,0.03378997
-5.59179590,2.10344307,0.00223287,0.06609665,0.22783804,1.40388100,0.56977407,0.00000000,0.31839820,0.03126876
-5.58579290,2.01594947,0.00201374,0.06320661,0.21513920,1.36021160,0.54277068,0.00000000,0.29540330,0.02885945
-5.57978989,1.92438112,0.00180627,0.06082833,0.20256671,1.31117266,0.51487328,0.00000000,0.27410769,0.02656458
-5.57378689,1.82956342,0.00161131,0.05896036,0.19022673,1.25735824,0.48631035,0.00000000,0.25451854,0.02438564
-5.56778389,1.73238651,0.00142951,0.05759655,0.17822465,1.19944623,0.45732414,0.00000000,0.23662545,0.02232330
-5.56178089,1.63378418,0.00126129,0.05672617,0.16666293,1.13818024,0.42816537,0.00000000,0.22040178,0.02037765
-5.55577789,1.53471115,0.00110692,0.05633410,0.15563911,1.07434967,0.39908753,0.00000000,0.20580584,0.01854829
-5.54977489,1.43611989,0.00096644,0.05640105,0.14524410,1.00876896,0.37034113,0.00000000,0.19278191,0.01683447
-5.54377189,1.33893798,0.00083978,0.05690390,0.13556077,0.94225668,0.34216813,0.00000000,0.18126121,0.01523512
-5.53776888,1.24404718,0.00072672,0.05781612,0.12666301,0.87561553,0.31479688,0.00000000,0.17116309,0.01374890
-5.53176588,1.15226505,0.00062695,0.05910837,0.11861522,0.80961382,0.28843774,0.00000000,0.16239638,0.01237422
-5.52576288,1.06432990,0.00054012,0.06074923,0.11147238,0.74496928,0.26327970,0.00000000,0.15486106,0.01110927
-5.51975988,0.98088963,0.00046584,0.06270604,0.10528049,0.68233558,0.23948794,0.00000000,0.14845034,0.00995199
-5.51375688,0.90249483,0.00040377,0.06494592,0.10007753,0.62229209,0.21720260,0.00000000,0.14305309,0.00890010
-5.50775388,0.82959602,0.00035361,0.06743679,0.09589464,0.56533690,0.19653862,0.00000000,0.13855662,0.00795115
-5.50175088,0.76254512,0.00031517,0.07014849,0.09275761,0.51188333,0.17758666,0.00000000,0.13484977,0.00710254
