energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,11.05464085,0.98337765,1.99470964,0.04008713,1.29329111,9.24695076,4.39658953,0.07913056,2.28854463
-5.99399700,11.44026858,0.99855703,2.07739013,0.04155020,1.35138282,9.68871607,4.55570192,0.08045227,2.33109526
-5.98799400,11.80899928,1.01192664,2.15951670,0.04296787,1.40726169,10.11647372,4.70711342,0.08153313,2.36812298
-5.98199100,12.15870009,1.02360566,2.24066011,0.04433425,1.46039042,10.52740709,4.84968253,0.08237051,2.39963698
-5.97598799,12.48775754,1.03377272,2.32045357,0.04564424,1.51028521,10.91895402,4.98249448,0.08296758,2.42580180
-5.96998499,12.79505736,1.04265558,2.39859264,0.04689346,1.55652003,11.28881849,5.10485902,0.08333281,2.44692128
-5.96398199,13.07994637,1.05051909,2.47483264,0.04807810,1.59872899,11.63497227,5.21630054,0.08347935,2.46341816
-5.95797899,13.34217878,1.05765197,2.54898347,0.04919483,1.63660676,11.95564704,5.31654115,0.08342420,2.47581011
-5.95197599,13.58184942,1.06435281,2.62090238,0.05024060,1.66990726,12.24931816,5.40547758,0.08318730,2.48468318
-5.94597299,13.79931737,1.07091601,2.69048502,0.05121248,1.69844073,12.51468181,5.48315316,0.08279051,2.49066388
-5.93996998,13.99512365,1.07761803,2.75765517,0.05210753,1.72206961,12.75062748,5.54972620,0.08225661,2.49439086
-5.93396698,14.16990699,1.08470462,2.82235376,0.05292258,1.74070342,12.95620813,5.60543665,0.08160827,2.49648728
-5.92796398,14.32432182,1.09237937,2.88452769,0.05365419,1.75429322,13.13061056,5.65057237,0.08086711,2.49753492
-5.92196098,14.45896243,1.10079414,2.94411907,0.05429849,1.76282592,13.27312843,5.68543717,0.08005285,2.49805096
-5.91595798,14.57429708,1.11004160,3.00105535,0.05485115,1.76631895,13.38314036,5.71032189,0.07918259,2.49846814
-5.90995498,14.67061550,1.12015031,3.05524103,0.05530739,1.76481557,13.46009516,5.72548038,0.07827031,2.49911911
-5.90395198,14.74799228,1.13108239,3.10655128,0.05566197,1.75838121,13.50350585,5.73111145,0.07732645,2.50022533
-5.89794897,14.80626854,1.14273410,3.15482802,0.05590935,1.74710106,13.51295355,5.72734789,0.07635786,2.50189096
-5.89194597,14.84505279,1.15493915,3.19987871,0.05604378,1.73107894,13.48810161,5.71425318,0.07536774,2.50410199
-5.88594297,14.86374146,1.16747481,3.24147811,0.05605953,1.71043770,13.42871985,5.69182613,0.07435598,2.50673041
-5.87993997,14.86155845,1.18007067,3.27937310,0.05595107,1.68532077,13.33471785,5.66001324,0.07331950,2.50954348
-5.87393697,14.83761209,1.19241961,3.31329049,0.05571336,1.65589503,13.20618558,5.61872820,0.07225287,2.51221750
-5.86793397,14.79096716,1.20419084,3.34294777,0.05534212,1.62235444,13.04343929,5.56787756,0.07114897,2.51435587
-5.86193097,14.72072868,1.21504445,3.36806619,0.05483408,1.58492426,12.84706978,5.50739119,0.06999977,2.51551035
-5.85592796,14.62613363,1.22464687,3.38838613,0.05418728,1.54386547,12.61799010,5.43725592,0.06879711,2.51520505
-5.84992496,14.50664628,1.23268687,3.40368377,0.05340127,1.49947886,12.35747953,5.35755061,0.06753353,2.51296202
-5.84392196,14.36205244,1.23889121,3.41378867,0.05247736,1.45210864,12.06722068,5.26848052,0.06620303,2.50832740
-5.83791896,14.19254804,1.24303960,3.41860141,0.05141873,1.40214491,11.74932679,5.17040939,0.06480177,2.50089708
-5.83191596,13.99881748,1.24497802,3.41811048,0.05023057,1.35002489,11.40635686,5.06388709,0.06332860,2.49034088
-5.82591296,13.78209763,1.24463003,3.41240775,0.04892009,1.29623258,11.04131658,4.94967137,0.06178555,2.47642396
-5.81990995,13.54422391,1.24200551,3.40170159,0.04749649,1.24129669,10.65764387,4.82874226,0.06017810,2.45902482
-5.81390695,13.28765579,1.23720622,3.38632716,0.04597084,1.18578682,10.25917834,4.70230817,0.05851527,2.43814876
-5.80790395,13.01547949,1.23042813,3.36675318,0.04435596,1.13030780,9.85011510,4.57180289,0.05680958,2.41393646
-5.80190095,12.73138720,1.22195997,3.34358467,0.04266613,1.07549237,9.43494358,4.43887336,0.05507685,2.38666703
-5.79589795,12.43963262,1.21217827,3.31756148,0.04091685,1.02199241,9.01837316,4.30535829,0.05333579,2.35675540
-5.78989495,12.14496380,1.20153864,3.28955239,0.03912451,0.97046883,8.60524768,4.17325812,0.05160750,2.32474417
-5.78389195,11.85253514,1.19056381,3.26054465,0.03730603,0.92158048,8.20045144,4.04469724,0.04991487,2.29129011
-5.77788894,11.56780110,1.17982849,3.23162933,0.03547856,0.87597240,7.80880970,3.92187962,0.04828188,2.25714586
-5.77188594,11.29639494,1.16994171,3.20398255,0.03365903,0.83426365,7.43498678,3.80703920,0.04673283,2.22313755
-5.76588294,11.04399613,1.16152712,3.17884313,0.03186390,0.79703517,7.08338489,3.70238666,0.04529163,2.19013918
-5.75987994,10.81619052,1.15520191,3.15748702,0.03010877,0.76481776,6.75804682,3.61005418,0.04398105,2.15904475
-5.75387694,10.61832754,1.15155502,3.14119925,0.02840815,0.73808074,6.46256543,3.53203989,0.04282199,2.13073921
-5.74787394,10.45537847,1.15112541,3.13124390,0.02677517,0.71722133,6.20000242,3.47015368,0.04183293,2.10606926
-5.74187094,10.33180002,1.15438107,3.12883288,0.02522141,0.70255508,5.97281883,3.42596588,0.04102934,2.08581507
-5.73586793,10.25140698,1.16169953,3.13509421,0.02375676,0.69430756,5.78281889,3.40076043,0.04042332,2.07066384
