energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,5.91729475,0.06033100,0.37733638,0.25477050,0.00000000,2.66786221,2.47895061,0.03291681,3.29995607
-5.99399700,5.78457226,0.06087206,0.36463341,0.24968135,0.00000000,2.60076942,2.41525172,0.03233632,3.23176762
-5.98799400,5.64987361,0.06150579,0.35187406,0.24467259,0.00000000,2.53374706,2.35117478,0.03182347,3.16259040
-5.98199100,5.51498180,0.06222698,0.33921890,0.23979744,0.00000000,2.46764151,2.28752712,0.03138496,3.09336331
-5.97598799,5.38168734,0.06302767,0.32682992,0.23511275,0.00000000,2.40329241,2.22508912,0.03102616,3.02503931
-5.96998499,5.25173292,0.06389712,0.31486637,0.23067684,0.00000000,2.34150685,2.16459348,0.03075095,2.95855341
-5.96398199,5.12675926,0.06482194,0.30348066,0.22654713,0.00000000,2.28303400,2.10670615,0.03056151,2.89479068
-5.95797899,5.00825417,0.06578623,0.29281456,0.22277774,0.00000000,2.22854114,2.05200969,0.03045822,2.83455553
-5.95197599,4.89750684,0.06677185,0.28299560,0.21941713,0.00000000,2.17859215,2.00098948,0.03043960,2.77854353
-5.94597299,4.79556897,0.06775869,0.27413401,0.21650599,0.00000000,2.13362924,1.95402329,0.03050227,2.72731711
-5.93996998,4.70322474,0.06872508,0.26632007,0.21407539,0.00000000,2.09395882,1.91137455,0.03064093,2.68128615
-5.93396698,4.62097048,0.06964821,0.25962209,0.21214533,0.00000000,2.05974210,1.87318957,0.03084847,2.64069445
-5.92796398,4.54900527,0.07050465,0.25408493,0.21072382,0.00000000,2.03099079,1.83949884,0.03111602,2.60561276
-5.92196098,4.48723276,0.07127082,0.24972921,0.20980636,0.00000000,2.00756826,1.81022236,0.03143316,2.57593874
-5.91595798,4.43527424,0.07192365,0.24655113,0.20937609,0.00000000,1.98919592,1.78517892,0.03178804,2.55140402
-5.90995498,4.39249237,0.07244106,0.24452297,0.20940434,0.00000000,1.97546474,1.76409878,0.03216771,2.53158790
-5.90395198,4.35802453,0.07280260,0.24359411,0.20985169,0.00000000,1.96585136,1.74663950,0.03255832,2.51593742
-5.89794897,4.33082441,0.07299000,0.24369268,0.21066952,0.00000000,1.95973807,1.73240400,0.03294547,2.50379251
-5.89194597,4.30970973,0.07298770,0.24472769,0.21180177,0.00000000,1.95643578,1.72096031,0.03331456,2.49441537
-5.88594297,4.29341412,0.07278335,0.24659158,0.21318699,0.00000000,1.95520907,1.71186198,0.03365114,2.48702254
-5.87993997,4.28064063,0.07236825,0.24916316,0.21476056,0.00000000,1.95530219,1.70466826,0.03394131,2.48081814
-5.87393697,4.27011454,0.07173765,0.25231076,0.21645680,0.00000000,1.95596488,1.69896328,0.03417205,2.47502674
-5.86793397,4.26063296,0.07089103,0.25589568,0.21821113,0.00000000,1.95647706,1.69437305,0.03433168,2.46892427
-5.86193097,4.25110921,0.06983227,0.25977562,0.21996193,0.00000000,1.95617127,1.69057986,0.03441013,2.46186562
-5.85592796,4.24061002,0.06856964,0.26380825,0.22165220,0.00000000,1.95445218,1.68733319,0.03439929,2.45330762
-5.84992496,4.22838409,0.06711576,0.26785464,0.22323087,0.00000000,1.95081237,1.68445681,0.03429332,2.44282644
-5.84392196,4.21388109,0.06548738,0.27178264,0.22465378,0.00000000,1.94484397,1.68185170,0.03408885,2.43012884
-5.83791896,4.19676065,0.06370505,0.27546996,0.22588422,0.00000000,1.93624586,1.67949499,0.03378513,2.41505691
-5.83191596,4.17689141,0.06179279,0.27880709,0.22689316,0.00000000,1.92482646,1.67743485,0.03338419,2.39758637
-5.82591296,4.15434079,0.05977750,0.28169973,0.22765910,0.00000000,1.91050228,1.67578193,0.03289082,2.37781880
-5.81990995,4.12935647,0.05768844,0.28407100,0.22816761,0.00000000,1.89329249,1.67469785,0.03231257,2.35596869
-5.81390695,4.10234107,0.05555661,0.28586306,0.22841067,0.00000000,1.87331019,1.67438151,0.03165963,2.33234601
-5.80790395,4.07382181,0.05341411,0.28703832,0.22838578,0.00000000,1.85075104,1.67505406,0.03094468,2.30733568
-5.80190095,4.04441685,0.05129345,0.28758009,0.22809498,0.00000000,1.82587980,1.67694329,0.03018263,2.28137518
-5.79589795,4.01480043,0.04922692,0.28749269,0.22754386,0.00000000,1.79901581,1.68026844,0.02939033,2.25493144
-5.78989495,3.98566850,0.04724599,0.28680108,0.22674057,0.00000000,1.77051803,1.68522619,0.02858628,2.22847852
-5.78389195,3.95770660,0.04538069,0.28554981,0.22569494,0.00000000,1.74077040,1.69197841,0.02779020,2.20247695
-5.77788894,3.93156125,0.04365915,0.28380158,0.22441775,0.00000000,1.71016815,1.70064235,0.02702266,2.17735576
-5.77188594,3.90781600,0.04210708,0.28163526,0.22292016,0.00000000,1.67910558,1.71128352,0.02630462,2.15349793
-5.76588294,3.88697273,0.04074743,0.27914348,0.22121335,0.00000000,1.64796563,1.72391145,0.02565702,2.13122957
-5.75987994,3.86943843,0.03960003,0.27642983,0.21930835,0.00000000,1.61711162,1.73847842,0.02510030,2.11081302
-5.75387694,3.85551750,0.03868132,0.27360586,0.21721610,0.00000000,1.58688096,1.75488077,0.02465392,2.09244374
-5.74787394,3.84540889,0.03800414,0.27078774,0.21494758,0.00000000,1.55758104,1.77296260,0.02433597,2.07625065
-5.74187094,3.83920760,0.03757757,0.26809296,0.21251419,0.00000000,1.52948691,1.79252139,0.02416264,2.06229937
-5.73586793,3.83690960,0.03740678,0.26563689,0.20992811,0.00000000,1.50284053,1.81331491,0.02414788,2.05059766
-5.72986493,3.83841909,0.03749292,0.26352950,0.20720275,0.00000000,1.47785132,1.83506899,0.02430293,2.04110240
-5.72386193,3.84355733,0.03783309,0.26187220,0.20435314,0.00000000,1.45469742,1.85748553,0.02463597,2.03372729
-5.71785893,3.85207200,0.03842026,0.26075500,0.20139630,0.00000000,1.43352747,1.88025041,0.02515180,2.02835074
