energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.03639921,0.51346771,0.00275071,0.12180662,0.67245934,0.59621078,1.17713580,0.00000000
-5.99399700,2.09791011,0.53587052,0.00287084,0.12632645,0.67723014,0.60929496,1.21973453,0.00000000
-5.98799400,2.16338739,0.55876446,0.00298691,0.13156274,0.68276107,0.62366033,1.26401715,0.00000000
-5.98199100,2.23143187,0.58171140,0.00309628,0.13736619,0.68877819,0.63884681,1.30928439,0.00000000
-5.97598799,2.30060261,0.60424485,0.00319656,0.14357910,0.69500052,0.65439764,1.35480304,0.00000000
-5.96998499,2.36944232,0.62588150,0.00328564,0.15003894,0.70114565,0.66986757,1.39981749,0.00000000
-5.96398199,2.43650301,0.64613422,0.00336172,0.15658210,0.70693502,0.68483015,1.44356211,0.00000000
-5.95797899,2.50037171,0.66452615,0.00342334,0.16304767,0.71209901,0.69888438,1.48527450,0.00000000
-5.95197599,2.55969636,0.68060521,0.00346939,0.16928146,0.71638183,0.71166053,1.52420962,0.00000000
-5.94597299,2.61321168,0.69395872,0.00349911,0.17513980,0.71954625,0.72282544,1.55965462,0.00000000
-5.93996998,2.65976476,0.70422741,0.00351218,0.18049336,0.72137819,0.73208722,1.59094422,0.00000000
-5.93396698,2.69834007,0.71111830,0.00350864,0.18523076,0.72169114,0.73919952,1.61747647,0.00000000
-5.92796398,2.72808314,0.71441575,0.00348896,0.18926173,0.72033043,0.74396524,1.63872820,0.00000000
-5.92196098,2.74832259,0.71399040,0.00345399,0.19251997,0.71717730,0.74623971,1.65427003,0.00000000
-5.91595798,2.75858936,0.70980533,0.00340499,0.19496531,0.71215251,0.74593329,1.66378017,0.00000000
-5.90995498,2.75863259,0.70191925,0.00334359,0.19658527,0.70521961,0.74301319,1.66705646,0.00000000
-5.90395198,2.74843109,0.69048650,0.00327178,0.19739580,0.69638746,0.73750452,1.66402603,0.00000000
-5.89794897,2.72819975,0.67575384,0.00319187,0.19744125,0.68571197,0.72949014,1.65475206,0.00000000
-5.89194597,2.69838990,0.65805394,0.00310645,0.19679333,0.67329680,0.71910953,1.63943697,0.00000000
-5.88594297,2.65968332,0.63779607,0.00301838,0.19554928,0.65929297,0.70655623,1.61842167,0.00000000
-5.87993997,2.61297934,0.61545409,0.00293070,0.19382910,0.64389703,0.69207390,1.59218056,0.00000000
-5.87393697,2.55937504,0.59155233,0.00284662,0.19177194,0.62734792,0.67595101,1.56131218,0.00000000
-5.86793397,2.50013868,0.56664990,0.00276942,0.18953174,0.60992236,0.65851399,1.52652545,0.00000000
-5.86193097,2.43667692,0.54132392,0.00270243,0.18727232,0.59192881,0.64011917,1.48862192,0.00000000
-5.85592796,2.37049672,0.51615245,0.00264898,0.18516185,0.57370010,0.62114349,1.44847435,0.00000000
-5.84992496,2.30316293,0.49169764,0.00261231,0.18336712,0.55558501,0.60197435,1.40700245,0.00000000
-5.84392196,2.23625315,0.46848970,0.00259552,0.18204769,0.53793892,0.58299884,1.36514639,0.00000000
-5.83791896,2.17131133,0.44701233,0.00260155,0.18135003,0.52111388,0.56459279,1.32383940,0.00000000
-5.83191596,2.10980195,0.42768995,0.00263310,0.18140204,0.50544855,0.54710997,1.28398015,0.00000000
-5.82591296,2.05306667,0.41087728,0.00269260,0.18230808,0.49125833,0.53087199,1.24640631,0.00000000
-5.81990995,2.00228508,0.39685137,0.00278216,0.18414461,0.47882609,0.51615918,1.21187041,0.00000000
-5.81390695,1.95844135,0.38580647,0.00290355,0.18695678,0.46839391,0.50320302,1.18101874,0.00000000
-5.80790395,1.92229822,0.37785170,0.00305819,0.19075602,0.46015627,0.49218037,1.15437465,0.00000000
-5.80190095,1.89437952,0.37301152,0.00324707,0.19551880,0.45425488,0.48320978,1.13232658,0.00000000
-5.79589795,1.87496195,0.37122896,0.00347080,0.20118654,0.45077540,0.47635018,1.11512165,0.00000000
-5.78989495,1.86407656,0.37237133,0.00372960,0.20766691,0.44974637,0.47160192,1.10286483,0.00000000
-5.78389195,1.86151997,0.37623819,0.00402325,0.21483629,0.45114013,0.46891021,1.09552388,0.00000000
-5.77788894,1.86687458,0.38257115,0.00435112,0.22254343,0.45487586,0.46817079,1.09293971,0.00000000
-5.77188594,1.87953707,0.39106530,0.00471220,0.23061421,0.46082454,0.46923758,1.09484149,0.00000000
-5.76588294,1.89875356,0.40138147,0.00510509,0.23885730,0.46881551,0.47193194,1.10086588,0.00000000
-5.75987994,1.92365995,0.41315924,0.00552798,0.24707053,0.47864434,0.47605317,1.11057935,0.00000000
-5.75387694,1.95332524,0.42602989,0.00597873,0.25504769,0.49008159,0.48138955,1.12350228,0.00000000
-5.74787394,1.98679584,0.43962900,0.00645480,0.26258554,0.50288200,0.48772956,1.13913377,0.00000000
-5.74187094,2.02313851,0.45360811,0.00695335,0.26949078,0.51679367,0.49487263,1.15697574,0.00000000
-5.73586793,2.06147991,0.46764506,0.00747118,0.27558653,0.53156671,0.50263877,1.17655516,0.00000000
-5.72986493,2.10104077,0.48145269,0.00800478,0.28071825,0.54696099,0.51087679,1.19744321,0.00000000
