energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.35739506,-2.35739464,1.02456506,-1.02456495,0.36222010,-0.36221993,0.34854698,-0.34854690,0.00000000,-0.00000000,1.27237174,-1.27237161,0.00000000,-0.00000000
-5.99399700,2.37332539,-2.37332507,1.02369574,-1.02369567,0.36702367,-0.36702351,0.34783127,-0.34783121,0.00000000,-0.00000000,1.28210311,-1.28210303,0.00000000,-0.00000000
-5.98799400,2.37924214,-2.37924192,1.01937411,-1.01937408,0.37019107,-0.37019093,0.34594538,-0.34594534,0.00000000,-0.00000000,1.28616603,-1.28616601,0.00000000,-0.00000000
-5.98199100,2.37429076,-2.37429066,1.01122601,-1.01122603,0.37157684,-0.37157672,0.34279738,-0.34279736,0.00000000,-0.00000000,1.28408554,-1.28408558,0.00000000,-0.00000000
-5.97598799,2.35789493,-2.35789495,0.99897307,-0.99897313,0.37108180,-0.37108170,0.33832422,-0.33832422,0.00000000,-0.00000000,1.27554767,-1.27554776,0.00000000,-0.00000000
-5.96998499,2.32977489,-2.32977502,0.98244307,-0.98244319,0.36865611,-0.36865602,0.33249451,-0.33249454,0.00000000,-0.00000000,1.26040868,-1.26040883,0.00000000,-0.00000000
-5.96398199,2.28995532,-2.28995557,0.96157619,-0.96157636,0.36430074,-0.36430067,0.32531030,-0.32531034,0.00000000,-0.00000000,1.23869810,-1.23869831,0.00000000,-0.00000000
-5.95797899,2.23876256,-2.23876292,0.93642699,-0.93642721,0.35806718,-0.35806714,0.31680770,-0.31680777,0.00000000,-0.00000000,1.21061556,-1.21061582,0.00000000,-0.00000000
-5.95197599,2.17681131,-2.17681178,0.90716209,-0.90716235,0.35005550,-0.35005548,0.30705657,-0.30705666,0.00000000,-0.00000000,1.17652159,-1.17652191,0.00000000,-0.00000000
-5.94597299,2.10498182,-2.10498239,0.87405376,-0.87405406,0.34041071,-0.34041071,0.29615892,-0.29615903,0.00000000,-0.00000000,1.13692301,-1.13692337,0.00000000,-0.00000000
-5.93996998,2.02438843,-2.02438908,0.83746982,-0.83747017,0.32931787,-0.32931788,0.28424649,-0.28424662,0.00000000,-0.00000000,1.09245356,-1.09245396,0.00000000,-0.00000000
-5.93396698,1.93634108,-1.93634181,0.79786036,-0.79786073,0.31699582,-0.31699585,0.27147725,-0.27147739,0.00000000,-0.00000000,1.04385079,-1.04385122,0.00000000,-0.00000000
