energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.18548566,0.05826548,0.02198795,0.51508667,1.18024547,0.03214059,1.06565826,0.32458539,0.15470092
-5.99399700,3.09325139,0.05523189,0.02026140,0.49521324,1.14211677,0.03023658,1.04193778,0.32679337,0.14860994
-5.98799400,3.02257754,0.05276847,0.01886878,0.48008485,1.11089535,0.02860577,1.02593267,0.33261979,0.14334071
-5.98199100,2.97313936,0.05085581,0.01780143,0.46953436,1.08656577,0.02723552,1.01746565,0.34194707,0.13889630
-5.97598799,2.94431551,0.04946854,0.01705246,0.46335440,1.06899660,0.02611272,1.01625893,0.35461438,0.13527092
-5.96998499,2.93519874,0.04857669,0.01661726,0.46130255,1.05794239,0.02522370,1.02193838,0.37042075,0.13244997
-5.96398199,2.94461558,0.04814706,0.01649394,0.46310720,1.05304913,0.02455434,1.03404083,0.38912977,0.13041049
-5.95797899,2.97115572,0.04814451,0.01668366,0.46847414,1.05386358,0.02409002,1.05202480,0.41047591,0.12912180
-5.95197599,3.01321110,0.04853312,0.01719092,0.47709400,1.05984641,0.02381576,1.07528453,0.43417238,0.12854647
-5.94597299,3.06902404,0.04927741,0.01802369,0.48865032,1.07038883,0.02371638,1.10316725,0.45992034,0.12864157
-5.93996998,3.13674283,0.05034327,0.01919356,0.50282817,1.08483224,0.02377666,1.13499307,0.48741921,0.12936017
-5.93396698,3.21448290,0.05169895,0.02071557,0.51932282,1.10249026,0.02398157,1.17007682,0.51637756,0.13065298
-5.92796398,3.30039078,0.05331582,0.02260804,0.53784839,1.12267208,0.02431660,1.20775089,0.54652423,0.13247015
-5.92196098,3.39270778,0.05516902,0.02489208,0.55814576,1.14470612,0.02476794,1.24738794,0.57761894,0.13476292
-5.91595798,3.48983008,0.05723789,0.02759102,0.57998945,1.16796292,0.02532280,1.28842235,0.60946187,0.13748531
-5.90995498,3.59036190,0.05950633,0.03072952,0.60319305,1.19187585,0.02596961,1.33036907,0.64190167,0.14059548
-5.90395198,3.69315837,0.06196286,0.03433247,0.62761265,1.21595875,0.02669819,1.37283893,0.67484118,0.14405675
-5.89794897,3.79735562,0.06460046,0.03842371,0.65314811,1.23981934,0.02749983,1.41554916,0.70824047,0.14783832
