energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,11.61045031,2.40189742,8.40537661,0.00779821,0.72594644,0.15694437,0.05446618,1.45274003
-5.99399700,11.43456107,2.32518803,8.29482030,0.00786143,0.70345575,0.15741438,0.05250395,1.44031462
-5.98799400,11.26029054,2.24874167,8.18346776,0.00796319,0.68248005,0.15856231,0.05081908,1.42877879
-5.98199100,11.09237189,2.17388836,8.07463158,0.00810401,0.66345186,0.16041963,0.04944057,1.41859154
-5.97598799,10.93547918,2.10194639,7.97159588,0.00828446,0.64679001,0.16300707,0.04839254,1.41020464
-5.96998499,10.79408940,2.03418423,7.87752120,0.00850510,0.63288843,0.16633305,0.04769359,1.40404618
-5.96398199,10.67234509,1.97178361,7.79534943,0.00876645,0.62210484,0.17039228,0.04735623,1.40050419
-5.95797899,10.57392073,1.91580471,7.72771064,0.00906892,0.61474964,0.17516480,0.04738635,1.39991068
-5.95197599,10.50189620,1.86715435,7.67683420,0.00941274,0.61107518,0.18061514,0.04778293,1.40252653
-5.94597299,10.45864066,1.82655815,7.64446660,0.00979784,0.61126581,0.18669202,0.04853772,1.40852767
-5.93996998,10.44571045,1.79453728,7.63179839,0.01022377,0.61542892,0.19332830,0.04963513,1.41799302
-5.93396698,10.46376451,1.77139057,7.63940297,0.01068956,0.62358728,0.20044134,0.05105230,1.43089464
-5.92796398,10.51250103,1.75718238,7.66718969,0.01119359,0.63567303,0.20793379,0.05275923,1.44709055
-5.92196098,10.59061861,1.75173696,7.71437389,0.01173350,0.65152365,0.21569475,0.05471912,1.46632070
-5.91595798,10.69580507,1.75463930,7.77946621,0.01230607,0.67088019,0.22360131,0.05688894,1.48820644
-5.90995498,10.82475640,1.76524302,7.86028290,0.01290712,0.69338803,0.23152055,0.05922009,1.51225385
-5.90395198,10.97322758,1.78268501,7.95397866,0.01353146,0.71860040,0.23931185,0.06165930,1.53786113
-5.89794897,11.13611598,1.80590691,8.05710252,0.01417287,0.74598485,0.24682953,0.06414968,1.56433016
-5.89194597,11.30757685,1.83368290,8.16567658,0.01482410,0.77493256,0.25392585,0.06663191,1.59088208
-5.88594297,11.48116916,1.86465331,8.27529637,0.01547692,0.80477067,0.26045418,0.06904558,1.61667666
-5.87993997,11.65002838,1.89736326,8.38125054,0.01612225,0.83477722,0.26627238,0.07133066,1.64083511
-5.87393697,11.80706176,1.93030511,8.47865683,0.01675031,0.86419844,0.27124625,0.07342895,1.66246549
-5.86793397,11.94515990,1.96196374,8.56260977,0.01735079,0.89226802,0.27525292,0.07528560,1.68069011
-5.86193097,12.05741774,1.99086306,8.62833545,0.01791315,0.91822767,0.27818420,0.07685063,1.69467382
-5.85592796,12.13735685,2.01561221,8.67134742,0.01842685,0.94134835,0.27994962,0.07808023,1.70365231
-5.84992496,12.17914063,2.03495001,8.68759797,0.01888167,0.96095139,0.28047924,0.07893809,1.70695904
