energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,9.82887547,0.01206129,1.53488062,0.57205521,0.23492442,5.06776625,3.97704406,0.04755277,2.71657610
-5.99399700,9.97231617,0.01194159,1.57159417,0.57363791,0.23889060,5.07311997,4.07044950,0.05085333,2.73317040
-5.98799400,10.10197376,0.01191054,1.60555759,0.57572927,0.24278745,5.06114034,4.16038392,0.05450978,2.74765438
-5.98199100,10.21781304,0.01197461,1.63641041,0.57841060,0.24666506,5.03271191,4.24608888,0.05850633,2.76057922
-5.97598799,10.32018837,0.01213981,1.66385874,0.58178227,0.25057327,4.98902832,4.32694656,0.06282220,2.77259041
-5.96998499,10.40977838,0.01241148,1.68767607,0.58595745,0.25455781,4.93154544,4.40247180,0.06743158,2.78439136
-5.96398199,10.48750826,0.01279409,1.70770276,0.59105447,0.25865657,4.86192677,4.47229970,0.07230344,2.79670269
-5.95797899,10.55446456,0.01329091,1.72384424,0.59718829,0.26289586,4.78198385,4.53616980,0.07740161,2.81021970
-5.95197599,10.61180719,0.01390377,1.73606814,0.60446172,0.26728716,4.69361448,4.59390834,0.08268487,2.82557046
-5.94597299,10.66068370,0.01463272,1.74440043,0.61295674,0.27182453,4.59874123,4.64540961,0.08810717,2.84327671
-5.93996998,10.70215013,0.01547576,1.74892065,0.62272666,0.27648272,4.49925294,4.69061751,0.09361809,2.86371996
-5.93396698,10.73710209,0.01642858,1.74975628,0.63378933,0.28121635,4.39695120,4.72950835,0.09916331,2.88711448
-5.92796398,10.76621917,0.01748433,1.74707646,0.64612197,0.28596011,4.29350358,4.76207544,0.10468540,2.91348862
-5.92196098,10.78992437,0.01863350,1.74108495,0.65965770,0.29063007,4.19040483,4.78831614,0.11012464,2.94267534
-5.91595798,10.80835974,0.01986387,1.73201254,0.67428406,0.29512606,4.08894693,4.80822150,0.11542006,2.97431229
-5.90995498,10.82137829,0.02116056,1.72010913,0.68984348,0.29933506,3.99019826,4.82176871,0.12051050,3.00785133
-5.90395198,10.82855130,0.02250618,1.70563551,0.70613567,0.30313534,3.89499184,4.82891624,0.12533586,3.04257666
-5.89794897,10.82918978,0.02388115,1.68885515,0.72292176,0.30640136,3.80392241,4.82960153,0.12983826,3.07763054
-5.89194597,10.82237824,0.02526412,1.67002635,0.73993008,0.30900895,3.71735144,4.82374110,0.13396333,3.11204527
-5.88594297,10.80701853,0.02663242,1.64939487,0.75686311,0.31084066,3.63541957,4.81123272,0.13766129,3.14477953
-5.87993997,10.78188143,0.02796276,1.62718760,0.77340562,0.31179108,3.55806526,4.79195961,0.14088807,3.17475764
-5.87393697,10.74566393,0.02923188,1.60360742,0.78923340,0.31177160,3.48504883,4.76579634,0.14360623,3.20090974
-5.86793397,10.69704978,0.03041737,1.57882955,0.80402254,0.31071476,3.41598085,4.73261649,0.14578572,3.22221135
-5.86193097,10.63477153,0.03149838,1.55299976,0.81745879,0.30857762,3.35035374,4.69230183,0.14740446,3.23772096
-5.85592796,10.55767221,0.03245650,1.52623444,0.82924688,0.30534433,3.28757576,4.64475299,0.14844873,3.24661411
-5.84992496,10.46476502,0.03327644,1.49862263,0.83911953,0.30102758,3.22700621,4.58990147,0.14891334,3.24821330
-5.84392196,10.35528975,0.03394675,1.47022996,0.84684587,0.29566899,3.16799095,4.52772283,0.14880158,3.24201278
-5.83791896,10.22876426,0.03446042,1.44110424,0.85223918,0.28933844,3.10989729,4.45825070,0.14812504,3.22769788
-5.83191596,10.08503002,0.03481526,1.41128239,0.85516366,0.28213243,3.05214703,4.38159114,0.14690323,3.20515858
-5.82591296,9.92429016,0.03501427,1.38079832,0.85554010,0.27417152,2.99424690,4.29793689,0.14516307,3.17449715
-5.81990995,9.74713869,0.03506568,1.34969114,0.85335029,0.26559703,2.93581514,4.20758065,0.14293821,3.13603015
-5.81390695,9.55457962,0.03498292,1.31801319,0.84863991,0.25656718,2.87660353,4.11092661,0.14026838,3.09028472
-5.80790395,9.34803457,0.03478434,1.28583728,0.84151987,0.24725281,2.81651371,4.00849937,0.13719852,3.03798955
-5.80190095,9.12933775,0.03449274,1.25326257,0.83216587,0.23783283,2.75560731,3.90094928,0.13377803,2.98006074
-5.79589795,8.90071740,0.03413473,1.22041854,0.82081605,0.22848971,2.69410918,3.78905346,0.13005982,2.91758295
-5.78989495,8.66476308,0.03373996,1.18746678,0.80776682,0.21940499,2.63240345,3.67371167,0.12609948,2.85178615
