energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,0.96169931,0.02140379,0.10568380,0.32523965,0.18671773,0.20785435,0.53992988,0.00000000
-5.99399700,1.01124888,0.02121923,0.11014931,0.34315977,0.19656724,0.21786958,0.57032386,0.00000000
-5.98799400,1.06324439,0.02100833,0.11437552,0.36222539,0.20643664,0.22951111,0.60292514,0.00000000
-5.98199100,1.11728705,0.02077298,0.11834755,0.38235035,0.21625855,0.24270177,0.63744930,0.00000000
-5.97598799,1.17297665,0.02051556,0.12206245,0.40344269,0.22597545,0.25733915,0.67359105,0.00000000
-5.96998499,1.22992046,0.02023889,0.12552960,0.42540570,0.23554140,0.27329766,0.71103064,0.00000000
-5.96398199,1.28774183,0.01994628,0.12877067,0.44813928,0.24492329,0.29043161,0.74944097,0.00000000
-5.95797899,1.34608847,0.01964150,0.13181902,0.47154141,0.25410175,0.30857924,0.78849505,0.00000000
-5.95197599,1.40464026,0.01932885,0.13471878,0.49550993,0.26307166,0.32756769,0.82787391,0.00000000
-5.94597299,1.46311643,0.01901313,0.13752349,0.51994441,0.27184218,0.34721846,0.86727460,0.00000000
-5.93996998,1.52128196,0.01869963,0.14029441,0.54474811,0.28043647,0.36735340,0.90641799,0.00000000
-5.93396698,1.57895285,0.01839416,0.14309863,0.56983000,0.28889097,0.38780073,0.94505617,0.00000000
-5.92796398,1.63600006,0.01810297,0.14600694,0.59510653,0.29725434,0.40840082,0.98297894,0.00000000
-5.92196098,1.69235163,0.01783275,0.14909166,0.62050314,0.30558600,0.42901134,1.02001913,0.00000000
-5.91595798,1.74799278,0.01759052,0.15242443,0.64595527,0.31395436,0.44951149,1.05605620,0.00000000
-5.90995498,1.80296344,0.01738360,0.15607392,0.67140863,0.32243460,0.46980498,1.09101788,0.00000000
-5.90395198,1.85735290,0.01721943,0.16010375,0.69681872,0.33110613,0.48982145,1.12487953,0.00000000
-5.89794897,1.91129151,0.01710547,0.16457036,0.72214927,0.34004958,0.50951623,1.15766081,0.00000000
-5.89194597,1.96493895,0.01704901,0.16952101,0.74736971,0.34934346,0.52886834,1.18941984,0.00000000
-5.88594297,2.01846955,0.01705697,0.17499198,0.77245151,0.35906047,0.54787662,1.22024465,0.00000000
-5.87993997,2.07205454,0.01713565,0.18100675,0.79736354,0.36926345,0.56655443,1.25024220,0.00000000
-5.87393697,2.12584208,0.01729047,0.18757444,0.82206667,0.38000116,0.58492283,1.27952545,0.00000000
-5.86793397,2.17993551,0.01752574,0.19468835,0.84650774,0.39130392,0.60300288,1.30819884,0.00000000
-5.86193097,2.23437119,0.01784431,0.20232474,0.87061340,0.40317940,0.62080740,1.33634316,0.00000000
-5.85592796,2.28909672,0.01824734,0.21044181,0.89428412,0.41560857,0.63833279,1.36400034,0.00000000
-5.84992496,2.34395126,0.01873399,0.21897907,0.91738903,0.42854231,0.65555132,1.39115939,0.00000000
-5.84392196,2.39864916,0.01930122,0.22785702,0.93976178,0.44189863,0.67240471,1.41774426,0.00000000
-5.83791896,2.45276832,0.01994360,0.23697738,0.96119828,0.45556095,0.68879931,1.44360451,0.00000000
-5.83191596,2.50574461,0.02065317,0.24622383,0.98145637,0.46937767,0.70460340,1.46850983,0.00000000
-5.82591296,2.55687324,0.02141944,0.25546344,1.00025797,0.48316306,0.71964692,1.49214881,0.00000000
-5.81990995,2.60531802,0.02222938,0.26454867,1.01729379,0.49669983,0.73372394,1.51413249,0.00000000
-5.81390695,2.65012844,0.02306765,0.27332023,1.03223063,0.50974318,0.74659765,1.53400297,0.00000000
-5.80790395,2.69026468,0.02391682,0.28161050,1.04472117,0.52202664,0.75800796,1.55124666,0.00000000
-5.80190095,2.72462969,0.02475773,0.28924768,1.05441578,0.53326919,0.76768124,1.56531205,0.00000000
-5.79589795,2.75210720,0.02557000,0.29606037,1.06097600,0.54318380,0.77534179,1.57563100,0.00000000
-5.78989495,2.77160397,0.02633253,0.30188266,1.06408895,0.55148682,0.78072437,1.58164264,0.00000000
-5.78389195,2.78209443,0.02702418,0.30655933,1.06348192,0.55790796,0.78358714,1.58281874,0.00000000
-5.77788894,2.78266523,0.02762435,0.30995103,1.05893634,0.56220032,0.78372426,1.57868908,0.00000000
-5.77188594,2.77255764,0.02811374,0.31193927,1.05030033,0.56415016,0.78097735,1.56886550,0.00000000
-5.76588294,2.75120519,0.02847495,0.31243086,1.03749895,0.56358566,0.77524513,1.55306326,0.00000000
-5.75987994,2.71826471,0.02869310,0.31136163,1.02054170,0.56038443,0.76649066,1.53111846,0.00000000
-5.75387694,2.67363872,0.02875638,0.30869918,0.99952646,0.55447927,0.75474572,1.50300058,0.00000000
-5.74787394,2.61748807,0.02865649,0.30444466,0.97463986,0.54586188,0.74011199,1.46881931,0.00000000
-5.74187094,2.55023384,0.02838889,0.29863318,0.94615371,0.53458430,0.72275899,1.42882524,0.00000000
-5.73586793,2.47254852,0.02795304,0.29133306,0.91441785,0.52075799,0.70291882,1.38340459,0.00000000
-5.72986493,2.38533673,0.02735238,0.28264387,0.87984956,0.50455061,0.68087806,1.33306785,0.00000000
-5.72386193,2.28970659,0.02659421,0.27269326,0.84292020,0.48618062,0.65696724,1.27843347,0.00000000
-5.71785893,2.18693325,0.02568939,0.26163281,0.80413974,0.46591001,0.63154847,1.22020704,0.00000000
-5.71185593,2.07841644,0.02465202,0.24963312,0.76404002,0.44403551,0.60500192,1.15915742,0.00000000
-5.70585293,1.96563442,0.02349883,0.23687826,0.72315752,0.42087876,0.57771198,1.09609100,0.00000000
-5.69984992,1.85009650,0.02224869,0.22356001,0.68201672,0.39677587,0.55005367,1.03182540,0.00000000
-5.69384692,1.73329648,0.02092192,0.20987201,0.64111462,0.37206696,0.52238016,0.96716393,0.00000000
-5.68784392,1.61666938,0.01953963,0.19600417,0.60090739,0.34708600,0.49501199,0.90287211,0.00000000
-5.68184092,1.50155302,0.01812310,0.18213753,0.56179950,0.32215164,0.46822829,0.83965721,0.00000000
-5.67583792,1.38915630,0.01669313,0.16843984,0.52413597,0.29755913,0.44226063,0.77815162,0.00000000
