energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,4.97657817,-2.62992303,0.07506280,-0.05586565,0.74397739,-0.52015678,0.01124323,-0.00646549,0.00000000,-0.00000000,1.49678549,-0.54813787,1.32527278,-0.48054089,0.04726284,-0.04522382,1.66144377,-0.85119145
-5.99399700,5.01663872,-2.48492590,0.07554294,-0.05263821,0.73713328,-0.48880855,0.01099811,-0.00619281,0.00000000,-0.00000000,1.51133179,-0.52351845,1.31535908,-0.45220321,0.04699505,-0.04256669,1.69799831,-0.80863624
-5.98799400,5.05589226,-2.34022628,0.07605577,-0.04935525,0.72954582,-0.45746614,0.01075157,-0.00591153,0.00000000,-0.00000000,1.52326564,-0.49960335,1.30594626,-0.42367785,0.04688616,-0.03989238,1.73497784,-0.76632324
-5.98199100,5.09582104,-2.19796356,0.07662150,-0.04607303,0.72153779,-0.42657219,0.01050990,-0.00562588,0.00000000,-0.00000000,1.53306272,-0.47696484,1.29760199,-0.39535536,0.04696468,-0.03723311,1.77270511,-0.72493100
-5.97598799,5.13791434,-2.06027000,0.07725701,-0.04284623,0.71343997,-0.39655867,0.01027932,-0.00534041,0.00000000,-0.00000000,1.54129037,-0.45617049,1.29085020,-0.36762211,0.04725462,-0.03462014,1.81150723,-0.68514862
-5.96998499,5.18361175,-1.92922080,0.07797457,-0.03972681,0.70558143,-0.36783823,0.01006585,-0.00505992,0.00000000,-0.00000000,1.54859057,-0.43776935,1.28615272,-0.34085249,0.04777495,-0.03208317,1.85169877,-0.64765779
-5.96398199,5.23424600,-1.80678888,0.07878081,-0.03676307,0.69827960,-0.34079685,0.00987517,-0.00478926,0.00000000,-0.00000000,1.55565942,-0.42227886,1.28389299,-0.31540229,0.04853896,-0.02964990,1.89356436,-0.61311589
-5.95797899,5.29098814,-1.69480544,0.07967583,-0.03399875,0.69183054,-0.31578791,0.00971252,-0.00453329,0.00000000,-0.00000000,1.56322371,-0.41017273,1.28436254,-0.29160308,0.04955399,-0.02734561,1.93734183,-0.58214031
-5.95197599,5.35479823,-1.59492693,0.08065269,-0.03147248,0.68649987,-0.29312783,0.00958257,-0.00429672,0.00000000,-0.00000000,1.57201598,-0.40187011,1.28775116,-0.26975793,0.05082119,-0.02519294,1.98320704,-0.55529472
-5.94597299,5.42638444,-1.50860888,0.08169715,-0.02921728,0.68251473,-0.27309296,0.00948936,-0.00408402,0.00000000,-0.00000000,1.58274900,-0.39772627,1.29414116,-0.25013826,0.05233555,-0.02321172,2.03126135,-0.53307731
