energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,1.49725332,0.05342935,0.00078240,0.19055112,0.69655237,0.07705405,0.35075508
-5.99399700,1.39488957,0.04866493,0.00071466,0.17658371,0.65256435,0.07312810,0.32679555
-5.98799400,1.29508557,0.04423593,0.00065045,0.16309363,0.60903343,0.06905415,0.30327643
-5.98199100,1.19839180,0.04013649,0.00058996,0.15014608,0.56629770,0.06488555,0.28036889
-5.97598799,1.10533303,0.03635677,0.00053332,0.13780204,0.52469431,0.06067842,0.25823728
-5.96998499,1.01640834,0.03288424,0.00048059,0.12611846,0.48455580,0.05649050,0.23703769
-5.96398199,0.93209199,0.02970468,0.00043178,0.11514865,0.44620746,0.05238010,0.21691696
-5.95797899,0.85283492,0.02680321,0.00038688,0.10494268,0.40996539,0.04840510,0.19801230
-5.95197599,0.77906664,0.02416506,0.00034583,0.09554796,0.37613533,0.04462220,0.18045119
-5.94597299,0.71119735,0.02177622,0.00030857,0.08700983,0.34501214,0.04108624,0.16435176
-5.93996998,0.64962006,0.01962386,0.00027499,0.07937211,0.31687974,0.03784972,0.14982339
-5.93396698,0.59471254,0.01769668,0.00024502,0.07267765,0.29201135,0.03496249,0.13696747
-5.92796398,0.54683883,0.01598501,0.00021853,0.06696881,0.27066992,0.03247154,0.12587821
-5.92196098,0.50635019,0.01448089,0.00019544,0.06228777,0.25310843,0.03042091,0.11664350
-5.91595798,0.47358515,0.01317794,0.00017564,0.05867666,0.23956993,0.02885173,0.10934543
-5.90995498,0.44886838,0.01207124,0.00015904,0.05617757,0.23028701,0.02780217,0.10406076
-5.90395198,0.43250835,0.01115710,0.00014555,0.05483210,0.22548059,0.02730751,0.10086084
-5.89794897,0.42479322,0.01043276,0.00013509,0.05468086,0.22535771,0.02740007,0.09981119
-5.89194597,0.42598514,0.00989612,0.00012758,0.05576241,0.23010835,0.02810912,0.10097054
-5.88594297,0.43631259,0.00954542,0.00012296,0.05811200,0.23990102,0.02946058,0.10438933
-5.87993997,0.45596097,0.00937888,0.00012116,0.06175996,0.25487720,0.03147667,0.11010765
-5.87393697,0.48506140,0.00939446,0.00012211,0.06672972,0.27514467,0.03417537,0.11815269
-5.86793397,0.52367811,0.00958946,0.00012574,0.07303562,0.30076996,0.03756970,0.12853569
