energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,2.05559449,0.05998159,0.06497006,0.45908996,0.24717409,1.02474241,0.68887458,0.05781658,0.72830498
-5.99399700,2.02208087,0.05937402,0.06169479,0.44557235,0.24230939,1.00468320,0.68513241,0.05711995,0.71460881
-5.98799400,1.98509489,0.05842312,0.05837352,0.43070598,0.23668198,0.98128076,0.68193953,0.05616092,0.69946888
-5.98199100,1.94568060,0.05714650,0.05503520,0.41466124,0.23036596,0.95487291,0.67988052,0.05495688,0.68323702
-5.97598799,1.90498421,0.05556822,0.05170878,0.39763072,0.22345281,0.92586143,0.67956354,0.05352959,0.66629989
-5.96998499,1.86422186,0.05371795,0.04842255,0.37982386,0.21604874,0.89470097,0.68160327,0.05190454,0.64906826
-5.96398199,1.82464570,0.05162996,0.04520344,0.36146144,0.20827159,0.86188669,0.68660360,0.05011007,0.63196599
-5.95797899,1.78750949,0.04934208,0.04207647,0.34276984,0.20024755,0.82794143,0.69514059,0.04817657,0.61541887
-5.95197599,1.75403476,0.04689450,0.03906422,0.32397567,0.19210769,0.79340248,0.70774604,0.04613558,0.59984370
-5.94597299,1.72537869,0.04432862,0.03618650,0.30530052,0.18398449,0.75880865,0.72489226,0.04401891,0.58563803
-5.93996998,1.70260430,0.04168588,0.03346012,0.28695637,0.17600849,0.72468790,0.74697829,0.04185786,0.57317070
-5.93396698,1.68665392,0.03900672,0.03089875,0.26914152,0.16830513,0.69154586,0.77431803,0.03968243,0.56277341
-5.92796398,1.67832638,0.03632952,0.02851294,0.25203731,0.16099187,0.65985544,0.80713026,0.03752068,0.55473349
-5.92196098,1.67825824,0.03368985,0.02631022,0.23580553,0.15417565,0.63004774,0.84553097,0.03539813,0.54928792
-5.91595798,1.68690941,0.03111967,0.02429531,0.22058661,0.14795072,0.60250446,0.88952791,0.03333738,0.54661873
-5.90995498,1.70455308,0.02864690,0.02247038,0.20649855,0.14239692,0.57755174,0.93901743,0.03135775,0.54684963
-5.90395198,1.73127006,0.02629497,0.02083536,0.19363659,0.13757835,0.55545549,0.99378352,0.02947511,0.55004403
-5.89794897,1.76694722,0.02408267,0.01938835,0.18207349,0.13354247,0.53641831,1.05349908,0.02770186,0.55620424
-5.89194597,1.81128000,0.02202413,0.01812593,0.17186033,0.13031962,0.52057776,1.11772908,0.02604695,0.56527185
-5.88594297,1.86377840,0.02012889,0.01704357,0.16302783,0.12792291,0.50800607,1.18593570,0.02451606,0.57712924
-5.87993997,1.92377651,0.01840220,0.01613596,0.15558800,0.12634850,0.49871112,1.25748515,0.02311185,0.59160200
-5.87393697,1.99044495,0.01684533,0.01539733,0.14953597,0.12557620,0.49263856,1.33165607,0.02183432,0.60846240
-5.86793397,2.06280606,0.01545605,0.01482172,0.14485201,0.12557039,0.48967516,1.40764939,0.02068119,0.62743358
-5.86193097,2.13975162,0.01422916,0.01440320,0.14150362,0.12628119,0.48965297,1.48459954,0.01964830,0.64819460
-5.85592796,2.22006269,0.01315701,0.01413597,0.13944743,0.12764594,0.49235455,1.56158699,0.01873010,0.67038618
-5.84992496,2.30243153,0.01223013,0.01401450,0.13863108,0.12959083,0.49751888,1.63765193,0.01792005,0.69361710
-5.84392196,2.38548531,0.01143781,0.01403353,0.13899486,0.13203277,0.50484799,1.71180928,0.01721108,0.71747124
-5.83791896,2.46781136,0.01076867,0.01418800,0.14047306,0.13488141,0.51401417,1.78306467,0.01659597,0.74151515
-5.83191596,2.54798397,0.01021124,0.01447297,0.14299509,0.13804134,0.52466768,1.85043163,0.01606772,0.76530616
-5.82591296,2.62459217,0.00975444,0.01488351,0.14648632,0.14141429,0.53644478,1.91294971,0.01561981,0.78840085
-5.81990995,2.69626845,0.00938805,0.01541443,0.15086864,0.14490150,0.54897600,1.96970326,0.01524651,0.81036389
-5.81390695,2.76171779,0.00910312,0.01606018,0.15606082,0.14840607,0.56189445,2.01984092,0.01494299,0.83077703
-5.80790395,2.81974652,0.00889221,0.01681458,0.16197867,0.15183527,0.57484404,2.06259505,0.01470551,0.84924812
-5.80190095,2.86929047,0.00874971,0.01767064,0.16853507,0.15510276,0.58748745,2.09730092,0.01453141,0.86541988
-5.79589795,2.90944141,0.00867193,0.01862040,0.17564005,0.15813067,0.59951361,2.12341503,0.01441915,0.87897838
-5.78989495,2.93947112,0.00865719,0.01965479,0.18320076,0.16085150,0.61064443,2.14053173,0.01436824,0.88966070
-5.78389195,2.95885210,0.00870576,0.02076354,0.19112167,0.16320964,0.62064078,2.14839773,0.01437914,0.89726169
-5.77788894,2.96727392,0.00881976,0.02193517,0.19930485,0.16516268,0.62930726,2.14692343,0.01445308,0.90163955
-5.77188594,2.96465441,0.00900297,0.02315705,0.20765043,0.16668219,0.63649584,2.13619068,0.01459192,0.90271982
-5.76588294,2.95114486,0.00926050,0.02441546,0.21605736,0.16775414,0.64210796,2.11645602,0.01479792,0.90049774
-5.75987994,2.92712856,0.00959849,0.02569582,0.22442435,0.16837879,0.64609518,2.08814923,0.01507348,0.89503859
-5.75387694,2.89321238,0.01002361,0.02698290,0.23265101,0.16857010,0.64845830,2.05186653,0.01542087,0.88647608
-5.74787394,2.85021118,0.01054266,0.02826109,0.24063916,0.16835463,0.64924475,2.00835858,0.01584203,0.87500865
-5.74187094,2.79912536,0.01116202,0.02951471,0.24829430,0.16777005,0.64854459,1.95851326,0.01633822,0.86089367
-5.73586793,2.74111202,0.01188712,0.03072836,0.25552704,0.16686310,0.64648503,1.90333371,0.01690977,0.84443982
-5.72986493,2.67745057,0.01272192,0.03188725,0.26225458,0.16568734,0.64322376,1.84391216,0.01755589,0.82599777
-5.72386193,2.60950412,0.01366841,0.03297748,0.26840196,0.16430062,0.63894132,1.78140062,0.01827432,0.80594948
-5.71785893,2.53867791,0.01472612,0.03398634,0.27390324,0.16276236,0.63383281,1.71697933,0.01906125,0.78469655
-5.71185593,2.46637661,0.01589180,0.03490256,0.27870229,0.16113088,0.62809927,1.65182425,0.01991108,0.76264806
-5.70585293,2.39396203,0.01715904,0.03571645,0.28275341,0.15946084,0.62193911,1.58707496,0.02081634,0.74020827
-5.69984992,2.32271318,0.01851817,0.03642006,0.28602151,0.15780086,0.61554001,1.52380417,0.02176768,0.71776486
-5.69384692,2.25379029,0.01995614,0.03700717,0.28848201,0.15619158,0.60907151,1.46299020,0.02275388,0.69567794
-5.68784392,2.18820430,0.02145668,0.03747335,0.29012053,0.15466408,0.60267885,1.40549336,0.02376197,0.67427048
-5.68184092,2.12679314,0.02300053,0.03781586,0.29093219,0.15323890,0.59647813,1.35203745,0.02477746,0.65382037
-5.67583792,2.07020573,0.02456585,0.03803353,0.29092089,0.15192567,0.59055311,1.30319671,0.02578464,0.63455448
-5.66983492,2.01889429,0.02612877,0.03812666,0.29009840,0.15072324,0.58495387,1.25938897,0.02676696,0.61664492
-5.66383192,1.97311512,0.02766412,0.03809688,0.28848353,0.14962059,0.57969726,1.22087484,0.02770752,0.60020756
-5.65782891,1.93293770,0.02914619,0.03794697,0.28610136,0.14859814,0.57476924,1.18776298,0.02858964,0.58530283
-5.65182591,1.89826148,0.03054967,0.03768073,0.28298265,0.14762965,0.57012890,1.16002101,0.02939742,0.57193871
-5.64582291,1.86883951,0.03185060,0.03730292,0.27916347,0.14668454,0.56571412,1.13749125,0.03011641,0.56007575
-5.63981991,1.84430759,0.03302728,0.03681916,0.27468510,0.14573044,0.56144846,1.11991072,0.03073423,0.54963378
-5.63381691,1.82421766,0.03406126,0.03623590,0.26959423,0.14473590,0.55724904,1.10693416,0.03124125,0.54049999
