energy_ev,total_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,4.08223395,0.42447320,0.07994014,1.71838272,3.48927253,0.01489536,0.06602926,0.24628805,0.00000000
-5.99399700,4.05542770,0.44647886,0.08198406,1.72589216,3.43545887,0.01556857,0.06922869,0.25042705,0.00000000
-5.98799400,4.01913103,0.46786916,0.08404130,1.72807993,3.37338694,0.01622954,0.07246053,0.25380113,0.00000000
-5.98199100,3.97387230,0.48843016,0.08610973,1.72491285,3.30381743,0.01687529,0.07570043,0.25633473,0.00000000
-5.97598799,3.92034105,0.50795795,0.08818630,1.71644108,3.22765660,0.01750301,0.07892319,0.25797040,0.00000000
-5.96998499,3.85934726,0.52626181,0.09026637,1.70279171,3.14591208,0.01811000,0.08210295,0.25866981,0.00000000
-5.96398199,3.79177866,0.54316685,0.09234299,1.68416079,3.05964743,0.01869359,0.08521327,0.25841399,0.00000000
-5.95797899,3.71855831,0.55851604,0.09440626,1.66080432,2.96993765,0.01925104,0.08822730,0.25720322,0.00000000
-5.95197599,3.64060460,0.57217164,0.09644280,1.63302856,2.87782786,0.01977943,0.09111790,0.25505638,0.00000000
-5.94597299,3.55879568,0.58401618,0.09843543,1.60118036,2.78429697,0.02027561,0.09385780,0.25200988,0.00000000
-5.93996998,3.47393997,0.59395297,0.10036292,1.56563761,2.69022793,0.02073609,0.09641979,0.24811625,0.00000000
-5.93396698,3.38675408,0.60190647,0.10220022,1.52680066,2.59638566,0.02115708,0.09877706,0.24344258,0.00000000
-5.92796398,3.29784892,0.60782248,0.10391876,1.48508457,2.50340321,0.02153443,0.10090359,0.23806871,0.00000000
-5.92196098,3.20772435,0.61166836,0.10548713,1.44091287,2.41177643,0.02186376,0.10277469,0.23208545,0.00000000
-5.91595798,3.11677236,0.61343352,0.10687213,1.39471271,2.32186683,0.02214048,0.10436768,0.22559286,0.00000000
-5.90995498,3.02528798,0.61313010,0.10803992,1.34691155,2.23391185,0.02236006,0.10566273,0.21869860,0.00000000
-5.90395198,2.93348709,0.61079393,0.10895749,1.29793538,2.14804156,0.02251813,0.10664373,0.21151655,0.00000000
-5.89794897,2.84152964,0.60648585,0.10959433,1.24820826,2.06430038,0.02261080,0.10729938,0.20416559,0.00000000
-5.89194597,2.74954661,0.60029313,0.10992406,1.19815301,1.98267232,0.02263489,0.10762417,0.19676866,0.00000000
-5.88594297,2.65766899,0.59233106,0.10992620,1.14819255,1.90310796,0.02258825,0.10761944,0.18945195,0.00000000
-5.87993997,2.56605668,0.58274430,0.10958773,1.09875178,1.82555166,0.02246998,0.10729431,0.18234430,0.00000000
-5.87393697,2.47492544,0.57170786,0.10890453,1.05025925,1.74996722,0.02228077,0.10666645,0.17557671,0.00000000
-5.86793397,2.38457024,0.55942758,0.10788250,1.00314844,1.67636061,0.02202304,0.10576261,0.16928175,0.00000000
-5.86193097,2.29538323,0.54613955,0.10653837,0.95785807,1.60479849,0.02170117,0.10461888,0.16359297,0.00000000
-5.85592796,2.20786514,0.53210856,0.10490007,0.91483108,1.53542159,0.02132154,0.10328053,0.15864405,0.00000000
-5.84992496,2.12262918,0.51762523,0.10300656,0.87451202,1.46845213,0.02089256,0.10180150,0.15456766,0.00000000
-5.84392196,2.04039696,0.50300167,0.10090727,0.83734260,1.40419514,0.02042456,0.10024346,0.15149395,0.00000000
-5.83791896,1.96198629,0.48856578,0.09866101,0.80375526,1.34303342,0.01992966,0.09867439,0.14954864,0.00000000
-5.83191596,1.88829124,0.47465406,0.09633438,0.77416494,1.28541672,0.01942143,0.09716683,0.14885061,0.00000000
-5.82591296,1.82025527,0.46160329,0.09399985,0.74895908,1.23184545,0.01891459,0.09579574,0.14950910,0.00000000
-5.81990995,1.75883867,0.44974106,0.09173339,0.72848626,1.18285010,0.01842454,0.09463606,0.15162052,0.00000000
-5.81390695,1.70498160,0.43937581,0.08961200,0.71304396,1.13896717,0.01796692,0.09376013,0.15526498,0.00000000
