energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,4.67208483,0.00659550,0.61119755,1.36570472,0.61768521,1.38439504,1.64135412,0.01751144,1.74878601
-5.99399700,4.61659245,0.00653013,0.60603318,1.35415206,0.60604791,1.36362417,1.62703794,0.01767363,1.72214852
-5.98799400,4.54383550,0.00646645,0.59826631,1.33700066,0.59235042,1.33814180,1.60675775,0.01778167,1.68902722
-5.98199100,4.45506663,0.00640739,0.58799961,1.31448671,0.57687645,1.30822125,1.58090148,0.01784122,1.64997175
-5.97598799,4.35175434,0.00635568,0.57537448,1.28692864,0.55993286,1.27418775,1.54992517,0.01785908,1.60561299
-5.96998499,4.23554800,0.00631386,0.56056858,1.25472161,0.54184082,1.23641384,1.51434233,0.01784281,1.55664797
-5.96398199,4.10823930,0.00628412,0.54379260,1.21832995,0.52292669,1.19531404,1.47471221,0.01780045,1.50382342
-5.95797899,3.97172100,0.00626826,0.52528592,1.17827794,0.50351302,1.15133865,1.43162762,0.01774013,1.44791841
-5.95197599,3.82794406,0.00626760,0.50531161,1.13513878,0.48390984,1.10496671,1.38570224,0.01766973,1.38972644
-5.94597299,3.67887403,0.00628293,0.48415051,1.08952211,0.46440664,1.05669807,1.33755793,0.01759650,1.33003746
-5.93996998,3.52644798,0.00631444,0.46209483,1.04206035,0.44526517,1.00704464,1.28781234,0.01752673,1.26962024
-5.93396698,3.37253312,0.00636173,0.43944132,0.99339418,0.42671345,0.95652108,1.23706702,0.01746543,1.20920565
-5.92796398,3.21888822,0.00642376,0.41648419,0.94415761,0.40894097,0.90563501,1.18589643,0.01741611,1.14947118
-5.92196098,3.06712906,0.00649886,0.39350818,0.89496327,0.39209542,0.85487706,1.13483810,0.01738058,1.09102744
-5.91595798,2.91869889,0.00658479,0.37078183,0.84638819,0.37628091,0.80471120,1.08438415,0.01735890,1.03440674
-5.90995498,2.77484489,0.00667876,0.34855134,0.79896088,0.36155776,0.75556558,1.03497442,0.01734931,0.98005442
-5.90395198,2.63660130,0.00677749,0.32703521,0.75314997,0.34794378,0.70782430,0.98699138,0.01734834,0.92832312
-5.89794897,2.50477974,0.00687735,0.30641982,0.70935503,0.33541706,0.66182055,0.94075681,0.01735097,0.87947009
-5.89194597,2.37996702,0.00697444,0.28685624,0.66789983,0.32391998,0.61783130,0.89653049,0.01735089,0.83365779
-5.88594297,2.26253020,0.00706472,0.26845823,0.62902828,0.31336443,0.57607385,0.85451056,0.01734076,0.79095765
-5.87993997,2.15262876,0.00714415,0.25130161,0.59290334,0.30363784,0.53670442,0.81483579,0.01731262,0.75135682
-5.87393697,2.05023316,0.00720884,0.23542493,0.55960861,0.29460986,0.49981879,0.77758936,0.01725827,0.71476760
-5.86793397,1.95514879,0.00725523,0.22083151,0.52915280,0.28613945,0.46545499,0.74280396,0.01716967,0.68103919
-5.86193097,1.86704449,0.00728018,0.20749249,0.50147652,0.27808192,0.43359786,0.71046816,0.01703941,0.64997117
-5.85592796,1.78548406,0.00728111,0.19535107,0.47646131,0.27029589,0.40418527,0.68053343,0.01686101,0.62132827
-5.84992496,1.70995965,0.00725619,0.18432736,0.45394017,0.26264971,0.37711574,0.65292187,0.01662937,0.59485563
-5.84392196,1.63992557,0.00720431,0.17432395,0.43370939,0.25502715,0.35225691,0.62753407,0.01634101,0.57029410
-5.83791896,1.57483115,0.00712527,0.16523173,0.41554078,0.24733230,0.32945479,0.60425701,0.01599428,0.54739486
-5.83191596,1.51415158,0.00701974,0.15693580,0.39919417,0.23949334,0.30854295,0.58297165,0.01558955,0.52593285
-5.82591296,1.45741545,0.00688928,0.14932117,0.38442923,0.23146524,0.28935170,0.56356001,0.01512928,0.50571850
-5.81990995,1.40422833,0.00673636,0.14227816,0.37101649,0.22323126,0.27171656,0.54591161,0.01461793,0.48660744
-5.81390695,1.35429161,0.00656425,0.13570712,0.35874695,0.21480330,0.25548582,0.52992910,0.01406195,0.46850776
-5.80790395,1.30741634,0.00637699,0.12952249,0.34744006,0.20622119,0.24052703,0.51553299,0.01346956,0.45138481
-5.80190095,1.26353174,0.00617922,0.12365597,0.33694981,0.19755086,0.22673207,0.50266551,0.01285049,0.43526337
-5.79589795,1.22268858,0.00597615,0.11805882,0.32716884,0.18888182,0.21402088,0.49129349,0.01221575,0.42022721
-5.78989495,1.18505758,0.00577333,0.11270323,0.31803052,0.18032373,0.20234367,0.48141034,0.01157727,0.40641626
-5.78389195,1.15092322,0.00557657,0.10758277,0.30950903,0.17200257,0.19168166,0.47303718,0.01094754,0.39402149
-5.77788894,1.12067351,0.00539173,0.10271204,0.30161771,0.16405636,0.18204659,0.46622304,0.01033928,0.38327784
-5.77188594,1.09478622,0.00522461,0.09812546,0.29440563,0.15663066,0.17347893,0.46104435,0.00976504,0.37445544
-5.76588294,1.07381213,0.00508078,0.09387552,0.28795289,0.14987406,0.16604506,0.45760357,0.00923689,0.36784947
-5.75987994,1.05835610,0.00496543,0.09003040,0.28236478,0.14393374,0.15983365,0.45602708,0.00876610,0.36376907
-5.75387694,1.04905625,0.00488326,0.08667121,0.27776499,0.13895116,0.15495125,0.45646231,0.00836279,0.36252549
-5.74787394,1.04656202,0.00483833,0.08388892,0.27428847,0.13505812,0.15151752,0.45907411,0.00803577,0.36441996
-5.74187094,1.05151159,0.00483394,0.08178111,0.27207384,0.13237314,0.14966008,0.46404039,0.00779222,0.36973161
-5.73586793,1.06450910,0.00487257,0.08044866,0.27125591,0.13099826,0.14950915,0.47154703,0.00763759,0.37870564
-5.72986493,1.08610219,0.00495577,0.07999239,0.27195848,0.13101630,0.15119231,0.48178211,0.00757544,0.39154216
-5.72386193,1.11676043,0.00508410,0.08050988,0.27428750,0.13248857,0.15482926,0.49492957,0.00760732,0.40838606
-5.71785893,1.15685494,0.00525709,0.08209239,0.27832503,0.13545313,0.16052676,0.51116238,0.00773281,0.42931800
-5.71185593,1.20663997,0.00547320,0.08482199,0.28412404,0.13992351,0.16837403,0.53063540,0.00794942,0.45434705
-5.70585293,1.26623681,0.00572983,0.08876900,0.29170416,0.14588802,0.17843835,0.55347818,0.00825273,0.48340510
-5.69984992,1.33562070,0.00602330,0.09398974,0.30104868,0.15330953,0.19076129,0.57978796,0.00863641,0.51634332
-5.69384692,1.41461123,0.00634893,0.10052459,0.31210270,0.16212591,0.20535539,0.60962307,0.00909237,0.55293102
-5.68784392,1.50286695,0.00670109,0.10839650,0.32477264,0.17225095,0.22220155,0.64299727,0.00961096,0.59285682
