energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.81328281,0.40904676,0.00205694,0.00006203,0.07471748,0.30953388,0.37265740
-5.99399700,0.85817092,0.43226700,0.00215937,0.00006510,0.07899301,0.32709415,0.39281909
-5.98799400,0.89984208,0.45402906,0.00225090,0.00006784,0.08301046,0.34354846,0.41140567
-5.98199100,0.93772335,0.47406126,0.00232981,0.00007019,0.08672102,0.35869087,0.42814422
-5.97598799,0.97131884,0.49212937,0.00239457,0.00007212,0.09008263,0.37234378,0.44279796
-5.96998499,1.00022544,0.50804378,0.00244395,0.00007358,0.09306124,0.38436339,0.45517391
-5.96398199,1.02414508,0.52166503,0.00247700,0.00007456,0.09563178,0.39464383,0.46512893
-5.95797899,1.04289271,0.53290708,0.00249315,0.00007504,0.09777866,0.40311968,0.47257389
-5.95197599,1.05639974,0.54173830,0.00249218,0.00007501,0.09949597,0.40976669,0.47747563
-5.94597299,1.06471256,0.54818013,0.00247423,0.00007451,0.10078710,0.41460075,0.47985676
-5.93996998,1.06798643,0.55230338,0.00243984,0.00007354,0.10166407,0.41767508,0.47979321
-5.93396698,1.06647500,0.55422250,0.00238987,0.00007217,0.10214637,0.41907591,0.47740974
-5.92796398,1.06051620,0.55408819,0.00232554,0.00007044,0.10225959,0.41891677,0.47287370
-5.92196098,1.05051523,0.55207869,0.00224830,0.00006843,0.10203375,0.41733193,0.46638734
-5.91595798,1.03692585,0.54839044,0.00215989,0.00006622,0.10150154,0.41446925,0.45817917
-5.90995498,1.02023087,0.54322857,0.00206219,0.00006393,0.10069653,0.41048292,0.44849493
-5.90395198,1.00092321,0.53679787,0.00195722,0.00006166,0.09965147,0.40552656,0.43758856
-5.89794897,0.97948839,0.52929479,0.00184706,0.00005955,0.09839679,0.39974707,0.42571373
-5.89194597,0.95638955,0.52090086,0.00173381,0.00005775,0.09695934,0.39327956,0.41311640
-5.88594297,0.93205564,0.51177795,0.00161954,0.00005642,0.09536152,0.38624366,0.40002866
-5.87993997,0.90687339,0.50206558,0.00150623,0.00005575,0.09362070,0.37874137,0.38666427
-5.87393697,0.88118322,0.49188030,0.00139575,0.00005594,0.09174918,0.37085651,0.37321586
-5.86793397,0.85527899,0.48131717,0.00128984,0.00005720,0.08975435,0.36265571,0.35985389
-5.86193097,0.82941148,0.47045297,0.00119007,0.00005979,0.08763940,0.35419075,0.34672729
-5.85592796,0.80379476,0.45935095,0.00109786,0.00006395,0.08540410,0.34550214,0.33396547
-5.84992496,0.77861492,0.44806652,0.00101446,0.00006999,0.08304600,0.33662332,0.32168144
-5.84392196,0.75404005,0.43665348,0.00094094,0.00007819,0.08056159,0.32758545,0.30997566
-5.83791896,0.73023072,0.42517020,0.00087824,0.00008889,0.07794762,0.31842211,0.29894022
-5.83191596,0.70734981,0.41368526,0.00082717,0.00010244,0.07520227,0.30917366,0.28866285
-5.82591296,0.68557076,0.40228195,0.00078837,0.00011918,0.07232621,0.29989087,0.27923043
-5.81990995,0.66508373,0.39106138,0.00076241,0.00013947,0.06932352,0.29063750,0.27073163
-5.81390695,0.64609864,0.38014380,0.00074973,0.00016366,0.06620222,0.28149164,0.26325842
-5.80790395,0.62884516,0.36966798,0.00075066,0.00019211,0.06297468,0.27254562,0.25690622
-5.80190095,0.61356912,0.35978862,0.00076543,0.00022511,0.05965756,0.26390456,0.25177257
-5.79589795,0.60052579,0.35067190,0.00079417,0.00026296,0.05627163,0.25568349,0.24795457
-5.78989495,0.58997009,0.34248936,0.00083688,0.00030585,0.05284122,0.24800334,0.24554487
-5.78389195,0.58214449,0.33541050,0.00089342,0.00035393,0.04939350,0.24098593,0.24462678
-5.77788894,0.57726536,0.32959455,0.00096351,0.00040727,0.04595764,0.23474833,0.24526861
-5.77188594,0.57550845,0.32518183,0.00104666,0.00046579,0.04256382,0.22939694,0.24751766
-5.76588294,0.57699475,0.32228536,0.00114221,0.00052933,0.03924227,0.22502164,0.25139436
-5.75987994,0.58177753,0.32098316,0.00124927,0.00059758,0.03602234,0.22169037,0.25688690
-5.75387694,0.58983156,0.32131183,0.00136673,0.00067008,0.03293164,0.21944460,0.26394685
-5.74787394,0.60104547,0.32326183,0.00149323,0.00074624,0.02999538,0.21829585,0.27248613
-5.74187094,0.61521785,0.32677490,0.00162719,0.00082531,0.02723585,0.21822368,0.28237571
-5.73586793,0.63205773,0.33174379,0.00176677,0.00090641,0.02467216,0.21917524,0.29344621
-5.72986493,0.65118976,0.33801460,0.00190997,0.00098851,0.02232015,0.22106646,0.30549073
-5.72386193,0.67216413,0.34539161,0.00205461,0.00107051,0.02019259,0.22378499,0.31826973
-5.71785893,0.69447111,0.35364459,0.00219837,0.00115120,0.01829956,0.22719477,0.33151815
-5.71185593,0.71755972,0.36251836,0.00233890,0.00122932,0.01664900,0.23114206,0.34495431
-5.70585293,0.74086005,0.37174415,0.00247385,0.00130360,0.01524747,0.23546268,0.35829058
-5.69984992,0.76380801,0.38105236,0.00260093,0.00137280,0.01410097,0.23999023,0.37124517
-5.69384692,0.78587188,0.39018618,0.00271805,0.00143573,0.01321591,0.24456478,0.38355469
-5.68784392,0.80657909,0.39891533,0.00282334,0.00149133,0.01260003,0.24904184,0.39498687
-5.68184092,0.82554221,0.40704951,0.00291525,0.00153867,0.01226336,0.25330094,0.40535285
-5.67583792,0.84248276,0.41445051,0.00299264,0.00157702,0.01221907,0.25725362,0.41451845
-5.66983492,0.85725156,0.42104282,0.00305480,0.00160585,0.01248421,0.26085027,0.42241375
-5.66383192,0.86984454,0.42682166,0.00310156,0.00162490,0.01308026,0.26408547,0.42904053
-5.65782891,0.88041299,0.43185835,0.00313324,0.00163415,0.01403353,0.26700161,0.43447700
-5.65182591,0.88926739,0.43630233,0.00315073,0.00163387,0.01537518,0.26969037,0.43887944
-5.64582291,0.89687436,0.44037970,0.00315546,0.00162458,0.01714107,0.27229202,0.44248062
-5.63981991,0.90384640,0.44438808,0.00314934,0.00160706,0.01937119,0.27499237,0.44558463
-5.63381691,0.91092446,0.44868784,0.00313476,0.00158234,0.02210879,0.27801740,0.44855838
-5.62781391,0.91895377,0.45368994,0.00311448,0.00155163,0.02539916,0.28162572,0.45181980
-5.62181091,0.92885341,0.45984054,0.00309155,0.00151632,0.02928805,0.28609892,0.45582303
-5.61580790,0.94158070,0.46760303,0.00306921,0.00147790,0.03381973,0.29173033,0.46104120
-5.60980490,0.95809161,0.47743808,0.00305077,0.00143795,0.03903483,0.29881232,0.46794724
-5.60380190,0.97929847,0.48978228,0.00303950,0.00139804,0.04496788,0.30762276,0.47699347
-5.59779890,1.00602680,0.50502642,0.00303846,0.00135972,0.05164474,0.31841113,0.48859075
-5.59179590,1.03897283,0.52349413,0.00305044,0.00132443,0.05907993,0.33138472,0.50308800
