energy_ev,total_up,B_p_up,B_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,3.03755711,0.19156610,0.00000000,0.93032772,1.21568894,0.05134409,1.28408908
-5.99399700,2.99086577,0.19038595,0.00000000,0.89959589,1.19969075,0.05245818,1.25901693
-5.98799400,2.94777594,0.18959063,0.00000000,0.86999580,1.18593739,0.05350557,1.23522731
-5.98199100,2.90784756,0.18914250,0.00000000,0.84151967,1.17423260,0.05445958,1.21255345
-5.97598799,2.87059262,0.18900306,0.00000000,0.81414405,1.16435233,0.05529407,1.19079656
-5.96998499,2.83550178,0.18913627,0.00000000,0.78783656,1.15605666,0.05598436,1.16973494
-5.96398199,2.80207028,0.18951163,0.00000000,0.76256235,1.14910175,0.05650797,1.14913330
-5.95797899,2.76982230,0.19010707,0.00000000,0.73829008,1.14325121,0.05684538,1.12875204
-5.95197599,2.73833319,0.19091127,0.00000000,0.71499715,1.13828664,0.05698075,1.10835627
-5.94597299,2.70724872,0.19192545,0.00000000,0.69267423,1.13401697,0.05690240,1.08772453
-5.93996998,2.67630105,0.19316453,0.00000000,0.67132880,1.13028626,0.05660327,1.06665686
-5.93396698,2.64532068,0.19465745,0.00000000,0.65098777,1.12697982,0.05608115,1.04498211
-5.92796398,2.61424414,0.19644677,0.00000000,0.63169903,1.12402821,0.05533873,1.02256443
-5.92196098,2.58311716,0.19858744,0.00000000,0.61353191,1.12140920,0.05438353,0.99930847
-5.91595798,2.55209314,0.20114477,0.00000000,0.59657661,1.11914742,0.05322762,0.97516351
-5.90995498,2.52142689,0.20419173,0.00000000,0.58094248,1.11731175,0.05188714,0.95012604
-5.90395198,2.49146400,0.20780565,0.00000000,0.56675532,1.11601062,0.05038182,0.92424090
-5.89794897,2.46262593,0.21206433,0.00000000,0.55415363,1.11538516,0.04873420,0.89760081
-5.89194597,2.43539159,0.21704197,0.00000000,0.54328401,1.11560076,0.04696889,0.87034432
-5.88594297,2.41027593,0.22280483,0.00000000,0.53429576,1.11683715,0.04511175,0.84265215
-5.87993997,2.38780654,0.22940700,0.00000000,0.52733486,1.11927755,0.04318906,0.81474216
-5.87393697,2.36849907,0.23688638,0.00000000,0.52253756,1.12309735,0.04122670,0.78686294
-5.86793397,2.35283261,0.24526112,0.00000000,0.52002378,1.12845289,0.03924939,0.75928636
-5.86193097,2.34122625,0.25452668,0.00000000,0.51989047,1.13547088,0.03728006,0.73229929
-5.85592796,2.33401764,0.26465365,0.00000000,0.52220547,1.14423895,0.03533924,0.70619493
-5.84992496,2.33144491,0.27558650,0.00000000,0.52700186,1.15479798,0.03344469,0.68126387
-5.84392196,2.33363268,0.28724340,0.00000000,0.53427328,1.16713648,0.03161110,0.65778544
-5.83791896,2.34058293,0.29951701,0.00000000,0.54397043,1.18118759,0.02984995,0.63601969
-5.83191596,2.35217143,0.31227649,0.00000000,0.55599898,1.19682865,0.02816952,0.61620015
-5.82591296,2.36814980,0.32537042,0.00000000,0.57021905,1.21388373,0.02657501,0.59852783
-5.81990995,2.38815345,0.33863080,0.00000000,0.58644654,1.23212888,0.02506882,0.58316667
-5.81390695,2.41171493,0.35187780,0.00000000,0.60445613,1.25129998,0.02365086,0.57024046
-5.80790395,2.43828227,0.36492523,0.00000000,0.62398612,1.27110288,0.02231893,0.55983146
-5.80190095,2.46724133,0.37758639,0.00000000,0.64474485,1.29122524,0.02106923,0.55198061
-5.79589795,2.49794136,0.38968017,0.00000000,0.66641863,1.31134973,0.01989678,0.54668927
-5.78989495,2.52972211,0.40103713,0.00000000,0.68868070,1.33116760,0.01879585,0.54392227
-5.78389195,2.56194154,0.41150519,0.00000000,0.71120094,1.35039228,0.01776043,0.54361209
