energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.56817880,0.01998156,0.23049889,0.62257263,0.00000000,0.59112112,0.38889073,1.44425328,0.00000000
-5.99399700,2.60802609,0.02026957,0.23579619,0.63248456,0.00000000,0.61107585,0.39715774,1.46574125,0.00000000
-5.98799400,2.64606411,0.02055173,0.24030785,0.64286364,0.00000000,0.62992606,0.40440761,1.48729251,0.00000000
-5.98199100,2.68225877,0.02082545,0.24397198,0.65375957,0.00000000,0.64746295,0.41054987,1.50896384,0.00000000
-5.97598799,2.71649903,0.02108747,0.24673618,0.66518271,0.00000000,0.66348545,0.41550309,1.53074180,0.00000000
-5.96998499,2.74859197,0.02133400,0.24855865,0.67710131,0.00000000,0.67780387,0.41919659,1.55253797,0.00000000
-5.96398199,2.77826252,0.02156079,0.24940913,0.68944051,0.00000000,0.69024342,0.42157224,1.57418770,0.00000000
-5.95797899,2.80515806,0.02176333,0.24926965,0.70208321,0.00000000,0.70064773,0.42258596,1.59545245,0.00000000
-5.95197599,2.82885778,0.02193696,0.24813505,0.71487283,0.00000000,0.70888221,0.42220912,1.61602596,0.00000000
-5.94597299,2.84888666,0.02207708,0.24601328,0.72761784,0.00000000,0.71483728,0.42042969,1.63554391,0.00000000
-5.93996998,2.86473355,0.02217926,0.24292545,0.74009799,0.00000000,0.71843122,0.41725303,1.65359678,0.00000000
-5.93396698,2.87587274,0.02223945,0.23890565,0.75207196,0.00000000,0.71961283,0.41270251,1.66974565,0.00000000
-5.92796398,2.88178819,0.02225407,0.23400052,0.76328627,0.00000000,0.71836357,0.40681974,1.68354002,0.00000000
-5.92196098,2.88199931,0.02222019,0.22826860,0.77348483,0.00000000,0.71469938,0.39966450,1.69453725,0.00000000
-5.91595798,2.87608726,0.02213559,0.22177951,0.78241907,0.00000000,0.70867191,0.39131438,1.70232250,0.00000000
-5.90995498,2.86372059,0.02199886,0.21461286,0.78985791,0.00000000,0.70036916,0.38186410,1.70652855,0.00000000
-5.90395198,2.84467884,0.02180946,0.20685712,0.79559738,0.00000000,0.68991555,0.37142453,1.70685439,0.00000000
-5.89794897,2.81887307,0.02156775,0.19860824,0.79946923,0.00000000,0.67747120,0.36012144,1.70308181,0.00000000
-5.89194597,2.78636214,0.02127497,0.18996826,0.80134827,0.00000000,0.66323047,0.34809397,1.69508918,0.00000000
-5.88594297,2.74736379,0.02093324,0.18104378,0.80115808,0.00000000,0.64741974,0.33549287,1.68286153,0.00000000
-5.87993997,2.70225980,0.02054551,0.17194446,0.79887469,0.00000000,0.63029425,0.32247850,1.66649664,0.00000000
-5.87393697,2.65159480,0.02011550,0.16278140,0.79452814,0.00000000,0.61213422,0.30921859,1.64620653,0.00000000
-5.86793397,2.59606839,0.01964761,0.15366562,0.78820188,0.00000000,0.59324009,0.29588590,1.62231423,0.00000000
-5.86193097,2.53652089,0.01914684,0.14470652,0.78002981,0.00000000,0.57392706,0.28265567,1.59524598,0.00000000
-5.85592796,2.47391304,0.01861867,0.13601041,0.77019133,0.00000000,0.55451894,0.26970293,1.56551896,0.00000000
-5.84992496,2.40930036,0.01806896,0.12767913,0.75890451,0.00000000,0.53534162,0.25719988,1.53372520,0.00000000
-5.84392196,2.34380335,0.01750387,0.11980872,0.74641775,0.00000000,0.51671609,0.24531308,1.50051226,0.00000000
-5.83791896,2.27857465,0.01692970,0.11248831,0.73300029,0.00000000,0.49895143,0.23420090,1.46656163,0.00000000
-5.83191596,2.21476463,0.01635282,0.10579905,0.71893216,0.00000000,0.48233794,0.22401093,1.43256572,0.00000000
-5.82591296,2.15348695,0.01577958,0.09981330,0.70449395,0.00000000,0.46714057,0.21487770,1.39920462,0.00000000
-5.81990995,2.09578568,0.01521624,0.09459398,0.68995694,0.00000000,0.45359307,0.20692072,1.36712360,0.00000000
-5.81390695,2.04260536,0.01466889,0.09019413,0.67557418,0.00000000,0.44189294,0.20024279,1.33691244,0.00000000
-5.80790395,1.99476557,0.01414342,0.08665673,0.66157277,0.00000000,0.43219757,0.19492888,1.30908760,0.00000000
-5.80190095,1.95294096,0.01364549,0.08401476,0.64814790,0.00000000,0.42462156,0.19104552,1.28407787,0.00000000
-5.79589795,1.91764778,0.01318055,0.08229154,0.63545877,0.00000000,0.41923556,0.18864071,1.26221431,0.00000000
-5.78989495,1.88923741,0.01275382,0.08150135,0.62362661,0.00000000,0.41606662,0.18774461,1.24372474,0.00000000
-5.78389195,1.86789722,0.01237038,0.08165031,0.61273480,0.00000000,0.41510007,0.18837070,1.22873307,0.00000000
-5.77788894,1.85365840,0.01203517,0.08273749,0.60283115,0.00000000,0.41628288,0.19051771,1.21726325,0.00000000
-5.77188594,1.84641056,0.01175309,0.08475628,0.59393191,0.00000000,0.41952841,0.19417206,1.20924768,0.00000000
-5.76588294,1.84592195,0.01152906,0.08769591,0.58602742,0.00000000,0.42472240,0.19931080,1.20453937,0.00000000
-5.75987994,1.85186435,0.01136809,0.09154315,0.57908897,0.00000000,0.43172976,0.20590498,1.20292727,0.00000000
-5.75387694,1.86384115,0.01127536,0.09628394,0.57307631,0.00000000,0.44040208,0.21392317,1.20415373,0.00000000
-5.74787394,1.88141702,0.01125624,0.10190510,0.56794556,0.00000000,0.45058532,0.22333506,1.20793322,0.00000000
-5.74187094,1.90414751,0.01131635,0.10839582,0.56365677,0.00000000,0.46212741,0.23411482,1.21397112,0.00000000
-5.73586793,1.93160699,0.01146152,0.11574893,0.56018091,0.00000000,0.47488528,0.24624414,1.22198171,0.00000000
-5.72986493,1.96341306,0.01169776,0.12396181,0.55750561,0.00000000,0.48873095,0.25971455,1.23170418,0.00000000
-5.72386193,1.99924636,0.01203117,0.13303681,0.55563954,0.00000000,0.50355648,0.27452890,1.24291594,0.00000000
-5.71785893,2.03886429,0.01246781,0.14298117,0.55461495,0.00000000,0.51927718,0.29070178,1.25544243,0.00000000
-5.71185593,2.08210794,0.01301347,0.15380627,0.55448839,0.00000000,0.53583322,0.30825877,1.26916307,0.00000000
-5.70585293,2.12890174,0.01367345,0.16552621,0.55533934,0.00000000,0.55318927,0.32723428,1.28401287,0.00000000
-5.69984992,2.17924585,0.01445229,0.17815577,0.55726705,0.00000000,0.57133221,0.34766816,1.29997996,0.00000000
-5.69384692,2.23320155,0.01535339,0.19170766,0.56038559,0.00000000,0.59026708,0.36960096,1.31709902,0.00000000
-5.68784392,2.29087060,0.01637870,0.20618925,0.56481746,0.00000000,0.61001135,0.39306806,1.33544129,0.00000000
-5.68184092,2.35236973,0.01752835,0.22159889,0.57068615,0.00000000,0.63058796,0.41809292,1.35510175,0.00000000
-5.67583792,2.41780183,0.01880026,0.23792191,0.57810798,0.00000000,0.65201744,0.44467968,1.37618432,0.00000000
-5.66983492,2.48722561,0.02018985,0.25512665,0.58718385,0.00000000,0.67430954,0.47280559,1.39878619,0.00000000
-5.66383192,2.56062584,0.02168974,0.27316061,0.59799125,0.00000000,0.69745504,0.50241371,1.42298209,0.00000000
-5.65782891,2.63788583,0.02328954,0.29194706,0.61057705,0.00000000,0.72141816,0.53340621,1.44880980,0.00000000
-5.65182591,2.71876446,0.02497574,0.31138242,0.62495154,0.00000000,0.74613010,0.56563898,1.47625767,0.00000000
-5.64582291,2.80287905,0.02673167,0.33133453,0.64108399,0.00000000,0.77148420,0.59891782,1.50525501,0.00000000
-5.63981991,2.88969568,0.02853767,0.35164209,0.65890012,0.00000000,0.79733312,0.63299667,1.53566613,0.00000000
-5.63381691,2.97852782,0.03037128,0.37211547,0.67828152,0.00000000,0.82348824,0.66757823,1.56728823,0.00000000
-5.62781391,3.06854365,0.03220767,0.39253890,0.69906719,0.00000000,0.84972155,0.70231709,1.59985350,0.00000000
-5.62181091,3.15878206,0.03402013,0.41267419,0.72105698,0.00000000,0.87576986,0.73682547,1.63303521,0.00000000
