energy_ev,total_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.63155116,2.49186627,0.70680036,0.00096724,1.75940499,0.11131094,0.00052135
-5.99399700,2.53843568,2.40695951,0.68116214,0.00093893,1.69608601,0.10780287,0.00050446
-5.98799400,2.43300865,2.30999840,0.65232253,0.00090545,1.62475279,0.10377904,0.00048504
-5.98199100,2.31740138,2.20294431,0.62087408,0.00086756,1.54683244,0.09933520,0.00046353
-5.97598799,2.19389579,2.08791540,0.58744596,0.00082609,1.46384992,0.09457375,0.00044038
-5.96998499,2.06485314,1.96711974,0.55268457,0.00078194,1.37738040,0.08960064,0.00041608
-5.96398199,1.93264305,1.84278805,0.51723435,0.00073599,1.28900188,0.08452215,0.00039110
-5.95797899,1.79957555,1.71710886,0.48171954,0.00068915,1.20024985,0.07944183,0.00036591
-5.95197599,1.66783880,1.59216859,0.44672753,0.00064230,1.11257575,0.07445762,0.00034098
-5.94597299,1.53944447,1.46989860,0.41279447,0.00059624,1.02731076,0.06965931,0.00031671
-5.93996998,1.41618269,1.35203091,0.38039338,0.00055175,0.94563573,0.06512640,0.00029347
-5.93396698,1.29958742,1.24006386,0.34992520,0.00050950,0.86855829,0.06092638,0.00027158
-5.92796398,1.19091302,1.13523814,0.32171280,0.00047009,0.79689736,0.05711352,0.00025131
-5.92196098,1.09112192,1.03852357,0.29599802,0.00043400,0.73127504,0.05372814,0.00023286
-5.91595798,1.00088312,0.95061611,0.27294161,0.00040164,0.67211576,0.05079646,0.00021636
-5.90995498,0.92058064,0.87194455,0.25262578,0.00037332,0.61965200,0.04833078,0.00020190
-5.90395198,0.85033073,0.80268562,0.23505913,0.00034929,0.57393592,0.04633030,0.00018950
-5.89794897,0.79000654,0.74278649,0.22018360,0.00032970,0.53485593,0.04478213,0.00017914
-5.89194597,0.73926876,0.69199292,0.20788292,0.00031466,0.50215722,0.04366279,0.00017074
-5.88594297,0.69760045,0.64988176,0.19799227,0.00030425,0.47546517,0.04293988,0.00016419
-5.87993997,0.66434465,0.61589605,0.19030868,0.00029852,0.45431058,0.04257399,0.00015935
-5.87393697,0.63874305,0.58938130,0.18460173,0.00029750,0.43815575,0.04252072,0.00015606
-5.86793397,0.61997439,0.56962153,0.18062419,0.00030125,0.42642031,0.04273271,0.00015415
-5.86193097,0.60719114,0.55587360,0.17812224,0.00030985,0.41850606,0.04316168,0.00015343
-5.85592796,0.59955328,0.54739897,0.17684496,0.00032342,0.41381993,0.04376037,0.00015373
-5.84992496,0.59625834,0.54349152,0.17655282,0.00034212,0.41179446,0.04448426,0.00015488
-5.84392196,0.59656661,0.54350103,0.17702491,0.00036616,0.41190522,0.04529311,0.00015673
-5.83791896,0.59982112,0.54685134,0.17806476,0.00039580,0.41368473,0.04615219,0.00015914
-5.83191596,0.60546189,0.55305311,0.17950464,0.00043136,0.41673260,0.04703320,0.00016201
-5.82591296,0.61303412,0.56171071,0.18120822,0.00047317,0.42072180,0.04791483,0.00016526
