energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.13234785,-1.76672864,0.05058230,-0.45106165,0.00000000,-0.00000000,0.02183278,-0.78182778,0.01196644,-0.48943000,0.01080512,-0.01405127,0.00807791,-0.38310081,0.08009381,-0.77492680,0.00000000,-0.00000000
-5.99399700,0.12959927,-1.62679030,0.05032355,-0.41324045,0.00000000,-0.00000000,0.02071785,-0.72623955,0.01297128,-0.45166237,0.01043187,-0.01384526,0.00904448,-0.35527544,0.07568404,-0.71075981,0.00000000,-0.00000000
-5.98799400,0.12849776,-1.49093557,0.05092537,-0.37698736,0.00000000,-0.00000000,0.02027991,-0.67085980,0.01429959,-0.41460523,0.01001653,-0.01365896,0.01031861,-0.32766515,0.07189508,-0.64917450,0.00000000,-0.00000000
-5.98199100,0.12901620,-1.36009864,0.05237478,-0.34249049,0.00000000,-0.00000000,0.02048222,-0.61622121,0.01596312,-0.37854351,0.00956391,-0.01348647,0.01191024,-0.30051336,0.06866801,-0.59053177,0.00000000,-0.00000000
-5.97598799,0.13115694,-1.23505926,0.05466804,-0.30989248,0.00000000,-0.00000000,0.02130130,-0.56281537,0.01797630,-0.34373242,0.00908004,-0.01332087,0.01383204,-0.27404555,0.06596096,-0.53510533,0.00000000,-0.00000000
-5.96998499,0.13494682,-1.11644171,0.05780856,-0.27929293,0.00000000,-0.00000000,0.02272556,-0.51108476,0.02035529,-0.31039426,0.00857195,-0.01315456,0.01609852,-0.24846543,0.06374706,-0.48308578,0.00000000,-0.00000000
-5.96398199,0.14043145,-1.00471768,0.06180448,-0.25075157,0.00000000,-0.00000000,0.02475373,-0.46141640,0.02311702,-0.27871609,0.00804733,-0.01297970,0.01872507,-0.22395182,0.06201202,-0.43458647,0.00000000,-0.00000000
-5.95797899,0.14766905,-0.90021248,0.06666606,-0.22429201,0.00000000,-0.00000000,0.02739303,-0.41413735,0.02627824,-0.24884820,0.00751432,-0.01278867,0.02172701,-0.20065623,0.06075153,-0.38965084,0.00000000,-0.00000000
-5.95197599,0.15672406,-0.80311414,0.07240298,-0.19990604,0.00000000,-0.00000000,0.03065734,-0.36951210,0.02985453,-0.22090371,0.00698117,-0.01257438,0.02511854,-0.17870138,0.05996851,-0.34826077,0.00000000,-0.00000000
-5.94597299,0.16766070,-0.71348507,0.07902166,-0.17755803,0.00000000,-0.00000000,0.03456512,-0.32774180,0.03385946,-0.19495900,0.00645600,-0.01233070,0.02891177,-0.15818054,0.05967049,-0.31034552,0.00000000,-0.00000000
-5.93996998,0.18053683,-0.63127552,0.08652284,-0.15718960,0.00000000,-0.00000000,0.03913727,-0.28896540,0.03830372,-0.17105509,0.00594658,-0.01205266,0.03311568,-0.13915777,0.05986722,-0.27579099,0.00000000,-0.00000000
-5.93396698,0.19539812,-0.55633855,0.09489928,-0.13872416,0.00000000,-0.00000000,0.04439498,-0.25326244,0.04319442,-0.14919990,0.00546004,-0.01173673,0.03773519,-0.12166905,0.06056848,-0.24444883,0.00000000,-0.00000000
-5.92796398,0.21227287,-0.48844570,0.10413392,-0.12207140,0.00000000,-0.00000000,0.05035736,-0.22065724,0.04853450,-0.12937115,0.00500279,-0.01138093,0.04277019,-0.10572404,0.06178230,-0.21614515,0.00000000,-0.00000000
-5.92196098,0.23116740,-0.42730305,0.11419836,-0.10713147,0.00000000,-0.00000000,0.05703927,-0.19112447,0.05432224,-0.11151993,0.00458031,-0.01098490,0.04821475,-0.09130867,0.06351360,-0.19068869,0.00000000,-0.00000000
-5.91595798,0.25206236,-0.37256707,0.12505193,-0.09379894,0.00000000,-0.00000000,0.06444895,-0.16459552,0.06055100,-0.09557465,0.00419711,-0.01054986,0.05405636,-0.07838807,0.06576324,-0.16787814,0.00000000,-0.00000000
-5.90995498,0.27490975,-0.32385991,0.13664108,-0.08196636,0.00000000,-0.00000000,0.07258586,-0.14096558,0.06720904,-0.08144529,0.00385662,-0.01007853,0.06027529,-0.06691000,0.06852741,-0.14750852,0.00000000,-0.00000000
-5.90395198,0.29963099,-0.28078370,0.14889946,-0.07152746,0.00000000,-0.00000000,0.08143855,-0.12010107,0.07427960,-0.06902771,0.00356119,-0.00957502,0.06684415,-0.05680846,0.07179754,-0.12937668,0.00000000,-0.00000000
-5.89794897,0.32611579,-0.24293364,0.16174831,-0.06237997,0.00000000,-0.00000000,0.09098276,-0.10184712,0.08174099,-0.05820796,0.00331210,-0.00904458,0.07372760,-0.04800735,0.07556041,-0.11328571,0.00000000,-0.00000000
-5.89194597,0.35422202,-0.20990963,0.17509742,-0.05442798,0.00000000,-0.00000000,0.10117978,-0.08603486,0.08956697,-0.04886642,0.00310958,-0.00849337,0.08088223,-0.04042415,0.07979864,-0.09904838,0.00000000,-0.00000000
-5.88594297,0.38377645,-0.18132632,0.18884648,-0.04758396,0.00000000,-0.00000000,0.11197506,-0.07248825,0.09772719,-0.04088156,0.00295287,-0.00792823,0.08825669,-0.03397335,0.08449133,-0.08648975,0.00000000,-0.00000000
-5.87993997,0.41457639,-0.15682146,0.20288672,-0.04177035,0.00000000,-0.00000000,0.12329737,-0.06103037,0.10618767,-0.03413340,0.00284031,-0.00735640,0.09579198,-0.02856966,0.08961487,-0.07544885,0.00000000,-0.00000000
-5.87393697,0.44639216,-0.13606267,0.21710287,-0.03692082,0.00000000,-0.00000000,0.13505832,-0.05148889,0.11491148,-0.02850649,0.00276938,-0.00678526,0.10342208,-0.02413082,0.09514377,-0.06577966,0.00000000,-0.00000000
-5.86793397,0.47897037,-0.11875250,0.23137531,-0.03298116,0.00000000,-0.00000000,0.14715262,-0.04370077,0.12385935,-0.02389233,0.00273686,-0.00622208,0.11107471,-0.02058005,0.10105156,-0.05735156,0.00000000,-0.00000000
