energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.92766926,0.01496024,0.28108738,1.07819960,0.54305941,0.02947619,0.86238523,0.61205394,0.05743665
-5.99399700,1.95328375,0.01447141,0.29193395,1.12106380,0.55047265,0.02962196,0.87393787,0.63777222,0.05425111
-5.98799400,1.98811796,0.01403482,0.30379628,1.16703819,0.56141318,0.02975485,0.89020190,0.66610720,0.05138342
-5.98199100,2.03190794,0.01366255,0.31654952,1.21566887,0.57579724,0.02988341,0.91102492,0.69686558,0.04884421
-5.97598799,2.08437130,0.01336670,0.33005071,1.26647997,0.59353897,0.03001641,0.93626211,0.72983080,0.04664650
-5.96998499,2.14519546,0.01315903,0.34413994,1.31897388,0.61454758,0.03016267,0.96576969,0.76475924,0.04480505
-5.96398199,2.21402702,0.01305060,0.35864228,1.37263229,0.63872475,0.03033072,0.99939759,0.80137673,0.04333570
-5.95797899,2.29046337,0.01305153,0.37337064,1.42691814,0.66596254,0.03052860,1.03698234,0.83937545,0.04225478
-5.95197599,2.37404703,0.01317072,0.38812953,1.48127881,0.69614207,0.03076367,1.07834032,0.87841196,0.04157859
-5.94597299,2.46426326,0.01341567,0.40271957,1.53515081,0.72913274,0.03104242,1.12326203,0.91810650,0.04132301
-5.93996998,2.56054107,0.01379234,0.41694265,1.58796593,0.76479234,0.03137034,1.17150762,0.95804397,0.04150319
-5.93396698,2.66225743,0.01430505,0.43060764,1.63915901,0.80296753,0.03175175,1.22280381,0.99777683,0.04213334
-5.92796398,2.76874444,0.01495647,0.44353630,1.68817712,0.84349485,0.03218978,1.27684252,1.03683002,0.04322661
-5.92196098,2.87929872,0.01574753,0.45556922,1.73448998,0.88620182,0.03268624,1.33328097,1.07470793,0.04479497
-5.91595798,2.99319238,0.01667749,0.46657153,1.77760130,0.93090796,0.03324157,1.39174336,1.11090334,0.04684914
-5.90995498,3.10968477,0.01774397,0.47643806,1.81706056,0.97742553,0.03385487,1.45182379,1.14490806,0.04939845
-5.90395198,3.22803409,0.01894298,0.48509773,1.85247481,1.02555980,0.03452380,1.51309026,1.17622495,0.05245068
-5.89794897,3.34750808,0.02026893,0.49251701,1.88351974,1.07510865,0.03524468,1.57508944,1.20438078,0.05601179
