energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.87764581,0.00242580,0.60414121,0.03868856,0.00082434,0.45235073,0.38255336
-5.99399700,0.91201737,0.00259109,0.63027836,0.04149201,0.00083435,0.46947014,0.39970489
-5.98799400,0.94974984,0.00276453,0.65866069,0.04458762,0.00084891,0.48814717,0.41820631
-5.98199100,0.99071958,0.00294597,0.68916859,0.04797041,0.00086769,0.50844239,0.43798051
-5.97598799,1.03478284,0.00313547,0.72166963,0.05163274,0.00089036,0.53040348,0.45894188
-5.96998499,1.08177440,0.00333324,0.75601795,0.05556465,0.00091655,0.55406157,0.48099623
-5.96398199,1.13150604,0.00353966,0.79205322,0.05975444,0.00094589,0.57942738,0.50404033
-5.95797899,1.18376464,0.00375527,0.82959918,0.06418943,0.00097798,0.60648745,0.52796132
-5.95197599,1.23831010,0.00398071,0.86846180,0.06885680,0.00101238,0.63520041,0.55263574
-5.94597299,1.29487318,0.00421669,0.90842721,0.07374457,0.00104867,0.66549345,0.57792851
-5.93996998,1.35315333,0.00446395,0.94925947,0.07884249,0.00108638,0.69725911,0.60369169
-5.93396698,1.41281665,0.00472314,0.99069849,0.08414303,0.00112506,0.73035255,0.62976330
-5.92796398,1.47349433,0.00499481,1.03245815,0.08964203,0.00116422,0.76458943,0.65596631
-5.92196098,1.53478164,0.00527930,1.07422516,0.09533936,0.00120340,0.79974471,0.68210783
-5.91595798,1.59623784,0.00557668,1.11565858,0.10123910,0.00124211,0.83555240,0.70797887
-5.90995498,1.65738728,0.00588667,1.15639068,0.10734947,0.00127988,0.87170666,0.73335466
-5.90395198,1.71772195,0.00620858,1.19602901,0.11368239,0.00131626,0.90786416,0.75799589
-5.89794897,1.77670568,0.00654129,1.23416026,0.12025258,0.00135082,0.94364815,0.78165077
-5.89194597,1.83378024,0.00688322,1.27035573,0.12707626,0.00138314,0.97865393,0.80405829
-5.88594297,1.88837340,0.00723232,1.30417871,0.13416950,0.00141286,1.01245616,0.82495248
-5.87993997,1.93990882,0.00758611,1.33519356,0.14154625,0.00143965,1.04461743,0.84406782
-5.87393697,1.98781788,0.00794172,1.36297641,0.14921610,0.00146324,1.07469843,0.86114560
-5.86793397,2.03155283,0.00829600,1.38712709,0.15718198,0.00148340,1.10226898,0.87594111
-5.86193097,2.07060117,0.00864556,1.40728193,0.16543780,0.00149998,1.12691988,0.88823148
-5.85592796,2.10450055,0.00898692,1.42312684,0.17396629,0.00151290,1.14827503,0.89782362
-5.84992496,2.13285349,0.00931664,1.43441013,0.18273712,0.00152214,1.16600332,0.90456221
-5.84392196,2.15534150,0.00963143,1.44095428,0.19170545,0.00152778,1.17982975,0.90833707
-5.83791896,2.17173753,0.00992829,1.44266615,0.20081103,0.00152995,1.18954534,0.90908963
-5.83191596,2.18191625,0.01020462,1.43954480,0.20997804,0.00152888,1.19501525,0.90681802
-5.82591296,2.18586154,0.01045831,1.43168647,0.21911560,0.00152487,1.19618466,0.90158053
-5.81990995,2.18367043,0.01068782,1.41928625,0.22811915,0.00151825,1.19308214,0.89349695
-5.81390695,2.17555340,0.01089223,1.40263605,0.23687257,0.00150946,1.18582019,0.88274782
-5.80790395,2.16183055,0.01107125,1.38211883,0.24525114,0.00149894,1.17459287,0.86957126
-5.80190095,2.14292389,0.01122517,1.35819916,0.25312508,0.00148719,1.15967055,0.85425753
-5.79589795,2.11934582,0.01135486,1.33141032,0.26036370,0.00147471,1.14139198,0.83714146
-5.78989495,2.09168431,0.01146161,1.30233848,0.26683998,0.00146201,1.12015394,0.81859291
-5.78389195,2.06058531,0.01154711,1.27160462,0.27243524,0.00144959,1.09639907,0.79900577
-5.77788894,2.02673333,0.01161328,1.23984482,0.27704396,0.00143789,1.07060214,0.77878583
-5.77188594,1.99083092,0.01166212,1.20769009,0.28057826,0.00142735,1.04325569,0.75833812
-5.76588294,1.95357811,0.01169563,1.17574634,0.28297207,0.00141831,1.01485548,0.73805429
-5.75987994,1.91565275,0.01171569,1.14457577,0.28418458,0.00141106,0.98588647,0.71830056
-5.75387694,1.87769261,0.01172393,1.11468020,0.28420302,0.00140582,0.95680997,0.69940683
-5.74787394,1.84028014,0.01172168,1.08648735,0.28304439,0.00140274,0.92805239,0.68165734
-5.74187094,1.80393045,0.01170994,1.06034062,0.28075631,0.00140188,0.89999626,0.66528347
-5.73586793,1.76908291,0.01168934,1.03649265,0.27741667,0.00140325,0.87297354,0.65045874
-5.72986493,1.73609680,0.01166022,1.01510310,0.27313227,0.00140679,0.84726171,0.63729642
-5.72386193,1.70525079,0.01162264,0.99624038,0.26803646,0.00141240,0.82308243,0.62584951
-5.71785893,1.67674615,0.01157651,0.97988734,0.26228573,0.00141994,0.80060282,0.61611338
-5.71185593,1.65071322,0.01152166,0.96595029,0.25605558,0.00142926,0.77993908,0.60803045
-5.70585293,1.62722055,0.01145797,0.95427091,0.24953567,0.00144024,0.76116208,0.60149691
-5.69984992,1.60628602,0.01138551,0.94464023,0.24292451,0.00145272,0.74430451,0.59637094
-5.69384692,1.58788902,0.01130461,0.93681392,0.23642387,0.00146664,0.72936900,0.59248195
-5.68784392,1.57198294,0.01121599,0.93052804,0.23023307,0.00148192,0.71633684,0.58964044
-5.68184092,1.55850716,0.01112081,0.92551438,0.22454343,0.00149858,0.70517659,0.58764785
-5.67583792,1.54739772,0.01102071,0.92151474,0.21953304,0.00151666,0.69585208,0.58630604
-5.66983492,1.53859620,0.01091780,0.91829333,0.21536196,0.00153629,0.68832950,0.58542595
-5.66383192,1.53205617,0.01081463,0.91564686,0.21216809,0.00155763,0.68258305,0.58483495
-5.65782891,1.52774708,0.01071413,0.91341195,0.21006376,0.00158089,0.67859893,0.58438279
-5.65182591,1.52565545,0.01061946,0.91146963,0.20913317,0.00160632,0.67637759,0.58394591
-5.64582291,1.52578345,0.01053391,0.90974689,0.20943072,0.00163417,0.67593402,0.58342989
-5.63981991,1.52814507,0.01046075,0.90821545,0.21098022,0.00166471,0.67729636,0.58277032
-5.63381691,1.53276046,0.01040302,0.90688805,0.21377502,0.00169821,0.68050292,0.58193190
-5.62781391,1.53964878,0.01036343,0.90581259,0.21777897,0.00173487,0.68559781,0.58090627
-5.62181091,1.54882016,0.01034415,0.90506469,0.22292817,0.00177488,0.69262561,0.57970844
-5.61580790,1.56026761,0.01034673,0.90473921,0.22913340,0.00181836,0.70162553,0.57837250
-5.60980490,1.57395912,0.01037196,0.90494119,0.23628308,0.00186534,0.71262527,0.57694662
-5.60380190,1.58983080,0.01041981,0.90577691,0.24424676,0.00191580,0.72563517,0.57548776
-5.59779890,1.60778139,0.01048943,0.90734549,0.25287882,0.00196962,0.74064292,0.57405644
-5.59179590,1.62766849,0.01057915,0.90973143,0.26202240,0.00202658,0.75760923,0.57271172
-5.58579290,1.64930676,0.01068652,0.91299851,0.27151334,0.00208640,0.77646463,0.57150676
-5.57978989,1.67246819,0.01080845,0.91718512,0.28118405,0.00214869,0.79710765,0.57048498
-5.57378689,1.69688434,0.01094130,0.92230137,0.29086717,0.00221299,0.81940438,0.56967713
-5.56778389,1.72225047,0.01108104,0.92832775,0.30039895,0.00227880,0.84318945,0.56909913
-5.56178089,1.74823124,0.01122342,0.93521539,0.30962225,0.00234553,0.86826840,0.56875094
-5.55577789,1.77446759,0.01136417,0.94288767,0.31838918,0.00241255,0.89442104,0.56861620
-5.54977489,1.80058456,0.01149914,0.95124297,0.32656321,0.00247923,0.92140584,0.56866269
-5.54377189,1.82619938,0.01162447,0.96015827,0.33402093,0.00254487,0.94896486,0.56884355
-5.53776888,1.85092961,0.01173670,0.96949318,0.34065326,0.00260881,0.97682899,0.56909899
-5.53176588,1.87440085,0.01183294,0.97909427,0.34636639,0.00267036,1.00472320,0.56935845
-5.52576288,1.89625366,0.01191087,0.98879918,0.35108219,0.00272887,1.03237143,0.56954305
-5.51975988,1.91614937,0.01196883,0.99844047,0.35473839,0.00278367,1.05950103,0.56956815
-5.51375688,1.93377470,0.01200579,1.00784884,0.35728846,0.00283418,1.08584638,0.56934590
-5.50775388,1.94884498,0.01202132,1.01685567,0.35870120,0.00287981,1.11115164,0.56878769
-5.50175088,1.96110600,0.01201553,1.02529480,0.35896025,0.00292004,1.13517264,0.56780637
-5.49574787,1.97033449,0.01198897,1.03300365,0.35806330,0.00295437,1.15767786,0.56631817
-5.48974487,1.97633760,0.01194252,1.03982357,0.35602134,0.00298236,1.17844862,0.56424433
-5.48374187,1.97895129,0.01187728,1.04559977,0.35285772,0.00300361,1.19727876,0.56151234
