energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.59129565,3.68748476,-2.02771330,0.03923642,-0.02399573,0.03894991,-0.04526064,0.90645712,-0.69101000,1.54283545,-1.12813779,1.62054464,-0.50830789,1.76492454,-0.72003662,0.24764719,-0.12332924,0.00000000,-0.00000000
0.59729865,3.75655984,-2.00911491,0.03883880,-0.02434909,0.03987720,-0.04576190,0.92312480,-0.69269145,1.56313134,-1.10938581,1.64168144,-0.51508569,1.81669159,-0.71972390,0.24974133,-0.12224521,0.00000000,-0.00000000
0.60330165,3.81869467,-2.00056250,0.03834078,-0.02465182,0.04093319,-0.04631069,0.93854098,-0.69517931,1.58200168,-1.09645817,1.65857457,-0.52510923,1.86366163,-0.72336351,0.25171684,-0.12182197,0.00000000,-0.00000000
0.60930465,3.87289167,-2.00114579,0.03774623,-0.02489993,0.04212109,-0.04688062,0.95256590,-0.69820252,1.59918845,-1.08879237,1.67072208,-0.53818768,1.90501868,-0.73065233,0.25355874,-0.12201134,0.00000000,-0.00000000
0.61530765,3.91828774,-2.00991199,0.03706002,-0.02509102,0.04344310,-0.04744829,0.96509999,-0.70150880,1.61445223,-1.08579640,1.67769117,-0.55409564,1.94005527,-0.74126803,0.25524787,-0.12276407,0.00000000,-0.00000000
0.62131066,3.95418784,-2.02589531,0.03628798,-0.02522447,0.04490048,-0.04799357,0.97608671,-0.70487393,1.62758197,-1.08686854,1.67913834,-0.57257816,1.96819639,-0.75487757,0.25676279,-0.12403070,0.00000000,-0.00000000
0.62731366,3.98009440,-2.04814244,0.03543689,-0.02530145,0.04649362,-0.04849977,0.98551393,-0.70810891,1.63840483,-1.09141456,1.67482687,-0.59335585,1.98901953,-0.77114481,0.25808212,-0.12576211,0.00000000,-0.00000000
0.63331666,3.99573140,-2.07573372,0.03451441,-0.02532489,0.04822210,-0.04895363,0.99341394,-0.71106527,1.64679538,-1.09886201,1.66464048,-0.61613008,2.00226970,-0.78973729,0.25918697,-0.12790978,0.00000000,-0.00000000
0.63931966,4.00106176,-2.10780006,0.03352909,-0.02529942,0.05008489,-0.04934520,0.99986202,-0.71363814,1.65268397,-1.10867147,1.64859291,-0.64058855,2.00786921,-0.81033238,0.26006349,-0.13042585,0.00000000,-0.00000000
0.64532266,3.99629720,-2.14353581,0.03249026,-0.02523112,0.05208050,-0.04966760,1.00497346,-0.71576732,1.65606343,-1.12034464,1.62683266,-0.66641114,2.00592153,-0.83262288,0.26070521,-0.13326294,0.00000000,-0.00000000
0.65132566,3.98189991,-2.18220823,0.03140799,-0.02512738,0.05420713,-0.04991670,1.00889951,-0.71743646,1.65699383,-1.13342978,1.59964288,-0.69327635,1.99670926,-0.85632239,0.26111522,-0.13637404,0.00000000,-0.00000000
0.65732866,3.95857571,-2.22316397,0.03029295,-0.02499654,0.05646289,-0.05009076,1.01182188,-0.71867052,1.65560485,-1.14752458,1.56743639,-0.72086815,1.98068629,-0.88117027,0.26130776,-0.13971223,0.00000000,-0.00000000
0.66333167,3.92725867,-2.26583324,0.02915634,-0.02484765,0.05884585,-0.05019005,1.01394648,-0.71953189,1.65209531,-1.16227711,1.53074613,-0.74888338,1.95846449,-0.90693654,0.26130935,-0.14323066,0.00000000,-0.00000000
0.66933467,3.88908768,-2.30973237,0.02800974,-0.02469008,0.06135418,-0.05021644,1.01549618,-0.72011543,1.64672997,-1.17738526,1.49021134,-0.77703942,1.93079539,-0.93342650,0.26115924,-0.14688260,0.00000000,-0.00000000
0.67533767,3.84537554,-2.35446507,0.02686500,-0.02453326,0.06398618,-0.05017304,1.01670308,-0.72054271,1.63983320,-1.19259520,1.44656039,-0.80508211,1.89854767,-0.96048487,0.26090909,-0.15062174,0.00000000,-0.00000000
0.68134067,3.79757153,-2.39972291,0.02573403,-0.02438633,0.06674018,-0.05006394,1.01780043,-0.72095591,1.63177988,-1.20769931,1.40059061,-0.83279336,1.86268123,-0.98799951,0.26062192,-0.15440279,0.00000000,-0.00000000
0.68734367,3.74721885,-2.44528495,0.02462868,-0.02425787,0.06961443,-0.04989398,1.01901445,-0.72151144,1.62298357,-1.22253397,1.35314626,-0.85999836,1.82421877,-1.01590409,0.26037036,-0.15818230,0.00000000,-0.00000000
0.69334667,3.69590814,-2.49101679,0.02356056,-0.02415562,0.07260690,-0.04966853,1.02055627,-0.72237369,1.61388246,-1.23697740,1.30509534,-0.88657167,1.78421593,-1.04417963,0.26023419,-0.16191974,0.00000000,-0.00000000
0.69934967,3.64522878,-2.53686848,0.02254087,-0.02408634,0.07571492,-0.04939352,1.02261427,-0.72370906,1.60492356,-1.25094784,1.25730612,-0.91244189,1.74373089,-1.07285450,0.26029727,-0.16557880,0.00000000,-0.00000000
0.70535268,3.59671968,-2.58287135,0.02158022,-0.02405557,0.07893485,-0.04907537,1.02534702,-0.72568034,1.59654565,-1.26440187,1.21062422,-0.93759445,1.70379455,-1.10200245,0.26064405,-0.16912883,0.00000000,-0.00000000
0.71135568,3.55182116,-2.62913296,0.02068849,-0.02406757,0.08226156,-0.04872108,1.02887700,-0.72844158,1.58916185,-1.27733298,1.16585097,-0.96207203,1.66538214,-1.13173863,0.26135581,-0.17254625,0.00000000,-0.00000000
0.71735868,3.51182958,-2.67583009,0.01987464,-0.02412520,0.08568803,-0.04833835,1.03328540,-0.73213352,1.58314239,-1.28977014,1.12372369,-0.98597227,1.62938716,-1.16221327,0.26250664,-0.17581597,0.00000000,-0.00000000
0.72336168,3.47785655,-2.72319913,0.01914661,-0.02422996,0.08920477,-0.04793571,1.03860804,-0.73687959,1.57879849,-1.30177598,1.08489855,-1.00944267,1.59659840,-1.19360306,0.26415967,-0.17893259,0.00000000,-0.00000000
0.72936468,3.45079381,-2.77152380,0.01851119,-0.02438197,0.09279938,-0.04752270,1.04483273,-0.74278240,1.57636794,-1.31344460,1.04993621,-1.03267260,1.56768074,-1.22610040,0.26636331,-0.18190131,0.00000000,-0.00000000
0.73536768,3.43128543,-2.82112003,0.01797386,-0.02457999,0.09645610,-0.04710999,1.05189809,-0.74992091,1.57600327,-1.32489846,1.01929087,-1.05588239,1.54316023,-1.25990069,0.26914813,-0.18473848,0.00000000,-0.00000000
0.74137069,3.41970813,-2.87231814,0.01753878,-0.02482157,0.10015552,-0.04670951,1.05969393,-0.75834803,1.57776285,-1.33628428,0.99330263,-1.07931003,1.52341384,-1.29518823,0.27252415,-0.18747167,0.00000000,-0.00000000
0.74737369,3.41616055,-2.92544274,0.01720869,-0.02510306,0.10387435,-0.04633450,1.06806339,-0.76808885,1.58160566,-1.34776781,0.97219338,-1.10319585,1.50866405,-1.33212119,0.27647899,-0.19013926,0.00000000,-0.00000000
0.75337669,3.42046192,-2.98079099,0.01698484,-0.02541978,0.10758538,-0.04599956,1.07680664,-0.77913947,1.58738990,-1.35952744,0.95606621,-1.12776580,1.49897853,-1.37081642,0.28097674,-0.19278949,0.00000000,-0.00000000
0.75937969,3.43216023,-3.03861004,0.01686701,-0.02576614,0.11125768,-0.04572062,1.08568629,-0.79146634,1.59487561,-1.37174660,0.94490803,-1.15321420,1.49427451,-1.41133483,0.28595785,-0.19547900,0.00000000,-0.00000000
0.76538269,3.45054958,-3.09907474,0.01685349,-0.02613574,0.11485692,-0.04551478,1.09443424,-0.80500635,1.60373134,-1.38460542,0.93859542,-1.17968680,1.49432794,-1.45366820,0.29133995,-0.19827091,0.00000000,-0.00000000
0.77138569,3.47469617,-3.16226676,0.01694109,-0.02652152,0.11834600,-0.04540023,1.10275988,-0.81966754,1.61354453,-1.39827167,0.93690301,-1.20726514,1.49878671,-1.49772805,0.29701956,-0.20123254,0.00000000,-0.00000000
0.77738869,3.50347185,-3.22815635,0.01712521,-0.02691593,0.12168585,-0.04539600,1.11035936,-0.83533059,1.62383535,-1.41289159,0.93951441,-1.23595302,1.50718746,-1.54333749,0.30287481,-0.20443285,0.00000000,-0.00000000
0.78339170,3.53559390,-3.29658794,0.01739986,-0.02731102,0.12483639,-0.04552170,1.11692556,-0.85185102,1.63407329,-1.42858101,0.94603481,-1.26566613,1.51897533,-1.59022654,0.30876890,-0.20793969,0.00000000,-0.00000000
0.78939470,3.56966964,-3.36727058,0.01775777,-0.02769864,0.12775775,-0.04579727,1.12215844,-0.86906215,1.64369593,-1.44541723,0.95600505,-1.29622534,1.53352570,-1.63803130,0.31455427,-0.21181710,0.00000000,-0.00000000
0.79539770,3.60424384,-3.43977419,0.01819048,-0.02807053,0.13041153,-0.04624267,1.12577539,-0.88677884,1.65212893,-1.46343228,0.96891642,-1.32735450,1.55016701,-1.68629743,0.32007733,-0.21612267,0.00000000,-0.00000000
0.80140070,3.63784714,-3.51353211,0.01868846,-0.02841854,0.13276213,-0.04687754,1.12752095,-0.90480180,1.65880657,-1.48260779,0.98422570,-1.35868288,1.56820389,-1.73448783,0.32518348,-0.22090516,0.00000000,-0.00000000
0.80740370,3.66904351,-3.58785017,0.01924125,-0.02873471,0.13477814,-0.04772087,1.12717574,-0.92292256,1.66319171,-1.50287219,1.00136990,-1.38975249,1.58693930,-1.78199439,0.32972231,-0.22620245,0.00000000,-0.00000000
0.81340670,3.69647485,-3.66192235,0.01983760,-0.02901146,0.13643361,-0.04879069,1.12456392,-0.94092873,1.66479456,-1.52410007,1.01978026,-1.42003010,1.60569519,-1.82815349,0.33355274,-0.23203997,0.00000000,-0.00000000
0.81940970,3.71890090,-3.73485232,0.02046572,-0.02924174,0.13770919,-0.05010373,1.11955903,-0.95860954,1.66318933,-1.54611426,1.03889489,-1.44892360,1.62383054,-1.87226463,0.33654781,-0.23842956,0.00000000,-0.00000000
0.82541271,3.73523312,-3.80568023,0.02111342,-0.02941916,0.13859307,-0.05167505,1.11208778,-0.97576139,1.65802813,-1.56869024,1.05816997,-1.47580196,1.64075632,-1.91361147,0.33859904,-0.24536886,0.00000000,-0.00000000
0.83141571,3.74456125,-3.87341348,0.02176839,-0.02953812,0.13908166,-0.05351771,1.10213177,-0.99219308,1.64905161,-1.59156306,1.07708892,-1.50001810,1.65594685,-1.95148444,0.33962011,-0.25284119,0.00000000,-0.00000000
0.83741871,3.74617181,-3.93706015,0.02241841,-0.02959397,0.13917997,-0.05564241,1.08972684,-1.00773069,1.63609609,-1.61443612,1.09516975,-1.52093349,1.66894728,-1.98520388,0.33954972,-0.26081594,0.00000000,-0.00000000
0.84342171,3.73955823,-3.99566355,0.02305171,-0.02958308,0.13890161,-0.05805710,1.07496041,-1.02222168,1.61909681,-1.63699174,1.11197024,-1.53794346,1.67937717,-2.01414288,0.33835357,-0.26924923,0.00000000,-0.00000000
0.84942471,3.72442258,-4.04833617,0.02365721,-0.02950295,0.13826844,-0.06076660,1.05796664,-1.03553813,1.59808764,-1.65890271,1.12709124,-1.55050197,1.68693042,-2.03774867,0.33602528,-0.27808503,0.00000000,-0.00000000
0.85542771,3.70066959,-4.09429156,0.02422482,-0.02935228,0.13730988,-0.06377219,1.03892001,-1.04757895,1.57319718,-1.67984438,1.14017826,-1.55814468,1.69137186,-2.05556181,0.33258637,-0.28725642,0.00000000,-0.00000000
