energy_ev,total_up,Cr_p_up,Cr_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.13004192,0.29278636,0.13900784,0.40898655,0.35060730,0.00542706,0.37380054,0.00166986,0.36870471
-5.99399700,1.15048108,0.32622645,0.15223547,0.42678064,0.33847637,0.00611641,0.36069403,0.00182569,0.39776299
-5.98799400,1.18065964,0.36426291,0.16704884,0.44782799,0.32832035,0.00685199,0.34949266,0.00202693,0.43164101
-5.98199100,1.22096480,0.40702907,0.18340415,0.47220648,0.32032331,0.00762960,0.34038792,0.00227195,0.47043400
-5.97598799,1.27160681,0.45459090,0.20123007,0.49993289,0.31462130,0.00844379,0.33352122,0.00255921,0.51416766
-5.96998499,1.33260297,0.50693531,0.22042560,0.53095956,0.31130002,0.00928791,0.32898225,0.00288708,0.56278784
-5.96398199,1.40376672,0.56395983,0.24085864,0.56517290,0.31039414,0.01015409,0.32680890,0.00325379,0.61615180
-5.95797899,1.48470177,0.62546387,0.26236547,0.60239362,0.31188795,0.01103334,0.32698871,0.00365727,0.67402153
-5.95197599,1.57480195,0.69114241,0.28475124,0.64237891,0.31571741,0.01191567,0.32946162,0.00409505,0.73605932
-5.94597299,1.67325665,0.76058237,0.30779149,0.68482630,0.32177340,0.01279027,0.33412385,0.00456418,0.80182629
-5.93996998,1.77906202,0.83326229,0.33123469,0.72937919,0.32990600,0.01364566,0.34083280,0.00506119,0.87078383
-5.93396698,1.89103757,0.90855559,0.35480605,0.77563382,0.33992960,0.01447001,0.34941248,0.00558201,0.94229850
-5.92796398,2.00784815,0.98573764,0.37821215,0.82314743,0.35162871,0.01525133,0.35965945,0.00612200,1.01565019
-5.92196098,2.12803048,1.06399682,0.40114671,0.87144746,0.36476411,0.01597782,0.37134901,0.00667597,1.09004372
-5.91595798,2.25002381,1.14244926,0.42329705,0.92004147,0.37907926,0.01663812,0.38424126,0.00723823,1.16462352
-5.90995498,2.37220386,1.22015723,0.44435123,0.96842743,0.39430674,0.01722166,0.39808707,0.00780264,1.23849123
-5.90395198,2.49291900,1.29615044,0.46400554,1.01610423,0.41017448,0.01771888,0.41263367,0.00836279,1.31072555
-5.89794897,2.61052776,1.36944977,0.48197220,1.06258198,0.42641171,0.01812160,0.42762971,0.00891206,1.38040385
-5.89194597,2.72343635,1.43909245,0.49798683,1.10739200,0.44275434,0.01842314,0.44282992,0.00944382,1.44662467
-5.88594297,2.83013515,1.50415778,0.51181561,1.15009606,0.45894986,0.01861863,0.45799908,0.00995160,1.50853037
-5.87993997,2.92923293,1.56379239,0.52326165,1.19029488,0.47476149,0.01870505,0.47291546,0.01042923,1.56532894
-5.87393697,3.01948761,1.61723377,0.53217043,1.22763552,0.48997162,0.01868140,0.48737374,0.01087107,1.61631417
-5.86793397,3.09983274,1.66383129,0.53843405,1.26181769,0.50438449,0.01854869,0.50118737,0.01127215,1.66088323
-5.86193097,3.16939865,1.70306351,0.54199408,1.29259887,0.51782821,0.01830989,0.51419064,0.01162837,1.69855103
-5.85592796,3.22752786,1.73455117,0.54284293,1.31979817,0.53015593,0.01796988,0.52624027,0.01193666,1.72896069
-5.84992496,3.27378415,1.75806517,0.54102362,1.34329897,0.54124658,0.01753527,0.53721685,0.01219505,1.75188968
-5.84392196,3.30795553,1.77352931,0.53662800,1.36305052,0.55100492,0.01701422,0.54702609,0.01240290,1.76725147
-5.83791896,3.33005097,1.78101757,0.52979355,1.37906843,0.55936126,0.01641615,0.55559991,0.01256087,1.77509280
-5.83191596,3.34029158,1.78074637,0.52069873,1.39143430,0.56627079,0.01575154,0.56289752,0.01267105,1.77558658
-5.82591296,3.33909683,1.77306216,0.50955734,1.40029452,0.57171283,0.01503156,0.56890644,0.01273696,1.76902118
-5.81990995,3.32706668,1.75842507,0.49661192,1.40585852,0.57568983,0.01426783,0.57364337,0.01276353,1.75578657
-5.81390695,3.30496070,1.73738963,0.48212661,1.40839641,0.57822648,0.01347205,0.57715508,0.01275705,1.73635816
-5.80790395,3.27367513,1.71058354,0.46637970,1.40823609,0.57936887,0.01265579,0.57951895,0.01272512,1.71127919
-5.80190095,3.23421899,1.67868558,0.44965623,1.40576005,0.57918363,0.01183016,0.58084339,0.01267648,1.68114262
-5.79589795,3.18769008,1.64240384,0.43224091,1.40140158,0.57775725,0.01100560,0.58126771,0.01262093,1.64657335
-5.78989495,3.13525180,1.60245515,0.41441162,1.39564047,0.57519541,0.01019171,0.58096146,0.01256908,1.60821153
-5.78389195,3.07811126,1.55954671,0.39643359,1.38899803,0.57162221,0.00939704,0.58012321,0.01253217,1.56669767
-5.77788894,3.01749908,1.51436047,0.37855467,1.38203126,0.56717939,0.00862905,0.57897831,0.01252183,1.52265991
-5.77188594,2.95465116,1.46754081,0.36100150,1.37532608,0.56202513,0.00789401,0.57777593,0.01254980,1.47670388
-5.76588294,2.89079213,1.41968561,0.34397676,1.36948933,0.55633267,0.00719697,0.57678499,0.01262766,1.42940511
-5.75987994,2.82712052,1.37134075,0.32765753,1.36513943,0.55028828,0.00654181,0.57628912,0.01276649,1.38130390
-5.75387694,2.76479515,1.32299784,0.31219456,1.36289576,0.54408877,0.00593127,0.57658063,0.01297661,1.33290247
-5.74787394,2.70492241,1.27509463,0.29771238,1.36336651,0.53793833,0.00536703,0.57795359,0.01326721,1.28466394
-5.74187094,2.64854404,1.22801757,0.28431019,1.36713540,0.53204474,0.00484984,0.58069615,0.01364606,1.23701265
-5.73586793,2.59662518,1.18210605,0.27206331,1.37474723,0.52661498,0.00437956,0.58508242,0.01411921,1.19033542
-5.72986493,2.55004253,1.13765747,0.26102499,1.38669290,0.52185040,0.00395538,0.59136401,0.01469074,1.14498323
-5.72386193,2.50957254,1.09493259,0.25122855,1.40339414,0.51794146,0.00357584,0.59976176,0.01536248,1.10127287
-5.71785893,2.47588001,1.05416073,0.24268965,1.42518877,0.51506249,0.00323903,0.61045791,0.01613385,1.05948828
-5.71185593,2.44950738,1.01554427,0.23540857,1.45231708,0.51336640,0.00294265,0.62358914,0.01700177,1.01988143
-5.70585293,2.43086534,0.97926218,0.22937248,1.48491014,0.51297998,0.00268414,0.63924081,0.01796054,0.98267255
-5.69984992,2.42022537,0.94547253,0.22455762,1.52298076,0.51399966,0.00246073,0.65744278,0.01900191,0.94804978
-5.69384692,2.41771499,0.91431385,0.22093136,1.56641777,0.51648838,0.00226958,0.67816716,0.02011520,0.91616844
-5.68784392,2.42331633,0.88590557,0.21845414,1.61498435,0.52047348,0.00210777,0.70132803,0.02128746,0.88715012
-5.68184092,2.43686863,0.86034755,0.21708129,1.66832064,0.52594599,0.00197239,0.72678346,0.02250381,0.86108170
-5.67583792,2.45807497,0.83771923,0.21676471,1.72595109,0.53286126,0.00186060,0.75433964,0.02374775,0.83801489
-5.66983492,2.48651342,0.81807839,0.21745453,1.78729629,0.54114110,0.00176962,0.78375715,0.02500166,0.81796617
-5.66383192,2.52165245,0.80145995,0.21910057,1.85168917,0.55067714,0.00169678,0.81475902,0.02624725,0.80091760
-5.65782891,2.56287006,0.78787508,0.22165374,1.91839494,0.56133551,0.00163956,0.84704023,0.02746615,0.78681852
-5.65182591,2.60947587,0.77731066,0.22506722,1.98663404,0.57296233,0.00159558,0.88027831,0.02864040,0.77558813
-5.64582291,2.66073522,0.76972927,0.22929757,2.05560691,0.58538998,0.00156263,0.91414436,0.02975308,0.76711898
-5.63981991,2.71589400,0.76506982,0.23430545,2.12451974,0.59844352,0.00153869,0.94831400,0.03078878,0.76128118
-5.63381691,2.77420290,0.76324862,0.24005616,2.19260962,0.61194711,0.00152195,0.98247772,0.03173409,0.75792701
-5.62781391,2.83493982,0.76416100,0.24651976,2.25916810,0.62572998,0.00151082,1.01634997,0.03257802,0.75689586
-5.62181091,2.89742915,0.76768315,0.25367080,2.32356189,0.63963163,0.00150392,1.04967664,0.03331225,0.75801908
-5.61580790,2.96105692,0.77367428,0.26148765,2.38524970,0.65350599,0.00150014,1.08224055,0.03393136,0.76112438
-5.60980490,3.02528105,0.78197876,0.26995139,2.44379452,0.66722437,0.00149859,1.11386461,0.03443293,0.76603975
-5.60380190,3.08963637,0.79242820,0.27904426,2.49887078,0.68067707,0.00149863,1.14441265,0.03481743,0.77259649
-5.59779890,3.15373423,0.80484341,0.28874775,2.55026629,0.69377362,0.00149985,1.17378804,0.03508810,0.78063127
-5.59179590,3.21725715,0.81903618,0.29904049,2.59787904,0.70644183,0.00150210,1.20193015,0.03525065,0.78998734
-5.58579290,3.27994918,0.83481089,0.30989587,2.64170935,0.71862568,0.00150538,1.22880909,0.03531291,0.80051469
-5.57978989,3.34160283,0.85196590,0.32127967,2.68184802,0.73028242,0.00150992,1.25441918,0.03528436,0.81206939
-5.57378689,3.40204402,0.87029494,0.33314781,2.71846158,0.74137913,0.00151607,1.27877164,0.03517566,0.82451239
-5.56778389,3.46111599,0.88958847,0.34544432,2.75177532,0.75188902,0.00152428,1.30188702,0.03499807,0.83770781
-5.56178089,3.51866387,0.90963516,0.35809972,2.78205564,0.76178783,0.00153509,1.32378801,0.03476300,0.85152111
-5.55577789,3.57452083,0.93022348,0.37102997,2.80959232,0.77105061,0.00154903,1.34449291,0.03448146,0.86581731
-5.54977489,3.62849705,0.95114359,0.38413603,2.83468203,0.77964917,0.00156663,1.36401044,0.03416363,0.88045962
-5.54377189,3.68037219,0.97218940,0.39730412,2.85761360,0.78755030,0.00158833,1.38233596,0.03381849,0.89530843
-5.53776888,3.72989183,0.99316089,0.41040680,2.87865570,0.79471495,0.00161445,1.39944933,0.03345354,0.91022105
-5.53176588,3.77676812,1.01386651,0.42330472,2.89804728,0.80109829,0.00164517,1.41531447,0.03307459,0.92505207
-5.52576288,3.82068427,1.03412571,0.43584920,2.91599074,0.80665078,0.00168050,1.42988050,0.03268571,0.93965444
