energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,1.59800315,0.01623341,0.31425271,0.29955781,0.41958111,0.03980579,0.31501707
-5.99399700,1.66832849,0.01693280,0.32811798,0.31269091,0.43817099,0.04157472,0.32879892
-5.98799400,1.72971740,0.01753894,0.34022215,0.32412015,0.45443632,0.04312571,0.34081769
-5.98199100,1.78100133,0.01803988,0.35033307,0.33362081,0.46807126,0.04443023,0.35084579
-5.97598799,1.82119138,0.01842553,0.35825379,0.34100181,0.47881692,0.04546421,0.35869128
-5.96998499,1.84951134,0.01868799,0.36382910,0.34611211,0.48646997,0.04620882,0.36420429
-5.96398199,1.86542386,0.01882183,0.36695086,0.34884585,0.49088947,0.04665113,0.36728205
-5.95797899,1.86864871,0.01882425,0.36756162,0.34914602,0.49200170,0.04678451,0.36787240
-5.95197599,1.85917207,0.01869524,0.36565658,0.34700643,0.48980248,0.04660887,0.36597546
-5.94597299,1.83724648,0.01843749,0.36128368,0.34247196,0.48435717,0.04613061,0.36164351
-5.93996998,1.80338146,0.01805639,0.35454184,0.33563704,0.47579818,0.04536237,0.35497903
-5.93396698,1.75832522,0.01755980,0.34557748,0.32664239,0.46432014,0.04432258,0.34613097
-5.92796398,1.70303841,0.01695776,0.33457938,0.31567028,0.45017299,0.04303476,0.33528954
-5.92196098,1.63866114,0.01626223,0.32177230,0.30293848,0.43365334,0.04152668,0.32267957
-5.91595798,1.56647496,0.01548664,0.30740946,0.28869314,0.41509448,0.03982948,0.30855304
-5.90995498,1.48786140,0.01464551,0.29176447,0.27320109,0.39485558,0.03797657,0.29318086
-5.90395198,1.40425919,0.01375400,0.27512280,0.25674166,0.37331046,0.03600260,0.27684449
-5.89794897,1.31712187,0.01282745,0.25777348,0.23959865,0.35083659,0.03394245,0.25982756
-5.89194597,1.22787763,0.01188103,0.24000105,0.22205255,0.32780465,0.03183025,0.24240810
-5.88594297,1.13789292,0.01092933,0.22207837,0.20437349,0.30456912,0.02969851,0.22485140
-5.87993997,1.04844124,0.00998602,0.20426031,0.18681501,0.28146026,0.02757737,0.20740397
-5.87393697,0.96067787,0.00906363,0.18677869,0.16960901,0.25877771,0.02549411,0.19028867
-5.86793397,0.87562135,0.00817334,0.16983849,0.15296184,0.23678580,0.02347263,0.17370117
-5.86193097,0.79414175,0.00732482,0.15361540,0.13705174,0.21571076,0.02153335,0.15780777
-5.85592796,0.71695587,0.00652625,0.13825475,0.12202752,0.19573970,0.01969304,0.14274452
-5.84992496,0.64462854,0.00578426,0.12387163,0.10800843,0.17702123,0.01796503,0.12861760
-5.84392196,0.57757977,0.00510401,0.11055219,0.09508520,0.15966755,0.01635936,0.11550476
-5.83791896,0.51609643,0.00448937,0.09835585,0.08332194,0.14375782,0.01488319,0.10345773
-5.83191596,0.46034765,0.00394299,0.08731825,0.07275882,0.12934235,0.01354120,0.09250525
-5.82591296,0.41040274,0.00346653,0.07745474,0.06341529,0.11644755,0.01233607,0.08265662
-5.81990995,0.36625047,0.00306087,0.06876414,0.05529365,0.10508101,0.01126901,0.07390548
-5.81390695,0.32781860,0.00272627,0.06123262,0.04838273,0.09523678,0.01034026,0.06623366
-5.80790395,0.29499277,0.00246261,0.05483740,0.04266150,0.08690026,0.00954951,0.05961486
-5.80190095,0.26763377,0.00226954,0.04955022,0.03810252,0.08005267,0.00889635,0.05401799
-5.79589795,0.24559253,0.00214661,0.04534038,0.03467488,0.07467477,0.00838058,0.04941014
-5.78989495,0.22872240,0.00209344,0.04217719,0.03234676,0.07074980,0.00800247,0.04575892
-5.78389195,0.21688820,0.00210974,0.04003190,0.03108740,0.06826549,0.00776290,0.04303426
-5.77788894,0.20997197,0.00219537,0.03887886,0.03086841,0.06721509,0.00766340,0.04120956
-5.77188594,0.20787547,0.00235033,0.03869616,0.03166446,0.06759742,0.00770611,0.04026220
-5.76588294,0.21051947,0.00257470,0.03946554,0.03345336,0.06941606,0.00789363,0.04017349
-5.75987994,0.21784015,0.00286854,0.04117181,0.03621555,0.07267761,0.00822879,0.04092808
-5.75387694,0.22978308,0.00323180,0.04380166,0.03993306,0.07738933,0.00871434,0.04251288
-5.74787394,0.24629517,0.00366410,0.04734222,0.04458811,0.08355616,0.00935259,0.04491566
-5.74187094,0.26731524,0.00416459,0.05177918,0.05016131,0.09117740,0.01014504,0.04812340
-5.73586793,0.29276386,0.00473176,0.05709485,0.05662978,0.10024314,0.01109192,0.05212046
-5.72986493,0.32253296,0.00536325,0.06326613,0.06396514,0.11073078,0.01219180,0.05688681
-5.72386193,0.35647610,0.00605563,0.07026259,0.07213161,0.12260171,0.01344118,0.06239625
-5.71785893,0.39439981,0.00680429,0.07804480,0.08108435,0.13579849,0.01483421,0.06861491
-5.71185593,0.43605684,0.00760328,0.08656294,0.09076814,0.15024256,0.01636233,0.07550012
-5.70585293,0.48114156,0.00844526,0.09575592,0.10111653,0.16583289,0.01801417,0.08299952
-5.69984992,0.52928816,0.00932142,0.10555101,0.11205148,0.18244545,0.01977541,0.09105083
-5.69384692,0.58007187,0.01022155,0.11586404,0.12348372,0.19993378,0.02162887,0.09958198
-5.68784392,0.63301323,0.01113410,0.12660024,0.13531361,0.21813068,0.02355469,0.10851191
-5.68184092,0.68758557,0.01204639,0.13765569,0.14743275,0.23685091,0.02553059,0.11775184
-5.67583792,0.74322535,0.01294476,0.14891930,0.15972608,0.25589500,0.02753232,0.12720702
-5.66983492,0.79934501,0.01381494,0.16027539,0.17207450,0.27505391,0.02953424,0.13677895
-5.66383192,0.85534785,0.01464230,0.17160648,0.18435785,0.29411444,0.03150989,0.14636790
-5.65782891,0.91064407,0.01541230,0.18279648,0.19645810,0.31286508,0.03343279,0.15587565
-5.65182591,0.96466736,0.01611083,0.19373388,0.20826257,0.33110209,0.03527715,0.16520829
