energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-6.00000000,1.36786382,0.04380431,0.01091180,0.16783894,0.09572446,0.34083175,0.25014712,0.04648337,0.78411735
-5.99399700,1.22203666,0.03926921,0.00954556,0.14925500,0.08474551,0.30612686,0.22622539,0.04111402,0.70070594
-5.98799400,1.08549591,0.03498927,0.00831122,0.13199375,0.07462805,0.27328629,0.20324808,0.03617456,0.62256484
-5.98199100,0.95861723,0.03098452,0.00720313,0.11607524,0.06536623,0.24247045,0.18140079,0.03165984,0.54991601
-5.97598799,0.84161499,0.02726881,0.00621503,0.10150047,0.05694462,0.21379563,0.16083308,0.02756030,0.48288829
-5.96998499,0.73455160,0.02385014,0.00534034,0.08825316,0.04933949,0.18733502,0.14165815,0.02386263,0.42152256
-5.96398199,0.63735047,0.02073106,0.00457232,0.07630192,0.04252010,0.16312088,0.12395396,0.02055035,0.36577895
-5.95797899,0.54981214,0.01790923,0.00390436,0.06560257,0.03645010,0.14114789,0.10776526,0.01760448,0.31554589
-5.95197599,0.47163283,0.01537809,0.00333020,0.05610062,0.03108895,0.12137728,0.09310681,0.01500418,0.27065051
-5.94597299,0.40242480,0.01312752,0.00284409,0.04773389,0.02639333,0.10374173,0.07996722,0.01272749,0.23087016
-5.93996998,0.34173772,0.01114459,0.00244109,0.04043513,0.02231852,0.08815062,0.06831337,0.01075187,0.19594445
-5.93396698,0.28908045,0.00941432,0.00211722,0.03413459,0.01881976,0.07449551,0.05809519,0.00905491,0.16558751
-5.92796398,0.24394246,0.00792038,0.00186972,0.02876255,0.01585348,0.06265562,0.04925053,0.00761491,0.13950002
-5.92196098,0.20581438,0.00664580,0.00169725,0.02425166,0.01337850,0.05250316,0.04171002,0.00641137,0.11738078
-5.91595798,0.17420720,0.00557357,0.00160009,0.02053908,0.01135701,0.04390822,0.03540174,0.00542555,0.09893738
-5.90995498,0.14866965,0.00468720,0.00158040,0.01756848,0.00975556,0.03674328,0.03025546,0.00464089,0.08389590
-5.90395198,0.12880343,0.00397121,0.00164239,0.01529171,0.00854574,0.03088710,0.02620663,0.00404337,0.07200931
-5.89794897,0.11427614,0.00341149,0.00179253,0.01367026,0.00770486,0.02622802,0.02319965,0.00362183,0.06306459
-5.89194597,0.10483164,0.00299559,0.00203974,0.01267640,0.00721637,0.02266655,0.02119078,0.00336822,0.05688834
-5.88594297,0.10029775,0.00271295,0.00239551,0.01229404,0.00707015,0.02011735,0.02015026,0.00327778,0.05335096
-5.87993997,0.10059119,0.00255497,0.00287409,0.01251927,0.00726260,0.01851052,0.02006399,0.00334909,0.05236924
-5.87393697,0.10571965,0.00251505,0.00349247,0.01336060,0.00779661,0.01779225,0.02093438,0.00358415,0.05390743
-5.86793397,0.11578093,0.00258855,0.00427046,0.01483878,0.00868122,0.01792484,0.02278072,0.00398825,0.05797677
-5.86193097,0.13095915,0.00277261,0.00523058,0.01698636,0.00993127,0.01888623,0.02563874,0.00456987,0.06463343
-5.85592796,0.15151785,0.00306598,0.00639790,0.01984681,0.01156664,0.02066888,0.02955961,0.00534037,0.07397494
-5.84992496,0.17779006,0.00346872,0.00779977,0.02347323,0.01361150,0.02327828,0.03460820,0.00631369,0.08613497
-5.84392196,0.21016526,0.00398189,0.00946546,0.02792676,0.01609321,0.02673091,0.04086072,0.00750585,0.10127669
-5.83791896,0.24907343,0.00460718,0.01142559,0.03327444,0.01904112,0.03105193,0.04840166,0.00893439,0.11958463
-5.83191596,0.29496612,0.00534648,0.01371152,0.03958683,0.02248518,0.03627241,0.05732018,0.01061771,0.14125515
-5.82591296,0.34829507,0.00620147,0.01635459,0.04693517,0.02645446,0.04242645,0.06770585,0.01257426,0.16648569
-5.81990995,0.40948863,0.00717315,0.01938521,0.05538831,0.03097546,0.04954801,0.07964397,0.01482168,0.19546307
-5.81390695,0.47892660,0.00826145,0.02283187,0.06500936,0.03607052,0.05766772,0.09321045,0.01737580,0.22835099
-5.80790395,0.55691424,0.00946477,0.02672015,0.07585227,0.04175614,0.06680976,0.10846644,0.02024967,0.26527723
-5.80190095,0.64365642,0.01077966,0.03107156,0.08795840,0.04804145,0.07698885,0.12545298,0.02345244,0.30632095
-5.79589795,0.73923280,0.01220050,0.03590256,0.10135319,0.05492680,0.08820761,0.14418564,0.02698834,0.35150056
-5.78989495,0.84357549,0.01371927,0.04122354,0.11604330,0.06240266,0.10045437,0.16464960,0.03085560,0.40076281
-5.78389195,0.95645022,0.01532545,0.04703800,0.13201413,0.07044886,0.11370162,0.18679536,0.03504558,0.45397363
-5.77788894,1.07744242,0.01700601,0.05334186,0.14922812,0.07903418,0.12790515,0.21053525,0.03954191,0.51091142
-5.77188594,1.20594943,0.01874555,0.06012310,0.16762387,0.08811658,0.14300415,0.23574112,0.04431986,0.57126326
-5.76588294,1.34117981,0.02052652,0.06736168,0.18711638,0.09764384,0.15892222,0.26224336,0.04934600,0.63462462
-5.75987994,1.48216075,0.02232966,0.07502982,0.20759827,0.10755488,0.17556948,0.28983142,0.05457800,0.70050294
-5.75387694,1.62775397,0.02413445,0.08309267,0.22894240,0.11778169,0.19284560,0.31825612,0.05996488,0.76832532
-5.74787394,1.77668029,0.02591982,0.09150941,0.25100558,0.12825169,0.21064393,0.34723364,0.06544747,0.83745038
-5.74187094,1.92755261,0.02766479,0.10023473,0.27363342,0.13889081,0.22885634,0.37645125,0.07095933,0.90718414
-5.73586793,2.07891648,0.02934926,0.10922067,0.29666634,0.14962677,0.24737881,0.40557480,0.07642793,0.97679951
-5.72986493,2.22929697,0.03095484,0.11841878,0.31994618,0.16039275,0.26611745,0.43425753,0.08177616,1.04555885
-5.72386193,2.37725007,0.03246563,0.12778254,0.34332350,0.17113119,0.28499454,0.46215020,0.08692422,1.11273862
-5.71785893,2.52141663,0.03386892,0.13726980,0.36666496,0.18179740,0.30395440,0.48891190,0.09179161,1.17765530
-5.71185593,2.66057606,0.03515585,0.14684531,0.38986049,0.19236300,0.32296865,0.51422138,0.09629940,1.23969118
-5.70585293,2.79369744,0.03632194,0.15648303,0.41282982,0.20281883,0.34204044,0.53778815,0.10037255,1.29831898
-5.69984992,2.91998503,0.03736737,0.16616819,0.43552799,0.21317714,0.36120736,0.55936300,0.10394220,1.35312380
-5.69384692,3.03891567,0.03829719,0.17589880,0.45794930,0.22347292,0.38054264,0.57874738,0.10694793,1.40382134
-5.68784392,3.15026558,0.03912122,0.18568673,0.48012953,0.23376420,0.40015448,0.59580114,0.10933976,1.45027109
-5.68184092,3.25412453,0.03985376,0.19555787,0.50214601,0.24413115,0.42018323,0.61044820,0.11107994,1.49248379
-5.67583792,3.35089606,0.04051313,0.20555170,0.52411539,0.25467397,0.44079640,0.62267978,0.11214433,1.53062215
-5.66983492,3.44128274,0.04112094,0.21571988,0.54618913,0.26550959,0.46218157,0.63255502,0.11252337,1.56499493
-5.66383192,3.52625658,0.04170127,0.22612398,0.56854661,0.27676709,0.48453738,0.64019880,0.11222257,1.59604382
-5.65782891,3.60701514,0.04227963,0.23683245,0.59138615,0.28858218,0.50806285,0.64579680,0.11126250,1.62432403
-5.65182591,3.68492503,0.04288190,0.24791675,0.61491428,0.30109069,0.53294546,0.64958790,0.10967826,1.65047873
-5.64582291,3.76145483,0.04353321,0.25944698,0.63933354,0.31442153,0.55934857,0.65185434,0.10751846,1.67520889
-5.63981991,3.83810030,0.04425679,0.27148699,0.66482952,0.32868915,0.58739867,0.65290990,0.10484373,1.69923931
-5.63381691,3.91630535,0.04507291,0.28408926,0.69155758,0.34398616,0.61717319,0.65308661,0.10172485,1.72328288
-5.62781391,3.99738217,0.04599793,0.29728984,0.71963000,0.36037605,0.64868940,0.65272070,0.09824051,1.74800420
-5.62181091,4.08243457,0.04704350,0.31110355,0.74910409,0.37788670,0.68189525,0.65213821,0.09447486,1.77398473
-5.61580790,4.17228810,0.04821591,0.32551965,0.77997199,0.39650488,0.71666249,0.65164107,0.09051495,1.80169088
-5.60980490,4.26743049,0.04951566,0.34049833,0.81215273,0.41617194,0.75278272,0.65149415,0.08644805,1.83144662
-5.60380190,4.36796554,0.05093726,0.35596818,0.84548684,0.43678119,0.78996670,0.65191391,0.08235911,1.86341207
-5.59779890,4.47358281,0.05246927,0.37182482,0.87973417,0.45817694,0.82784720,0.65305907,0.07832829,1.89756910
-5.59179590,4.58354500,0.05409446,0.38793088,0.91457488,0.48015554,0.86598540,0.65502379,0.07442884,1.93371464
-5.58579290,4.69669390,0.05579036,0.40411731,0.94961388,0.50246824,0.90388077,0.65783359,0.07072516,1.97146219
-5.57978989,4.81147511,0.05752976,0.42018621,0.98438859,0.52482615,0.94098424,0.66144412,0.06727134,2.01025159
-5.57378689,4.92598064,0.05928156,0.43591493,1.01837975,0.54690684,0.97671422,0.66574294,0.06411004,2.04936649
-5.56778389,5.03800809,0.06101164,0.45106148,1.05102512,0.56836269,1.01047475,0.67055404,0.06127183,2.08795916
-5.56178089,5.14513380,0.06268383,0.46537105,1.08173542,0.58883052,1.04167546,0.67564505,0.05877493,2.12508133
-5.55577789,5.24479732,0.06426094,0.47858332,1.10991201,0.60794223,1.06975213,0.68073675,0.05662544,2.15971993
-5.54977489,5.33439365,0.06570582,0.49044040,1.13496577,0.62533608,1.09418741,0.68551439,0.05481788,2.19083625
-5.54377189,5.41136951,0.06698239,0.50069501,1.15633631,0.64066813,1.11453059,0.68964055,0.05333615,2.21740681
-5.53776888,5.47331971,0.06805663,0.50911868,1.17351091,0.65362347,1.13041574,0.69276878,0.05215473,2.23846440
-5.53176588,5.51807980,0.06889750,0.51550943,1.18604244,0.66392667,1.14157736,0.69455766,0.05124016,2.25313750
