energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.87441692,0.01636397,0.37466329,0.22866514,1.98049727,1.15485593,0.04966937,0.98111946
-5.99399700,2.79479548,0.01626557,0.35471312,0.21902464,1.93134925,1.12379931,0.04814047,0.95921175
-5.98799400,2.71877079,0.01611613,0.33545148,0.20979185,1.88744011,1.09443170,0.04663022,0.93812353
-5.98199100,2.64815874,0.01592184,0.31720833,0.20108900,1.85016182,1.06745714,0.04516808,0.91842666
-5.97598799,2.58459337,0.01568928,0.30028078,0.19301659,1.82076288,1.04350634,0.04378010,0.90063380
-5.96998499,2.52948481,0.01542521,0.28492626,0.18565149,1.80031517,1.02312091,0.04248818,0.88518465
-5.96398199,2.48398458,0.01513640,0.27135715,0.17904586,1.78968488,1.00674033,0.04130956,0.87243482
-5.95797899,2.44895904,0.01482942,0.25973665,0.17322706,1.78950840,0.99469193,0.04025643,0.86264757
-5.95197599,2.42497137,0.01451052,0.25017630,0.16819836,1.80017333,0.98718411,0.03933585,0.85598858
-5.94597299,2.41227224,0.01418549,0.24273477,0.16394052,1.82180529,0.98430263,0.03854978,0.85252380
-5.93996998,2.41079881,0.01385959,0.23741811,0.16041411,1.85426039,0.98601004,0.03789533,0.85222020
-5.93396698,2.42018190,0.01353750,0.23418128,0.15756231,1.89712383,0.99214806,0.03736520,0.85494935
-5.92796398,2.43976041,0.01322326,0.23293085,0.15531434,1.94971434,1.00244255,0.03694818,0.86049336
-5.92196098,2.46860240,0.01292031,0.23352869,0.15358904,2.01109465,1.01651111,0.03662988,0.86855302
-5.91595798,2.50553191,0.01263150,0.23579660,0.15229868,2.08008771,1.03387268,0.03639336,0.87875764
-5.90995498,2.54916063,0.01235914,0.23952171,0.15135269,2.15529864,1.05395914,0.03621996,0.89067631
-5.90395198,2.59792357,0.01210507,0.24446240,0.15066127,2.23514189,1.07612857,0.03609000,0.90383004
-5.89794897,2.65011774,0.01187072,0.25035473,0.15013867,2.31787352,1.09967973,0.03598353,0.91770460
-5.89194597,2.70394310,0.01165718,0.25691921,0.14970602,2.40162784,1.12386780,0.03588099,0.93176361
-5.88594297,2.75754490,0.01146531,0.26386768,0.14929369,2.48445804,1.14792084,0.03576375,0.94546164
-5.87993997,2.80905662,0.01129574,0.27091029,0.14884303,2.56437979,1.17105688,0.03561468,0.95825701
-5.87393697,2.85664269,0.01114896,0.27776231,0.14830754,2.63941709,1.19250134,0.03541848,0.96962416
-5.86793397,2.89854034,0.01102532,0.28415072,0.14765335,2.70764915,1.21150434,0.03516199,0.97906529
-5.86193097,2.93309954,0.01092510,0.28982043,0.14685917,2.76725716,1.22735779,0.03483438,0.98612123
-5.85592796,2.95882049,0.01084844,0.29453992,0.14591559,2.81656959,1.23941172,0.03442726,0.99038120
-5.84992496,2.97438759,0.01079537,0.29810623,0.14482399,2.85410463,1.24708952,0.03393471,0.99149154
-5.84392196,2.97869927,0.01076575,0.30034919,0.14359487,2.87860835,1.24990177,0.03335321,0.98916299
-5.83791896,2.97089275,0.01075920,0.30113467,0.14224607,2.88908733,1.24745809,0.03268152,0.98317671
-5.83191596,2.95036303,0.01077510,0.30036693,0.14080055,2.88483436,1.23947679,0.03192061,0.97338859
-5.82591296,2.91677555,0.01081244,0.29798981,0.13928423,2.86544641,1.22579176,0.03107339,0.95973196
-5.81990995,2.87007194,0.01086984,0.29398687,0.13772376,2.83083386,1.20635656,0.03014457,0.94221845
-5.81390695,2.81046865,0.01094542,0.28838051,0.13614439,2.78122077,1.18124526,0.02914043,0.92093717
-5.80790395,2.73844831,0.01103678,0.28122986,0.13456812,2.71713580,1.15065009,0.02806860,0.89605186
-5.80190095,2.65474410,0.01114096,0.27262794,0.13301200,2.63939443,1.11487573,0.02693786,0.86779640
-5.79589795,2.56031753,0.01125444,0.26269769,0.13148698,2.54907269,1.07433067,0.02575789,0.83646857
-5.78989495,2.45633039,0.01137314,0.25158756,0.12999701,2.44747373,1.02951554,0.02453912,0.80242232
-5.78389195,2.34411174,0.01149245,0.23946632,0.12853871,2.33608836,0.98100915,0.02329246,0.76605874
-5.77788894,2.22512125,0.01160732,0.22651768,0.12710143,2.21655113,0.92945248,0.02202919,0.72781608
-5.77188594,2.10091015,0.01171235,0.21293471,0.12566778,2.09059365,0.87553141,0.02076070,0.68815909
-5.76588294,1.97308113,0.01180190,0.19891426,0.12421461,1.95999696,0.81995865,0.01949836,0.64756812
-5.75987994,1.84324877,0.01187029,0.18465173,0.12271430,1.82654466,0.76345570,0.01825340,0.60652823
-5.75387694,1.71300175,0.01191189,0.17033611,0.12113638,1.69197854,0.70673534,0.01703671,0.56551883
-5.74787394,1.58386812,0.01192136,0.15614573,0.11944939,1.55795815,0.65048537,0.01585877,0.52500407
-5.74187094,1.45728476,0.01189383,0.14224454,0.11762275,1.42602554,0.59535408,0.01472952,0.48542427
-5.73586793,1.33457165,0.01182502,0.12877925,0.11562874,1.29757616,0.54193787,0.01365828,0.44718869
-5.72986493,1.21691170,0.01171150,0.11587724,0.11344432,1.17383650,0.49077133,0.01265373,0.41066965
-5.72386193,1.10533626,0.01155073,0.10364523,0.11105279,1.05584872,0.44231993,0.01172380,0.37619817
-5.71785893,1.00071633,0.01134125,0.09216876,0.10844514,0.94446228,0.39697542,0.01087568,0.34406109
-5.71185593,0.90375903,0.01108273,0.08151237,0.10562104,0.84033220,0.35505373,0.01011577,0.31449952
-5.70585293,0.81500911,0.01077597,0.07172045,0.10258948,0.74392319,0.31679535,0.00944971,0.28770855
-5.69984992,0.73485439,0.01042299,0.06281854,0.09936882,0.65551921,0.28236769,0.00888232,0.26383796
-5.69384692,0.66353473,0.01002685,0.05481511,0.09598659,0.57523702,0.25186921,0.00841763,0.24299370
-5.68784392,0.60115326,0.00959169,0.04770360,0.09247867,0.50304317,0.22533490,0.00805885,0.22523998
-5.68184092,0.54768941,0.00912251,0.04146470,0.08888822,0.43877303,0.20274265,0.00780834,0.21060161
-5.67583792,0.50301253,0.00862504,0.03606855,0.08526417,0.38215114,0.18402017,0.00766757,0.19906659
-5.66983492,0.46689576,0.00810560,0.03147712,0.08165958,0.33281171,0.16905204,0.00763712,0.19058851
