energy_ev,total_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,13.54929560,0.96483290,11.95619005,0.17614245,0.79144471,0.51930933,0.00338622
-5.99399700,13.69432313,1.00085545,12.07050062,0.17954506,0.80517418,0.52355281,0.00345957
-5.98799400,13.83524538,1.03696980,12.18144254,0.18293114,0.81854430,0.52756073,0.00352994
-5.98199100,13.97123115,1.07288722,12.28842991,0.18628620,0.83144738,0.53130721,0.00359698
-5.97598799,14.10158659,1.10831883,12.39098710,0.18959660,0.84379251,0.53476875,0.00366038
-5.96998499,14.22571518,1.14297647,12.48871203,0.19284899,0.85550407,0.53792322,0.00371990
-5.96398199,14.34307683,1.17657367,12.58123904,0.19602972,0.86651968,0.54074902,0.00377535
-5.95797899,14.45314921,1.20882684,12.66820432,0.19912443,0.87678794,0.54322428,0.00382655
-5.95197599,14.55539440,1.23945687,12.74921635,0.20211787,0.88626603,0.54532622,0.00387334
-5.94597299,14.64923356,1.26819137,12.82383375,0.20499382,0.89491746,0.54703078,0.00391559
-5.93996998,14.73403155,1.29476739,12.89155233,0.20773532,0.90271011,0.54831254,0.00395317
-5.93396698,14.80909329,1.31893506,12.95180234,0.21032517,0.90961480,0.54914483,0.00398595
-5.92796398,14.87367233,1.34046180,13.00395686,0.21274652,0.91560445,0.54950022,0.00401380
-5.92196098,14.92699166,1.35913728,13.04735073,0.21498384,0.92065389,0.54935134,0.00403661
-5.91595798,14.96827584,1.37477886,13.08130943,0.21702390,0.92474048,0.54867183,0.00405428
-5.90995498,14.99679256,1.38723748,13.10518619,0.21885689,0.92784534,0.54743762,0.00406673
-5.90395198,15.01190139,1.39640357,13.11840505,0.22047755,0.92995523,0.54562834,0.00407394
-5.89794897,15.01310642,1.40221279,13.12050735,0.22188627,0.93106480,0.54322875,0.00407591
-5.89194597,15.00010936,1.40465125,13.11119835,0.22308997,0.93117925,0.54023022,0.00407272
-5.88594297,14.97285942,1.40375984,13.09039091,0.22410279,0.93031689,0.53663209,0.00406452
-5.87993997,14.93159611,1.39963729,13.05824288,0.22494650,0.92851165,0.53244284,0.00405154
-5.87393697,14.87688164,1.39244169,13.01518529,0.22565048,0.92581504,0.52768097,0.00403411
-5.86793397,14.80961963,1.38239022,12.96193875,0.22625137,0.92229758,0.52237552,0.00401264
-5.86193097,14.73105818,1.36975680,12.89951607,0.22679226,0.91804930,0.51656622,0.00398764
-5.85592796,14.64277549,1.35486765,12.82920994,0.22732148,0.91317927,0.51030312,0.00395970
-5.84992496,14.54664776,1.33809475,12.75256534,0.22789102,0.90781412,0.50364582,0.00392947
-5.84392196,14.44479998,1.31984726,12.67133715,0.22855460,0.90209537,0.49666217,0.00389769
-5.83791896,14.33954121,1.30056127,12.58743471,0.22936555,0.89617580,0.48942662,0.00386509
-5.83191596,14.23328702,1.28068807,12.50285532,0.23037449,0.89021484,0.48201817,0.00383246
-5.82591296,14.12847270,1.26068142,12.41961008,0.23162709,0.88437332,0.47451805,0.00380055
-5.81990995,14.02746136,1.24098440,12.33964551,0.23316179,0.87880763,0.46700724,0.00377010
-5.81390695,13.93245161,1.22201632,12.26476502,0.23500781,0.87366379,0.45956391,0.00374175
-5.80790395,13.84538947,1.20416024,12.19655426,0.23718354,0.86907162,0.45226096,0.00371610
-5.80190095,13.76788933,1.18775171,12.13631446,0.23969519,0.86513925,0.44516372,0.00369363
-5.79589795,13.70116802,1.17306917,12.08500714,0.24253614,0.86194855,0.43832794,0.00367469
-5.78989495,13.64599560,1.16032652,12.04321339,0.24568661,0.85955135,0.43179817,0.00365953
-5.78389195,13.60266557,1.14966817,12.01110993,0.24911413,0.85796704,0.42560661,0.00364824
-5.77788894,13.57098614,1.14116668,11.98846316,0.25277433,0.85718147,0.41977246,0.00364080
-5.77188594,13.55029299,1.13482330,11.97464180,0.25661242,0.85714730,0.41430186,0.00363704
-5.76588294,13.53948311,1.13057119,11.96864743,0.26056502,0.85778578,0.40918831,0.00363669
-5.75987994,13.53706789,1.12828123,11.96916142,0.26456234,0.85899000,0.40441358,0.00363937
-5.75387694,13.54124298,1.12777014,11.97460612,0.26853067,0.86062926,0.39994922,0.00364464
