energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-5.74787394,3.48796936,0.92860288,0.00000000,0.90229863,2.41062026,0.87149201,0.00000000
-5.74187094,3.51393518,0.86693559,0.00000000,0.87258297,2.33377767,0.96063588,0.00000000
-5.73586793,3.55635511,0.80646981,0.00000000,0.84638557,2.26304252,1.05770546,0.00000000
-5.72986493,3.61534193,0.74800740,0.00000000,0.82438506,2.19951684,1.16188148,0.00000000
-5.72386193,3.69051519,0.69224875,0.00000000,0.80716327,2.14399220,1.27218030,0.00000000
-5.71785893,3.78099150,0.63978237,0.00000000,0.79519576,2.09693199,1.38745908,0.00000000
-5.71185593,3.88539705,0.59107974,0.00000000,0.78884753,2.05846866,1.50642716,0.00000000
-5.70585293,4.00190222,0.54649544,0.00000000,0.78837353,2.02841563,1.62766390,0.00000000
-5.69984992,4.12827683,0.50627193,0.00000000,0.79392369,2.00629276,1.74964300,0.00000000
-5.69384692,4.26196384,0.47054827,0.00000000,0.80555177,1.99136359,1.87076260,0.00000000
-5.68784392,4.40016781,0.43937201,0.00000000,0.82322718,1.98268212,1.98938055,0.00000000
-5.68184092,4.53995420,0.41271321,0.00000000,0.84684888,1.97914643,2.10385351,0.00000000
-5.67583792,4.67835458,0.39047960,0.00000000,0.87626011,1.97955627,2.21257846,0.00000000
-5.66983492,4.81247278,0.37253195,0.00000000,0.91126310,1.98267168,2.31403493,0.00000000
-5.66383192,4.93958679,0.35869867,0.00000000,0.95163250,1.98726965,2.40682620,0.00000000
-5.65782891,5.05724154,0.34878894,0.00000000,0.99712675,1.99219635,2.48971747,0.00000000
-5.65182591,5.16332813,0.34260364,0.00000000,1.04749644,1.99641238,2.56166953,0.00000000
-5.64582291,5.25614586,0.33994368,0.00000000,1.10248931,1.99902934,2.62186598,0.00000000
-5.63981991,5.33444431,0.34061552,0.00000000,1.16185125,1.99933633,2.66973305,0.00000000
-5.63381691,5.39744369,0.34443363,0.00000000,1.22532356,1.99681552,2.70495085,0.00000000
