energy_ev,total_up,Ga_p_up,Ga_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,2.33873285,0.03760195,0.00000000,1.68896372,0.91471120,0.00404730,1.48965853
-5.99399700,2.40078917,0.03753080,0.00000000,1.71583337,0.95531234,0.00412678,1.53434017
-5.98799400,2.46074728,0.03740912,0.00000000,1.73736006,0.99632390,0.00420150,1.57726158
-5.98199100,2.51804154,0.03724577,0.00000000,1.75337869,1.03713426,0.00427128,1.61791805
-5.97598799,2.57212288,0.03704949,0.00000000,1.76379146,1.07712194,0.00433603,1.65581976
-5.96998499,2.62247219,0.03682859,0.00000000,1.76857097,1.11567274,0.00439577,1.69050501
-5.96398199,2.66861460,0.03659070,0.00000000,1.76776307,1.15219750,0.00445057,1.72155427
-5.95797899,2.71013400,0.03634247,0.00000000,1.76148903,1.18615003,0.00450062,1.74860415
-5.95197599,2.74668715,0.03608952,0.00000000,1.74994695,1.21704431,0.00454619,1.77136078
-5.94597299,2.77801654,0.03583630,0.00000000,1.73341186,1.24447042,0.00458768,1.78961191
-5.93996998,2.80396129,0.03558610,0.00000000,1.71223442,1.26810833,0.00462557,1.80323694
-5.93396698,2.82446523,0.03534109,0.00000000,1.68683779,1.28773899,0.00466048,1.81221445
-5.92796398,2.83958155,0.03510241,0.00000000,1.65771259,1.30325213,0.00469316,1.81662640
-5.92196098,2.84947366,0.03487032,0.00000000,1.62540977,1.31465040,0.00472449,1.81665904
-5.91595798,2.85441183,0.03464433,0.00000000,1.59053144,1.32204952,0.00475548,1.81259989
-5.90995498,2.85476569,0.03442338,0.00000000,1.55371977,1.32567444,0.00478730,1.80483108
-5.90395198,2.85099273,0.03420597,0.00000000,1.51564426,1.32585153,0.00482123,1.79381915
-5.89794897,2.84362334,0.03399037,0.00000000,1.47698766,1.32299718,0.00485867,1.78010156
-5.89194597,2.83324282,0.03377467,0.00000000,1.43843114,1.31760313,0.00490112,1.76427062
-5.88594297,2.82047139,0.03355694,0.00000000,1.40063894,1.31021924,0.00495013,1.74695524
-5.87993997,2.80594286,0.03333526,0.00000000,1.36424335,1.30143424,0.00500729,1.72880150
-5.87393697,2.79028300,0.03310781,0.00000000,1.32983021,1.29185526,0.00507413,1.71045245
-5.86793397,2.77408845,0.03287283,0.00000000,1.29792565,1.28208696,0.00515209,1.69252827
-5.86193097,2.75790700,0.03262867,0.00000000,1.26898434,1.27271082,0.00524245,1.67560710
-5.85592796,2.74221997,0.03237373,0.00000000,1.24337957,1.26426555,0.00534623,1.66020749
-5.84992496,2.72742718,0.03210648,0.00000000,1.22139550,1.25722907,0.00546414,1.64677282
-5.84392196,2.71383501,0.03182537,0.00000000,1.20322156,1.25200268,0.00559651,1.63565812
-5.83791896,2.70164773,0.03152886,0.00000000,1.18894928,1.24889789,0.00574319,1.62711972
-5.83191596,2.69096225,0.03121536,0.00000000,1.17857133,1.24812622,0.00590349,1.62130777
-5.82591296,2.68176625,0.03088325,0.00000000,1.17198286,1.24979228,0.00607617,1.61826196
-5.81990995,2.67393965,0.03053090,0.00000000,1.16898507,1.25389027,0.00625938,1.61791033
-5.81390695,2.66725921,0.03015664,0.00000000,1.16929069,1.26030391,0.00645066,1.62007118
-5.80790395,2.66140605,0.02975889,0.00000000,1.17253161,1.26880984,0.00664696,1.62445815
-5.80190095,2.65597597,0.02933616,0.00000000,1.17826818,1.27908439,0.00684468,1.63068814
-5.79589795,2.65049215,0.02888717,0.00000000,1.18600026,1.29071349,0.00703975,1.63829215
-5.78989495,2.64442017,0.02841090,0.00000000,1.19517984,1.30320544,0.00722772,1.64672863
-5.78389195,2.63718493,0.02790677,0.00000000,1.20522499,1.31600633,0.00740387,1.65539923
-5.77788894,2.62818919,0.02737466,0.00000000,1.21553497,1.32851751,0.00756336,1.66366647
-5.77188594,2.61683336,0.02681509,0.00000000,1.22550631,1.34011469,0.00770139,1.67087303
-5.76588294,2.60253608,0.02622933,0.00000000,1.23454936,1.35016814,0.00781331,1.67636215
-5.75987994,2.58475505,0.02561945,0.00000000,1.24210509,1.35806325,0.00789486,1.67949844
-5.75387694,2.56300748,0.02498846,0.00000000,1.24766158,1.36322084,0.00794227,1.67968855
-5.74787394,2.53688961,0.02434039,0.00000000,1.25076978,1.36511645,0.00795241,1.67640105
-5.74187094,2.50609434,0.02368031,0.00000000,1.25105794,1.36329799,0.00792292,1.66918460
-5.73586793,2.47042654,0.02301437,0.00000000,1.24824419,1.35740093,0.00785231,1.65768387
-5.72986493,2.42981517,0.02234981,0.00000000,1.24214681,1.34716064,0.00774002,1.64165253
-5.72386193,2.38432163,0.02169495,0.00000000,1.23269170,1.33242119,0.00758643,1.62096266
-5.71785893,2.33414403,0.02105905,0.00000000,1.21991671,1.31314045,0.00739291,1.59561024
-5.71185593,2.27961682,0.02045232,0.00000000,1.20397261,1.28939112,0.00716172,1.56571650
-5.70585293,2.22120604,0.01988570,0.00000000,1.18512062,1.26135794,0.00689598,1.53152501
-5.69984992,2.15949996,0.01937073,0.00000000,1.16372645,1.22933100,0.00659956,1.49339471
-5.69384692,2.09519574,0.01891938,0.00000000,1.14025126,1.19369575,0.00627693,1.45178921
-5.68784392,2.02908254,0.01854379,0.00000000,1.11523968,1.15492010,0.00593307,1.40726293
-5.68184092,1.96202171,0.01825606,0.00000000,1.08930546,1.11353927,0.00557325,1.36044473
-5.67583792,1.89492513,0.01806795,0.00000000,1.06311527,1.07013923,0.00520291,1.31201978
-5.66983492,1.82873225,0.01799064,0.00000000,1.03737118,1.02533940,0.00482749,1.26271058
-5.66383192,1.76438708,0.01803440,0.00000000,1.01279255,0.97977531,0.00445231,1.21325783
-5.65782891,1.70281565,0.01820831,0.00000000,0.99009775,0.93408217,0.00408237,1.16440203
-5.65182591,1.64490486,0.01851996,0.00000000,0.96998641,0.88887968,0.00372231,1.11686631
-5.64582291,1.59148326,0.01897515,0.00000000,0.95312252,0.84475870,0.00337625,1.07134121
-5.63981991,1.54330414,0.01957764,0.00000000,0.94011876,0.80227010,0.00304776,1.02847152
-5.63381691,1.50103121,0.02032882,0.00000000,0.93152250,0.76191591,0.00273981,0.98884552
-5.62781391,1.46522693,0.02122759,0.00000000,0.92780334,0.72414283,0.00245474,0.95298655
-5.62181091,1.43634348,0.02227005,0.00000000,0.92934264,0.68933787,0.00219426,0.92134689
-5.61580790,1.41471615,0.02344946,0.00000000,0.93642481,0.65782607,0.00195948,0.89430346
