energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.73959678,0.00424326,0.05349856,0.33444201,0.11334295,0.00388107,0.34872784,0.22465143,0.06639140
-5.99399700,0.73411388,0.00361772,0.05373722,0.33501174,0.11399374,0.00342583,0.34579596,0.22932938,0.06621836
-5.98799400,0.73035819,0.00307281,0.05397186,0.33576813,0.11481325,0.00302146,0.34378224,0.23438933,0.06629620
-5.98199100,0.72786893,0.00259985,0.05416773,0.33647058,0.11573038,0.00266786,0.34245893,0.23959966,0.06656131
-5.97598799,0.72617537,0.00219088,0.05429120,0.33688535,0.11667079,0.00236477,0.34159345,0.24473110,0.06695009
-5.96998499,0.72481161,0.00183862,0.05431076,0.33679225,0.11755907,0.00211190,0.34095586,0.24956225,0.06740082
-5.96398199,0.72333219,0.00153644,0.05419802,0.33599146,0.11832113,0.00190903,0.34032653,0.25388526,0.06785554
-5.95797899,0.72132755,0.00127829,0.05392863,0.33430992,0.11888679,0.00175609,0.33950383,0.25751137,0.06826173
-5.95197599,0.71843876,0.00105874,0.05348319,0.33160710,0.11919219,0.00165323,0.33831116,0.26027608,0.06857390
-5.94597299,0.71437068,0.00087285,0.05284794,0.32777965,0.11918223,0.00160088,0.33660335,0.26204367,0.06875484
-5.93996998,0.70890265,0.00071622,0.05201530,0.32276479,0.11881255,0.00159975,0.33427172,0.26271096,0.06877668
-5.93396698,0.70189642,0.00058490,0.05098416,0.31654221,0.11805125,0.00165086,0.33124774,0.26220995,0.06862144
-5.92796398,0.69330048,0.00047537,0.04975994,0.30913433,0.11688004,0.00175549,0.32750507,0.26050929,0.06828139
-5.92196098,0.68315076,0.00038455,0.04835436,0.30060489,0.11529488,0.00191512,0.32305969,0.25761455,0.06775887
-5.91595798,0.67156750,0.00030969,0.04678504,0.29105588,0.11330597,0.00213132,0.31796827,0.25356705,0.06706578
-5.90995498,0.65874834,0.00024842,0.04507471,0.28062307,0.11093722,0.00240569,0.31232468,0.24844159,0.06622265
-5.90395198,0.64495797,0.00019870,0.04325039,0.26947024,0.10822508,0.00273966,0.30625489,0.24234282,0.06525743
-5.89794897,0.63051480,0.00015875,0.04134232,0.25778241,0.10521689,0.00313432,0.29991045,0.23540074,0.06420389
-5.89194597,0.61577529,0.00012711,0.03938276,0.24575843,0.10196881,0.00359031,0.29346083,0.22776531,0.06309991
-5.88594297,0.60111662,0.00010255,0.03740484,0.23360327,0.09854339,0.00410753,0.28708498,0.21960048,0.06198550
-5.87993997,0.58691864,0.00008409,0.03544132,0.22152033,0.09500698,0.00468503,0.28096263,0.21107800,0.06090085
-5.87393697,0.57354589,0.00007098,0.03352347,0.20970421,0.09142701,0.00532079,0.27526553,0.20237111,0.05988435
-5.86793397,0.56133055,0.00006269,0.03168001,0.19833409,0.08786938,0.00601155,0.27014925,0.19364854,0.05897074
-5.86193097,0.55055724,0.00005889,0.02993627,0.18756817,0.08439599,0.00675270,0.26574586,0.18506905,0.05818943
-5.85592796,0.54145028,0.00005946,0.02831347,0.17753926,0.08106257,0.00753820,0.26215780,0.17677662,0.05756314
-5.84992496,0.53416404,0.00006450,0.02682828,0.16835171,0.07791692,0.00836050,0.25945327,0.16889672,0.05710681
-5.84392196,0.52877690,0.00007429,0.02549254,0.16007971,0.07499754,0.00921061,0.25766339,0.16153348,0.05682694
-5.83791896,0.52528900,0.00008937,0.02431324,0.15276713,0.07233288,0.01007813,0.25678122,0.15476816,0.05672130
-5.83191596,0.52362388,0.00011044,0.02329272,0.14642853,0.06994096,0.01095145,0.25676263,0.14865870,0.05677907
-5.82591296,0.52363392,0.00013847,0.02242905,0.14105157,0.06782967,0.01181794,0.25752910,0.14324040,0.05698145
-5.81990995,0.52510924,0.00017464,0.02171656,0.13660039,0.06599743,0.01266424,0.25897213,0.13852768,0.05730251
-5.81390695,0.52778958,0.00022037,0.02114656,0.13301988,0.06443435,0.01347658,0.26095920,0.13451675,0.05771051
-5.80790395,0.53137858,0.00027732,0.02070808,0.13024053,0.06312367,0.01424118,0.26334079,0.13118890,0.05816940
-5.80190095,0.53555964,0.00034737,0.02038874,0.12818367,0.06204355,0.01494465,0.26595827,0.12851437,0.05864057
-5.79589795,0.54001252,0.00043263,0.02017554,0.12676677,0.06116887,0.01557442,0.26865212,0.12645648,0.05908465
-5.78989495,0.54442998,0.00053540,0.02005573,0.12590850,0.06047322,0.01611911,0.27127011,0.12497569,0.05946334
-5.78389195,0.54853332,0.00065815,0.02001747,0.12553353,0.05993070,0.01656897,0.27367504,0.12403360,0.05974119
-5.77788894,0.55208633,0.00080344,0.02005051,0.12557654,0.05951762,0.01691619,0.27575156,0.12359634,0.05988719
-5.77188594,0.55490663,0.00097391,0.02014668,0.12598553,0.05921387,0.01715519,0.27741182,0.12363745,0.05987611
-5.76588294,0.55687409,0.00117218,0.02030019,0.12672414,0.05900406,0.01728282,0.27859961,0.12413994,0.05968959
-5.75987994,0.55793573,0.00140075,0.02050787,0.12777304,0.05887812,0.01729844,0.27929274,0.12509750,0.05931683
-5.75387694,0.55810697,0.00166192,0.02076914,0.12913023,0.05883163,0.01720401,0.27950365,0.12651472,0.05875492
-5.74787394,0.55746918,0.00195766,0.02108585,0.13081030,0.05886567,0.01700393,0.27927819,0.12840641,0.05800881
-5.74187094,0.55616368,0.00228948,0.02146199,0.13284283,0.05898619,0.01670491,0.27869259,0.13079605,0.05709084
-5.73586793,0.55438261,0.00265834,0.02190322,0.13526993,0.05920315,0.01631572,0.27784892,0.13371343,0.05602005
-5.72986493,0.55235717,0.00306447,0.02241638,0.13814311,0.05952930,0.01584679,0.27686921,0.13719170,0.05482109
