energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.90039598,0.97466593,0.00000000,0.00940946,0.52466108,0.00653658,1.65526831,1.13163665,0.57689660
-5.99399700,2.93659830,0.97964336,0.00000000,0.00898212,0.53009343,0.00674139,1.67815760,1.14322513,0.58411081
-5.98799400,2.96529770,0.98196420,0.00000000,0.00854860,0.53408370,0.00694254,1.69696706,1.15223555,0.58973972
-5.98199100,2.98633078,0.98164287,0.00000000,0.00811343,0.53664689,0.00714110,1.71155811,1.15864212,0.59375348
-5.97598799,2.99957430,0.97870782,0.00000000,0.00768101,0.53780197,0.00733887,1.72180844,1.16241065,0.59613920
-5.96998499,3.00494080,0.97319824,0.00000000,0.00725558,0.53756852,0.00753836,1.72761195,1.16349605,0.59689987
-5.96398199,3.00237702,0.96516181,0.00000000,0.00684123,0.53596421,0.00774289,1.72888060,1.16184216,0.59605369
-5.95797899,2.99186581,0.95465365,0.00000000,0.00644190,0.53300304,0.00795654,1.72554813,1.15738394,0.59363366
-5.95197599,2.97343138,0.94173649,0.00000000,0.00606134,0.52869469,0.00818421,1.71757560,1.15005208,0.58968770
-5.94597299,2.94714779,0.92648213,0.00000000,0.00570316,0.52304490,0.00843157,1.70495868,1.13977960,0.58427912
-5.93996998,2.91315013,0.90897385,0.00000000,0.00537075,0.51605688,0.00870504,1.68773597,1.12651023,0.57748749
-5.93396698,2.87164739,0.88930973,0.00000000,0.00506728,0.50773367,0.00901173,1.66599813,1.11020780,0.56940979
-5.92796398,2.82293621,0.86760641,0.00000000,0.00479566,0.49808119,0.00935932,1.63989688,1.09086619,0.56016164
-5.92196098,2.76741393,0.84400293,0.00000000,0.00455853,0.48711177,0.00975595,1.60965325,1.06851895,0.54987846
-5.91595798,2.70558992,0.81866428,0.00000000,0.00435816,0.47484790,0.01021005,1.57556431,1.04324797,0.53871636
-5.90995498,2.63809379,0.79178430,0.00000000,0.00419644,0.46132578,0.01073012,1.53800769,1.01519053,0.52685251
-5.90395198,2.56567934,0.76358742,0.00000000,0.00407483,0.44659852,0.01132450,1.49744319,0.98454405,0.51448486
-5.89794897,2.48922342,0.73432910,0.00000000,0.00399429,0.43073857,0.01200106,1.45441111,0.95156824,0.50183101
-5.89194597,2.40971901,0.70429475,0.00000000,0.00395524,0.41383927,0.01276695,1.40952695,0.91658423,0.48912613
-5.88594297,2.32826236,0.67379686,0.00000000,0.00395753,0.39601530,0.01362822,1.36347255,0.87997061,0.47661989
-5.87993997,2.24603437,0.64317060,0.00000000,0.00400038,0.37740193,0.01458949,1.31698358,0.84215651,0.46457244
