energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.51978364,0.02957684,0.64088477,1.06079271,0.47989800,2.10947058,0.00000000,1.22795529,0.72313099
-5.99399700,4.55976418,0.03065588,0.64773557,1.06873709,0.47739950,2.12705401,0.00000000,1.24223439,0.73712444
-5.98799400,4.59323238,0.03171398,0.65364077,1.07456197,0.47398087,2.14148166,0.00000000,1.25459236,0.75035376
-5.98199100,4.62012053,0.03274684,0.65858975,1.07824581,0.46970944,2.15273504,0.00000000,1.26507226,0.76275154
-5.97598799,4.64050517,0.03374988,0.66258494,1.07980483,0.46467496,2.16086881,0.00000000,1.27375317,0.77426091
-5.96998499,4.65459900,0.03471824,0.66564054,1.07929230,0.45898733,2.16600721,0.00000000,1.28074731,0.78483578
-5.96398199,4.66273974,0.03564674,0.66778121,1.07679691,0.45277377,2.16833865,0.00000000,1.28619649,0.79444131
-5.95797899,4.66537699,0.03652992,0.66904098,1.07244048,0.44617553,2.16810889,0.00000000,1.29026804,0.80305467
-5.95197599,4.66305744,0.03736219,0.66946242,1.06637475,0.43934422,2.16561293,0.00000000,1.29315034,0.81066609
-5.94597299,4.65640916,0.03813799,0.66909603,1.05877764,0.43243795,2.16118602,0.00000000,1.29504807,0.81728010
-5.93996998,4.64612540,0.03885204,0.66800002,1.04984877,0.42561737,2.15519392,0.00000000,1.29617727,0.82291700
-5.93396698,4.63294798,0.03949964,0.66624021,1.03980459,0.41904175,2.14802264,0.00000000,1.29676027,0.82761429
-5.92796398,4.61765063,0.04007694,0.66389019,1.02887297,0.41286522,2.14006795,0.00000000,1.29702048,0.83142794
-5.92196098,4.60102215,0.04058130,0.66103135,1.01728749,0.40723313,2.13172469,0.00000000,1.29717719,0.83443316
-5.91595798,4.58384931,0.04101150,0.65775288,1.00528154,0.40227888,2.12337611,0.00000000,1.29744025,0.83672467
-5.90995498,4.56689953,0.04136802,0.65415135,0.99308224,0.39812093,2.11538343,0.00000000,1.29800478,0.83841593
-5.90395198,4.55090307,0.04165320,0.65032988,0.98090446,0.39486032,2.10807567,0.00000000,1.29904594,0.83963748
-5.89794897,4.53653500,0.04187128,0.64639672,0.96894497,0.39257855,2.10174010,0.00000000,1.30071378,0.84053397
-5.89194597,4.52439682,0.04202843,0.64246314,0.95737699,0.39133597,2.09661331,0.00000000,1.30312826,0.84126004
-5.88594297,4.51499826,0.04213251,0.63864061,0.94634521,0.39117055,2.09287342,0.00000000,1.30637468,0.84197501
-5.87993997,4.50873964,0.04219290,0.63503739,0.93596157,0.39209720,2.09063344,0.00000000,1.31049959,0.84283648
-5.87393697,4.50589555,0.04222011,0.63175449,0.92630195,0.39410756,2.08993628,0.00000000,1.31550745,0.84399319
-5.86793397,4.50660059,0.04222532,0.62888132,0.91740385,0.39717024,2.09075172,0.00000000,1.32135825,0.84557731
-5.86193097,4.51083829,0.04221990,0.62649116,0.90926548,0.40123164,2.09297547,0.00000000,1.32796633,0.84769680
-5.85592796,4.51843407,0.04221484,0.62463680,0.90184604,0.40621725,2.09643091,0.00000000,1.33520068,0.85042800
