energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.25846454,0.02700403,0.00000000,0.01130740,0.18077320,0.26496465,0.30117883
-5.99399700,1.27064356,0.02697680,0.00000000,0.01094527,0.18756968,0.26604267,0.30375792
-5.98799400,1.28177140,0.02693634,0.00000000,0.01060646,0.19443948,0.26698849,0.30609098
-5.98199100,1.29145638,0.02687257,0.00000000,0.01029306,0.20137290,0.26773017,0.30806952
-5.97598799,1.29934188,0.02677533,0.00000000,0.01000584,0.20836630,0.26820040,0.30959390
-5.96998499,1.30511960,0.02663484,0.00000000,0.00974438,0.21542224,0.26833893,0.31057688
-5.96398199,1.30854079,0.02644205,0.00000000,0.00950714,0.22254940,0.26809454,0.31094676
-5.95797899,1.30942496,0.02618910,0.00000000,0.00929163,0.22976233,0.26742643,0.31064982
-5.95197599,1.30766589,0.02586956,0.00000000,0.00909460,0.23708123,0.26630514,0.30965216
-5.94597299,1.30323500,0.02547873,0.00000000,0.00891224,0.24453159,0.26471288,0.30794075
-5.93996998,1.29618189,0.02501382,0.00000000,0.00874036,0.25214395,0.26264337,0.30552392
-5.93396698,1.28663260,0.02447410,0.00000000,0.00857459,0.25995366,0.26010134,0.30243094
-5.92796398,1.27478541,0.02386087,0.00000000,0.00841061,0.26800078,0.25710153,0.29871121
-5.92196098,1.26090488,0.02317749,0.00000000,0.00824431,0.27632992,0.25366764,0.29443266
-5.91595798,1.24531411,0.02242927,0.00000000,0.00807195,0.28499021,0.24983090,0.28967984
-5.90995498,1.22838577,0.02162329,0.00000000,0.00789028,0.29403501,0.24562871,0.28455143
-5.90395198,1.21053199,0.02076820,0.00000000,0.00769670,0.30352154,0.24110325,0.27915753
-5.89794897,1.19219344,0.01987398,0.00000000,0.00748929,0.31351014,0.23630005,0.27361660
-5.89194597,1.17382784,0.01895168,0.00000000,0.00726689,0.32406304,0.23126672,0.26805221
-5.88594297,1.15589798,0.01801311,0.00000000,0.00702915,0.33524263,0.22605182,0.26258960
