energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.57986165,0.16441303,0.00182311,0.02208611,0.15545633,0.38721426,0.03837320
-5.99399700,0.55835699,0.15917405,0.00159937,0.02052856,0.15419549,0.38932375,0.03497510
-5.98799400,0.54553329,0.15551843,0.00141738,0.01917336,0.15571919,0.39662728,0.03242897
-5.98199100,0.54084528,0.15326756,0.00127431,0.01802319,0.15991815,0.40882895,0.03069407
-5.97598799,0.54370285,0.15223986,0.00116724,0.01707891,0.16666238,0.42559829,0.02972555
-5.96998499,0.55347946,0.15225384,0.00109317,0.01633944,0.17580190,0.44657226,0.02947526
-5.96398199,0.56951817,0.15313067,0.00104911,0.01580162,0.18716695,0.47135621,0.02989210
-5.95797899,0.59113571,0.15469635,0.00103206,0.01546010,0.20056758,0.49952409,0.03092229
-5.95197599,0.61762491,0.15678354,0.00103910,0.01530723,0.21579305,0.53061825,0.03250933
-5.94597299,0.64825613,0.15923296,0.00106731,0.01533289,0.23261111,0.56414924,0.03459393
-5.93996998,0.68227836,0.16189468,0.00111385,0.01552452,0.25076752,0.59959593,0.03711384
-5.93396698,0.71892058,0.16462907,0.00117591,0.01586705,0.26998604,0.63640658,0.04000374
-5.92796398,0.75739392,0.16730764,0.00125071,0.01634300,0.28996904,0.67400098,0.04319520
-5.92196098,0.79689530,0.16981375,0.00133553,0.01693263,0.31039922,0.71177426,0.04661679
-5.91595798,0.83661287,0.17204323,0.00142767,0.01761420,0.33094229,0.74910248,0.05019445
-5.90995498,0.87573363,0.17390495,0.00152447,0.01836432,0.35125094,0.78535025,0.05385207
-5.90395198,0.91345339,0.17532134,0.00162336,0.01915837,0.37097009,0.81988032,0.05751233
-5.89794897,0.94898893,0.17622897,0.00172184,0.01997109,0.38974332,0.85206526,0.06109782
-5.89194597,0.98159239,0.17657911,0.00181751,0.02077709,0.40722040,0.88130078,0.06453243
-5.88594297,1.01056729,0.17633834,0.00190818,0.02155159,0.42306562,0.90702046,0.06774287
-5.87993997,1.03528587,0.17548929,0.00199182,0.02227111,0.43696684,0.92871148,0.07066037
-5.87393697,1.05520698,0.17403135,0.00206667,0.02291412,0.44864457,0.94593058,0.07322251
-5.86793397,1.06989379,0.17198145,0.00213128,0.02346181,0.45786106,0.95831983,0.07537489
-5.86193097,1.07903065,0.16937498,0.00218457,0.02389871,0.46442870,0.96562132,0.07707290
-5.85592796,1.08243819,0.16626660,0.00222584,0.02421327,0.46821749,0.96769026,0.07828315
-5.84992496,1.08008593,0.16273110,0.00225486,0.02439845,0.46916115,0.96450570,0.07898472
-5.84392196,1.07210181,0.15886420,0.00227190,0.02445205,0.46726154,0.95617842,0.07917012
-5.83791896,1.05877796,0.15478321,0.00227771,0.02437703,0.46259119,0.94295542,0.07884578
-5.83191596,1.04057247,0.15062750,0.00227361,0.02418172,0.45529368,0.92522081,0.07803229
-5.82591296,1.01810674,0.14655879,0.00226143,0.02387980,0.44558191,0.90349274,0.07676404
-5.81990995,0.99215847,0.14276102,0.00224355,0.02349024,0.43373420,0.87841655,0.07508859
-5.81390695,0.96365027,0.13943983,0.00222284,0.02303706,0.42008839,0.85075404,0.07306560
-5.80790395,0.93363426,0.13682157,0.00220267,0.02254902,0.40503410,0.82136938,0.07076537
-5.80190095,0.90327280,0.13515165,0.00218682,0.02205913,0.38900344,0.79121166,0.06826713
-5.79589795,0.87381595,0.13469224,0.00217944,0.02160408,0.37246050,0.76129494,0.06565708
-5.78989495,0.84657608,0.13571914,0.00218499,0.02122364,0.35588990,0.73267591,0.06302620
-5.78389195,0.82290011,0.13851778,0.00220813,0.02095985,0.33978488,0.70643000,0.06046805
-5.77788894,0.80413996,0.14337829,0.00225367,0.02085626,0.32463510,0.68362626,0.05807643
-5.77188594,0.79162170,0.15058961,0.00232640,0.02095700,0.31091468,0.66530161,0.05594311
-5.76588294,0.78661387,0.16043251,0.00243102,0.02130583,0.29907057,0.65243502,0.05415561
-5.75987994,0.79029551,0.17317179,0.00257201,0.02194510,0.28951165,0.64592194,0.05279509
-5.75387694,0.80372441,0.18904750,0.00275351,0.02291470,0.28259870,0.64654963,0.05193441
-5.74787394,0.82780606,0.20826553,0.00297913,0.02425087,0.27863549,0.65497367,0.05163636
-5.74187094,0.86326397,0.23098766,0.00325189,0.02598509,0.27786099,0.67169633,0.05195209
-5.73586793,0.91061194,0.25732145,0.00357402,0.02814281,0.28044305,0.69704710,0.05291975
-5.72986493,0.97012915,0.28731032,0.00394687,0.03074232,0.28647340,0.73116603,0.05456348
-5.72386193,1.04183872,0.32092422,0.00437074,0.03379359,0.29596434,0.77399049,0.05689250
-5.71785893,1.12549086,0.35805143,0.00484484,0.03729714,0.30884697,0.82524584,0.05990065
-5.71185593,1.22055134,0.39849186,0.00536714,0.04124317,0.32497123,0.88444075,0.06356610
-5.70585293,1.32619642,0.44195258,0.00593436,0.04561070,0.34410773,0.95086760,0.06785152
-5.69984992,1.44131497,0.48804578,0.00654193,0.05036713,0.36595152,1.02360869,0.07270446
-5.69384692,1.56451854,0.53628987,0.00718400,0.05546789,0.39012770,1.10154845,0.07805820
-5.68784392,1.69415999,0.58611375,0.00785350,0.06085663,0.41619899,1.18339202,0.08383287
-5.68184092,1.82836082,0.63686461,0.00854224,0.06646563,0.44367514,1.26769017,0.08993703
-5.67583792,1.96504704,0.68781934,0.00924106,0.07221672,0.47202404,1.35287025,0.09626948
-5.66983492,2.10199320,0.73819916,0.00994002,0.07802260,0.50068428,1.43727266,0.10272152
-5.66383192,2.23687351,0.78718745,0.01062864,0.08378857,0.52907902,1.51919202,0.10917937
-5.65782891,2.36731866,0.83395002,0.01129612,0.08941471,0.55663058,1.59692174,0.11552687
-5.65182591,2.49097670,0.87765732,0.01193170,0.09479825,0.58277547,1.66880066,0.12164828
-5.64582291,2.60557576,0.91750768,0.01252489,0.09983640,0.60697932,1.73326006,0.12743118
-5.63981991,2.70898634,0.95275064,0.01306584,0.10442922,0.62875117,1.78886923,0.13276929
-5.63381691,2.79928073,0.98270954,0.01354558,0.10848255,0.64765658,1.83437782,0.13756511
-5.62781391,2.87478723,1.00680221,0.01395635,0.11191094,0.66332910,1.86875306,0.14173245
-5.62181091,2.93413672,1.02455895,0.01429181,0.11464036,0.67547958,1.89121037,0.14519845
-5.61580790,2.97629986,1.03563704,0.01454723,0.11661058,0.68390299,1.90123586,0.14790534
-5.60980490,3.00061311,1.03983094,0.01471965,0.11777714,0.68848249,1.89859971,0.14981165
-5.60380190,3.00679268,1.03707791,0.01480796,0.11811286,0.68919052,1.88335993,0.15089289
-5.59779890,2.99493594,1.02745877,0.01481290,0.11760863,0.68608700,1.85585619,0.15114176
-5.59179590,2.96551015,1.01119365,0.01473703,0.11627374,0.67931473,1.81669411,0.15056780
-5.58579290,2.91932959,0.98863325,0.01458460,0.11413539,0.66909220,1.76672076,0.14919648
-5.57978989,2.85752189,0.96024585,0.01436137,0.11123775,0.65570419,1.70699260,0.14706796
-5.57378689,2.78148560,0.92660072,0.01407441,0.10764028,0.63949067,1.63873724,0.14423535
-5.56778389,2.69284084,0.88834893,0.01373183,0.10341568,0.62083443,1.56331094,0.14076276
-5.56178089,2.59337535,0.84620220,0.01334248,0.09864735,0.60014809,1.48215365,0.13672306
-5.55577789,2.48498835,0.80091085,0.01291563,0.09342668,0.57786096,1.39674359,0.13219564
-5.54977489,2.36963445,0.75324188,0.01246072,0.08785003,0.55440635,1.30855317,0.12726400
-5.54377189,2.24926993,0.70395781,0.01198698,0.08201585,0.53020976,1.21900809,0.12201355
-5.53776888,2.12580315,0.65379724,0.01150323,0.07602177,0.50567841,1.12945091,0.11652946
-5.53176588,2.00105079,0.60345778,0.01101757,0.06996197,0.48119232,1.04111039,0.11089476
-5.52576288,1.87670103,0.55358163,0.01053726,0.06392481,0.45709728,0.95507725,0.10518865
-5.51975988,1.75428443,0.50474436,0.01006848,0.05799093,0.43369972,0.87228689,0.09948520
-5.51375688,1.63515286,0.45744688,0.00961629,0.05223162,0.41126348,0.79350909,0.09385219
-5.50775388,1.52046632,0.41211055,0.00918455,0.04670782,0.39000848,0.71934440,0.08835041
-5.50175088,1.41118738,0.36907542,0.00877594,0.04146942,0.37011099,0.65022671,0.08303315
-5.49574787,1.30808232,0.32860113,0.00839196,0.03655514,0.35170530,0.58643128,0.07794599
-5.48974487,1.21172805,0.29087027,0.00803309,0.03199271,0.33488664,0.52808710,0.07312679
-5.48374187,1.12252387,0.25599362,0.00769884,0.02779939,0.31971475,0.47519283,0.06860595
-5.47773887,1.04070661,0.22401689,0.00738794,0.02398287,0.30621810,0.42763493,0.06440669
-5.47173587,0.96636817,0.19492855,0.00709850,0.02054227,0.29439819,0.38520722,0.06054557
-5.46573287,0.89947424,0.16866815,0.00682817,0.01746936,0.28423382,0.34763068,0.05703296
-5.45972986,0.83988316,0.14513498,0.00657431,0.01474982,0.27568495,0.31457280,0.05387362
-5.45372686,0.78736415,0.12419643,0.00633418,0.01236453,0.26869611,0.28566566,0.05106720
-5.44772386,0.74161411,0.10569609,0.00610507,0.01029080,0.26319910,0.26052220,0.04860881
-5.44172086,0.70227258,0.08946111,0.00588444,0.00850357,0.25911499,0.23875038,0.04648940
-5.43571786,0.66893461,0.07530879,0.00567001,0.00697645,0.25635542,0.21996489,0.04469626
-5.42971486,0.64116133,0.06305240,0.00545985,0.00568262,0.25482319,0.20379641,0.04321327
-5.42371186,0.61848852,0.05250596,0.00525242,0.00459561,0.25441240,0.18989841,0.04202129
-5.41770885,0.60043318,0.04348819,0.00504662,0.00368995,0.25500820,0.17795178,0.04109835
-5.41170585,0.58649870,0.03582560,0.00484172,0.00294158,0.25648632,0.16766734,0.04041996
-5.40570285,0.57617890,0.02935480,0.00463743,0.00232823,0.25871276,0.15878677,0.03995928
-5.39969985,0.56896148,0.02392404,0.00443377,0.00182963,0.26154362,0.15108211,0.03968748
