energy_ev,total_up,Fe_p_up,Fe_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.62405313,0.34669287,0.22809801,1.59338822,2.41348491,0.01537632,0.66762779,0.05395654,2.30821438
-5.99399700,5.64592667,0.35045189,0.23251063,1.57391561,2.43518022,0.01539668,0.65526274,0.05295197,2.33508004
-5.98799400,5.66579430,0.35684196,0.23869189,1.55431572,2.45476194,0.01537060,0.64332184,0.05183575,2.36031624
-5.98199100,5.68317734,0.36574762,0.24661449,1.53471828,2.47183351,0.01530125,0.63184664,0.05062256,2.38360330
-5.97598799,5.69772516,0.37702786,0.25622982,1.51527497,2.48606814,0.01519288,0.62088109,0.04933038,2.40469434
-5.96998499,5.70923546,0.39051874,0.26746820,1.49616364,2.49722359,0.01505062,0.61047501,0.04797992,2.42342232
-5.96398199,5.71766667,0.40603607,0.28023969,1.47759038,2.50515318,0.01488037,0.60068684,0.04659393,2.43970362
-5.95797899,5.72314234,0.42337833,0.29443508,1.45978945,2.50981283,0.01468853,0.59158520,0.04519650,2.45353828
-5.95197599,5.72594751,0.44232950,0.30992744,1.44302108,2.51126383,0.01448184,0.58324944,0.04381218,2.46500708
-5.94597299,5.72651778,0.46266224,0.32657393,1.42756730,2.50967140,0.01426719,0.57576910,0.04246523,2.47426566
-5.93996998,5.72542180,0.48414098,0.34421809,1.41372604,2.50529919,0.01405141,0.56924234,0.04117873,2.48153613
-5.93396698,5.72333841,0.50652522,0.36269235,1.40180394,2.49850005,0.01384117,0.56377366,0.03997391,2.48709669
-5.92796398,5.72102960,0.52957289,0.38182091,1.39210824,2.48970358,0.01364279,0.55947089,0.03886944,2.49126958
-5.92196098,5.71931089,0.55304372,0.40142280,1.38493819,2.47940096,0.01346224,0.55644192,0.03788089,2.49440796
-5.91595798,5.71902032,0.57670260,0.42131508,1.38057648,2.46812777,0.01330504,0.55479128,0.03702034,2.49688217
-5.90995498,5.72098746,0.60032285,0.44131609,1.37928106,2.45644542,0.01317629,0.55461688,0.03629608,2.49906591
-5.90395198,5.72600375,0.62368943,0.46124870,1.38127768,2.44492202,0.01308067,0.55600710,0.03571250,2.50132261
-5.89794897,5.73479508,0.64660173,0.48094341,1.38675344,2.43411319,0.01302248,0.55903840,0.03527014,2.50399249
-5.89194597,5.74799748,0.66887628,0.50024121,1.39585156,2.42454369,0.01300577,0.56377362,0.03496584,2.50738060
-5.88594297,5.76613665,0.69034888,0.51899615,1.40866743,2.41669032,0.01303436,0.57026086,0.03479304,2.51174622
-5.87993997,5.78961161,0.71087637,0.53707756,1.42524589,2.41096675,0.01311192,0.57853312,0.03474219,2.51729371
-5.87393697,5.81868280,0.73033791,0.55437170,1.44557985,2.40771064,0.01324206,0.58860839,0.03480124,2.52416520
-5.86793397,5.85346454,0.74863560,0.57078305,1.46960991,2.40717350,0.01342836,0.60049029,0.03495619,2.53243515
-5.86193097,5.89392171,0.76569460,0.58623489,1.49722494,2.40951353,0.01367437,0.61416885,0.03519162,2.54210708
-5.85592796,5.93987048,0.78146264,0.60066940,1.52826346,2.41479154,0.01398358,0.62962140,0.03549134,2.55311231
-5.84992496,5.99098250,0.79590890,0.61404716,1.56251546,2.42297009,0.01435939,0.64681323,0.03583889,2.56531103
-5.84392196,6.04679229,0.80902239,0.62634611,1.59972468,2.43391569,0.01480495,0.66569794,0.03621810,2.57849542
-5.83791896,6.10670718,0.82080980,0.63755990,1.63959113,2.44740396,0.01532305,0.68621735,0.03661349,2.59239486
-5.83191596,6.17001950,0.83129299,0.64769596,1.68177377,2.46312739,0.01591596,0.70830075,0.03701072,2.60668318
