energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,6.51049679,0.01186539,1.79180012,2.60738935,2.88676862,0.01655875,1.36620860,0.81670256,0.14891350
-5.99399700,6.47574926,0.01256104,1.76467513,2.58379893,2.84858325,0.01761422,1.38455414,0.82587229,0.15279899
-5.98799400,6.42633366,0.01325711,1.73064818,2.55281635,2.80030389,0.01868827,1.40349962,0.83492067,0.15710355
-5.98199100,6.36141871,0.01394404,1.69015455,2.51425373,2.74249033,0.01976645,1.42197486,0.84325500,0.16165889
-5.97598799,6.28051237,0.01461205,1.64373348,2.46810662,2.67584855,0.02083374,1.43896616,0.85032627,0.16629719
-5.96998499,6.18345691,0.01525133,1.59200981,2.41454887,2.60120486,0.02187488,1.45353832,0.85564003,0.17085514
-5.96398199,6.07041719,0.01585233,1.53567462,2.35392212,2.51947982,0.02287483,1.46485406,0.85876518,0.17517782
-5.95797899,5.94186454,0.01640599,1.47546616,2.28672112,2.43166300,0.02381920,1.47219065,0.85934084,0.17912248
-5.95197599,5.79855836,0.01690400,1.41215171,2.21357618,2.33879027,0.02469479,1.47495380,0.85708131,0.18256208
-5.94597299,5.64152710,0.01733905,1.34651144,2.13523412,2.24192418,0.02549005,1.47268878,0.85177935,0.18538847
-5.93996998,5.47204989,0.01770510,1.27932454,2.05253881,2.14213816,0.02619559,1.46508865,0.84330796,0.18751530
-5.93396698,5.29163942,0.01799757,1.21135812,1.96641243,2.04050469,0.02680469,1.45199967,0.83162060,0.18888032
-5.92796398,5.10202611,0.01821356,1.14335889,1.87783803,1.93808727,0.02731366,1.43342366,0.81675018,0.18944717
-5.92196098,4.90514334,0.01835199,1.07604759,1.78784403,1.83593585,0.02772222,1.40951742,0.79880675,0.18920656
-5.91595798,4.70311274,0.01841370,1.01011576,1.69749085,1.73508488,0.02803378,1.38058883,0.77797394,0.18817666
-5.90995498,4.49822869,0.01840147,0.94622459,1.60785952,1.63655331,0.02825559,1.34708997,0.75450425,0.18640282
-5.90395198,4.29294079,0.01832002,0.88500523,1.52004234,1.54134562,0.02839871,1.30960686,0.72871319,0.18395645
-5.89794897,4.08983317,0.01817590,0.82705999,1.43513480,1.45045289,0.02847801,1.26884621,0.70097234,0.18093321
-5.89194597,3.89159955,0.01797732,0.77296395,1.35422857,1.36485323,0.02851180,1.22561916,0.67170127,0.17745042
-5.88594297,3.70101357,0.01773393,0.72326638,1.27840477,1.28551069,0.02852154,1.18082230,0.64135857,0.17364376
-5.87993997,3.52089359,0.01745653,0.67849153,1.20872703,1.21337229,0.02853124,1.13541633,0.61043197,0.16966349
-5.87393697,3.35406225,0.01715673,0.63913831,1.14623381,1.14936264,0.02856684,1.09040291,0.57942777,0.16567013
-5.86793397,3.20330091,0.01684659,0.60567882,1.09192942,1.09437597,0.02865545,1.04679999,0.54885977,0.16182978
-5.86193097,3.07129976,0.01653821,0.57855523,1.04677360,1.04926573,0.02882443,1.00561657,0.51923788,0.15830929
-5.85592796,2.96060458,0.01624333,0.55817523,1.01166934,1.01483168,0.02910056,0.96782727,0.49105680,0.15527136
-5.84992496,2.87356158,0.01597293,0.54490601,0.98744909,0.99180498,0.02950905,0.93434760,0.46478482,0.15286973
-5.84392196,2.81226181,0.01573687,0.53906682,0.97485944,0.98083164,0.03007258,0.90601048,0.44085333,0.15124464
-5.83791896,2.77848688,0.01554355,0.54092061,0.97454471,0.98245489,0.03081041,0.88354493,0.41964709,0.15051866
-5.83191596,2.77365798,0.01539962,0.55066483,0.98703001,0.99709717,0.03173755,0.86755734,0.40149569,0.15079311
-5.82591296,2.79878985,0.01530975,0.56842201,1.01270448,1.02504236,0.03286399,0.85851605,0.38666636,0.15214505
-5.81990995,2.85445185,0.01527651,0.59423050,1.05180541,1.06641910,0.03419414,0.85673980,0.37535854,0.15462507
-5.81390695,2.94073777,0.01530023,0.62803585,1.10440433,1.12118594,0.03572634,0.86239039,0.36770018,0.15825585
-5.80790395,3.05724607,0.01537905,0.66968349,1.17039583,1.18911912,0.03745269,0.87546989,0.36374611,0.16303165
-5.80190095,3.20307208,0.01550898,0.71891313,1.24949020,1.26980372,0.03935893,0.89582269,0.36347845,0.16891863
-5.79589795,3.37681313,0.01568400,0.77535545,1.34121051,1.36262891,0.04142471,0.92314225,0.36680916,0.17585617
-5.78989495,3.57658759,0.01589634,0.83853150,1.44489512,1.46678791,0.04362390,0.95698271,0.37358470,0.18375896
-5.78389195,3.80006803,0.01613668,0.90785516,1.55970591,1.58128313,0.04592530,0.99677493,0.38359256,0.19252004
-5.77788894,4.04452832,0.01639451,0.98263897,1.68464254,1.70493686,0.04829347,1.04184654,0.39656973,0.20201445
-5.77188594,4.30690401,0.01665847,1.06210339,1.81856279,1.83640745,0.05068973,1.09144555,0.41221260,0.21210362
-5.76588294,4.58386446,0.01691671,1.14538941,1.96020854,1.97421112,0.05307334,1.14476663,0.43018810,0.22264021
-5.75987994,4.87189492,0.01715734,1.23157433,2.10823667,2.11674878,0.05540284,1.20097917,0.45014567,0.23347325
-5.75387694,5.16738576,0.01736875,1.31969031,2.26125385,2.26233734,0.05763742,1.25925616,0.47172962,0.24445340
-5.74787394,5.46672588,0.01754004,1.40874499,2.41785388,2.40924452,0.05973829,1.31880265,0.49459138,0.25543818
-5.74187094,5.76639664,0.01766139,1.49774361,2.57665592,2.55572614,0.06167003,1.37888268,0.51840112,0.26629687
-5.73586793,6.06306266,0.01772432,1.58571161,2.73634187,2.70006442,0.06340188,1.43884345,0.54285826,0.27691486
-5.72986493,6.35365538,0.01772202,1.67171696,2.89569106,2.84060598,0.06490884,1.49813559,0.56770044,0.28719737
-5.72386193,6.63544590,0.01764955,1.75489099,3.05361036,2.97579799,0.06617255,1.55632853,0.59271039,0.29707218
-5.71785893,6.90610354,0.01750401,1.83444714,3.20915820,3.10422096,0.06718198,1.61312025,0.61772054,0.30649138
-5.71185593,7.16373746,0.01728462,1.90969645,3.36156102,3.22461690,0.06793379,1.66834064,0.64261491,0.31543194
-5.70585293,7.40691936,0.01699274,1.98005933,3.51022125,3.33591177,0.06843247,1.72194851,0.66732842,0.32389511
-5.69984992,7.63468631,0.01663187,2.04507311,3.65471632,3.43723127,0.06869005,1.77402202,0.69184343,0.33190462
-5.69384692,7.84652376,0.01620750,2.10439493,3.79478885,3.52790948,0.06872567,1.82474325,0.71618383,0.33950378
-5.68784392,8.04233004,0.01572696,2.15780018,3.93032849,3.60749038,0.06856477,1.87437754,0.74040689,0.34675165
-5.68184092,8.22236461,0.01519921,2.20517670,4.06134679,3.67572232,0.06823814,1.92324871,0.76459346,0.35371843
-5.67583792,8.38718345,0.01463457,2.24651512,4.18794659,3.73254621,0.06778074,1.97171171,0.78883690,0.36048031
-5.66983492,8.53756552,0.01404443,2.28189624,4.31028814,3.77807841,0.06723045,2.02012403,0.81323161,0.36711413
-5.66383192,8.67443517,0.01344095,2.31147627,4.42855424,3.81258946,0.06662678,2.06881776,0.83786155,0.37369210
-5.65782891,8.79878513,0.01283672,2.33547088,4.54291673,3.83648028,0.06600959,2.11807387,0.86278977,0.38027688
-5.65182591,8.91160492,0.01224444,2.35413914,4.65350684,3.85025703,0.06541795,2.16810023,0.88804929,0.38691732
-5.64582291,9.01381916,0.01167666,2.36776835,4.76039128,3.85450644,0.06488910,2.21901483,0.91363600,0.39364517
-5.63981991,9.10623911,0.01114540,2.37666059,4.86355594,3.84987273,0.06445770,2.27083509,0.93950404,0.40047275
-5.63381691,9.18953029,0.01066199,2.38112174,4.96289817,3.83703726,0.06415525,2.32347396,0.96556378,0.40739204
-5.62781391,9.26419752,0.01023678,2.38145336,5.05822812,3.81670189,0.06400983,2.37674301,0.99168265,0.41437491
-5.62181091,9.33058737,0.00987899,2.37794786,5.14927900,3.78957628,0.06404607,2.43036222,1.01768859,0.42137463
-5.61580790,9.38890708,0.00959650,2.37088659,5.23572508,3.75636941,0.06428542,2.48397569,1.04337587,0.42832861
-5.60980490,9.43925736,0.00939581,2.36054084,5.31720612,3.71778509,0.06474656,2.53717231,1.06851291,0.43516197
-5.60380190,9.48167575,0.00928187,2.34717511,5.39335586,3.67452064,0.06544608,2.58950978,1.09285148,0.44179196
-5.59779890,9.51618633,0.00925807,2.33105185,5.46383225,3.62726816,0.06639921,2.64054044,1.11613672,0.44813268
-5.59179590,9.54285120,0.00932621,2.31243696,5.52834675,3.57671724,0.06762057,2.68983703,1.13811718,0.45410008
-5.58579290,9.56181895,0.00948647,2.29160520,5.58669000,3.52355800,0.06912497,2.73701675,1.15855436,0.45961663
-5.57978989,9.57336587,0.00973742,2.26884449,5.63875162,3.46848340,0.07092802,2.78176186,1.17723113,0.46461564
-5.57378689,9.57792603,0.01007608,2.24445856,5.68453220,3.41218984,0.07304663,2.82383564,1.19395848,0.46904476
-5.56778389,9.57610737,0.01049794,2.21876733,5.72414616,3.35537537,0.07549925,2.86309256,1.20858030,0.47286865
-5.56178089,9.56869225,0.01099702,2.19210462,5.75781497,3.29873488,0.07830583,2.89948215,1.22097610,0.47607054
-5.55577789,9.55662180,0.01156601,2.16481314,5.78585103,3.24295221,0.08148747,2.93304648,1.23106147,0.47865274
-5.54977489,9.54096519,0.01219634,2.13723696,5.80863308,3.18868937,0.08506580,2.96391154,1.23878663,0.48063609
-5.54377189,9.52287557,0.01287832,2.10971177,5.82657507,3.13657319,0.08906195,2.99227324,1.24413329,0.48205847
-5.53776888,9.50353602,0.01360134,2.08255371,5.84009059,3.08718031,0.09349532,3.01837925,1.24711027,0.48297245
-5.53176588,9.48409918,0.01435404,2.05604730,5.84955586,3.04102136,0.09838208,3.04250793,1.24774832,0.48344242
-5.52576288,9.46562500,0.01512456,2.03043363,5.85527384,2.99852543,0.10373345,3.06494599,1.24609480,0.48354129
-5.51975988,9.44902093,0.01590080,2.00589951,5.85744271,2.96002594,0.10955397,3.08596634,1.24220868,0.48334716
-5.51375688,9.43498882,0.01667070,1.98256843,5.85613107,2.92574890,0.11583967,3.10580779,1.23615624,0.48293997
-5.50775388,9.42398230,0.01742252,1.96049420,5.85126205,2.89580455,0.12257642,3.12465774,1.22800806,0.48239858
-5.50175088,9.41617738,0.01814521,1.93965769,5.84260804,2.87018293,0.12973838,3.14263913,1.21783730,0.48179825
-5.49574787,9.41145842,0.01882867,1.91996699,5.82979663,2.84875392,0.13728682,3.15980223,1.20571963,0.48120869
-5.48974487,9.40942022,0.01946408,1.90126120,5.81232785,2.83127177,0.14516929,3.17612169,1.19173453,0.48069275
-5.48374187,9.40938596,0.02004417,1.88331768,5.78960196,2.81738400,0.15331929,3.19149902,1.17596807,0.48030569
-5.47773887,9.41044000,0.02056344,1.86586225,5.76095622,2.80664425,0.16165640,3.20576994,1.15851658,0.48009507
-5.47173587,9.41147312,0.02101839,1.84858198,5.72570865,2.79852830,0.17008707,3.21871619,1.13949117,0.48010102
-5.46573287,9.41123763,0.02140759,1.83113972,5.68320610,2.79245263,0.17850596,3.23008086,1.11902235,0.48035694
-5.45972986,9.40840898,0.02173180,1.81318965,5.63287400,2.78779440,0.18679786,3.23958616,1.09726454,0.48089034
-5.45372686,9.40165041,0.02199390,1.79439292,5.57426472,2.78391199,0.19484013,3.24695264,1.07439987,0.48172378
-5.44772386,9.38967725,0.02219886,1.77443272,5.50710197,2.78016520,0.20250570,3.25191867,1.05064103,0.48287582
-5.44172086,9.37131754,0.02235355,1.75302791,5.43131856,2.77593425,0.20966633,3.25425905,1.02623262,0.48436170
-5.43571786,9.34556621,0.02246652,1.72994464,5.34708564,2.77063687,0.21619622,3.25380185,1.00145104,0.48619397
-5.42971486,9.31163062,0.02254771,1.70500557,5.25483169,2.76374310,0.22197571,3.25044268,0.97660259,0.48838273
-5.42371186,9.26896549,0.02260817,1.67809620,5.15525032,2.75478728,0.22689490,3.24415558,0.95201982,0.49093571
-5.41770885,9.21729642,0.02265964,1.64916844,5.04929647,2.74337721,0.23085723,3.23500029,0.92805623,0.49385806
-5.41170585,9.15663129,0.02271422,1.61824116,4.93817125,2.72920038,0.23378251,3.22312537,0.90507943,0.49715202
-5.40570285,9.08725970,0.02278393,1.58539809,4.82329588,2.71202739,0.23560964,3.20876731,0.88346309,0.50081634
-5.39969985,9.00974093,0.02288039,1.55078326,4.70627616,2.69171282,0.23629866,3.19224543,0.86357784,0.50484570
-5.39369685,8.92488130,0.02301442,1.51459431,4.58885871,2.66819365,0.23583207,3.17395307,0.84578156,0.50923006
-5.38769385,8.83370218,0.02319571,1.47707416,4.47288097,2.64148574,0.23421540,3.15434511,0.83040944,0.51395402
-5.38169085,8.73740013,0.02343254,1.43850149,4.36021684,2.61167844,0.23147700,3.13392253,0.81776401,0.51899622
-5.37568784,8.63730071,0.02373151,1.39918037,4.25272006,2.57892780,0.22766700,3.11321445,0.80810570,0.52432879
-5.36968484,8.53480788,0.02409735,1.35942963,4.15216752,2.54344855,0.22285552,3.09275827,0.80164417,0.52991685
-5.36368184,8.43135076,0.02453275,1.31957226,4.06020454,2.50550515,0.21713027,3.07307877,0.79853068,0.53571810
-5.35767884,8.32832972,0.02503828,1.27992528,3.97829408,2.46540215,0.21059351,3.05466693,0.79885189,0.54168244
-5.35167584,8.22706390,0.02561233,1.24079032,3.90767181,2.42347417,0.20335866,3.03795931,0.80262539,0.54775167
-5.34567284,8.12874205,0.02625109,1.20244537,3.84930861,2.38007568,0.19554664,3.02331890,0.80979698,0.55385931
-5.33966983,8.03437878,0.02694866,1.16513766,3.80388190,2.33557102,0.18728208,3.01101835,0.82024015,0.55993046
-5.33366683,7.94477807,0.02769714,1.12907810,3.77175687,2.29032473,0.17868962,3.00122648,0.83375762,0.56588195
-5.32766383,7.86050573,0.02848678,1.09443730,3.75297849,2.24469284,0.16989043,2.99399878,0.85008532,0.57162258
-5.32166083,7.78187231,0.02930623,1.06134325,3.74727449,2.19901510,0.16099908,2.98927258,0.86889846,0.57705377
-5.31565783,7.70892762,0.03014280,1.02988078,3.75406953,2.15360868,0.15212085,2.98686744,0.88981990,0.58207056
-5.30965483,7.64146727,0.03098276,1.00009271,3.77250990,2.10876353,0.14334963,2.98649097,0.91243053,0.58656308
-5.30365183,7.57905168,0.03181173,0.97198259,3.80149813,2.06473956,0.13476640,2.98775008,0.93628136,0.59041847
-5.29764882,7.52103668,0.03261506,0.94551902,3.83973611,2.02176577,0.12643830,2.99016750,0.96090704,0.59352346
-5.29164582,7.46661499,0.03337823,0.92064127,3.88577510,1.98004134,0.11841839,2.99320288,0.98584039,0.59576736
-5.28564282,7.41486650,0.03408727,0.89726590,3.93807081,1.93973848,0.11074588,2.99627778,1.01062723,0.59704562
-5.27963982,7.36481531,0.03472923,0.87529426,3.99504130,1.90100692,0.10344691,2.99880348,1.03484128,0.59726373
-5.27363682,7.31549075,0.03529251,0.85462037,4.05512532,1.86397952,0.09653571,3.00021022,1.05809811,0.59634145
-5.26763382,7.26598930,0.03576729,0.83513882,4.11683897,1.82877872,0.09001614,2.99997667,1.08006795,0.59421707
-5.26163082,7.21553427,0.03614578,0.81675251,4.17882813,1.79552310,0.08388336,2.99765806,1.10048647,0.59085153
-5.25562781,7.16353017,0.03642252,0.79937959,4.23991477,1.76433377,0.07812561,2.99291164,1.11916323,0.58623228
-5.24962481,7.10960869,0.03659449,0.78295947,4.29913536,1.73533984,0.07272609,2.98551812,1.13598730,0.58037643
-5.24362181,7.05366406,0.03666120,0.76745753,4.35576973,1.70868254,0.06766464,2.97539805,1.15092989,0.57333326
-5.23761881,6.99587561,0.03662470,0.75286826,4.40935969,1.68451773,0.06291931,2.96262222,1.16404376,0.56518563
