energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,4.46217337,0.06089190,0.70656841,0.46490723,0.00000000,1.88472262,1.64867210,1.61825961,0.00000000
-5.99399700,4.47057142,0.06187101,0.69587379,0.46886230,0.00000000,1.86322575,1.66111721,1.62755423,0.00000000
-5.98799400,4.49149185,0.06259048,0.68637128,0.47613689,0.00000000,1.84205844,1.67879511,1.64474196,0.00000000
-5.98199100,4.52569975,0.06302713,0.67827136,0.48655759,0.00000000,1.82156673,1.70220339,1.66990026,0.00000000
-5.97598799,4.57374840,0.06316526,0.67173681,0.49987142,0.00000000,1.80208357,1.73176130,1.70297904,0.00000000
-5.96998499,4.63596443,0.06299711,0.66688147,0.51575130,0.00000000,1.78392713,1.76779682,1.74379796,0.00000000
-5.96398199,4.71243325,0.06252307,0.66377061,0.53380367,0.00000000,1.76739729,1.81053382,1.79204434,0.00000000
-5.95797899,4.80298522,0.06175149,0.66242241,0.55357838,0.00000000,1.75277041,1.86007941,1.84727184,0.00000000
-5.95197599,4.90718286,0.06069825,0.66281068,0.57458037,0.00000000,1.74029216,1.91641206,1.90890013,0.00000000
-5.94597299,5.02431015,0.05938601,0.66486831,0.59628300,0.00000000,1.73016866,1.97937112,1.97621585,0.00000000
-5.93996998,5.15336518,0.05784322,0.66849155,0.61814245,0.00000000,1.72255659,2.04864851,2.04837553,0.00000000
-5.93396698,5.29305737,0.05610292,0.67354465,0.63961291,0.00000000,1.71755268,2.12378323,2.12441078,0.00000000
-5.92796398,5.44181092,0.05420144,0.67986485,0.66016188,0.00000000,1.71518355,2.20415973,2.20323633,0.00000000
-5.92196098,5.59777581,0.05217695,0.68726759,0.67928516,0.00000000,1.71539678,2.28901051,2.28366153,0.00000000
-5.91595798,5.75884764,0.05006807,0.69555169,0.69652095,0.00000000,1.71805406,2.37742395,2.36440548,0.00000000
-5.90995498,5.92269706,0.04791255,0.70450457,0.71146255,0.00000000,1.72292728,2.46835732,2.44411611,0.00000000
-5.90395198,6.08680921,0.04574604,0.71390722,0.72376907,0.00000000,1.72969823,2.56065545,2.52139325,0.00000000
-5.89794897,6.24853284,0.04360106,0.72353903,0.73317397,0.00000000,1.73796240,2.65307454,2.59481532,0.00000000
-5.89194597,6.40513824,0.04150615,0.73318238,0.73949084,0.00000000,1.74723708,2.74431074,2.66296917,0.00000000
-5.88594297,6.55388234,0.03948533,0.74262671,0.74261639,0.00000000,1.75697368,2.83303265,2.72448247,0.00000000
-5.87993997,6.69207884,0.03755775,0.75167238,0.74253048,0.00000000,1.76657389,2.91791644,2.77805741,0.00000000
-5.87393697,6.81717061,0.03573759,0.76013382,0.73929323,0.00000000,1.77540906,2.99768226,2.82250475,0.00000000
-5.86793397,6.92680129,0.03403421,0.76784226,0.73303940,0.00000000,1.78284182,3.07113043,2.85677679,0.00000000
-5.86193097,7.01888280,0.03245251,0.77464772,0.72397034,0.00000000,1.78824900,3.13717557,2.87999791,0.00000000
-5.85592796,7.09165562,0.03099336,0.78042034,0.71234383,0.00000000,1.79104457,3.19487720,2.89149138,0.00000000
-5.84992496,7.14373867,0.02965428,0.78505099,0.69846236,0.00000000,1.79070133,3.24346534,2.89080115,0.00000000
-5.84392196,7.17416650,0.02843007,0.78845108,0.68266047,0.00000000,1.78677043,3.28235973,2.87770751,0.00000000
-5.83791896,7.18241177,0.02731352,0.79055170,0.66529154,0.00000000,1.77889745,3.31118193,2.85223590,0.00000000
-5.83191596,7.16839188,0.02629608,0.79130206,0.64671483,0.00000000,1.76683435,3.32975974,2.81465829,0.00000000
-5.82591296,7.13245978,0.02536848,0.79066744,0.62728320,0.00000000,1.75044680,3.33812386,2.76548698,0.00000000
-5.81990995,7.07537936,0.02452129,0.78862665,0.60733204,0.00000000,1.72971646,3.33649726,2.70546100,0.00000000
-5.81390695,6.99828718,0.02374535,0.78516929,0.58716994,0.00000000,1.70473849,3.32527800,2.63552572,0.00000000
-5.80790395,6.90264275,0.02303207,0.78029293,0.56707120,0.00000000,1.67571435,3.30501674,2.55680645,0.00000000
-5.80190095,6.79017030,0.02237369,0.77400046,0.54727069,0.00000000,1.64294075,3.27639036,2.47057718,0.00000000
-5.79589795,6.66279526,0.02176335,0.76629780,0.52796086,0.00000000,1.60679537,3.24017329,2.37822588,0.00000000
-5.78989495,6.52257892,0.02119517,0.75719211,0.50929106,0.00000000,1.56772033,3.19720834,2.28121757,0.00000000
-5.78389195,6.37165460,0.02066413,0.74669067,0.49136893,0.00000000,1.52620445,3.14837847,2.18105698,0.00000000
-5.77788894,6.21216838,0.02016604,0.73480060,0.47426369,0.00000000,1.48276528,3.09458097,2.07925178,0.00000000
-5.77188594,6.04622676,0.01969735,0.72152931,0.45801084,0.00000000,1.43793185,3.03670521,1.97727807,0.00000000
-5.76588294,5.87585330,0.01925507,0.70688579,0.44261810,0.00000000,1.39222884,2.97561467,1.87654890,0.00000000
-5.75987994,5.70295509,0.01883659,0.69088259,0.42807191,0.00000000,1.34616297,2.91213368,1.77838679,0.00000000
-5.75387694,5.52929952,0.01843963,0.67353842,0.41434434,0.00000000,1.30021188,2.84703871,1.68400083,0.00000000
-5.74787394,5.35650074,0.01806212,0.65488101,0.40139970,0.00000000,1.25481568,2.78105407,1.59446851,0.00000000
-5.74187094,5.18601486,0.01770221,0.63495025,0.38920069,0.00000000,1.21037135,2.71485101,1.51072248,0.00000000
-5.73586793,5.01914221,0.01735825,0.61380114,0.37771373,0.00000000,1.16722963,2.64904961,1.43354192,0.00000000
-5.72986493,4.85703469,0.01702888,0.59150643,0.36691316,0.00000000,1.12569408,2.58422223,1.36354826,0.00000000
-5.72386193,4.70070636,0.01671306,0.56815870,0.35678420,0.00000000,1.08602202,2.52089752,1.30120458,0.00000000
-5.71785893,4.55104513,0.01641016,0.54387164,0.34732474,0.00000000,1.04842672,2.45956413,1.24681837,0.00000000
-5.71185593,4.40882394,0.01612011,0.51878050,0.33854574,0.00000000,1.01308050,2.40067318,1.20054698,0.00000000
-5.70585293,4.27471011,0.01584347,0.49304149,0.33047060,0.00000000,0.98011816,2.34463917,1.16240516,0.00000000
-5.69984992,4.14927199,0.01558151,0.46683026,0.32313350,0.00000000,0.94964048,2.29183883,1.13227439,0.00000000
-5.69384692,4.03298260,0.01533629,0.44033945,0.31657704,0.00000000,0.92171755,2.24260823,1.10991354,0.00000000
-5.68784392,3.92622036,0.01511068,0.41377535,0.31084935,0.00000000,0.89639157,2.19723822,1.09497069,0.00000000
-5.68184092,3.82926762,0.01490835,0.38735410,0.30600104,0.00000000,0.87367933,2.15596888,1.08699574,0.00000000
-5.67583792,3.74230769,0.01473374,0.36129725,0.30208207,0.00000000,0.85357418,2.11898363,1.08545390,0.00000000
-5.66983492,3.66542156,0.01459197,0.33582730,0.29913896,0.00000000,0.83604763,2.08640364,1.08973983,0.00000000
-5.66383192,3.59858551,0.01448869,0.31116320,0.29721229,0.00000000,0.82105081,2.05828353,1.09919245,0.00000000
-5.65782891,3.54167039,0.01442994,0.28751611,0.29633481,0.00000000,0.80851575,2.03460869,1.11311013,0.00000000
-5.65182591,3.49444353,0.01442194,0.26508564,0.29653008,0.00000000,0.79835675,2.01529494,1.13076631,0.00000000
-5.64582291,3.45657382,0.01447087,0.24405666,0.29781164,0.00000000,0.79047189,2.00019068,1.15142520,0.00000000
-5.63981991,3.42763987,0.01458263,0.22459689,0.30018272,0.00000000,0.78474474,1.98908164,1.17435721,0.00000000
-5.63381691,3.40714126,0.01476253,0.20685518,0.30363639,0.00000000,0.78104617,1.98169790,1.19885392,0.00000000
-5.62781391,3.39451231,0.01501509,0.19096057,0.30815590,0.00000000,0.77923642,1.97772306,1.22424205,0.00000000
-5.62181091,3.38913743,0.01534369,0.17702210,0.31371526,0.00000000,0.77916708,1.97680464,1.24989609,0.00000000
-5.61580790,3.39036738,0.01575038,0.16512914,0.32027976,0.00000000,0.78068319,1.97856550,1.27524925,0.00000000
-5.60980490,3.39753528,0.01623560,0.15535229,0.32780644,0.00000000,0.78362499,1.98261520,1.29980236,0.00000000
-5.60380190,3.40997172,0.01679795,0.14774449,0.33624439,0.00000000,0.78782964,1.98856106,1.32313055,0.00000000
-5.59779890,3.42701801,0.01743406,0.14234245,0.34553492,0.00000000,0.79313254,1.99601813,1.34488763,0.00000000
-5.59179590,3.44803747,0.01813844,0.13916793,0.35561150,0.00000000,0.79936846,2.00461792,1.36480823,0.00000000
-5.58579290,3.47242437,0.01890340,0.13822899,0.36639975,0.00000000,0.80637246,2.01401557,1.38270778,0.00000000
-5.57978989,3.49961084,0.01971910,0.13952101,0.37781738,0.00000000,0.81398080,2.02389561,1.39848088,0.00000000
-5.57378689,3.52907212,0.02057360,0.14302730,0.38977443,0.00000000,0.82203189,2.03397634,1.41209817,0.00000000
-5.56778389,3.56033090,0.02145303,0.14871944,0.40217386,0.00000000,0.83036756,2.04401330,1.42360244,0.00000000
-5.56178089,3.59296130,0.02234185,0.15655721,0.41491266,0.00000000,0.83883483,2.05380208,1.43310427,0.00000000
-5.55577789,3.62659353,0.02322321,0.16648824,0.42788361,0.00000000,0.84728822,2.06318096,1.44077778,0.00000000
