energy_ev,total_up,Al_p_up,Al_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,4.54553159,0.09936428,0.00000000,1.95532166,2.23320192,0.00541950,2.39718464
-5.99399700,4.66153291,0.10566027,0.00000000,2.00672350,2.29172218,0.00576216,2.43175203
-5.98799400,4.77560562,0.11252384,0.00000000,2.05817549,2.34636130,0.00613291,2.46211266
-5.98199100,4.88659302,0.11991491,0.00000000,2.10918024,2.39649822,0.00652872,2.48779022
-5.97598799,4.99335303,0.12777798,0.00000000,2.15921224,2.44158982,0.00694566,2.50839983
-5.96998499,5.09475928,0.13604217,0.00000000,2.20771827,2.48117401,0.00737901,2.52364876
-5.96398199,5.18970277,0.14462179,0.00000000,2.25411944,2.51487045,0.00782325,2.53333466
-5.95797899,5.27709503,0.15341751,0.00000000,2.29781547,2.54237945,0.00827222,2.53734157
-5.95197599,5.35587393,0.16231805,0.00000000,2.33819163,2.56347969,0.00871923,2.53563457
-5.94597299,5.42501336,0.17120255,0.00000000,2.37462842,2.57802532,0.00915725,2.52825381
-5.93996998,5.48353741,0.17994331,0.00000000,2.40651424,2.58594323,0.00957909,2.51530848
-5.93396698,5.53053955,0.18840910,0.00000000,2.43326095,2.58723093,0.00997760,2.49697153
-5.92796398,5.56520704,0.19646878,0.00000000,2.45432185,2.58195562,0.01034591,2.47347561
-5.92196098,5.58684983,0.20399519,0.00000000,2.46921175,2.57025458,0.01067767,2.44511058
-5.91595798,5.59493327,0.21086912,0.00000000,2.47752823,2.55233705,0.01096723,2.41222263
-5.90995498,5.58911309,0.21698327,0.00000000,2.47897323,2.52848744,0.01120988,2.37521510
-5.90395198,5.56927080,0.22224602,0.00000000,2.47337386,2.49906936,0.01140203,2.33455053
-5.89794897,5.53554737,0.22658482,0.00000000,2.46070135,2.46453005,0.01154133,2.29075348
-5.89194597,5.48837289,0.22994908,0.00000000,2.44108692,2.42540440,0.01162682,2.24441356
-5.88594297,5.42848978,0.23231242,0.00000000,2.41483352,2.38231779,0.01165897,2.19618783
-5.87993997,5.35696747,0.23367415,0.00000000,2.38242252,2.33598702,0.01163968,2.14680186
-5.87393697,5.27520654,0.23405986,0.00000000,2.34451458,2.28721846,0.01157229,2.09704877
-5.86793397,5.18493094,0.23352114,0.00000000,2.30194424,2.23690289,0.01146145,2.04778563
-5.86193097,5.08816760,0.23213432,0.00000000,2.25570806,2.18600661,0.01131297,1.99992668
-5.85592796,4.98721306,0.22999837,0.00000000,2.20694652,2.13555861,0.01113371,1.95443333
-5.84992496,4.88458788,0.22723184,0.00000000,2.15692005,2.08663385,0.01093128,1.91230074
-5.84392196,4.78297993,0.22396918,0.00000000,2.10698014,2.04033312,0.01071382,1.87454133
-5.83791896,4.68517870,0.22035637,0.00000000,2.05853638,1.99775990,0.01048978,1.84216562
-5.83191596,4.59400286,0.21654615,0.00000000,2.01302093,1.95999529,0.01026756,1.81616111
-5.82591296,4.51222416,0.21269304,0.00000000,1.97185153,1.92807178,0.01005531,1.79746999
-5.81990995,4.44249061,0.20894819,0.00000000,1.93639480,1.90294719,0.00986065,1.78696660
-5.81390695,4.38725236,0.20545455,0.00000000,1.90793093,1.88547980,0.00969040,1.78543556
-5.80790395,4.34869307,0.20234227,0.00000000,1.88762134,1.87640585,0.00955044,1.79355164
-5.80190095,4.32866975,0.19972463,0.00000000,1.87648026,1.87632044,0.00944550,1.81186206
-5.79589795,4.32866338,0.19769474,0.00000000,1.87535125,1.88566253,0.00937904,1.84077198
