energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.97188014,0.03000382,0.10168429,0.68685700,0.18721335,0.00896073,1.23400162,0.90006664,0.16687609
-5.99399700,1.89488932,0.02915679,0.09357796,0.67024584,0.17914150,0.00845086,1.19282212,0.86915288,0.15861951
-5.98799400,1.82843975,0.02849055,0.08600569,0.65685976,0.17262498,0.00803600,1.15806202,0.84336903,0.15142371
-5.98199100,1.77236999,0.02799582,0.07898837,0.64659307,0.16762911,0.00770952,1.12959555,0.82254958,0.14529503
-5.97598799,1.72632593,0.02765844,0.07253358,0.63927488,0.16409554,0.00746395,1.10718339,0.80642800,0.14022062
-5.96998499,1.68979752,0.02746022,0.06663709,0.63468318,0.16194653,0.00729141,1.09049569,0.79465485,0.13617201
-5.96398199,1.66215884,0.02738009,0.06128447,0.63256027,0.16108963,0.00718391,1.07913719,0.78681804,0.13310904
-5.95797899,1.64270979,0.02739512,0.05645290,0.63262891,0.16142232,0.00713370,1.07267326,0.78246439,0.13098388
-5.95197599,1.63071767,0.02748169,0.05211307,0.63460865,0.16283675,0.00713352,1.07065589,0.78112147,0.12974501
-5.94597299,1.62545681,0.02761653,0.04823102,0.63823118,0.16522406,0.00717692,1.07264836,0.78231898,0.12934098
-5.93996998,1.62624463,0.02777772,0.04476998,0.64325441,0.16847848,0.00725838,1.07824750,0.78560864,0.12972372
-5.93396698,1.63247240,0.02794561,0.04169202,0.64947430,0.17250075,0.00737352,1.08710264,0.79058171,0.13085127
-5.92796398,1.64362963,0.02810350,0.03895952,0.65673395,0.17720099,0.00751916,1.09893027,0.79688354,0.13268982
-5.92196098,1.65932072,0.02823823,0.03653643,0.66492957,0.18250070,0.00769337,1.11352376,0.80422447,0.13521495
-5.91595798,1.67927344,0.02834053,0.03438931,0.67401286,0.18833403,0.00789542,1.13075757,0.81238655,0.13841197
-5.90995498,1.70333873,0.02840521,0.03248801,0.68398981,0.19464813,0.00812576,1.15058595,0.82122603,0.14227545
-5.90395198,1.73148199,0.02843116,0.03080622,0.69491585,0.20140268,0.00838586,1.17303592,0.83067144,0.14680785
-5.89794897,1.76376639,0.02842110,0.02932163,0.70688773,0.20856863,0.00867806,1.19819513,0.84071757,0.15201737
-5.89194597,1.80032918,0.02838130,0.02801600,0.72003234,0.21612622,0.00900535,1.22619505,0.85141565,0.15791518
-5.88594297,1.84135230,0.02832102,0.02687488,0.73449332,0.22406243,0.00937118,1.25719052,0.86286048,0.16451211
-5.87993997,1.88702894,0.02825196,0.02588724,0.75041599,0.23236796,0.00977919,1.29133672,0.87517507,0.17181500
-5.87393697,1.93752793,0.02818757,0.02504500,0.76793148,0.24103405,0.01023299,1.32876475,0.88849395,0.17982301
-5.86793397,1.99295812,0.02814236,0.02434236,0.78714106,0.25004915,0.01073590,1.36955747,0.90294585,0.18852391
-5.86193097,2.05333460,0.02813115,0.02377521,0.80810140,0.25939580,0.01129072,1.41372660,0.91863691,0.19789078
-5.85592796,2.11854888,0.02816845,0.02334037,0.83081174,0.26904780,0.01189958,1.46119279,0.93563532,0.20787920
-5.84992496,2.18834478,0.02826775,0.02303505,0.85520365,0.27896792,0.01256368,1.51176965,0.95395821,0.21842517
-5.84392196,2.26230136,0.02844103,0.02285615,0.88113405,0.28910621,0.01328324,1.56515271,0.97356154,0.22944390
-5.83791896,2.33982414,0.02869829,0.02279983,0.90838197,0.29939906,0.01405733,1.62091418,0.99433356,0.24082951
-5.83191596,2.42014502,0.02904713,0.02286104,0.93664916,0.30976908,0.01488385,1.67850375,1.01609210,0.25245581
-5.82591296,2.50233108,0.02949257,0.02303325,0.96556468,0.32012576,0.01575946,1.73725561,1.03858577,0.26417815
