energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.16584300,0.04669805,0.00000000,0.00224042,1.51322790,1.27495207,0.85241597
-5.99399700,2.11683109,0.04568402,0.00000000,0.00233958,1.47840300,1.26118636,0.82764031
-5.98799400,2.07253335,0.04470618,0.00000000,0.00245280,1.44658835,1.25035064,0.80423171
-5.98199100,2.03335961,0.04378271,0.00000000,0.00257840,1.41796457,1.24251644,0.78238758
-5.97598799,1.99951021,0.04292824,0.00000000,0.00271460,1.39256906,1.23761512,0.76223246
-5.96998499,1.97098253,0.04215360,0.00000000,0.00285954,1.37030604,1.23544419,0.74382118
-5.96398199,1.94758648,0.04146578,0.00000000,0.00301134,1.35096250,1.23567918,0.72714536
-5.95797899,1.92896786,0.04086808,0.00000000,0.00316807,1.33422938,1.23789076,0.71214267
-5.95197599,1.91463847,0.04036044,0.00000000,0.00332788,1.31972673,1.24156615,0.69870852
-5.94597299,1.90401124,0.03993995,0.00000000,0.00348901,1.30703161,1.24613411,0.68670929
-5.93996998,1.89643859,0.03960143,0.00000000,0.00364984,1.29570711,1.25099209,0.67599626
-5.93396698,1.89125190,0.03933812,0.00000000,0.00380894,1.28533127,1.25553450,0.66641973
-5.92796398,1.88780025,0.03914240,0.00000000,0.00396515,1.27552407,1.25918073,0.65784220
-5.92196098,1.88548621,0.03900645,0.00000000,0.00411756,1.26597134,1.26140159,0.65015008
-5.91595798,1.88379701,0.03892291,0.00000000,0.00426558,1.25644430,1.26174299,0.64326322
-5.90995498,1.88232945,0.03888537,0.00000000,0.00440891,1.24681360,1.25984568,0.63714176
-5.90395198,1.88080731,0.03888871,0.00000000,0.00454758,1.23705737,1.25546028,0.63178985
-5.89794897,1.87909046,0.03892940,0.00000000,0.00468186,1.22726265,1.24845679,0.62725621
-5.89194597,1.87717515,0.03900544,0.00000000,0.00481227,1.21762019,1.23882817,0.62363128
-5.88594297,1.87518572,0.03911624,0.00000000,0.00493947,1.20841294,1.22668801,0.62104128
-5.87993997,1.87335809,0.03926236,0.00000000,0.00506423,1.19999871,1.21226226,0.61963939
-5.87393697,1.87201601,0.03944500,0.00000000,0.00518731,1.19278794,1.19587559,0.61959458
-5.86793397,1.87154153,0.03966550,0.00000000,0.00530937,1.18721767,1.17793309,0.62107864
-5.86193097,1.87234123,0.03992471,0.00000000,0.00543091,1.18372311,1.15889821,0.62425213
-5.85592796,1.87481014,0.04022236,0.00000000,0.00555214,1.18270812,1.13926811,0.62924998
-5.84992496,1.87929546,0.04055649,0.00000000,0.00567293,1.18451639,1.11954762,0.63616754
-5.84392196,1.88606209,0.04092295,0.00000000,0.00579277,1.18940457,1.10022321,0.64504792
-5.83791896,1.89526195,0.04131499,0.00000000,0.00591067,1.19751896,1.08173811,0.65587124
-5.83191596,1.90690905,0.04172306,0.00000000,0.00602524,1.20887700,1.06446999,0.66854653
-5.82591296,1.92086157,0.04213481,0.00000000,0.00613464,1.22335452,1.04871220,0.68290675
-5.81990995,1.93681245,0.04253519,0.00000000,0.00623663,1.24067974,1.03465947,0.69870740
-5.81390695,1.95428891,0.04290689,0.00000000,0.00632869,1.26043425,1.02239879,0.71562882
-5.80790395,1.97266144,0.04323083,0.00000000,0.00640809,1.28206128,1.01190587,0.73328232
-5.80190095,1.99116174,0.04348693,0.00000000,0.00647200,1.30488090,1.00304734,0.75121995
-5.79589795,2.00890920,0.04365493,0.00000000,0.00651765,1.32811166,0.99558846,0.76894759
-5.78989495,2.02494454,0.04371534,0.00000000,0.00654247,1.35089781,0.98920601,0.78594086
-5.78389195,2.03826912,0.04365037,0.00000000,0.00654423,1.37234085,0.98350562,0.80166320
-5.77788894,2.04788821,0.04344491,0.00000000,0.00652119,1.39153408,0.97804274,0.81558536
-5.77188594,2.05285593,0.04308743,0.00000000,0.00647225,1.40759868,0.97234602,0.82720550
-5.76588294,2.05231998,0.04257071,0.00000000,0.00639703,1.41971959,0.96594216,0.83606898
-5.75987994,2.04556381,0.04189248,0.00000000,0.00629598,1.42717973,0.95838094,0.84178696
-5.75387694,2.03204429,0.04105584,0.00000000,0.00617046,1.42939095,0.94925912,0.84405299
-5.74787394,2.01142319,0.04006950,0.00000000,0.00602273,1.42592031,0.93824228,0.84265684
-5.74187094,1.98359077,0.03894777,0.00000000,0.00585597,1.41651062,0.92508348,0.83749503
-5.73586793,1.94868060,0.03771035,0.00000000,0.00567427,1.40109428,0.90963789,0.82857735
-5.72986493,1.90707469,0.03638192,0.00000000,0.00548251,1.37979988,0.89187281,0.81602934
-5.72386193,1.85939884,0.03499149,0.00000000,0.00528632,1.35295116,0.87187266,0.80009046
-5.71785893,1.80650832,0.03357167,0.00000000,0.00509194,1.32105865,0.84983876,0.78110797
-5.71185593,1.74946437,0.03215772,0.00000000,0.00490608,1.28480403,0.82608389,0.75952688
-5.70585293,1.68950261,0.03078659,0.00000000,0.00473576,1.24501815,0.80102206,0.73587623
-5.69984992,1.62799449,0.02949580,0.00000000,0.00458814,1.20265348,0.77515381,0.71075232
-5.69384692,1.56640337,0.02832239,0.00000000,0.00447037,1.15875211,0.74904783,0.68479954
-5.68784392,1.50623674,0.02730181,0.00000000,0.00438934,1.11441062,0.72331959,0.65868940
-5.68184092,1.44899648,0.02646687,0.00000000,0.00435159,1.07074301,0.69860794,0.63309870
-5.67583792,1.39612890,0.02584676,0.00000000,0.00436301,1.02884328,0.67555056,0.60868744
-5.66983492,1.34897612,0.02546618,0.00000000,0.00442877,0.98974874,0.65475926,0.58607743
-5.66383192,1.30873070,0.02534452,0.00000000,0.00455308,0.95440561,0.63679607,0.56583214
-5.65782891,1.27639482,0.02549519,0.00000000,0.00473903,0.92363774,0.62215097,0.54843854
-5.65182591,1.25274538,0.02592514,0.00000000,0.00498850,0.89811977,0.61122213,0.53429158
-5.64582291,1.23830610,0.02663447,0.00000000,0.00530196,0.87835535,0.60429933,0.52368161
-5.63981991,1.23332764,0.02761621,0.00000000,0.00567842,0.86466118,0.60155110,0.51678526
-5.63381691,1.23777613,0.02885629,0.00000000,0.00611535,0.85715724,0.60301613,0.51366005
-5.62781391,1.25133080,0.03033370,0.00000000,0.00660860,0.85576358,0.60859917,0.51424271
-5.62181091,1.27339055,0.03202080,0.00000000,0.00715246,0.86020351,0.61807156,0.51835150
-5.61580790,1.30308954,0.03388384,0.00000000,0.00773965,0.87001321,0.63107644,0.52569213
-5.60980490,1.33932127,0.03588362,0.00000000,0.00836145,0.88455730,0.64713846,0.53586742
-5.60380190,1.38077047,0.03797638,0.00000000,0.00900780,0.90304985,0.66567757,0.54839004
-5.59779890,1.42595197,0.04011479,0.00000000,0.00966753,0.92458009,0.68602659,0.56269820
-5.59179590,1.47325518,0.04224915,0.00000000,0.01032858,0.94814202,0.70745187,0.57817364
-5.58579290,1.52099299,0.04432858,0.00000000,0.01097828,0.97266679,0.72917632,0.59416130
-5.57978989,1.56745332,0.04630241,0.00000000,0.01160366,0.99705688,0.75040403,0.60999016
-5.57378689,1.61095170,0.04812153,0.00000000,0.01219187,1.02022092,0.77034563,0.62499437
-5.56778389,1.64988307,0.04973976,0.00000000,0.01273045,1.04110774,0.78824340,0.63853413
-5.56178089,1.68277091,0.05111515,0.00000000,0.01320779,1.05873881,0.80339540,0.65001543
-5.55577789,1.70831208,0.05221116,0.00000000,0.01361347,1.07223769,0.81517743,0.65890810
-5.54977489,1.72541564,0.05299777,0.00000000,0.01393860,1.08085554,0.82306240,0.66476145
-5.54377189,1.73323433,0.05345224,0.00000000,0.01417616,1.08399190,0.82663606,0.66721705
-5.53776888,1.73118763,0.05355982,0.00000000,0.01432125,1.08121006,0.82560884,0.66601818
