energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.99818509,0.03183916,0.14378932,1.23333806,1.51177635,1.25079913,0.00000000,0.92446293,0.27757862
-5.99399700,3.02520420,0.03198697,0.14862741,1.26539241,1.50540724,1.27104075,0.00000000,0.96127702,0.28070140
-5.98799400,3.04363231,0.03208442,0.15271299,1.29218871,1.49465885,1.28761908,0.00000000,0.99517260,0.28339929
-5.98199100,3.05273127,0.03210993,0.15597057,1.31313865,1.47953578,1.30008969,0.00000000,1.02561527,0.28550172
-5.97598799,3.05197093,0.03204398,0.15834231,1.32777899,1.46012511,1.30809958,0.00000000,1.05214675,0.28685802
-5.96998499,3.04105008,0.03186983,0.15978986,1.33578663,1.43659765,1.31139948,0.00000000,1.07439788,0.28734263
-5.96398199,3.01990809,0.03157422,0.16029528,1.33698834,1.40920597,1.30985207,0.00000000,1.09209822,0.28685917
-5.95797899,2.98872676,0.03114773,0.15986143,1.33136495,1.37827898,1.30343572,0.00000000,1.10508193,0.28534318
-5.95197599,2.94792208,0.03058519,0.15851149,1.31904966,1.34421347,1.29224356,0.00000000,1.11328964,0.28276349
-5.94597299,2.89812653,0.02988574,0.15628782,1.30032068,1.30746281,1.27647793,0.00000000,1.11676622,0.27912212
-5.93996998,2.84016279,0.02905286,0.15325009,1.27558861,1.26852326,1.25644057,0.00000000,1.11565468,0.27445285
-5.93396698,2.77501036,0.02809414,0.14947296,1.24537932,1.22791873,1.23251909,0.00000000,1.11018655,0.26881848
-5.92796398,2.70376667,0.02702094,0.14504318,1.21031305,1.18618447,1.20517037,0.00000000,1.10066918,0.26230712
-5.92196098,2.62760496,0.02584803,0.14005642,1.17108095,1.14385073,1.17490186,0.00000000,1.08747084,0.25502750
-5.91595798,2.54773086,0.02459297,0.13461400,1.12842014,1.10142694,1.14225166,0.00000000,1.07100419,0.24710383
-5.90995498,2.46534002,0.02327557,0.12881947,1.08308849,1.05938741,1.10776842,0.00000000,1.05170917,0.23867022
-5.90395198,2.38157865,0.02191724,0.12277541,1.03584025,1.01815897,1.07199200,0.00000000,1.03003600,0.22986521
-5.89794897,2.29750895,0.02054036,0.11658050,0.98740355,0.97811124,1.03543585,0.00000000,1.00642920,0.22082642
-5.89194597,2.21408070,0.01916768,0.11032686,0.93846077,0.93954989,0.99857178,0.00000000,0.98131338,0.21168571
-5.88594297,2.13211028,0.01782169,0.10409795,0.88963230,0.90271301,0.96181784,0.00000000,0.95508126,0.20256504
-5.87993997,2.05226745,0.01652415,0.09796694,0.84146432,0.86777068,0.92552958,0.00000000,0.92808449,0.19357311
-5.87393697,1.97507029,0.01529555,0.09199564,0.79442072,0.83482764,0.88999505,0.00000000,0.90062748,0.18480295
-5.86793397,1.90088764,0.01415480,0.08623394,0.74887930,0.80392856,0.85543342,0.00000000,0.87296430,0.17633040
-5.86193097,1.82994864,0.01311881,0.08071984,0.70513190,0.77506559,0.82199695,0.00000000,0.84529852,0.16821364
-5.85592796,1.76235795,0.01220233,0.07547992,0.66338811,0.74818768,0.78977616,0.00000000,0.81778584,0.16049346
-5.84992496,1.69811552,0.01141768,0.07053016,0.62378212,0.72321084,0.75880736,0.00000000,0.79053891,0.15319435
-5.84392196,1.63713924,0.01077468,0.06587723,0.58638184,0.70002890,0.72908215,0.00000000,0.76363394,0.14632627
-5.83791896,1.57928908,0.01028055,0.06151988,0.55119990,0.67852403,0.70055808,0.00000000,0.73711856,0.13988676
-5.83191596,1.52439107,0.00993988,0.05745052,0.51820541,0.65857649,0.67316983,0.00000000,0.71102025,0.13386344
-5.82591296,1.47225984,0.00975463,0.05365694,0.48733622,0.64007315,0.64684021,0.00000000,0.68535472,0.12823657
-5.81990995,1.42271854,0.00972419,0.05012388,0.45851073,0.62291441,0.62149041,0.00000000,0.66013390,0.12298168
-5.81390695,1.37561542,0.00984541,0.04683458,0.43163890,0.60701930,0.59704900,0.00000000,0.63537286,0.11807188
-5.80790395,1.33083630,0.01011275,0.04377221,0.40663195,0.59232875,0.57345938,0.00000000,0.61109557,0.11348005
-5.80190095,1.28831302,0.01051834,0.04092102,0.38341063,0.57880695,0.55068539,0.00000000,0.58733910,0.10918062
-5.79589795,1.24802772,0.01105218,0.03826736,0.36191169,0.56644118,0.52871504,0.00000000,0.56415630,0.10515098
-5.78989495,1.21001349,0.01170230,0.03580037,0.34209265,0.55524025,0.50756243,0.00000000,0.54161695,0.10137251
-5.78389195,1.17435195,0.01245500,0.03351254,0.32393492,0.54523195,0.48726794,0.00000000,0.51980759,0.09783123
-5.77788894,1.14116837,0.01329512,0.03139995,0.30744532,0.53645991,0.46789708,0.00000000,0.49883016,0.09451812
-5.77188594,1.11062543,0.01420635,0.02946237,0.29265633,0.52898028,0.44953821,0.00000000,0.47879982,0.09142920
-5.76588294,1.08291611,0.01517157,0.02770312,0.27962521,0.52285852,0.43229949,0.00000000,0.45984219,0.08856539
-5.75987994,1.05825671,0.01617325,0.02612889,0.26843225,0.51816673,0.41630537,0.00000000,0.44209042,0.08593221
-5.75387694,1.03688042,0.01719388,0.02474928,0.25917834,0.51498157,0.40169304,0.00000000,0.42568221,0.08353949
-5.74787394,1.01903195,0.01821639,0.02357638,0.25198219,0.51338299,0.38860892,0.00000000,0.41075716,0.08140098
-5.74187094,1.00496343,0.01922460,0.02262428,0.24697715,0.51345373,0.37720545,0.00000000,0.39745446,0.07953402
-5.73586793,0.99493156,0.02020367,0.02190844,0.24430790,0.51527953,0.36763832,0.00000000,0.38591105,0.07795928
-5.72986493,0.98919577,0.02114047,0.02144515,0.24412693,0.51894974,0.36006403,0.00000000,0.37626029,0.07670045
-5.72386193,0.98801700,0.02202396,0.02125094,0.24659096,0.52455816,0.35463775,0.00000000,0.36863094,0.07578407
-5.71785893,0.99165672,0.02284546,0.02134197,0.25185701,0.53220374,0.35151145,0.00000000,0.36314632,0.07523927
-5.71185593,1.00037530,0.02359883,0.02173346,0.26007841,0.54199080,0.35083198,0.00000000,0.35992357,0.07509746
-5.70585293,1.01442947,0.02428054,0.02243909,0.27140024,0.55402836,0.35273887,0.00000000,0.35907262,0.07539192
-5.69984992,1.03406797,0.02488970,0.02347042,0.28595457,0.56842845,0.35736189,0.00000000,0.36069479,0.07615726
-5.69384692,1.05952526,0.02542788,0.02483635,0.30385505,0.58530303,0.36481783,0.00000000,0.36488073,0.07742861
-5.68784392,1.09101262,0.02589886,0.02654254,0.32519109,0.60475939,0.37520675,0.00000000,0.37170766,0.07924067
-5.68184092,1.12870694,0.02630828,0.02859081,0.35002158,0.62689418,0.38860728,0.00000000,0.38123570,0.08162638
-5.67583792,1.17273697,0.02666319,0.03097866,0.37836816,0.65178594,0.40507125,0.00000000,0.39350347,0.08461543
-5.66983492,1.22316763,0.02697155,0.03369874,0.41020840,0.67948659,0.42461768,0.00000000,0.40852288,0.08823253
-5.66383192,1.27998286,0.02724164,0.03673833,0.44546882,0.71001199,0.44722621,0.00000000,0.42627337,0.09249541
-5.65782891,1.34306780,0.02748153,0.04007901,0.48401827,0.74333220,0.47283042,0.00000000,0.44669591,0.09741283
-5.65182591,1.41219131,0.02769850,0.04369629,0.52566195,0.77936186,0.50131134,0.00000000,0.46968702,0.10298249
-5.64582291,1.48698983,0.02789855,0.04755941,0.57013626,0.81795121,0.53249149,0.00000000,0.49509315,0.10918901
-5.63981991,1.56695374,0.02808598,0.05163125,0.61710516,0.85887849,0.56612994,0.00000000,0.52270604,0.11600221
-5.63381691,1.65141735,0.02826301,0.05586848,0.66615817,0.90184409,0.60191891,0.00000000,0.55225923,0.12337557
