energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.31059890,0.11624483,0.00233212,0.00716308,0.85421789,0.55659449,0.52917500
-5.99399700,1.31769194,0.11901991,0.00236303,0.00735468,0.85624539,0.56908141,0.52819157
-5.98799400,1.32779271,0.12339100,0.00239649,0.00759739,0.85900476,0.58288224,0.52792837
-5.98199100,1.34058800,0.12934263,0.00243195,0.00788635,0.86227067,0.59785302,0.52823900
-5.97598799,1.35572866,0.13684184,0.00246895,0.00821574,0.86580729,0.61382238,0.52897042
-5.96998499,1.37284345,0.14583911,0.00250704,0.00857891,0.86937802,0.63059669,0.52996940
-5.96398199,1.39155196,0.15626911,0.00254590,0.00896851,0.87275454,0.64796574,0.53108831
-5.95797899,1.41147602,0.16805142,0.00258526,0.00937670,0.87572489,0.66570859,0.53219016
-5.95197599,1.43224935,0.18109120,0.00262497,0.00979531,0.87810024,0.68359949,0.53315269
-5.94597299,1.45352519,0.19527976,0.00266493,0.01021602,0.87972014,0.70141358,0.53387133
-5.93996998,1.47498181,0.21049515,0.00270514,0.01063060,0.88045636,0.71893227,0.53426124
-5.93396698,1.49632603,0.22660275,0.00274563,0.01103102,0.88021499,0.73594797,0.53425827
-5.92796398,1.51729470,0.24345602,0.00278646,0.01140973,0.87893714,0.75226825,0.53381891
-5.92196098,1.53765463,0.26089727,0.00282773,0.01175975,0.87659822,0.76771911,0.53291957
-5.91595798,1.55720105,0.27875871,0.00286946,0.01207491,0.87320600,0.78214745,0.53155498
-5.90995498,1.57575514,0.29686369,0.00291168,0.01234992,0.86879776,0.79542274,0.52973625
-5.90395198,1.59316086,0.31502819,0.00295431,0.01258053,0.86343667,0.80743782,0.52748840
-5.89794897,1.60928161,0.33306263,0.00299722,0.01276361,0.85720766,0.81810905,0.52484777
-5.89194597,1.62399689,0.35077392,0.00304014,0.01289719,0.85021309,0.82737577,0.52185933
-5.88594297,1.63719949,0.36796786,0.00308273,0.01298049,0.84256845,0.83519938,0.51857406
-5.87993997,1.64879318,0.38445175,0.00312453,0.01301394,0.83439813,0.84156210,0.51504650
-5.87393697,1.65869131,0.40003719,0.00316499,0.01299908,0.82583162,0.84646555,0.51133247
-5.86793397,1.66681633,0.41454314,0.00320348,0.01293856,0.81700010,0.84992937,0.50748719
-5.86193097,1.67310024,0.42779894,0.00323931,0.01283597,0.80803364,0.85198993,0.50356364
-5.85592796,1.67748587,0.43964747,0.00327176,0.01269577,0.79905884,0.85269935,0.49961134
-5.84992496,1.67992910,0.44994817,0.00330010,0.01252312,0.79019719,0.85212468,0.49567542
-5.84392196,1.68040159,0.45857992,0.00332364,0.01232374,0.78156383,0.85034744,0.49179607
-5.83791896,1.67889403,0.46544367,0.00334174,0.01210372,0.77326692,0.84746339,0.48800832
-5.83191596,1.67541962,0.47046479,0.00335387,0.01186939,0.76540737,0.84358248,0.48434210
-5.82591296,1.67001752,0.47359495,0.00335963,0.01162714,0.75807895,0.83882878,0.48082265
-5.81990995,1.66275608,0.47481360,0.00335876,0.01138324,0.75136862,0.83334043,0.47747114
-5.81390695,1.65373561,0.47412889,0.00335118,0.01114374,0.74535711,0.82726922,0.47430551
-5.80790395,1.64309050,0.47157803,0.00333699,0.01091430,0.74011948,0.82077989,0.47134157
-5.80190095,1.63099035,0.46722703,0.00331653,0.01070009,0.73572582,0.81404876,0.46859416
-5.79589795,1.61764017,0.46116984,0.00329029,0.01050571,0.73224167,0.80726180,0.46607845
-5.78989495,1.60327930,0.45352687,0.00325898,0.01033509,0.72972847,0.80061187,0.46381121
-5.78389195,1.58817902,0.44444289,0.00322350,0.01019145,0.72824365,0.79429523,0.46181205
-5.77788894,1.57263881,0.43408425,0.00318491,0.01007727,0.72784043,0.78850733,0.46010444
-5.77188594,1.55698112,0.42263570,0.00314438,0.00999425,0.72856739,0.78343788,0.45871653
-5.76588294,1.54154484,0.41029654,0.00310321,0.00994335,0.73046748,0.77926540,0.45768162
-5.75987994,1.52667740,0.39727643,0.00306274,0.00992474,0.73357684,0.77615147,0.45703816
-5.75387694,1.51272570,0.38379080,0.00302434,0.00993790,0.73792311,0.77423479,0.45682932
