energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,4.48597930,0.05847264,0.75013266,0.24006048,2.21570829,0.00000000,1.59077505,0.88779927
-5.99399700,4.48330102,0.05875256,0.75928183,0.24078411,2.19333004,0.00000000,1.58357196,0.89911038
-5.98799400,4.48010153,0.05900732,0.76724281,0.24193235,2.17220728,0.00000000,1.57688130,0.90943430
-5.98199100,4.47559176,0.05921390,0.77388016,0.24340613,2.15202879,0.00000000,1.57053608,0.91853779
-5.97598799,4.46902761,0.05934936,0.77908518,0.24509784,2.13247416,0.00000000,1.56435747,0.92621209
-5.96998499,4.45974870,0.05939177,0.78278145,0.24689473,2.11323328,0.00000000,1.55816634,0.93228180
-5.96398199,4.44721301,0.05932096,0.78492930,0.24868228,2.09402470,0.00000000,1.55179457,0.93661247
-5.95797899,4.43102606,0.05911930,0.78552878,0.25034749,2.07461204,0.00000000,1.54509578,0.93911652
-5.95197599,4.41096320,0.05877234,0.78462125,0.25178207,2.05481764,0.00000000,1.53795482,0.93975736
-5.94597299,4.38698425,0.05826928,0.78228939,0.25288535,2.03453290,0.00000000,1.53029573,0.93855155
-5.93996998,4.35923984,0.05760337,0.77865577,0.25356685,2.01372479,0.00000000,1.52208770,0.93556889
-5.93396698,4.32806926,0.05677208,0.77387994,0.25374846,1.99243832,0.00000000,1.51334882,0.93093060
-5.92796398,4.29399012,0.05577720,0.76815437,0.25336621,1.97079482,0.00000000,1.50414742,0.92480569
-5.92196098,4.25768029,0.05462466,0.76169922,0.25237157,1.94898630,0.00000000,1.49460093,0.91740564
-5.91595798,4.21995306,0.05332433,0.75475641,0.25073216,1.92726614,0.00000000,1.48487237,0.90897782
-5.90995498,4.18172680,0.05188960,0.74758302,0.24843209,1.90593664,0.00000000,1.47516457,0.89979776
-5.90395198,4.14399026,0.05033690,0.74044443,0.24547167,1.88533413,0.00000000,1.46571240,0.89016079
-5.89794897,4.10776530,0.04868512,0.73360729,0.24186679,1.86581242,0.00000000,1.45677337,0.88037323
-5.89194597,4.07406847,0.04695499,0.72733275,0.23764780,1.84772528,0.00000000,1.44861709,0.87074353
-5.88594297,4.04387305,0.04516838,0.72186990,0.23285800,1.83140905,0.00000000,1.44151387,0.86157361
-5.87993997,4.01807305,0.04334772,0.71744986,0.22755192,1.81716598,0.00000000,1.43572319,0.85315072
-5.87393697,3.99745063,0.04151526,0.71428041,0.22179326,1.80524917,0.00000000,1.43148241,0.84573996
-5.86793397,3.98264790,0.03969255,0.71254145,0.21565285,1.79584978,0.00000000,1.42899617,0.83957781
-5.86193097,3.97414436,0.03789990,0.71238129,0.20920636,1.78908709,0.00000000,1.42842709,0.83486656
-5.85592796,3.97224037,0.03615589,0.71391377,0.20253221,1.78500162,0.00000000,1.42988794,0.83176997
-5.84992496,3.97704736,0.03447703,0.71721639,0.19570944,1.78355184,0.00000000,1.43343581,0.83041008
-5.84392196,3.98848477,0.03287749,0.72232923,0.18881591,1.78461421,0.00000000,1.43906837,0.83086529
-5.83791896,4.00628372,0.03136890,0.72925483,0.18192658,1.78798679,0.00000000,1.44672232,0.83316956
-5.83191596,4.02999705,0.02996025,0.73795887,0.17511219,1.79339586,0.00000000,1.45627427,0.83731288
-5.82591296,4.05901516,0.02865789,0.74837170,0.16843818,1.80050541,0.00000000,1.46754378,0.84324284
-5.81990995,4.09258698,0.02746560,0.76039055,0.16196401,1.80892896,0.00000000,1.48029847,0.85086717
-5.81390695,4.12984507,0.02638469,0.77388242,0.15574270,1.81824311,0.00000000,1.49426111,0.86005734
-5.80790395,4.16983393,0.02541425,0.78868759,0.14982080,1.82800225,0.00000000,1.50911818,0.87065295
-5.80190095,4.21154052,0.02455133,0.80462359,0.14423856,1.83775388,0.00000000,1.52452974,0.88246681
-5.79589795,4.25392568,0.02379125,0.82148955,0.13903036,1.84705375,0.00000000,1.54014011,0.89529063
-5.78989495,4.29595578,0.02312786,0.83907095,0.13422531,1.85548056,0.00000000,1.55558909,0.90890111
-5.78389195,4.33663309,0.02255388,0.85714443,0.12984804,1.86264931,0.00000000,1.57052317,0.92306628
-5.77788894,4.37502449,0.02206121,0.87548281,0.12591951,1.86822327,0.00000000,1.58460651,0.93755191
-5.77188594,4.41028727,0.02164120,0.89386001,0.12245790,1.87192397,0.00000000,1.59753124,0.95212783
-5.76588294,4.44169159,0.02128499,0.91205588,0.11947939,1.87353903,0.00000000,1.60902681,0.96657393
-5.75987994,4.46863911,0.02098377,0.92986071,0.11699901,1.87292782,0.00000000,1.61886814,0.98068571
-5.75387694,4.49067714,0.02072901,0.94707952,0.11503123,1.87002467,0.00000000,1.62688230,0.99427919
-5.74787394,4.50750844,0.02051271,0.96353573,0.11359051,1.86483989,0.00000000,1.63295366,1.00719504
-5.74187094,4.51899622,0.02032754,0.97907447,0.11269168,1.85745858,0.00000000,1.63702731,1.01930182
-5.73586793,4.52516471,0.02016706,0.99356514,0.11235006,1.84803744,0.00000000,1.63911070,1.03049813
-5.72986493,4.52619512,0.02002578,1.00690336,0.11258154,1.83679977,0.00000000,1.63927363,1.04071385
-5.72386193,4.52241745,0.01989929,1.01901221,0.11340228,1.82402899,0.00000000,1.63764638,1.04991013
-5.71785893,4.51429847,0.01978427,1.02984268,0.11482842,1.81006078,0.00000000,1.63441632,1.05807839
-5.71185593,4.50242617,0.01967855,1.03937345,0.11687544,1.79527423,0.00000000,1.62982286,1.06523836
