energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.43235607,2.50677213,1.19915622,0.00212045,1.70499904,0.49881014,0.00000000
-5.99399700,3.36516259,2.47831479,1.17377383,0.00203858,1.67817321,0.48310527,0.00000000
-5.98799400,3.30482359,2.45552472,1.15011545,0.00194837,1.65429558,0.46895131,0.00000000
-5.98199100,3.25253863,2.43931833,1.12856486,0.00185128,1.63388241,0.45660936,0.00000000
-5.97598799,3.20924689,2.43040839,1.10943388,0.00174885,1.61733406,0.44628777,0.00000000
-5.96998499,3.17561264,2.42928823,1.09295845,0.00164269,1.60492872,0.43813871,0.00000000
-5.96398199,3.15201723,2.43622178,1.07929622,0.00153443,1.59681901,0.43225612,0.00000000
-5.95797899,3.13855788,2.45123996,1.06852564,0.00142567,1.59303147,0.42867514,0.00000000
-5.95197599,3.13505324,2.47414380,1.06064658,0.00131796,1.59346891,0.42737305,0.00000000
-5.94597299,3.14105551,2.50451405,1.05558238,0.00121277,1.59791576,0.42827153,0.00000000
-5.93996998,3.15586913,2.54172756,1.05318340,0.00111146,1.60604626,0.43124039,0.00000000
-5.93396698,3.17857559,2.58497983,1.05323211,0.00101524,1.61743540,0.43610242,0.00000000
-5.92796398,3.20806393,2.63331314,1.05544963,0.00092518,1.63157253,0.44263944,0.00000000
-5.92196098,3.24306615,2.68564945,1.05950365,0.00084220,1.64787718,0.45059924,0.00000000
-5.91595798,3.28219666,2.74082683,1.06501778,0.00076706,1.66571690,0.45970327,0.00000000
-5.90995498,3.32399451,2.79763817,1.07158190,0.00070033,1.68442641,0.46965476,0.00000000
-5.90395198,3.36696725,2.85487039,1.07876354,0.00064248,1.70332759,0.48014715,0.00000000
-5.89794897,3.40963464,2.91134287,1.08611973,0.00059378,1.72174958,0.49087240,0.00000000
-5.89194597,3.45057098,2.96594316,1.09320916,0.00055442,1.73904817,0.50152914,0.00000000
-5.88594297,3.48844417,3.01765855,1.09960414,0.00052444,1.75462387,0.51183006,0.00000000
-5.87993997,3.52205033,3.06560225,1.10490198,0.00050381,1.76793777,0.52150877,0.00000000
-5.87393697,3.55034243,3.10903295,1.10873531,0.00049240,1.77852478,0.53032544,0.00000000
-5.86793397,3.57245217,3.14736711,1.11078107,0.00049004,1.78600344,0.53807156,0.00000000
-5.86193097,3.58770419,3.18018374,1.11076779,0.00049649,1.79008231,0.54457333,0.00000000
-5.85592796,3.59562246,3.20722160,1.10848090,0.00051151,1.79056243,0.54969385,0.00000000
-5.84992496,3.59592892,3.22836952,1.10376592,0.00053482,1.78733620,0.55333413,0.00000000
-5.84392196,3.58853474,3.24365059,1.09652963,0.00056618,1.78038264,0.55543286,0.00000000
-5.83791896,3.57352520,3.25320151,1.08673900,0.00060532,1.76975965,0.55596516,0.00000000
-5.83191596,3.55113922,3.25724850,1.07441831,0.00065205,1.75559378,0.55494045,0.00000000
